season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352253,1,54,Fulham,Away,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,True,,,1.0,2.0,2.0,4.0,1.0,2.0,1.0,,,1.0,,,,,1.0,5.0,,,0.0246784,0.1623,0.1356,,,,,,,,,,32.0,1.0,,,,,,4.0,,7.1,,,,,,3.0,,,1.0,,6.0,2.0,8.0,2,,14.0,,,3.0,
2023-24,11352253,1,54,Fulham,Away,192442,102057,Raúl Jiménez,raul-jimenez,F,False,,,1.0,10.0,2.0,12.0,,1.0,2.0,,,,,,,2.0,2.0,2.0,,,0.0167774,0.0684,0.0,,,,,,1.0,,,,58.0,,,,,,,8.0,,6.7,,,1.0,,,,1.0,,1.0,3.0,15.0,2.0,16.0,1,,22.0,,1.0,,
2023-24,11352253,1,54,Fulham,Away,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352253,1,54,Fulham,Away,1013987,490146,Jay Stansfield,jay-stansfield,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352358,2,54,Fulham,Home,192442,102057,Raúl Jiménez,raul-jimenez,F,False,,,,10.0,5.0,15.0,7.0,2.0,3.0,,,2.0,1.0,,,4.0,13.0,3.0,,,0.100126,0.0503,0.0,,,,,,,,,,86.0,,,,,,,17.0,,6.4,,,,,4.0,1.0,,,2.0,1.0,20.0,6.0,26.0,2,1.0,42.0,1.0,,,1.0
2023-24,11352358,2,54,Fulham,Home,286165,159533,Adama Traoré,adama-traore,F,True,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,1.0,,,0.00010788,0.0,0.0,,,,,,,,,,14.0,,,,,,,2.0,,6.5,,,,,,,,,,,1.0,2.0,3.0,0,,5.0,1.0,,,
2023-24,11352358,2,54,Fulham,Home,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352358,2,54,Fulham,Home,1015256,244042,Rodrigo Muniz,rodrigo-muniz,F,True,,,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,4.004e-05,0.0,0.0,,,,,,,,,,14.0,,,,,,,1.0,,6.4,,,,,,,,,,,1.0,1.0,2.0,0,,2.0,,,,
2023-24,11352447,3,54,Fulham,Away,192442,102057,Raúl Jiménez,raul-jimenez,F,False,,,,3.0,9.0,12.0,4.0,8.0,3.0,,,1.0,1.0,,,1.0,8.0,12.0,,,0.00579651,0.1324,0.0,2.0,,,,,,,,,90.0,,2.0,,,,,15.0,,7.1,,,1.0,,2.0,,,,2.0,1.0,12.0,11.0,23.0,2,3.0,42.0,3.0,1.0,,3.0
2023-24,11352447,3,54,Fulham,Away,286165,159533,Adama Traoré,adama-traore,F,True,,,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,2.0,,,,0.00059822,0.205,0.059,,,,,,,,,,19.0,1.0,,,,,,4.0,,6.1,,,,,1.0,1.0,,,,,1.0,1.0,2.0,1,,8.0,1.0,,,
