season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827865,1,54,Fulham,Home,70492,66842,Andre Schürrle,andre-schurrle,F,False,,,,16.0,8.0,24.0,1.0,,1.0,,,,4.0,,,,6.0,2.0,,,1.0,,,,,1.0,1.0,61.0,,,,,,,,,12.0,,6.6,,,,,,,4.0,,2.0,,24.0,8.0,28.0,0,1.0,40.0,3.0,1.0,,1.0
2018-19,7827865,1,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,1.0,9.0,4.0,13.0,4.0,2.0,2.0,,,2.0,1.0,,,3.0,8.0,4.0,,,,,,,,,,90.0,3.0,,,,,,,,6.0,,7.1,,,2.0,,1.0,1.0,,,1.0,,11.0,5.0,16.0,7,,31.0,,1.0,1.0,
2018-19,7827865,1,54,Fulham,Home,249407,108093,Luciano Vietto,luciano-vietto,F,True,1.0,,,4.0,1.0,4.0,,,2.0,,,,1.0,,,,2.0,3.0,,,,,,,,,2.0,19.0,,,,,,,,,5.0,,6.8,,,1.0,,,2.0,1.0,,1.0,,7.0,1.0,7.0,1,1.0,14.0,1.0,1.0,1.0,1.0
2018-19,7827865,1,54,Fulham,Home,603736,197030,Aboubakar Kamara,aboubakar-kamara,F,True,1.0,,,8.0,2.0,9.0,,1.0,,,,,,,,1.0,6.0,3.0,,,3.0,,,,,,2.0,29.0,1.0,,,,,,,,8.0,,7.1,,,1.0,,,4.0,1.0,,,1.0,10.0,4.0,13.0,2,,22.0,1.0,,2.0,
2018-19,7827903,2,54,Fulham,Away,70492,66842,Andre Schürrle,andre-schurrle,F,True,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,0,,2.0,,,1.0,
2018-19,7827903,2,54,Fulham,Away,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,,7.0,11.0,18.0,2.0,4.0,4.0,,1.0,,,,,3.0,5.0,4.0,,,,,1.0,,1.0,,,90.0,1.0,,,,,,,,14.0,,7.0,,,3.0,,,,,,1.0,,14.0,14.0,28.0,4,,38.0,1.0,,,
2018-19,7827903,2,54,Fulham,Away,249407,108093,Luciano Vietto,luciano-vietto,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827903,2,54,Fulham,Away,603736,197030,Aboubakar Kamara,aboubakar-kamara,F,False,,,1.0,18.0,6.0,24.0,1.0,,4.0,1.0,,,,,,1.0,3.0,1.0,,,1.0,,,,,,3.0,88.0,,,,,,,,,18.0,,6.7,,,,,,,,,3.0,,27.0,9.0,36.0,0,1.0,44.0,4.0,,,1.0
2018-19,7827910,3,54,Fulham,Home,70492,66842,Andre Schürrle,andre-schurrle,F,False,,,,19.0,6.0,25.0,1.0,,6.0,,,2.0,,,,1.0,8.0,6.0,,,2.0,,1.0,,1.0,,3.0,89.0,5.0,,,,,,,,17.0,,8.1,,,4.0,,,6.0,1.0,,2.0,,26.0,9.0,34.0,11,2.0,60.0,2.0,2.0,2.0,2.0
2018-19,7827910,3,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,1.0,,1.0,15.0,10.0,24.0,3.0,2.0,2.0,,,,,,,5.0,11.0,2.0,,,3.0,,2.0,,1.0,1.0,1.0,90.0,3.0,1.0,,,,,,,9.0,,8.5,,,1.0,,1.0,,2.0,,1.0,1.0,17.0,10.0,25.0,4,,43.0,1.0,,,
