season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436999,6,43,Manchester_City,Away,964994,477424,Joško Gvardiol,josko-gvardiol,D,False,,,2.0,23.0,23.0,46.0,3.0,1.0,,5.0,,,,,,3.0,7.0,7.0,,,0.0239321,0.0757,0.6826,,0.0,1.0,,,,2.0,1.0,,90.0,1.0,,,,,,,14.0,,,7.8,,,,,,2.0,2.0,,,4.0,,26.0,28.0,54.0,,,1,2.0,75.0,1.0,3.0,1.0,2.0
2024-25,12436999,6,43,Manchester_City,Away,1136731,477064,Rico Lewis,rico-lewis,D,False,,,,16.0,5.0,21.0,,,,2.0,,,,1.0,,,1.0,2.0,,,0.0159066,,,,0.0,,,,,,,,81.0,,,,,,,,4.0,,,6.6,,,,,,1.0,,,,,,18.0,5.0,23.0,,,0,1.0,32.0,1.0,1.0,,
2024-25,12437022,7,43,Manchester_City,Home,44614,58621,Kyle Walker,kyle-walker,D,True,,,1.0,6.0,3.0,9.0,,,,2.0,,,,,,,,,,,0.0022547,,,,0.0,,,,,,,,28.0,,,,,,,,,,,6.4,,,,,,,,,,1.0,,6.0,3.0,9.0,,,0,,11.0,,,,
2024-25,12437022,7,43,Manchester_City,Home,152077,97299,John Stones,john-stones,D,True,,,,1.0,2.0,3.0,,,,,,,,,,,,1.0,,,0.00032511,,,,0.0,,,,,,,,12.0,,,,,,,,1.0,,,6.5,,,,,,2.0,,,,,,2.0,2.0,4.0,,,0,1.0,7.0,,,,1.0
2024-25,12437022,7,43,Manchester_City,Home,318941,171314,Rúben Dias,ruben-dias,D,False,,,,56.0,32.0,88.0,,2.0,,2.0,,,1.0,,,,2.0,2.0,,,0.039603,0.0495,,1.0,0.0,,,,,1.0,,,90.0,,2.0,,,,,,2.0,,,7.0,,,,,,4.0,1.0,,,,,57.0,32.0,89.0,,,1,,99.0,,,,
2024-25,12437022,7,43,Manchester_City,Home,383560,211975,Manuel Akanji,manuel-akanji,D,False,,,,34.0,25.0,59.0,1.0,2.0,,4.0,,,,,,1.0,2.0,4.0,,,0.0300887,,,1.0,0.0,,,,,,,,62.0,,,,,,,,3.0,,,6.9,,,,,,3.0,1.0,1.0,,,,36.0,25.0,60.0,,,0,1.0,67.0,,,1.0,1.0
2024-25,12437022,7,43,Manchester_City,Home,945122,465351,Matheus Nunes,matheus-nunes,D,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0,,1.0,,,,
2024-25,12437022,7,43,Manchester_City,Home,964994,477424,Joško Gvardiol,josko-gvardiol,D,False,,,3.0,67.0,30.0,97.0,,,,2.0,,,1.0,,,,1.0,3.0,,,0.0921371,0.0755,0.141,,0.0,,,,,,,,90.0,1.0,2.0,,,,,,8.0,,,7.5,,,,,,4.0,2.0,,,4.0,,72.0,30.0,102.0,,,2,1.0,120.0,1.0,1.0,1.0,
2024-25,12437022,7,43,Manchester_City,Home,1136731,477064,Rico Lewis,rico-lewis,D,False,,,,32.0,15.0,47.0,,1.0,,4.0,,,2.0,,,3.0,3.0,6.0,,1.0,0.0442692,0.0976,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,,11.0,,,7.1,,,,,,2.0,,,,1.0,,37.0,16.0,53.0,,,2,3.0,73.0,2.0,2.0,,1.0
2024-25,12437039,8,43,Manchester_City,Away,149663,126184,Nathan Aké,nathan-ake,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437039,8,43,Manchester_City,Away,152077,97299,John Stones,john-stones,D,False,,,2.0,56.0,23.0,79.0,3.0,6.0,,4.0,,,,,,,3.0,8.0,,,0.063506,0.2557,0.4032,,0.0,1.0,,,,,,,90.0,1.0,,,,,,,13.0,,,7.9,,,,,,1.0,,,,3.0,,66.0,26.0,92.0,,,1,1.0,98.0,,1.0,,
2024-25,12437039,8,43,Manchester_City,Away,318941,171314,Rúben Dias,ruben-dias,D,False,,,,93.0,19.0,112.0,,3.0,,6.0,,,,,,,,3.0,,,0.126417,0.0582,0.124,,0.0,,,,,1.0,,,90.0,1.0,,,,,,,11.0,,,7.7,,,1.0,,,1.0,,,,,,100.0,22.0,122.0,,,2,,129.0,1.0,,,
2024-25,12437039,8,43,Manchester_City,Away,383560,211975,Manuel Akanji,manuel-akanji,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437039,8,43,Manchester_City,Away,945122,465351,Matheus Nunes,matheus-nunes,D,True,,,,2.0,,2.0,2.0,,,,,,1.0,,,,2.0,1.0,,,0.00305069,0.0357,,,0.0,,,,,,,,13.0,,,,,,,,,,,6.7,,,,,,1.0,,,,,,2.0,,2.0,,,1,1.0,6.0,,,,1.0
2024-25,12437039,8,43,Manchester_City,Away,964994,477424,Joško Gvardiol,josko-gvardiol,D,False,,,,94.0,17.0,111.0,2.0,1.0,,3.0,,,,,,,2.0,2.0,,,0.149255,0.023,0.1176,,0.0,1.0,,,,,3.0,,90.0,1.0,,,,,,,11.0,,,8.6,,,,,,,,2.0,,,,104.0,17.0,119.0,,,1,1.0,133.0,,,,1.0
2024-25,12437039,8,43,Manchester_City,Away,1136731,477064,Rico Lewis,rico-lewis,D,False,,,4.0,39.0,12.0,51.0,,,,7.0,,,,,,,1.0,2.0,,,0.120803,,,,0.0,,,,,2.0,1.0,,90.0,,,,,,,,5.0,,,7.4,,,,,,1.0,1.0,,,6.0,,42.0,13.0,55.0,,,0,2.0,72.0,,,,2.0
2024-25,12437039,8,43,Manchester_City,Away,1142703,472769,Nico O'Reilly,nico-o-reilly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437049,9,43,Manchester_City,Home,149663,126184,Nathan Aké,nathan-ake,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437049,9,43,Manchester_City,Home,152077,97299,John Stones,john-stones,D,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437049,9,43,Manchester_City,Home,318941,171314,Rúben Dias,ruben-dias,D,False,,,1.0,60.0,30.0,90.0,3.0,1.0,,8.0,,,,,,,3.0,3.0,,,0.0568379,0.0174,0.0107,,0.0,,,,,,1.0,,90.0,1.0,,,,,,,3.0,,,7.6,,,,,,2.0,,,,3.0,,63.0,30.0,93.0,,,1,2.0,98.0,,,,1.0
2024-25,12437049,9,43,Manchester_City,Home,383560,211975,Manuel Akanji,manuel-akanji,D,False,1.0,,1.0,63.0,17.0,79.0,1.0,,,,,,,,,1.0,2.0,,,,0.0872635,0.0353,0.0195,,0.0,,,,,1.0,1.0,,90.0,1.0,1.0,,,,,,8.0,,,7.7,,,,,,2.0,,2.0,,3.0,,69.0,18.0,85.0,,,1,,93.0,,,,
2024-25,12437049,9,43,Manchester_City,Home,945122,465351,Matheus Nunes,matheus-nunes,D,False,2.0,,1.0,52.0,3.0,53.0,,1.0,,3.0,1.0,,,1.0,,2.0,7.0,4.0,,,0.559894,0.0603,,3.0,1.0,,,,,1.0,2.0,,86.0,,,,,,,,14.0,,,8.1,,,2.0,,,1.0,2.0,6.0,,1.0,,61.0,3.0,58.0,,,2,1.0,79.0,1.0,1.0,1.0,1.0
2024-25,12437049,9,43,Manchester_City,Home,964994,477424,Joško Gvardiol,josko-gvardiol,D,False,,,2.0,80.0,16.0,96.0,2.0,1.0,,1.0,,,1.0,,,,3.0,3.0,,,0.157982,0.0713,,1.0,0.0,,,,,2.0,3.0,,90.0,,,,,,,,7.0,,,8.5,,,1.0,,,6.0,,,,3.0,,86.0,17.0,103.0,,,2,1.0,120.0,,1.0,,1.0
2024-25,12437049,9,43,Manchester_City,Home,1136731,477064,Rico Lewis,rico-lewis,D,False,,,1.0,28.0,13.0,41.0,,1.0,,,,,,,,,,2.0,,,0.0466094,,,,0.0,,,,,,,,89.0,,,,,,,,1.0,,,7.0,,,,,,2.0,,,,1.0,,29.0,13.0,42.0,,,0,,50.0,,1.0,,
2024-25,12437049,9,43,Manchester_City,Home,1142703,472769,Nico O'Reilly,nico-o-reilly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437051,10,43,Manchester_City,Away,44614,58621,Kyle Walker,kyle-walker,D,False,1.0,,1.0,26.0,16.0,41.0,3.0,1.0,,3.0,,,,3.0,,1.0,9.0,4.0,,,0.099828,,,2.0,0.0,,,,,1.0,1.0,1.0,90.0,,,,,,,,16.0,,,6.4,,,,,,,,2.0,,8.0,,37.0,16.0,51.0,,,0,2.0,70.0,2.0,1.0,,1.0
2024-25,12437051,10,43,Manchester_City,Away,149663,126184,Nathan Aké,nathan-ake,D,False,,,1.0,29.0,45.0,74.0,2.0,1.0,,2.0,,,,,,,2.0,1.0,,1.0,0.0144223,0.0208,,,0.0,,,,,,,,73.0,,,,,,,,3.0,,,6.3,,,1.0,,,1.0,,,,2.0,,30.0,46.0,76.0,,,1,,79.0,1.0,,,
2024-25,12437051,10,43,Manchester_City,Away,383560,211975,Manuel Akanji,manuel-akanji,D,False,,,1.0,12.0,32.0,44.0,3.0,3.0,,3.0,,,,,,,4.0,5.0,,,0.018873,,,1.0,0.0,,,,,,,,90.0,,,,,,,,2.0,,,6.7,,,,,,1.0,,,,1.0,,14.0,32.0,46.0,,,0,2.0,51.0,,1.0,,2.0
2024-25,12437051,10,43,Manchester_City,Away,945122,465351,Matheus Nunes,matheus-nunes,D,False,2.0,,3.0,30.0,8.0,36.0,1.0,3.0,,3.0,,,,1.0,,2.0,5.0,10.0,,,0.478267,,,1.0,0.0,,,,,,5.0,,90.0,,,,,,,,18.0,,,7.7,,,,,,,1.0,6.0,,3.0,,43.0,9.0,46.0,,,0,5.0,67.0,2.0,1.0,1.0,1.0
2024-25,12437051,10,43,Manchester_City,Away,964994,477424,Joško Gvardiol,josko-gvardiol,D,False,,,,33.0,12.0,45.0,2.0,2.0,,5.0,,,1.0,1.0,,1.0,7.0,6.0,,,0.0227924,0.1278,0.2319,2.0,0.0,1.0,,,,2.0,1.0,,90.0,1.0,2.0,,,,,,9.0,,,7.8,,,1.0,,,3.0,3.0,2.0,,,,38.0,12.0,48.0,,,3,2.0,77.0,1.0,1.0,1.0,2.0
2024-25,12437051,10,43,Manchester_City,Away,1136731,477064,Rico Lewis,rico-lewis,D,True,,,,19.0,2.0,21.0,,,,1.0,,,,,,1.0,1.0,1.0,,,0.0748517,,,,0.0,,,,,,1.0,,17.0,,,,,,,,2.0,,,7.0,,,,,,,,,,,,19.0,2.0,21.0,,,0,1.0,27.0,1.0,,,1.0
2024-25,12437051,10,43,Manchester_City,Away,1142703,472769,Nico O'Reilly,nico-o-reilly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437051,10,43,Manchester_City,Away,1402924,554194,Jahmai Simpson-Pusey,jahmai-simpson-pusey,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436882,11,43,Manchester_City,Away,44614,58621,Kyle Walker,kyle-walker,D,False,1.0,,1.0,37.0,45.0,81.0,,,,5.0,1.0,,,,,,,3.0,,,0.0551136,,,,0.0,,,,,1.0,1.0,,90.0,,,,,,,,10.0,,,7.0,,,,,,,,1.0,,4.0,,42.0,49.0,90.0,,,0,3.0,106.0,,,,1.0
2024-25,12436882,11,43,Manchester_City,Away,149663,126184,Nathan Aké,nathan-ake,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436882,11,43,Manchester_City,Away,383560,211975,Manuel Akanji,manuel-akanji,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436882,11,43,Manchester_City,Away,945122,465351,Matheus Nunes,matheus-nunes,D,False,,,,18.0,10.0,28.0,,,,4.0,,,,1.0,,1.0,7.0,4.0,,,0.0288169,,,5.0,0.0,,,,,,1.0,,90.0,,,,,,,,9.0,,,6.6,,,,,,,1.0,,,2.0,,24.0,10.0,34.0,,,0,2.0,43.0,2.0,1.0,1.0,1.0
2024-25,12436882,11,43,Manchester_City,Away,964994,477424,Joško Gvardiol,josko-gvardiol,D,False,,,2.0,32.0,42.0,74.0,1.0,1.0,,2.0,,1.0,,,,1.0,3.0,3.0,,,0.0272732,0.0535,,1.0,0.0,,,,,1.0,,,90.0,,1.0,,,,,,4.0,,,6.7,,,1.0,,,1.0,,,,2.0,,34.0,43.0,77.0,,,1,2.0,86.0,,,,1.0
2024-25,12436882,11,43,Manchester_City,Away,1017915,447880,Josh Wilson-Esbrand,josh-wilson-esbrand,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436882,11,43,Manchester_City,Away,1136731,477064,Rico Lewis,rico-lewis,D,False,,,1.0,26.0,21.0,47.0,,,,5.0,,,,,,2.0,3.0,5.0,,,0.0195777,,,1.0,0.0,,,,,1.0,,,90.0,,,,,,,,6.0,,,6.5,,,,,,3.0,1.0,,,1.0,,27.0,23.0,50.0,,,0,1.0,68.0,1.0,3.0,1.0,
2024-25,12436882,11,43,Manchester_City,Away,1142703,472769,Nico O'Reilly,nico-o-reilly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436882,11,43,Manchester_City,Away,1402924,554194,Jahmai Simpson-Pusey,jahmai-simpson-pusey,D,False,,,,29.0,69.0,98.0,3.0,1.0,,3.0,,,,,,,3.0,3.0,,,0.0130759,,,,0.0,,,,,,,,90.0,,1.0,,,,,,9.0,,,6.5,,,,,,2.0,,,,4.0,,35.0,71.0,106.0,,,0,1.0,115.0,1.0,1.0,,
2024-25,12436499,12,43,Manchester_City,Home,44614,58621,Kyle Walker,kyle-walker,D,False,,,2.0,35.0,30.0,65.0,,1.0,,3.0,,,,,,,1.0,4.0,,,0.170473,,,,0.0,,,,,,,,90.0,,,,,,,,9.0,,,6.6,,,,,,1.0,1.0,3.0,,3.0,,41.0,31.0,69.0,,,0,1.0,90.0,,2.0,,1.0
2024-25,12436499,12,43,Manchester_City,Home,149663,126184,Nathan Aké,nathan-ake,D,True,,,2.0,21.0,11.0,32.0,1.0,2.0,,2.0,,,1.0,,,,1.0,2.0,,,0.0173818,0.0907,,,0.0,,,,,,,,45.0,,,,,,,,3.0,,,6.5,,,,,,1.0,,,,2.0,,23.0,12.0,35.0,,,1,,38.0,,,,
2024-25,12436499,12,43,Manchester_City,Home,152077,97299,John Stones,john-stones,D,False,,,1.0,11.0,17.0,28.0,,,,3.0,,,,,,,1.0,2.0,,,0.00649841,,,1.0,0.0,,,,,2.0,,1.0,45.0,,,,,,,,4.0,,,6.6,,,,,,1.0,,,,1.0,,14.0,17.0,31.0,,,0,2.0,38.0,1.0,,,
2024-25,12436499,12,43,Manchester_City,Home,383560,211975,Manuel Akanji,manuel-akanji,D,False,,,3.0,35.0,30.0,65.0,,2.0,,6.0,,,1.0,1.0,,1.0,5.0,5.0,,,0.0286348,0.077,,3.0,0.0,,,,,1.0,,,90.0,,,,,,,,3.0,,,6.4,,,1.0,,,1.0,,,,4.0,,37.0,30.0,67.0,,,2,3.0,77.0,,,,3.0
2024-25,12436499,12,43,Manchester_City,Home,945122,465351,Matheus Nunes,matheus-nunes,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436499,12,43,Manchester_City,Home,964994,477424,Joško Gvardiol,josko-gvardiol,D,False,2.0,,,38.0,11.0,47.0,,1.0,,3.0,,,1.0,,,,2.0,2.0,1.0,,0.573271,0.3027,,1.0,0.0,,,,,,8.0,,90.0,,,,,,,,9.0,,,6.8,,,1.0,,,3.0,1.0,4.0,,1.0,1.0,43.0,13.0,52.0,,,2,1.0,73.0,,,,1.0
