season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,9258869,1,43,Manchester_City,Home,44614,58621,Kyle Walker,kyle-walker,D,False,,,1.0,6.0,10.0,16.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,28.0,,,,,,,,,4.0,,6.6,,,,,,,,,2.0,,7.0,12.0,19.0,0,,22.0,,,,
2020-21,9258869,1,43,Manchester_City,Home,138892,121145,João Cancelo,joao-cancelo,D,False,,,3.0,40.0,34.0,74.0,,2.0,6.0,,,,5.0,,6.0,6.0,,,1.0,,,,1.0,2.0,2.0,,90.0,1.0,,,,,,,,20.0,,7.5,,,2.0,,1.0,3.0,6.0,,4.0,,56.0,36.0,86.0,3,1.0,108.0,1.0,,3.0,1.0
2020-21,9258869,1,43,Manchester_City,Home,139225,102826,Benjamin Mendy,benjamin-mendy,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,43,Manchester_City,Home,152077,97299,John Stones,john-stones,D,False,,,2.0,21.0,41.0,62.0,5.0,1.0,4.0,,1.0,1.0,,,6.0,3.0,,,1.0,,,,,,,,90.0,,1.0,,,,,,,6.0,,6.9,,,,,1.0,,1.0,,4.0,,24.0,44.0,67.0,1,1.0,75.0,,1.0,,1.0
2020-21,9258869,1,43,Manchester_City,Home,287643,206325,Oleksandr Zinchenko,oleksandr-zinchenko,D,True,,,2.0,25.0,10.0,35.0,4.0,2.0,4.0,,,,,,4.0,3.0,,,,,,,,1.0,,,62.0,,,,,,,,,9.0,,6.8,,,,,,,,,3.0,,30.0,14.0,44.0,0,1.0,56.0,,,,1.0
2020-21,9258869,1,43,Manchester_City,Home,318941,171314,Rúben Dias,ruben-dias,D,False,,,3.0,16.0,39.0,55.0,1.0,3.0,4.0,,,,1.0,,3.0,5.0,,,1.0,,,,,3.0,,,90.0,1.0,1.0,,,,,,,6.0,,7.7,,,,,3.0,,,,5.0,,19.0,42.0,61.0,1,2.0,72.0,,,,2.0
2020-21,9258869,1,43,Manchester_City,Home,876214,432656,Eric García,eric-garcia,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896925,2,43,Manchester_City,Away,44614,58621,Kyle Walker,kyle-walker,D,False,,,4.0,35.0,48.0,83.0,1.0,1.0,9.0,,,1.0,1.0,3.0,7.0,5.0,,,,,,,,,,,90.0,,2.0,,,,,,,12.0,,6.7,,,,,1.0,3.0,2.0,,6.0,,40.0,49.0,87.0,1,3.0,114.0,,,1.0,1.0
2020-21,8896925,2,43,Manchester_City,Away,74915,57410,Nicolás Otamendi,nicolas-otamendi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896925,2,43,Manchester_City,Away,139225,102826,Benjamin Mendy,benjamin-mendy,D,False,,,1.0,26.0,21.0,47.0,2.0,,6.0,,,1.0,3.0,1.0,8.0,2.0,,,2.0,,,,,1.0,,,90.0,,1.0,,,,,,,14.0,,6.1,,,,,2.0,1.0,,,7.0,,36.0,22.0,58.0,1,1.0,83.0,1.0,,1.0,1.0
