season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,totalShots
2012-13,2753670,1,3,Arsenal,Home,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,536,19160,Johan Djourou,johan-djourou,D,True,,,,,
2012-13,2753670,1,3,Arsenal,Home,1006,28566,Abou Diaby,abou-diaby,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,1367,17733,Lukas Podolski,lukas-podolski,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,1954,15943,Thomas Vermaelen,thomas-vermaelen,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,10501,20467,Theo Walcott,theo-walcott,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,10906,13227,Andrey Arshavin,andrey-arshavin,M,True,0.0,0.0,,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,17053,20487,Vito Mannone,vito-mannone,G,True,,,,,
2012-13,2753670,1,3,Arsenal,Home,17651,19524,Santi Cazorla,santi-cazorla,M,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,23571,41792,Aaron Ramsey,aaron-ramsey,M,True,0.0,0.0,,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,24814,42427,Kieran Gibbs,kieran-gibbs,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,26991,43274,Gervinho,gervinho,F,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,True,0.0,0.0,,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,40672,56864,Francis Coquelin,francis-coquelin,M,True,,,,,
2012-13,2753670,1,3,Arsenal,Home,50490,59936,Wojciech Szczęsny,wojciech-szczesny,G,False,0.0,0.0,90.0,0.0,0.0
2012-13,2753670,1,3,Arsenal,Home,56766,57214,André Santos,andre-santos,D,True,,,,,
2012-13,2753670,1,3,Arsenal,Home,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,369,17127,Per Mertesacker,per-mertesacker,D,False,0.0,0.0,90.0,0.0,0.0
2012-13,2754570,2,3,Arsenal,Away,536,19160,Johan Djourou,johan-djourou,D,True,,,,,
2012-13,2754570,2,3,Arsenal,Away,1006,28566,Abou Diaby,abou-diaby,M,False,0.0,0.0,90.0,0.0,0.0
