season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437077,1,3,Arsenal,Home,1185,11334,Petr Čech,petr-cech,G,False,,2.0,6.0,2.0,14.0,16.0,,,4.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,90.0,,,,,,,,4.0,,6.0,,,,,,,2.0,10.0,,3.0,17.0,20.0,0,1.0,27.0,,,,1.0
2017-18,7437077,1,3,Arsenal,Home,10501,20467,Theo Walcott,theo-walcott,M,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,15.0,,,,,,,,1.0,,6.6,,,,,,,,,1.0,2.0,,2.0,0,,3.0,,,,
2017-18,7437077,1,3,Arsenal,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,False,1.0,,6.0,29.0,12.0,40.0,2.0,3.0,10.0,,,2.0,,,,1.0,5.0,15.0,,,1.0,,,,,3.0,2.0,,90.0,2.0,,,,,,,22.0,,8.6,,,2.0,4.0,9.0,7.0,,9.0,,42.0,16.0,51.0,6,3.0,97.0,1.0,1.0,8.0,3.0
2017-18,7437077,1,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,False,,,3.0,58.0,12.0,70.0,,,2.0,1.0,,1.0,1.0,,,3.0,4.0,5.0,,,,,,,,,6.0,,90.0,,,,,,,,22.0,,7.8,,,2.0,1.0,2.0,3.0,,4.0,1.0,69.0,15.0,81.0,3,1.0,102.0,3.0,2.0,2.0,
2017-18,7437077,1,3,Arsenal,Home,17088,38411,Nacho Monreal,nacho-monreal,D,False,,,2.0,25.0,29.0,54.0,3.0,3.0,7.0,,,,,,,,3.0,5.0,,,,,,,,5.0,,,90.0,,,,,,,,3.0,,7.0,,,,7.0,,,,4.0,,28.0,29.0,57.0,0,2.0,73.0,,,,2.0
2017-18,7437077,1,3,Arsenal,Home,23571,41792,Aaron Ramsey,aaron-ramsey,M,True,,,,5.0,3.0,8.0,,2.0,2.0,,1.0,,,,,,,4.0,,,,,1.0,,,,1.0,,23.0,1.0,,,,,,,4.0,,7.5,,,3.0,,,,,,,8.0,3.0,11.0,4,,20.0,1.0,2.0,,
2017-18,7437077,1,3,Arsenal,Home,33596,48844,David Ospina,david-ospina,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437077,1,3,Arsenal,Home,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,,12.0,4.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,4.0,7.0,5.0,,,1.0,,1.0,,,1.0,2.0,,75.0,1.0,,,,,,,10.0,,7.4,,,,1.0,2.0,,,,1.0,16.0,5.0,21.0,3,1.0,37.0,1.0,1.0,2.0,1.0
2017-18,7437077,1,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,True,,,,4.0,3.0,7.0,1.0,3.0,,,,,,,,,1.0,4.0,,,,,1.0,,,,1.0,,23.0,1.0,,,,,,,1.0,,7.4,,,,,,,,,,5.0,3.0,8.0,1,,10.0,,1.0,,
2017-18,7437077,1,3,Arsenal,Home,40672,56864,Francis Coquelin,francis-coquelin,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437077,1,3,Arsenal,Home,50070,59966,Alexandre Lacazette,alexandre-lacazette,F,False,1.0,,,14.0,6.0,19.0,3.0,1.0,2.0,1.0,,1.0,2.0,,,2.0,8.0,6.0,,,2.0,,1.0,,,,3.0,,90.0,2.0,,,,,,,8.0,,8.0,,,,1.0,1.0,2.0,,,2.0,16.0,7.0,21.0,3,2.0,39.0,2.0,2.0,1.0,1.0
2017-18,7437077,1,3,Arsenal,Home,89894,69140,Shkodran Mustafi,shkodran-mustafi,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437077,1,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,4.0,,12.0,71.0,14.0,81.0,2.0,,8.0,,,2.0,1.0,,,,4.0,2.0,1.0,,1.0,2.0,,,,1.0,5.0,,90.0,1.0,,,,,,,21.0,,8.5,,,1.0,1.0,1.0,6.0,,15.0,,86.0,19.0,99.0,4,1.0,117.0,1.0,,1.0,
2017-18,7437077,1,3,Arsenal,Home,142148,111457,Sead Kolašinac,sead-kolasinac,D,False,,,2.0,41.0,18.0,59.0,,,7.0,1.0,,,,,,,1.0,6.0,,,1.0,1.0,,,,1.0,1.0,,90.0,1.0,,,,,,,14.0,,7.5,,,,3.0,1.0,2.0,,3.0,,51.0,21.0,70.0,1,4.0,85.0,,1.0,1.0,4.0
2017-18,7437077,1,3,Arsenal,Home,159675,153256,Mohamed Elneny,mohamed-elneny,M,False,,,1.0,41.0,24.0,65.0,1.0,,3.0,,,,,,,2.0,3.0,4.0,,,,1.0,,,,,2.0,,67.0,,,,,,,,10.0,,7.2,,,1.0,1.0,,,,1.0,,44.0,28.0,72.0,1,4.0,87.0,1.0,,,2.0
