season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767931,1,3,Arsenal,Home,369,17127,Per Mertesacker,per-mertesacker,D,False,,,1.0,8.0,23.0,31.0,1.0,4.0,7.0,,,,,,,1.0,2.0,7.0,,,,,,,,4.0,,,90.0,1.0,,,,,,,7.1,,,,,2.0,,,,2.0,1.0,11.0,26.0,37.0,1,3.0,51.0,,,
2015-16,6767931,1,3,Arsenal,Home,1152,8758,Mikel Arteta,mikel-arteta,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767931,1,3,Arsenal,Home,1185,11334,Petr Čech,petr-cech,G,False,,,6.0,5.0,11.0,16.0,,,8.0,,,,,,1.0,,,,1.0,,,,,,,,,,90.0,,,,,,,,5.7,1.0,2.0,,,,,,,11.0,,8.0,13.0,21.0,0,,29.0,,,
2015-16,6767931,1,3,Arsenal,Home,3579,27334,Mathieu Debuchy,mathieu-debuchy,D,False,,,1.0,17.0,12.0,29.0,1.0,5.0,5.0,,,1.0,,,,1.0,3.0,6.0,,,1.0,,,,,1.0,1.0,,67.0,,,,,,,,6.4,,,,,1.0,,5.0,,4.0,,27.0,14.0,36.0,1,,53.0,,1.0,
2015-16,6767931,1,3,Arsenal,Home,10501,20467,Theo Walcott,theo-walcott,M,True,,,,3.0,,3.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,32.0,,,,,,,,6.7,,,,,,1.0,2.0,,,,7.0,,5.0,2,,13.0,2.0,,1.0
2015-16,6767931,1,3,Arsenal,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,False,2.0,,3.0,26.0,15.0,39.0,2.0,,6.0,1.0,,1.0,1.0,,,,3.0,11.0,1.0,,,,,,,1.0,4.0,,90.0,,1.0,,,,,,8.2,,,2.0,,1.0,9.0,4.0,,4.0,1.0,32.0,15.0,43.0,3,1.0,74.0,1.0,1.0,9.0
2015-16,6767931,1,3,Arsenal,Home,16176,37605,Mesut Özil,mesut-ozil,M,False,3.0,,3.0,57.0,10.0,64.0,2.0,,5.0,,,2.0,,,,3.0,9.0,2.0,,,3.0,,,,,1.0,4.0,,90.0,,,,,,,,7.2,,,,,,1.0,5.0,,4.0,,66.0,12.0,73.0,2,2.0,91.0,1.0,,
2015-16,6767931,1,3,Arsenal,Home,17088,38411,Nacho Monreal,nacho-monreal,D,False,,,,44.0,13.0,57.0,5.0,6.0,6.0,,,,1.0,,,,7.0,11.0,,,1.0,,,,,,,,90.0,,1.0,,,,,,6.5,,,,,4.0,2.0,5.0,,1.0,,52.0,18.0,65.0,0,1.0,92.0,1.0,2.0,2.0
2015-16,6767931,1,3,Arsenal,Home,17651,19524,Santi Cazorla,santi-cazorla,M,False,1.0,,2.0,56.0,16.0,71.0,1.0,1.0,8.0,,,,2.0,,,,5.0,7.0,,,,,,,,1.0,5.0,,90.0,1.0,,,,,,,7.5,,,1.0,,1.0,5.0,5.0,,2.0,,64.0,17.0,76.0,2,2.0,101.0,,1.0,3.0
2015-16,6767931,1,3,Arsenal,Home,23571,41792,Aaron Ramsey,aaron-ramsey,M,False,2.0,,,51.0,14.0,63.0,,3.0,7.0,,,1.0,2.0,,,5.0,10.0,5.0,,,3.0,,,,,5.0,2.0,,90.0,,,,,,,,6.7,,,1.0,,,2.0,3.0,,,,58.0,16.0,71.0,2,,89.0,,,2.0
