matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918893,1.0,2017-08-11 19:45:00,13,Leicester,Away,67.0,15.0,1.0,4.0,3.0,1.0,,104.0,6.0,1.0,,5.0,9.0,32.0,167.0,,1.0,21.0,18.0,18.0,1.0,,,,,,,,,,,,3.0,,,,,,,6.0,15.0,12.0,5.0,1.0,,35.0,53.0,2.0,,2.0,5.0,19.0,,16.0,,2.0,4.0,11.0,5.0,,12.0,4.0,69.0,48.0,5.0,24.0,12.0,,,60.0,12.0,9.0,3.0,,,,,134.0,3.0,1.0,3.0,1.0,2.0,,11.0,,,1.0,,,,,,12.0,,11.0,11.0,1.0,,50.0,58.0,26.0,9.0,,1.0,3.0,3.0,228.0,,,8.0,2.0,,68.0,41.0,27.0,,,,,,158.0,158.0,10.0,24.0,13.0,30.0,,3.0,,,19.0,0.0,,,,44.0,3.0,3.0,6.0,,1.0,,3.0,,3.0,52.0,145.0,10.0,4.0,91.0,26.0,24.0,16.0,2.0,18.0,16.0,,103.0,16.0,190.0,,1.0,27.0,12.0,70.0,3.0,263.0,,0.0,6.0,17.0,2.0,31.0,1.0,459.0,11.0,10.0,5.0,4.0,8.0,0.0
918906,2.0,2017-08-19 15:00:00,13,Leicester,Home,198.0,17.0,1.0,4.0,3.0,3.0,1.0,138.0,1.0,,6.0,4.0,7.0,28.0,332.0,1.0,,13.0,16.0,17.0,6.0,1.0,,,,,1.0,,,,,,8.0,,,,,,3.0,4.0,1.0,4.0,7.0,7.0,,72.0,60.0,1.0,1.0,1.0,3.0,9.0,6.0,5.0,,1.0,6.0,9.0,3.0,1.0,5.0,1.0,39.0,46.0,3.0,16.0,9.0,,,49.0,8.0,10.0,1.0,,4.0,2.0,1.0,155.0,1.0,1.0,1.0,,1.0,,5.0,,,1.0,1.0,,,,1.0,9.0,,6.0,6.0,,6.0,93.0,82.0,41.0,2.0,,3.0,5.0,4.0,409.0,,,3.0,,,68.0,65.0,26.0,,,,,,141.0,141.0,5.0,22.0,24.0,45.2,,,,,9.0,0.0,,,,107.0,,2.0,2.0,,,,4.0,2.0,2.0,55.0,322.0,4.0,8.0,217.0,34.0,16.0,14.0,5.0,19.0,14.0,,92.0,10.0,229.0,1.0,,21.0,8.0,63.0,1.0,427.0,1.0,0.0,14.0,11.0,1.0,17.0,1.0,593.0,21.0,15.0,8.0,6.0,9.0,0.0
918918,3.0,2017-08-26 17:30:00,13,Leicester,Away,92.0,12.0,1.0,3.0,2.0,5.0,,119.0,3.0,3.0,3.0,9.0,2.0,26.0,208.0,,,9.0,22.0,24.0,7.0,3.0,,,,,,,,,,,9.0,,,,,,1.0,2.0,12.0,10.0,5.0,6.0,,30.0,60.0,1.0,1.0,,7.0,13.0,2.0,17.0,,1.0,3.0,3.0,5.0,,5.0,4.0,54.0,63.0,7.0,41.0,20.0,,,54.0,7.0,8.0,,,,,,125.0,,,,,,,11.0,,,,,,,,1.0,20.0,,13.0,13.0,1.0,4.0,70.0,71.0,32.0,9.0,,4.0,6.0,4.0,268.0,,,7.0,2.0,,45.0,43.0,19.0,,1.0,1.0,1.0,,132.0,132.0,4.0,24.0,19.0,30.9,,,,1.0,13.0,0.0,,,,75.0,3.0,2.0,5.0,,,,5.0,,3.0,55.0,192.0,7.0,10.0,109.0,21.0,41.0,14.0,2.0,10.0,8.0,,98.0,11.0,201.0,,3.0,25.0,3.0,60.0,3.0,300.0,,0.0,11.0,22.0,,14.0,2.0,493.0,13.0,13.0,10.0,3.0,14.0,0.0
918927,4.0,2017-09-09 15:00:00,13,Leicester,Home,108.0,20.0,,3.0,3.0,1.0,,154.0,6.0,1.0,5.0,9.0,3.0,37.0,259.0,,,21.0,7.0,12.0,3.0,,1.0,,,,,,,,,,3.0,1.0,,,,,1.0,6.0,9.0,7.0,4.0,4.0,,42.0,64.0,1.0,1.0,1.0,5.0,16.0,3.0,11.0,,1.0,2.0,9.0,7.0,,9.0,3.0,48.0,45.0,5.0,21.0,10.0,,,51.0,11.0,8.0,1.0,,4.0,3.0,,144.0,,,,,,,9.0,,,,3.0,,,,1.0,10.0,,12.0,12.0,2.0,5.0,75.0,64.0,34.0,9.0,,2.0,1.0,2.0,327.0,,,5.0,2.0,,75.0,59.0,28.0,,,,,1.0,145.0,145.0,4.0,33.0,19.0,40.4,,,,,16.0,0.0,,,,86.0,1.0,3.0,4.0,,,1.0,3.0,,3.0,61.0,243.0,10.0,3.0,127.0,30.0,21.0,18.0,2.0,21.0,19.0,1.0,102.0,13.0,241.0,3.0,1.0,24.0,3.0,65.0,1.0,347.0,,0.0,8.0,18.0,,23.0,1.0,546.0,17.0,14.0,7.0,2.0,17.0,0.0
918936,5.0,2017-09-16 15:00:00,13,Leicester,Away,119.0,14.0,2.0,3.0,1.0,4.0,,131.0,1.0,3.0,2.0,7.0,7.0,25.0,247.0,,,26.0,24.0,27.0,6.0,1.0,,,,,1.0,,,,,,6.0,1.0,,,,,,4.0,7.0,8.0,7.0,3.0,,40.0,65.0,,,1.0,6.0,18.0,5.0,8.0,,1.0,4.0,2.0,3.0,,9.0,,54.0,54.0,6.0,38.0,24.0,,,57.0,6.0,6.0,1.0,,2.0,,1.0,151.0,,,,,,,4.0,,,,2.0,,,,,24.0,,9.0,9.0,1.0,2.0,80.0,85.0,46.0,8.0,,4.0,3.0,1.0,328.0,,,6.0,3.0,,40.0,62.0,20.0,,,,,1.0,153.0,153.0,4.0,31.0,20.0,40.2,,,1.0,1.0,18.0,0.0,,,,73.0,2.0,,2.0,,,,4.0,,3.0,53.0,238.0,10.0,7.0,144.0,26.0,38.0,20.0,4.0,9.0,5.0,,92.0,15.0,209.0,2.0,3.0,36.0,7.0,66.0,1.0,344.0,,0.0,10.0,8.0,1.0,35.0,1.0,558.0,23.0,21.0,13.0,4.0,4.0,0.0
918947,6.0,2017-09-23 17:30:00,13,Leicester,Home,103.0,14.0,1.0,5.0,4.0,4.0,1.0,139.0,4.0,1.0,2.0,5.0,,22.0,237.0,,,30.0,30.0,24.0,5.0,2.0,,,,,,,,,,,7.0,,1.0,,,,2.0,6.0,13.0,10.0,9.0,3.0,,43.0,67.0,1.0,2.0,2.0,3.0,12.0,3.0,12.0,,1.0,3.0,14.0,7.0,,8.0,1.0,68.0,61.0,3.0,26.0,11.0,,,72.0,13.0,13.0,2.0,,5.0,3.0,,169.0,1.0,,,1.0,,,8.0,,,1.0,1.0,,,,,11.0,,9.0,9.0,2.0,2.0,81.0,91.0,35.0,6.0,,1.0,7.0,7.0,334.0,,,8.0,4.0,,72.0,66.0,43.0,,,,,1.0,196.0,196.0,5.0,23.0,32.0,43.3,,,,,12.0,0.0,,,,67.0,2.0,1.0,3.0,,1.0,,2.0,,3.0,61.0,224.0,8.0,8.0,121.0,39.0,26.0,16.0,2.0,26.0,24.0,,125.0,22.0,265.0,1.0,1.0,25.0,1.0,64.0,4.0,360.0,,0.0,12.0,15.0,1.0,41.0,3.0,590.0,15.0,19.0,10.0,3.0,14.0,0.0
918953,7.0,2017-09-30 15:00:00,13,Leicester,Away,108.0,20.0,,1.0,1.0,2.0,,114.0,6.0,,4.0,5.0,5.0,27.0,221.0,,,13.0,24.0,27.0,3.0,,,,,,,,,,,,6.0,,,,,,,7.0,10.0,9.0,2.0,6.0,,41.0,82.0,,1.0,,5.0,18.0,3.0,14.0,,,5.0,5.0,5.0,,8.0,2.0,60.0,61.0,5.0,38.0,15.0,,,73.0,10.0,6.0,,,,,,175.0,,,,,,,12.0,,,,1.0,,,,,15.0,,13.0,13.0,,4.0,60.0,91.0,32.0,7.0,,1.0,2.0,1.0,315.0,,,4.0,2.0,,62.0,58.0,27.0,,,,,,172.0,172.0,6.0,34.0,26.0,39.1,,,,1.0,18.0,0.0,,,,71.0,1.0,3.0,4.0,,1.0,,4.0,,3.0,59.0,210.0,6.0,3.0,127.0,35.0,38.0,14.0,5.0,15.0,10.0,,119.0,13.0,235.0,1.0,,38.0,8.0,92.0,3.0,347.0,,0.0,8.0,19.0,,18.0,0.0,540.0,6.0,10.0,10.0,5.0,13.0,0.0
918966,8.0,2017-10-16 20:00:00,13,Leicester,Home,167.0,19.0,,4.0,4.0,1.0,,204.0,,3.0,2.0,2.0,6.0,27.0,367.0,1.0,,25.0,20.0,19.0,7.0,,,,,,,,,,,,7.0,,,,,,1.0,11.0,1.0,4.0,8.0,3.0,,48.0,83.0,1.0,1.0,,2.0,16.0,4.0,7.0,,,4.0,13.0,8.0,,11.0,,55.0,60.0,2.0,18.0,11.0,,,73.0,13.0,6.0,,,5.0,4.0,,175.0,1.0,,1.0,1.0,,,2.0,,,1.0,1.0,,,,,11.0,,6.0,6.0,1.0,3.0,143.0,77.0,40.0,1.0,1.0,3.0,5.0,3.0,478.0,,,1.0,1.0,,77.0,61.0,35.0,,,,,,186.0,186.0,5.0,44.0,30.0,57.0,,,1.0,,16.0,0.0,,,,120.0,,,,,,,4.0,2.0,3.0,75.0,362.0,8.0,8.0,201.0,40.0,18.0,18.0,4.0,29.0,25.0,,129.0,9.0,314.0,1.0,3.0,22.0,6.0,66.0,1.0,486.0,1.0,0.0,11.0,21.0,,35.0,2.0,688.0,22.0,14.0,14.0,4.0,14.0,0.0
918980,9.0,2017-10-21 15:00:00,13,Leicester,Away,156.0,12.0,,4.0,4.0,1.0,1.0,124.0,7.0,,2.0,6.0,2.0,34.0,276.0,1.0,1.0,15.0,18.0,20.0,8.0,,1.0,,,,,,,,,1.0,11.0,,,,,,,7.0,7.0,12.0,5.0,6.0,,54.0,61.0,3.0,2.0,1.0,4.0,17.0,2.0,5.0,,,6.0,8.0,3.0,,6.0,1.0,49.0,62.0,4.0,29.0,16.0,,,62.0,9.0,6.0,1.0,,1.0,1.0,,164.0,1.0,,1.0,1.0,,1.0,13.0,,,1.0,1.0,,,,,16.0,,13.0,13.0,2.0,2.0,83.0,83.0,34.0,7.0,,2.0,7.0,6.0,356.0,,,6.0,1.0,,45.0,38.0,28.0,,,,,,152.0,152.0,,29.0,20.0,44.2,,,,1.0,17.0,0.0,,,,80.0,2.0,1.0,3.0,,1.0,1.0,3.0,,2.0,53.0,261.0,8.0,9.0,178.0,26.0,29.0,24.0,5.0,17.0,12.0,2.0,109.0,8.0,220.0,1.0,,35.0,2.0,86.0,3.0,381.0,1.0,0.0,11.0,23.0,1.0,22.0,1.0,578.0,25.0,6.0,13.0,6.0,16.0,0.0
918988,10.0,2017-10-29 16:00:00,13,Leicester,Home,105.0,8.0,1.0,3.0,2.0,5.0,,112.0,3.0,,2.0,9.0,4.0,33.0,214.0,,,17.0,22.0,20.0,5.0,1.0,1.0,,,,,,,1.0,,,7.0,,,,,,,6.0,7.0,8.0,7.0,2.0,,50.0,68.0,1.0,,1.0,3.0,21.0,1.0,6.0,,,3.0,8.0,,,13.0,1.0,53.0,52.0,3.0,31.0,16.0,,,46.0,6.0,10.0,1.0,,2.0,1.0,,141.0,2.0,,1.0,2.0,,1.0,11.0,,,2.0,,,,,,16.0,,14.0,14.0,,2.0,60.0,81.0,36.0,10.0,1.0,5.0,3.0,3.0,294.0,,,6.0,1.0,,83.0,36.0,15.0,,,,,,159.0,159.0,,34.0,24.0,40.4,,,,3.0,21.0,0.0,,,,73.0,1.0,1.0,2.0,,1.0,1.0,5.0,1.0,3.0,29.0,201.0,15.0,8.0,134.0,25.0,31.0,14.0,3.0,12.0,9.0,2.0,67.0,18.0,202.0,,,31.0,4.0,80.0,4.0,324.0,,0.0,9.0,14.0,,20.0,0.0,529.0,14.0,13.0,8.0,3.0,8.0,0.0
