matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128292,1.0,2020-09-13 14:00:00,13,Leicester,Away,268.0,9.0,,1.0,1.0,1.0,,244.0,3.0,,3.0,,3.0,23.0,511.0,,1.0,31.0,16.0,9.0,4.0,,1.0,1.0,,,1.0,1.0,,,,,,,8.0,2.0,,,,,1.0,7.0,3.0,4.0,11.0,2.0,,112.0,53.0,1.0,1.0,3.0,1.0,12.0,3.0,3.0,,1.0,5.0,5.0,7.0,1.0,4.0,,35.0,46.0,1.0,14.0,6.0,,1.0,,,,,,46.0,43.0,9.0,11.0,2.0,,3.0,1.0,1.0,186.0,1.0,,1.0,1.0,,,6.0,,,1.0,,,,,,6.0,,14.0,14.0,1.0,,3.0,154.0,85.0,57.0,2.0,,1.0,4.0,7.0,584.0,,,3.0,1.0,,83.0,88.0,24.0,,,,2.0,132.0,132.0,2.0,24.0,24.0,64.2,,,,,12.0,0.0,,,,152.0,1.0,,1.0,2.0,1.0,3.0,,,2.0,20.0,72.0,496.0,5.0,5.0,296.0,20.0,14.0,12.0,4.0,17.0,13.0,1.0,98.0,2.0,325.0,,,17.0,4.0,51.0,3.0,604.0,1.0,0.0,13.0,17.0,1.0,31.0,1.0,779.0,26.0,12.0,,9.0,5.0,10.0,0.0
2128301,2.0,2020-09-20 19:00:00,13,Leicester,Home,258.0,25.0,1.0,5.0,4.0,1.0,1.0,273.0,6.0,,2.0,1.0,6.0,25.0,526.0,,,13.0,30.0,18.0,10.0,,3.0,,,,,,,,,,,,11.0,,,,,,,5.0,11.0,5.0,11.0,3.0,,111.0,45.0,,,1.0,1.0,12.0,6.0,7.0,,,15.0,12.0,7.0,1.0,4.0,1.0,59.0,47.0,1.0,13.0,4.0,,,,,,,,21.0,47.0,11.0,12.0,,,2.0,2.0,,186.0,2.0,,1.0,2.0,,,9.0,,,3.0,,,,,,4.0,,11.0,11.0,,,3.0,169.0,64.0,42.0,4.0,2.0,2.0,10.0,6.0,587.0,,,3.0,2.0,,96.0,92.0,41.0,,,,,147.0,147.0,1.0,21.0,17.0,67.8,,,3.0,,12.0,0.0,,,,155.0,3.0,,3.0,,,2.0,2.0,,3.0,13.0,149.0,500.0,3.0,12.0,299.0,43.0,13.0,12.0,7.0,28.0,21.0,,185.0,4.0,350.0,1.0,,13.0,6.0,51.0,,621.0,1.0,0.0,14.0,13.0,,14.0,1.0,796.0,36.0,13.0,,4.0,15.0,6.0,0.0
2128311,3.0,2020-09-27 16:30:00,13,Leicester,Away,118.0,7.0,,1.0,1.0,2.0,,83.0,6.0,,7.0,4.0,1.0,21.0,200.0,,,4.0,10.0,15.0,2.0,,,,,,,,,,,,,,4.0,3.0,,,,,,4.0,6.0,10.0,4.0,3.0,,45.0,46.0,1.0,,4.0,4.0,10.0,,7.0,,,3.0,4.0,2.0,,11.0,2.0,37.0,56.0,4.0,22.0,10.0,,,,,,,,16.0,30.0,8.0,12.0,3.0,,3.0,,,112.0,2.0,,1.0,2.0,,,14.0,,,2.0,,,,,,10.0,,8.0,8.0,,,7.0,59.0,52.0,21.0,3.0,1.0,,4.0,7.0,235.0,,,4.0,2.0,,38.0,31.0,11.0,,,,3.0,109.0,109.0,,27.0,10.0,28.3,,,3.0,1.0,10.0,0.0,,,,51.0,2.0,1.0,3.0,1.0,,,,,3.0,7.0,36.0,184.0,6.0,4.0,142.0,22.0,22.0,7.0,1.0,7.0,6.0,,56.0,5.0,132.0,,,17.0,2.0,56.0,3.0,267.0,,0.0,7.0,23.0,,7.0,3.0,430.0,13.0,16.0,,6.0,4.0,9.0,0.0
2128321,4.0,2020-10-04 12:00:00,13,Leicester,Home,277.0,16.0,,2.0,2.0,1.0,,303.0,4.0,,6.0,,1.0,19.0,578.0,,1.0,20.0,24.0,17.0,1.0,1.0,,,,,,,,,,,,1.0,4.0,,,,,,,5.0,12.0,2.0,3.0,1.0,,87.0,62.0,1.0,1.0,,,23.0,2.0,6.0,,1.0,6.0,9.0,4.0,,8.0,,52.0,43.0,,8.0,6.0,,,,,,,,25.0,85.0,10.0,8.0,,,2.0,2.0,,196.0,,,,,,,4.0,,,,,,,,,6.0,,18.0,18.0,2.0,,7.0,201.0,63.0,38.0,4.0,,1.0,1.0,,667.0,,,3.0,3.0,,64.0,100.0,37.0,,,,,163.0,163.0,2.0,22.0,30.0,69.5,,,,,23.0,0.0,,,,200.0,2.0,1.0,3.0,,,2.0,1.0,,3.0,16.0,135.0,566.0,8.0,2.0,300.0,37.0,8.0,15.0,6.0,21.0,15.0,,190.0,3.0,405.0,,,8.0,2.0,41.0,4.0,684.0,,0.0,4.0,7.0,3.0,25.0,2.0,857.0,21.0,13.0,,11.0,6.0,4.0,0.0
2128330,5.0,2020-10-18 19:15:00,13,Leicester,Home,167.0,15.0,,2.0,2.0,,,148.0,3.0,,6.0,2.0,5.0,20.0,313.0,,,12.0,19.0,21.0,6.0,1.0,,,,,1.0,2.0,,,,,,,7.0,,,,,,2.0,11.0,5.0,5.0,6.0,5.0,,71.0,58.0,,,,3.0,13.0,4.0,14.0,,,2.0,3.0,5.0,,5.0,1.0,63.0,67.0,3.0,24.0,15.0,,,,,,,,26.0,56.0,18.0,18.0,,,3.0,2.0,2.0,167.0,,,,,,,4.0,,,,2.0,,,,1.0,15.0,,18.0,18.0,,,6.0,96.0,64.0,28.0,7.0,,2.0,5.0,5.0,389.0,,,1.0,,,43.0,69.0,29.0,,,,,146.0,146.0,4.0,19.0,25.0,50.5,,,,,13.0,0.0,,,,83.0,2.0,1.0,3.0,,,2.0,,,3.0,6.0,77.0,295.0,4.0,7.0,202.0,35.0,24.0,18.0,1.0,11.0,10.0,,119.0,3.0,226.0,2.0,,22.0,5.0,61.0,2.0,417.0,2.0,0.0,11.0,21.0,,16.0,4.0,611.0,24.0,13.0,,9.0,2.0,11.0,0.0
2128336,6.0,2020-10-25 19:15:00,13,Leicester,Away,196.0,19.0,,1.0,1.0,5.0,,174.0,5.0,,8.0,3.0,4.0,26.0,369.0,,1.0,12.0,11.0,15.0,2.0,,,,,1.0,,1.0,,1.0,,,,1.0,5.0,,,,,,,5.0,9.0,3.0,2.0,4.0,,64.0,53.0,2.0,1.0,1.0,4.0,16.0,1.0,2.0,,,3.0,4.0,,,9.0,,36.0,46.0,4.0,20.0,8.0,,,,,,,,35.0,39.0,9.0,13.0,,,2.0,,1.0,144.0,1.0,,1.0,1.0,,,7.0,,,1.0,2.0,,,,,8.0,,10.0,10.0,1.0,,8.0,117.0,50.0,28.0,9.0,,,3.0,2.0,429.0,,,3.0,1.0,,95.0,35.0,11.0,,,,,118.0,118.0,3.0,23.0,17.0,43.7,,,,,16.0,0.0,,,,128.0,4.0,,4.0,1.0,,3.0,,,3.0,17.0,69.0,352.0,9.0,3.0,222.0,37.0,20.0,13.0,2.0,5.0,4.0,,101.0,9.0,236.0,2.0,,13.0,4.0,51.0,,453.0,,0.0,6.0,11.0,1.0,15.0,5.0,615.0,7.0,11.0,,7.0,3.0,6.0,0.0
2128349,7.0,2020-11-02 20:00:00,13,Leicester,Away,114.0,7.0,3.0,4.0,1.0,3.0,,101.0,8.0,,9.0,9.0,5.0,20.0,211.0,1.0,1.0,10.0,17.0,7.0,4.0,,,,,,,,,,,,,1.0,9.0,1.0,,,,,,3.0,6.0,5.0,9.0,1.0,,43.0,67.0,3.0,1.0,4.0,2.0,13.0,1.0,10.0,,1.0,3.0,6.0,2.0,,9.0,1.0,51.0,45.0,2.0,26.0,16.0,,,,,,,,29.0,31.0,5.0,9.0,2.0,1.0,2.0,1.0,,127.0,2.0,,2.0,2.0,,,12.0,,,3.0,,,,,,16.0,1.0,12.0,12.0,,,9.0,59.0,53.0,20.0,10.0,2.0,1.0,5.0,8.0,278.0,,,2.0,2.0,,39.0,29.0,15.0,,,,1.0,138.0,138.0,7.0,30.0,20.0,32.5,,,,,13.0,0.0,,,,73.0,2.0,1.0,3.0,,,1.0,,,3.0,18.0,47.0,198.0,8.0,6.0,144.0,22.0,26.0,19.0,3.0,12.0,9.0,,77.0,12.0,170.0,,,25.0,5.0,56.0,,302.0,1.0,0.0,10.0,20.0,1.0,14.0,1.0,500.0,24.0,13.0,,9.0,3.0,11.0,0.0
2128361,8.0,2020-11-08 14:00:00,13,Leicester,Home,151.0,12.0,1.0,2.0,1.0,2.0,,257.0,5.0,,2.0,2.0,6.0,20.0,406.0,1.0,,12.0,17.0,10.0,4.0,2.0,2.0,,,,,,,,,,1.0,,5.0,1.0,1.0,,,,1.0,7.0,4.0,4.0,6.0,4.0,,72.0,62.0,,1.0,1.0,2.0,18.0,3.0,6.0,,2.0,6.0,10.0,8.0,,11.0,2.0,51.0,42.0,2.0,19.0,13.0,,1.0,,,,,,29.0,48.0,12.0,7.0,1.0,,5.0,1.0,,143.0,,,,,,,7.0,,,,1.0,,,,1.0,13.0,,5.0,5.0,1.0,,2.0,150.0,68.0,39.0,3.0,,4.0,2.0,3.0,478.0,,,1.0,1.0,,76.0,109.0,26.0,,,,2.0,138.0,138.0,3.0,28.0,28.0,49.6,,,,,18.0,0.0,,,,127.0,1.0,1.0,2.0,,,4.0,,,3.0,13.0,97.0,395.0,11.0,6.0,175.0,25.0,19.0,11.0,5.0,24.0,19.0,,130.0,3.0,341.0,1.0,,13.0,6.0,42.0,,492.0,1.0,0.0,10.0,20.0,2.0,18.0,2.0,661.0,13.0,6.0,,5.0,6.0,10.0,0.0
2128370,9.0,2020-11-22 19:15:00,13,Leicester,Away,212.0,18.0,1.0,3.0,2.0,2.0,1.0,137.0,6.0,,7.0,4.0,1.0,26.0,346.0,1.0,,22.0,13.0,21.0,8.0,1.0,1.0,,,,,,1.0,,,,1.0,,8.0,,,,,,2.0,4.0,20.0,5.0,7.0,4.0,,56.0,56.0,1.0,3.0,,1.0,14.0,2.0,13.0,2.0,,3.0,9.0,4.0,,3.0,4.0,41.0,65.0,1.0,19.0,9.0,,,,,,,,41.0,47.0,6.0,15.0,,,2.0,1.0,,165.0,,,,,,,8.0,,,,,,,,,9.0,,17.0,17.0,1.0,,8.0,110.0,62.0,27.0,10.0,,5.0,4.0,4.0,413.0,,,5.0,1.0,1.0,75.0,39.0,23.0,,,,,137.0,137.0,3.0,27.0,17.0,43.6,,,,,14.0,0.0,,,,110.0,8.0,3.0,9.0,,,5.0,,,2.0,17.0,76.0,325.0,4.0,9.0,240.0,44.0,19.0,21.0,3.0,17.0,14.0,,105.0,7.0,218.0,,,15.0,2.0,59.0,1.0,441.0,3.0,0.0,11.0,14.0,1.0,22.0,2.0,648.0,19.0,16.0,,15.0,3.0,4.0,0.0
2128381,10.0,2020-11-30 17:30:00,13,Leicester,Home,265.0,11.0,,3.0,3.0,,1.0,314.0,3.0,,1.0,1.0,5.0,10.0,576.0,,1.0,19.0,11.0,10.0,7.0,1.0,5.0,,,,,1.0,,,,,,,6.0,,,1.0,1.0,,4.0,5.0,7.0,3.0,8.0,8.0,,73.0,57.0,1.0,2.0,,1.0,13.0,7.0,11.0,,,6.0,12.0,6.0,,13.0,2.0,54.0,57.0,1.0,11.0,8.0,,1.0,,,,,,38.0,73.0,9.0,20.0,,,5.0,3.0,1.0,155.0,1.0,,1.0,1.0,,,3.0,,,1.0,,,,,,8.0,2.0,8.0,8.0,,,1.0,219.0,62.0,45.0,5.0,,3.0,6.0,3.0,643.0,,,2.0,1.0,,101.0,99.0,34.0,1.0,1.0,1.0,,152.0,152.0,3.0,29.0,24.0,68.0,2.0,,,,13.0,0.0,,,,219.0,3.0,,3.0,,,6.0,1.0,,3.0,17.0,102.0,555.0,6.0,10.0,291.0,28.0,11.0,19.0,6.0,27.0,21.0,,150.0,,402.0,,,8.0,5.0,27.0,,666.0,,0.0,16.0,19.0,1.0,21.0,0.0,869.0,23.0,11.0,,8.0,6.0,7.0,0.0
