matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2210275,1,2021-08-14 15:00:00,13,Leicester,Home,329.0,7.0,,2.0,2.0,1.0,,178.0,6.0,1.0,7.0,6.0,4.0,16.0,505.0,,2.0,21.0,12.0,10.0,7.0,,,1.0,,,,,,,,9.0,,,,3.0,12.0,5.0,6.0,3.0,81.0,56.0,,,,2.0,24.0,1.0,21.0,,,5.0,4.0,1.0,,7.0,2.0,59.0,42.0,2.0,15.0,8.0,,2.0,28.0,41.0,6.0,10.0,1.0,,2.0,,,163.0,1.0,,1.0,1.0,,,8.0,1.0,,,8.0,,11.0,11.0,1.0,7.0,178.0,64.0,43.0,4.0,,2.0,6.0,5.0,557.0,7.0,2.0,,58.0,55.0,18.0,,,,,,134.0,134.0,7.0,20.0,21.0,56.3,,,,,24.0,0.0,162.0,2.0,1.0,3.0,2.0,1.0,3.0,,3.0,14.0,64.0,484.0,17.0,8.0,349.0,22.0,15.0,20.0,2.0,7.0,5.0,1.0,105.0,2.0,242.0,,1.0,14.0,4.0,35.0,5.0,584.0,1.0,0.0,9.0,15.0,4.0,26.0,1.0,781.0,14.0,18.0,7.0,5.0,11.0,0.0
2210289,2,2021-08-23 20:00:00,13,Leicester,Away,298.0,10.0,,,,,,129.0,10.0,,2.0,3.0,2.0,16.0,427.0,,,13.0,21.0,10.0,3.0,,,,,,,,,,,5.0,,,,6.0,15.0,4.0,4.0,1.0,81.0,50.0,,,1.0,3.0,10.0,2.0,10.0,,1.0,,2.0,1.0,,8.0,2.0,54.0,36.0,3.0,25.0,13.0,1.0,,26.0,38.0,8.0,8.0,,,,,,155.0,,,,,,,11.0,1.0,,,13.0,,14.0,14.0,,2.0,142.0,63.0,36.0,10.0,1.0,2.0,1.0,1.0,481.0,2.0,2.0,,63.0,45.0,12.0,,,,,,111.0,111.0,1.0,23.0,23.0,48.6,,,,1.0,10.0,0.0,130.0,1.0,2.0,3.0,,,2.0,,3.0,14.0,42.0,405.0,5.0,3.0,324.0,33.0,25.0,12.0,,3.0,3.0,,74.0,1.0,187.0,,,14.0,3.0,45.0,,508.0,1.0,1.0,5.0,13.0,1.0,15.0,1.0,650.0,11.0,8.0,5.0,,7.0,0.0
2210297,3,2021-08-28 15:00:00,13,Leicester,Away,226.0,10.0,1.0,2.0,1.0,1.0,,140.0,7.0,,7.0,2.0,3.0,16.0,364.0,,,19.0,13.0,14.0,2.0,1.0,2.0,1.0,,,,,,,1.0,7.0,,,,4.0,5.0,9.0,7.0,2.0,69.0,57.0,1.0,1.0,1.0,1.0,13.0,1.0,6.0,,,9.0,6.0,3.0,,9.0,1.0,46.0,52.0,1.0,17.0,12.0,,,23.0,51.0,9.0,7.0,1.0,,,1.0,,162.0,2.0,,1.0,2.0,,,9.0,2.0,,,12.0,,9.0,9.0,1.0,7.0,124.0,69.0,36.0,9.0,1.0,2.0,3.0,3.0,451.0,4.0,,,51.0,67.0,33.0,1.0,1.0,1.0,,,153.0,153.0,3.0,20.0,27.0,55.7,,,,1.0,13.0,0.0,116.0,1.0,2.0,3.0,1.0,1.0,5.0,,3.0,9.0,44.0,350.0,5.0,5.0,255.0,36.0,17.0,23.0,9.0,19.0,10.0,1.0,91.0,2.0,235.0,,,16.0,3.0,57.0,2.0,471.0,,0.0,9.0,17.0,,21.0,1.0,645.0,16.0,7.0,14.0,9.0,12.0,0.0
2210307,4,2021-09-11 15:00:00,13,Leicester,Home,223.0,26.0,3.0,5.0,2.0,4.0,,77.0,7.0,,10.0,,2.0,27.0,295.0,,1.0,12.0,8.0,12.0,4.0,1.0,1.0,1.0,,,,,,,,5.0,,1.0,,3.0,21.0,4.0,6.0,,44.0,50.0,1.0,1.0,,2.0,19.0,2.0,5.0,,,5.0,5.0,3.0,,8.0,3.0,31.0,46.0,2.0,21.0,13.0,,1.0,21.0,43.0,4.0,10.0,,,1.0,1.0,,140.0,,,,,,,10.0,,1.0,,13.0,1.0,3.0,3.0,1.0,10.0,91.0,54.0,27.0,8.0,,3.0,2.0,1.0,337.0,10.0,,,26.0,41.0,15.0,,,,,,114.0,114.0,,26.0,13.0,39.5,1.0,,,,19.0,0.0,89.0,6.0,1.0,7.0,,1.0,3.0,1.0,3.0,14.0,33.0,276.0,11.0,5.0,245.0,50.0,21.0,12.0,5.0,14.0,9.0,1.0,66.0,5.0,133.0,1.0,,6.0,2.0,58.0,2.0,364.0,,0.0,6.0,18.0,3.0,12.0,1.0,543.0,17.0,20.0,6.0,5.0,10.0,0.0
2210312,5,2021-09-19 14:00:00,13,Leicester,Away,216.0,19.0,4.0,5.0,1.0,2.0,,260.0,6.0,1.0,2.0,,3.0,18.0,471.0,,,23.0,18.0,11.0,10.0,2.0,2.0,,,,,,,,,11.0,,,1.0,5.0,9.0,3.0,7.0,7.0,81.0,49.0,1.0,,1.0,,17.0,6.0,16.0,,2.0,9.0,8.0,9.0,,15.0,,62.0,47.0,,11.0,6.0,,,33.0,66.0,10.0,7.0,1.0,,1.0,,,147.0,1.0,,1.0,1.0,,,6.0,1.0,,1.0,6.0,,10.0,10.0,1.0,2.0,165.0,47.0,38.0,4.0,,4.0,9.0,3.0,527.0,2.0,1.0,,94.0,62.0,36.0,1.0,1.0,1.0,,,137.0,137.0,1.0,18.0,27.0,62.9,,,,,17.0,0.0,156.0,2.0,1.0,3.0,1.0,,5.0,,3.0,13.0,121.0,452.0,8.0,13.0,240.0,31.0,11.0,16.0,8.0,25.0,17.0,,161.0,3.0,334.0,,1.0,6.0,3.0,35.0,2.0,549.0,2.0,0.0,14.0,17.0,1.0,26.0,1.0,742.0,34.0,14.0,12.0,9.0,9.0,0.0
2210327,6,2021-09-25 15:00:00,13,Leicester,Home,241.0,24.0,,3.0,3.0,,,244.0,5.0,1.0,8.0,5.0,4.0,32.0,482.0,1.0,2.0,26.0,18.0,20.0,15.0,,3.0,,,,,,1.0,,,19.0,,,,5.0,5.0,5.0,14.0,8.0,71.0,64.0,2.0,1.0,1.0,1.0,13.0,11.0,6.0,,,8.0,14.0,4.0,,10.0,1.0,47.0,55.0,1.0,13.0,11.0,,,23.0,45.0,10.0,8.0,2.0,,1.0,1.0,,192.0,2.0,,2.0,2.0,,,7.0,2.0,,,11.0,,7.0,7.0,4.0,8.0,168.0,66.0,46.0,4.0,,5.0,12.0,5.0,552.0,1.0,7.0,1.0,86.0,77.0,43.0,,,,,,150.0,150.0,4.0,30.0,21.0,67.1,,,1.0,,13.0,0.0,145.0,1.0,1.0,2.0,1.0,,6.0,1.0,3.0,11.0,139.0,462.0,5.0,17.0,281.0,45.0,13.0,13.0,6.0,25.0,19.0,,175.0,7.0,320.0,1.0,1.0,18.0,6.0,61.0,1.0,576.0,2.0,0.0,22.0,17.0,3.0,27.0,2.0,775.0,50.0,12.0,10.0,8.0,14.0,0.0
2210334,7,2021-10-03 14:00:00,13,Leicester,Away,166.0,19.0,,1.0,1.0,3.0,1.0,97.0,7.0,,,2.0,3.0,27.0,262.0,,,12.0,19.0,15.0,3.0,1.0,1.0,,,,,,,,1.0,7.0,,,1.0,9.0,14.0,4.0,6.0,3.0,66.0,76.0,1.0,,2.0,2.0,17.0,2.0,14.0,,,3.0,3.0,1.0,,13.0,,60.0,70.0,2.0,27.0,12.0,,,35.0,48.0,11.0,15.0,2.0,,3.0,2.0,,166.0,1.0,,1.0,1.0,,,11.0,2.0,1.0,,12.0,,13.0,13.0,1.0,,84.0,81.0,39.0,1.0,,2.0,3.0,5.0,349.0,4.0,1.0,,39.0,54.0,12.0,,,,,,169.0,169.0,6.0,34.0,32.0,40.0,,2.0,,,17.0,0.0,66.0,2.0,,2.0,,,2.0,,3.0,16.0,29.0,240.0,6.0,5.0,207.0,49.0,27.0,13.0,3.0,9.0,6.0,,73.0,10.0,184.0,1.0,,15.0,4.0,73.0,1.0,382.0,,0.0,9.0,30.0,,14.0,3.0,586.0,13.0,21.0,10.0,3.0,12.0,0.0
2210345,8,2021-10-16 15:00:00,13,Leicester,Home,249.0,20.0,,1.0,1.0,,,177.0,10.0,1.0,6.0,2.0,4.0,29.0,425.0,,1.0,10.0,8.0,11.0,8.0,,4.0,1.0,,,,1.0,,,,15.0,,,2.0,1.0,6.0,12.0,13.0,9.0,62.0,58.0,2.0,1.0,2.0,2.0,17.0,5.0,6.0,,,4.0,3.0,2.0,1.0,3.0,1.0,33.0,46.0,2.0,7.0,4.0,,,22.0,47.0,5.0,17.0,1.0,,3.0,1.0,1.0,153.0,3.0,,2.0,3.0,,,11.0,2.0,,,4.0,1.0,9.0,9.0,,6.0,140.0,69.0,43.0,3.0,1.0,2.0,9.0,11.0,463.0,3.0,,,47.0,48.0,24.0,,,,,,118.0,118.0,6.0,21.0,22.0,48.8,,,3.0,,17.0,0.0,144.0,1.0,3.0,4.0,,1.0,6.0,,3.0,16.0,65.0,397.0,9.0,11.0,266.0,36.0,7.0,17.0,3.0,9.0,6.0,1.0,101.0,2.0,242.0,,1.0,15.0,4.0,59.0,2.0,499.0,2.0,0.0,22.0,12.0,5.0,12.0,0.0,674.0,34.0,18.0,6.0,4.0,7.0,0.0
2210352,9,2021-10-24 14:00:00,13,Leicester,Away,160.0,19.0,,2.0,2.0,1.0,,128.0,8.0,,4.0,3.0,3.0,22.0,286.0,,2.0,16.0,21.0,21.0,7.0,,,2.0,,,,,,,,9.0,,,1.0,6.0,10.0,5.0,4.0,6.0,53.0,66.0,1.0,,1.0,2.0,14.0,1.0,4.0,,,2.0,1.0,3.0,,13.0,4.0,52.0,56.0,2.0,41.0,26.0,,,29.0,43.0,7.0,13.0,1.0,,1.0,,,148.0,1.0,,1.0,1.0,,1.0,12.0,1.0,,,26.0,,9.0,9.0,1.0,4.0,102.0,71.0,29.0,9.0,1.0,3.0,5.0,6.0,351.0,3.0,,,23.0,54.0,12.0,,,,,,143.0,143.0,3.0,37.0,17.0,45.6,,,,,14.0,0.0,84.0,3.0,1.0,4.0,1.0,2.0,3.0,,3.0,13.0,45.0,265.0,7.0,8.0,197.0,44.0,41.0,11.0,1.0,5.0,4.0,3.0,73.0,2.0,195.0,1.0,,19.0,3.0,69.0,1.0,387.0,,0.0,10.0,18.0,4.0,19.0,1.0,587.0,12.0,15.0,4.0,2.0,9.0,0.0
2210363,10,2021-10-30 12:30:00,13,Leicester,Home,276.0,13.0,1.0,5.0,4.0,2.0,,270.0,6.0,,6.0,1.0,6.0,31.0,541.0,1.0,,23.0,10.0,15.0,9.0,1.0,1.0,,,,1.0,2.0,,,,11.0,,,2.0,5.0,7.0,2.0,8.0,8.0,88.0,53.0,3.0,4.0,,1.0,16.0,3.0,10.0,,,7.0,10.0,5.0,,1.0,2.0,34.0,41.0,1.0,15.0,10.0,,1.0,34.0,71.0,8.0,11.0,,1.0,3.0,,2.0,186.0,,,,,,,6.0,,,,10.0,3.0,7.0,7.0,1.0,6.0,178.0,66.0,45.0,6.0,,4.0,6.0,8.0,601.0,3.0,,,76.0,97.0,33.0,,,,,,130.0,130.0,3.0,25.0,18.0,64.3,,,,,16.0,0.0,169.0,2.0,1.0,4.0,,,5.0,1.0,3.0,13.0,117.0,525.0,6.0,10.0,298.0,31.0,15.0,10.0,7.0,22.0,15.0,,157.0,4.0,345.0,,,10.0,6.0,57.0,2.0,621.0,2.0,0.0,16.0,11.0,3.0,24.0,2.0,797.0,25.0,22.0,4.0,7.0,6.0,0.0
