matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059706,1,2019-08-11 14:00:00,13,Leicester,Home,287.0,20.0,3.0,7.0,4.0,,2.0,284.0,7.0,,2.0,2.0,6.0,18.0,564.0,,,20.0,22.0,24.0,9.0,1.0,2.0,,,,,,,,,,11.0,,,,,,3.0,2.0,5.0,3.0,3.0,13.0,95.0,65.0,1.0,1.0,,1.0,24.0,5.0,12.0,,,12.0,11.0,4.0,,7.0,2.0,55.0,71.0,1.0,12.0,6.0,,,,,,,65.0,3.0,11.0,,4.0,3.0,,184.0,,,,,,,7.0,,,,6.0,,7.0,7.0,,2.0,190.0,74.0,56.0,3.0,,7.0,3.0,1.0,645.0,1.0,5.0,,101.0,93.0,38.0,,,,,,164.0,164.0,6.0,20.0,37.0,70.0,,,,,24.0,0.0,196.0,1.0,1.0,2.0,,,,10.0,,2.0,115.0,545.0,9.0,11.0,307.0,39.0,12.0,28.0,11.0,29.0,18.0,,171.0,,387.0,,,10.0,7.0,39.0,,665.0,1.0,0.0,16.0,20.0,1.0,24.0,0.0,871.0,29.0,13.0,16.0,12.0,13.0,0.0
1059715,2,2019-08-18 16:30:00,13,Leicester,Away,218.0,21.0,2.0,2.0,,1.0,,136.0,6.0,,5.0,1.0,9.0,28.0,352.0,,,18.0,23.0,13.0,6.0,,4.0,,,,,,,,,,8.0,,,,,,,10.0,9.0,5.0,6.0,6.0,74.0,75.0,1.0,2.0,1.0,2.0,31.0,2.0,10.0,,,5.0,7.0,3.0,,15.0,1.0,72.0,64.0,2.0,20.0,8.0,1.0,,,,,,50.0,14.0,9.0,,4.0,3.0,,167.0,1.0,1.0,1.0,,1.0,,9.0,,,,8.0,,15.0,15.0,1.0,5.0,110.0,59.0,30.0,4.0,1.0,3.0,4.0,3.0,432.0,2.0,1.0,,36.0,72.0,29.0,,,,,,168.0,168.0,4.0,25.0,40.0,49.8,,,1.0,1.0,31.0,0.0,104.0,4.0,,4.0,,1.0,,7.0,,2.0,62.0,335.0,16.0,7.0,248.0,44.0,20.0,23.0,3.0,16.0,13.0,,109.0,2.0,223.0,,,17.0,9.0,61.0,3.0,455.0,1.0,0.0,12.0,29.0,5.0,21.0,0.0,690.0,21.0,19.0,13.0,5.0,16.0,0.0
1059728,3,2019-08-24 15:00:00,13,Leicester,Away,211.0,21.0,2.0,6.0,4.0,1.0,,153.0,9.0,,5.0,2.0,8.0,22.0,358.0,,1.0,29.0,25.0,21.0,6.0,,1.0,,,1.0,,2.0,,,,,7.0,,,,,,,4.0,4.0,3.0,5.0,5.0,52.0,48.0,1.0,,1.0,3.0,15.0,4.0,11.0,,,4.0,6.0,4.0,,10.0,,58.0,54.0,3.0,38.0,16.0,,,,,,,39.0,6.0,11.0,1.0,2.0,,2.0,141.0,2.0,,1.0,1.0,1.0,,12.0,1.0,1.0,,16.0,,11.0,11.0,,5.0,126.0,63.0,29.0,7.0,,3.0,5.0,2.0,425.0,2.0,3.0,,48.0,63.0,23.0,,,,,,144.0,144.0,2.0,23.0,15.0,50.9,,,,,15.0,0.0,133.0,1.0,,1.0,,1.0,,4.0,,3.0,73.0,339.0,11.0,8.0,241.0,42.0,38.0,15.0,4.0,14.0,10.0,,109.0,3.0,225.0,1.0,,12.0,8.0,53.0,5.0,452.0,,0.0,10.0,13.0,2.0,33.0,0.0,668.0,19.0,14.0,9.0,4.0,7.0,0.0
1059737,4,2019-08-31 15:00:00,13,Leicester,Home,255.0,12.0,,1.0,1.0,3.0,,181.0,3.0,,3.0,6.0,9.0,24.0,435.0,,1.0,23.0,21.0,15.0,11.0,,2.0,4.0,,,,,,,,,13.0,,,,,,,7.0,3.0,5.0,7.0,8.0,90.0,66.0,3.0,1.0,2.0,3.0,26.0,4.0,15.0,,1.0,4.0,7.0,6.0,,6.0,1.0,59.0,55.0,3.0,25.0,13.0,,1.0,,,,,54.0,9.0,10.0,2.0,1.0,,,183.0,3.0,,3.0,3.0,,1.0,6.0,3.0,,,13.0,,14.0,14.0,,3.0,143.0,85.0,49.0,5.0,1.0,5.0,9.0,6.0,518.0,4.0,1.0,,65.0,81.0,19.0,,,,,,156.0,156.0,5.0,35.0,22.0,55.0,,,,,26.0,0.0,125.0,,1.0,1.0,,,4.0,5.0,,3.0,93.0,419.0,15.0,14.0,286.0,43.0,25.0,16.0,1.0,14.0,13.0,5.0,137.0,5.0,269.0,,,23.0,12.0,60.0,2.0,541.0,,0.0,15.0,22.0,2.0,28.0,1.0,751.0,30.0,15.0,8.0,4.0,13.0,0.0
1059746,5,2019-09-14 15:00:00,13,Leicester,Away,195.0,23.0,,1.0,1.0,1.0,,179.0,6.0,1.0,2.0,3.0,5.0,37.0,373.0,,,22.0,11.0,16.0,4.0,,1.0,,,1.0,,1.0,,,,,6.0,,,,,,1.0,11.0,4.0,6.0,3.0,6.0,76.0,59.0,2.0,2.0,,1.0,19.0,2.0,13.0,,,9.0,13.0,5.0,,8.0,2.0,57.0,72.0,1.0,11.0,5.0,,,,,,,47.0,14.0,14.0,,2.0,,1.0,158.0,,,,,,,7.0,,,,5.0,,10.0,10.0,,2.0,113.0,68.0,35.0,3.0,,2.0,2.0,3.0,443.0,,2.0,,84.0,62.0,30.0,1.0,1.0,1.0,,,161.0,161.0,2.0,24.0,28.0,58.3,,,,,19.0,0.0,124.0,2.0,2.0,4.0,,,,4.0,,2.0,86.0,349.0,12.0,5.0,232.0,45.0,11.0,23.0,6.0,24.0,18.0,,123.0,3.0,263.0,,1.0,18.0,6.0,72.0,2.0,471.0,,0.0,9.0,30.0,2.0,26.0,2.0,686.0,26.0,13.0,12.0,9.0,17.0,0.0
1059757,6,2019-09-21 12:30:00,13,Leicester,Home,139.0,26.0,2.0,1.0,,2.0,,148.0,8.0,,9.0,1.0,1.0,32.0,286.0,,1.0,12.0,15.0,12.0,10.0,,1.0,,,,,,,,,,15.0,,,,,,,13.0,9.0,2.0,10.0,6.0,58.0,72.0,,,1.0,,19.0,3.0,7.0,,1.0,8.0,9.0,4.0,1.0,12.0,2.0,56.0,59.0,,24.0,12.0,,,,,,,57.0,16.0,13.0,,,,,159.0,1.0,,,1.0,,,9.0,2.0,2.0,,12.0,,12.0,12.0,2.0,9.0,88.0,65.0,36.0,2.0,1.0,4.0,7.0,7.0,348.0,1.0,2.0,,71.0,45.0,25.0,,,,,,155.0,155.0,3.0,32.0,25.0,44.2,,,3.0,,19.0,0.0,75.0,2.0,1.0,3.0,,,,6.0,1.0,3.0,87.0,260.0,12.0,11.0,175.0,54.0,24.0,17.0,7.0,19.0,13.0,,127.0,4.0,224.0,2.0,,17.0,1.0,67.0,3.0,380.0,,0.0,16.0,23.0,3.0,15.0,1.0,599.0,28.0,17.0,11.0,8.0,14.0,0.0
1059767,7,2019-09-29 16:30:00,13,Leicester,Home,279.0,24.0,,5.0,5.0,2.0,,371.0,6.0,,3.0,5.0,7.0,31.0,645.0,,1.0,21.0,13.0,9.0,8.0,,2.0,1.0,,,,,,,,,11.0,,,,,,,5.0,1.0,2.0,9.0,4.0,108.0,59.0,2.0,2.0,1.0,1.0,20.0,3.0,9.0,,,9.0,13.0,7.0,1.0,7.0,,49.0,47.0,1.0,8.0,5.0,,,,,,,76.0,12.0,9.0,2.0,2.0,2.0,,178.0,3.0,,3.0,2.0,1.0,1.0,6.0,3.0,1.0,1.0,5.0,,15.0,15.0,,3.0,232.0,76.0,61.0,,1.0,5.0,6.0,5.0,705.0,,3.0,,124.0,112.0,39.0,,,,,,141.0,141.0,4.0,25.0,26.0,68.9,,,,,20.0,0.0,206.0,,,,,1.0,1.0,5.0,,3.0,188.0,627.0,12.0,11.0,300.0,45.0,8.0,16.0,6.0,28.0,22.0,2.0,230.0,5.0,452.0,1.0,,11.0,7.0,48.0,,724.0,,0.0,13.0,24.0,1.0,23.0,1.0,918.0,28.0,17.0,6.0,9.0,13.0,0.0
1059775,8,2019-10-05 15:00:00,13,Leicester,Away,208.0,31.0,1.0,1.0,,,,148.0,5.0,2.0,6.0,2.0,8.0,28.0,355.0,,1.0,15.0,11.0,17.0,,,,,,,,,,,,1.0,2.0,,,,,,,9.0,14.0,4.0,1.0,1.0,80.0,81.0,1.0,1.0,,2.0,8.0,,16.0,,,6.0,9.0,5.0,,7.0,3.0,63.0,54.0,2.0,27.0,13.0,,,0.407308,0.098575,0.020031,3.36623,54.0,17.0,8.0,,1.0,,,190.0,1.0,,1.0,1.0,,,9.0,1.0,1.0,,13.0,,19.0,19.0,2.0,6.0,104.0,80.0,31.0,4.0,1.0,,1.0,1.0,450.0,4.0,5.0,,59.0,67.0,27.0,1.0,1.0,1.0,,,181.0,181.0,5.0,42.0,21.0,49.3,,,,,19.0,0.0,104.0,5.0,1.0,6.0,,,,1.0,,3.0,79.0,336.0,8.0,2.0,240.0,62.0,27.0,25.0,5.0,19.0,14.0,,133.0,6.0,257.0,1.0,2.0,17.0,9.0,66.0,2.0,478.0,,0.0,2.0,16.0,4.0,18.0,4.0,681.0,15.0,11.0,13.0,6.0,10.0,0.0
1059787,9,2019-10-19 15:00:00,13,Leicester,Home,248.0,15.0,1.0,6.0,5.0,1.0,,224.0,5.0,,8.0,3.0,12.0,22.0,466.0,1.0,,25.0,24.0,23.0,12.0,1.0,4.0,,,,,1.0,,,,,14.0,,,,,,,3.0,8.0,5.0,10.0,9.0,84.0,42.0,,,,3.0,17.0,7.0,5.0,,1.0,9.0,9.0,7.0,,6.0,,48.0,61.0,3.0,20.0,9.0,,,,,,,44.0,4.0,10.0,1.0,2.0,,1.0,152.0,2.0,,1.0,2.0,,,6.0,2.0,1.0,,9.0,,11.0,11.0,,8.0,176.0,57.0,38.0,4.0,1.0,8.0,7.0,3.0,532.0,6.0,1.0,,85.0,65.0,27.0,,,,,,133.0,133.0,2.0,18.0,13.0,64.5,,,3.0,,17.0,0.0,144.0,3.0,,3.0,,,,9.0,,3.0,130.0,448.0,5.0,15.0,286.0,32.0,20.0,16.0,6.0,22.0,16.0,,164.0,5.0,292.0,1.0,,14.0,12.0,45.0,2.0,556.0,2.0,0.0,19.0,22.0,1.0,25.0,0.0,770.0,28.0,9.0,7.0,9.0,13.0,0.0
1059799,10,2019-10-25 20:00:00,13,Leicester,Away,248.0,18.0,1.0,6.0,5.0,1.0,,369.0,7.0,,6.0,1.0,9.0,29.0,611.0,1.0,1.0,25.0,10.0,10.0,12.0,,2.0,1.0,1.0,,,1.0,,,,,21.0,1.0,,,,,,10.0,3.0,3.0,16.0,9.0,109.0,77.0,5.0,2.0,6.0,1.0,27.0,5.0,19.0,,,7.0,10.0,13.0,1.0,6.0,3.0,60.0,63.0,1.0,8.0,6.0,,,,,,,82.0,12.0,3.0,3.0,2.0,,1.0,220.0,4.0,,4.0,4.0,,,7.0,7.0,1.0,1.0,6.0,,5.0,5.0,1.0,6.0,199.0,74.0,54.0,2.0,5.0,4.0,12.0,15.0,694.0,1.0,3.0,,115.0,122.0,30.0,,,,,1.0,154.0,154.0,5.0,25.0,40.0,72.6,,,,,27.0,0.0,181.0,2.0,1.0,3.0,,1.0,1.0,5.0,,2.0,199.0,597.0,9.0,16.0,286.0,34.0,8.0,38.0,3.0,26.0,23.0,1.0,233.0,3.0,449.0,1.0,,10.0,11.0,48.0,,709.0,2.0,0.0,25.0,26.0,3.0,25.0,0.0,925.0,43.0,13.0,24.0,7.0,15.0,0.0
