matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803167,1,2015-08-08 15:00:00,13,Leicester,Home,114.0,17.0,4.0,9.0,5.0,6.0,2.0,145.0,1.0,,4.0,4.0,2.0,26.0,250.0,2.0,1.0,13.0,25.0,16.0,13.0,3.0,1.0,,,,,1.0,15.0,1.0,,,,1.0,,2.0,9.0,7.0,4.0,49.0,57.0,3.0,3.0,1.0,1.0,16.0,4.0,5.0,,1.0,6.0,9.0,3.0,,12.0,3.0,60.0,57.0,1.0,19.0,12.0,,1.0,75.0,13.0,16.0,1.0,,8.0,6.0,,154.0,2.0,1.0,2.0,1.0,1.0,,6.0,2.0,1.0,1.0,12.0,1.0,18.0,18.0,3.0,4.0,68.0,83.0,35.0,3.0,3.0,8.0,10.0,8.0,316.0,2.0,3.0,61.0,59.0,28.0,,,,1.0,145.0,143.0,4.0,18.0,25.0,44.0,1.0,,16.0,0.0,71.0,3.0,,3.0,,,1.0,8.0,1.0,3.0,67.0,236.0,10.0,18.0,128.0,30.0,21.0,13.0,5.0,23.0,18.0,1.0,113.0,12.0,237.0,1.0,,25.0,2.0,69.0,,342.0,2.0,0.0,20.0,19.0,1.0,21.0,2.0,544.0,7.0,6.0,6.0,15.0,0.0
803176,2,2015-08-15 15:00:00,13,Leicester,Away,65.0,15.0,4.0,7.0,3.0,6.0,,99.0,3.0,1.0,1.0,9.0,3.0,28.0,157.0,1.0,,10.0,25.0,20.0,5.0,1.0,1.0,1.0,,1.0,,,7.0,,,,,,,,5.0,7.0,3.0,33.0,57.0,2.0,2.0,1.0,9.0,9.0,2.0,9.0,,,4.0,8.0,1.0,,11.0,1.0,61.0,62.0,9.0,27.0,13.0,,,77.0,12.0,11.0,1.0,,3.0,3.0,1.0,115.0,1.0,,1.0,1.0,,,13.0,2.0,1.0,,19.0,,16.0,16.0,1.0,1.0,53.0,71.0,27.0,8.0,1.0,2.0,5.0,5.0,212.0,3.0,4.0,35.0,45.0,25.0,,,,,134.0,125.0,4.0,27.0,17.0,30.2,,,9.0,0.0,41.0,2.0,,2.0,,,1.0,3.0,,3.0,58.0,148.0,7.0,7.0,80.0,26.0,36.0,10.0,4.0,16.0,12.0,1.0,108.0,15.0,178.0,1.0,2.0,28.0,4.0,74.0,1.0,242.0,2.0,0.0,10.0,25.0,,15.0,3.0,435.0,6.0,6.0,4.0,20.0,0.0
803191,3,2015-08-22 15:00:00,13,Leicester,Home,61.0,15.0,,2.0,2.0,5.0,,121.0,1.0,,2.0,5.0,6.0,25.0,180.0,,,12.0,25.0,16.0,8.0,,,,,1.0,,,7.0,,,,,,1.0,1.0,4.0,12.0,7.0,44.0,53.0,1.0,1.0,,6.0,7.0,6.0,11.0,,1.0,2.0,11.0,4.0,,6.0,1.0,53.0,60.0,6.0,12.0,7.0,,1.0,61.0,7.0,14.0,,,6.0,5.0,1.0,117.0,1.0,,,1.0,,,13.0,1.0,,,8.0,1.0,21.0,21.0,1.0,2.0,52.0,63.0,23.0,7.0,1.0,3.0,6.0,2.0,235.0,4.0,3.0,50.0,53.0,28.0,,,,,141.0,138.0,4.0,24.0,16.0,34.8,1.0,,7.0,0.0,52.0,2.0,3.0,5.0,,1.0,,5.0,,3.0,72.0,171.0,4.0,9.0,84.0,31.0,15.0,16.0,2.0,22.0,20.0,,106.0,9.0,203.0,,,22.0,6.0,68.0,1.0,265.0,,0.0,13.0,19.0,,21.0,1.0,454.0,9.0,11.0,2.0,12.0,0.0
803195,4,2015-08-29 15:00:00,13,Leicester,Away,102.0,12.0,,,,1.0,,121.0,,1.0,,10.0,9.0,28.0,223.0,1.0,,22.0,26.0,21.0,3.0,,,,,,,,3.0,1.0,,,,,,,9.0,2.0,3.0,50.0,60.0,,,1.0,4.0,26.0,,6.0,,2.0,4.0,9.0,6.0,,6.0,,66.0,72.0,4.0,12.0,7.0,,,70.0,19.0,9.0,1.0,,4.0,2.0,,149.0,,,,,,,8.0,,1.0,1.0,10.0,,29.0,29.0,2.0,,70.0,75.0,25.0,4.0,,2.0,1.0,2.0,314.0,3.0,2.0,52.0,81.0,26.0,,,,1.0,175.0,170.0,2.0,32.0,21.0,43.9,,,26.0,0.0,67.0,,1.0,1.0,,,,2.0,,3.0,70.0,215.0,15.0,3.0,124.0,31.0,17.0,22.0,4.0,21.0,17.0,,123.0,12.0,233.0,1.0,2.0,36.0,9.0,77.0,1.0,336.0,1.0,0.0,4.0,30.0,1.0,30.0,4.0,550.0,9.0,12.0,4.0,22.0,0.0
803202,5,2015-09-13 16:00:00,13,Leicester,Home,119.0,22.0,1.0,4.0,3.0,4.0,1.0,183.0,3.0,,2.0,3.0,6.0,25.0,298.0,,2.0,28.0,28.0,18.0,12.0,2.0,,,,1.0,,,18.0,,,,,,,1.0,3.0,5.0,6.0,50.0,85.0,1.0,,1.0,1.0,24.0,6.0,9.0,,1.0,4.0,7.0,2.0,1.0,18.0,,74.0,88.0,1.0,11.0,6.0,,,72.0,8.0,13.0,1.0,,6.0,4.0,1.0,153.0,3.0,1.0,3.0,2.0,1.0,,5.0,2.0,,,8.0,,16.0,16.0,1.0,2.0,104.0,79.0,34.0,5.0,,5.0,12.0,6.0,369.0,4.0,4.0,49.0,80.0,26.0,,,,,160.0,156.0,10.0,19.0,50.0,48.7,,,24.0,0.0,81.0,2.0,,2.0,,,,9.0,,3.0,95.0,283.0,14.0,17.0,132.0,36.0,15.0,36.0,4.0,17.0,13.0,,142.0,9.0,273.0,,,27.0,6.0,62.0,1.0,388.0,,0.0,21.0,32.0,2.0,35.0,2.0,646.0,12.0,25.0,4.0,26.0,0.0
803215,6,2015-09-19 15:00:00,13,Leicester,Away,95.0,12.0,2.0,3.0,1.0,4.0,,173.0,2.0,,4.0,9.0,1.0,24.0,265.0,,2.0,12.0,34.0,28.0,8.0,1.0,,,,,,,9.0,1.0,,,,,,,6.0,5.0,6.0,56.0,73.0,,,1.0,3.0,20.0,1.0,15.0,,,4.0,5.0,7.0,,19.0,2.0,92.0,59.0,3.0,28.0,16.0,1.0,1.0,93.0,12.0,6.0,1.0,,1.0,,,168.0,1.0,,1.0,1.0,,,10.0,1.0,2.0,,17.0,,28.0,28.0,1.0,4.0,76.0,87.0,39.0,4.0,1.0,5.0,5.0,5.0,344.0,2.0,2.0,43.0,62.0,26.0,,,,1.0,183.0,178.0,5.0,25.0,33.0,45.9,,,20.0,0.0,71.0,,2.0,2.0,,,,6.0,,3.0,79.0,251.0,10.0,10.0,115.0,30.0,33.0,24.0,4.0,16.0,12.0,,134.0,10.0,272.0,2.0,,25.0,2.0,64.0,1.0,371.0,,0.0,12.0,15.0,2.0,22.0,4.0,597.0,14.0,11.0,4.0,13.0,0.0
803222,7,2015-09-26 15:00:00,13,Leicester,Home,86.0,19.0,1.0,5.0,4.0,3.0,,199.0,3.0,2.0,5.0,5.0,17.0,22.0,280.0,,,13.0,23.0,12.0,11.0,1.0,1.0,,,,,1.0,13.0,,,,1.0,,1.0,,2.0,23.0,4.0,60.0,63.0,2.0,2.0,,1.0,17.0,3.0,16.0,1.0,,6.0,10.0,15.0,,13.0,3.0,70.0,59.0,1.0,16.0,12.0,,,87.0,9.0,10.0,2.0,,3.0,3.0,,144.0,2.0,,1.0,2.0,,1.0,7.0,2.0,,,16.0,2.0,18.0,18.0,4.0,5.0,84.0,73.0,34.0,5.0,,6.0,8.0,7.0,331.0,13.0,2.0,76.0,61.0,43.0,,,,,152.0,148.0,7.0,28.0,16.0,42.0,2.0,,17.0,0.0,72.0,7.0,,6.0,,,1.0,6.0,,3.0,103.0,262.0,11.0,14.0,95.0,32.0,20.0,24.0,5.0,33.0,28.0,2.0,152.0,8.0,298.0,,3.0,31.0,17.0,66.0,,360.0,,0.0,16.0,21.0,,18.0,1.0,590.0,11.0,15.0,6.0,16.0,0.0
803232,8,2015-10-03 15:00:00,13,Leicester,Away,61.0,11.0,2.0,5.0,3.0,3.0,,97.0,2.0,,2.0,7.0,6.0,16.0,153.0,,1.0,5.0,29.0,21.0,11.0,1.0,2.0,,,,,,12.0,1.0,,,,,,,1.0,11.0,6.0,25.0,59.0,3.0,3.0,2.0,8.0,22.0,3.0,14.0,,,8.0,9.0,3.0,,5.0,,61.0,66.0,8.0,26.0,15.0,,1.0,70.0,4.0,4.0,1.0,,2.0,1.0,,135.0,1.0,,1.0,1.0,,1.0,8.0,1.0,3.0,,20.0,,23.0,23.0,2.0,2.0,47.0,67.0,22.0,17.0,1.0,8.0,5.0,5.0,236.0,6.0,2.0,37.0,38.0,31.0,,,,1.0,172.0,158.0,1.0,33.0,17.0,33.8,,3.0,22.0,0.0,47.0,1.0,,1.0,,,2.0,8.0,,3.0,43.0,149.0,16.0,14.0,85.0,26.0,40.0,19.0,8.0,21.0,13.0,3.0,92.0,8.0,190.0,3.0,,30.0,6.0,63.0,1.0,254.0,,0.0,16.0,31.0,1.0,20.0,1.0,491.0,9.0,10.0,8.0,20.0,0.0
803245,9,2015-10-17 15:00:00,13,Leicester,Away,81.0,21.0,2.0,10.0,8.0,5.0,1.0,174.0,2.0,,1.0,4.0,7.0,28.0,245.0,1.0,1.0,17.0,29.0,21.0,11.0,2.0,,,,1.0,,1.0,18.0,,,,,,,3.0,3.0,10.0,4.0,42.0,67.0,5.0,3.0,2.0,4.0,28.0,8.0,11.0,1.0,,7.0,13.0,7.0,,10.0,3.0,61.0,65.0,4.0,9.0,7.0,,,77.0,10.0,16.0,2.0,,6.0,6.0,1.0,145.0,2.0,,2.0,2.0,,,8.0,2.0,1.0,1.0,11.0,,29.0,29.0,,1.0,78.0,74.0,38.0,6.0,,4.0,11.0,7.0,317.0,3.0,2.0,74.0,55.0,51.0,,,,,163.0,157.0,7.0,21.0,34.0,49.4,,,28.0,0.0,77.0,2.0,2.0,3.0,,,,12.0,,2.0,83.0,232.0,15.0,15.0,95.0,42.0,15.0,15.0,7.0,33.0,26.0,,145.0,13.0,280.0,1.0,2.0,25.0,7.0,72.0,,342.0,1.0,0.0,27.0,19.0,1.0,25.0,0.0,580.0,12.0,10.0,7.0,15.0,0.0
803253,10,2015-10-24 15:00:00,13,Leicester,Home,185.0,14.0,,2.0,2.0,4.0,1.0,144.0,1.0,1.0,,6.0,8.0,23.0,327.0,,1.0,13.0,27.0,20.0,5.0,,,,,1.0,,,9.0,,,,,1.0,,2.0,6.0,3.0,6.0,63.0,71.0,1.0,,1.0,4.0,13.0,4.0,9.0,,,3.0,7.0,3.0,,8.0,2.0,57.0,61.0,4.0,30.0,11.0,,,76.0,7.0,9.0,1.0,,3.0,3.0,1.0,153.0,1.0,,1.0,1.0,,,4.0,1.0,,,12.0,1.0,22.0,22.0,2.0,,111.0,88.0,45.0,2.0,,3.0,3.0,3.0,407.0,2.0,3.0,55.0,52.0,26.0,,,,,160.0,152.0,1.0,37.0,27.0,47.7,1.0,,13.0,0.0,99.0,1.0,3.0,4.0,,,,5.0,,2.0,59.0,318.0,10.0,6.0,210.0,38.0,38.0,19.0,1.0,14.0,13.0,,113.0,10.0,230.0,,1.0,38.0,8.0,81.0,2.0,426.0,1.0,0.0,12.0,21.0,1.0,22.0,3.0,633.0,12.0,12.0,3.0,15.0,0.0
