matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755407,11,2014-11-08 15:00:00,13,Leicester,Away,115.0,7.0,2.0,3.0,1.0,7.0,,124.0,3.0,2.0,4.0,10.0,11.0,22.0,236.0,,,16.0,16.0,16.0,3.0,1.0,,,,,1.0,,1.0,3.0,,,,,,,8.0,12.0,6.0,59.0,67.0,1.0,1.0,,5.0,23.0,1.0,9.0,,,4.0,8.0,3.0,,9.0,1.0,52.0,53.0,5.0,42.0,23.0,,,56.0,12.0,10.0,,,3.0,1.0,1.0,146.0,,,,,,,8.0,,,,23.0,,13.0,13.0,2.0,4.0,59.0,77.0,36.0,14.0,,4.0,,,298.0,6.0,1.0,,52.0,56.0,8.0,,,,,138.0,138.0,4.0,38.0,18.0,35.6,,1.0,23.0,0.0,61.0,1.0,3.0,4.0,,,,4.0,,3.0,55.0,224.0,16.0,4.0,136.0,30.0,42.0,15.0,4.0,16.0,12.0,,95.0,12.0,205.0,,2.0,29.0,11.0,66.0,2.0,325.0,,0.0,5.0,19.0,,22.0,2.0,537.0,11.0,8.0,4.0,14.0,0.0
755419,12,2014-11-22 15:00:00,13,Leicester,Home,64.0,12.0,3.0,6.0,3.0,4.0,,117.0,4.0,2.0,1.0,9.0,6.0,30.0,175.0,,1.0,12.0,21.0,24.0,9.0,2.0,,,,,,,1.0,10.0,,,,,,,8.0,6.0,5.0,38.0,47.0,,1.0,,7.0,9.0,2.0,7.0,,1.0,6.0,8.0,6.0,,6.0,2.0,61.0,58.0,7.0,39.0,22.0,,,65.0,18.0,8.0,,,,,,135.0,,,,,,,9.0,,,,22.0,,10.0,10.0,1.0,1.0,49.0,73.0,34.0,9.0,,6.0,5.0,4.0,230.0,3.0,3.0,,33.0,50.0,21.0,,,,,136.0,136.0,4.0,20.0,17.0,39.9,,,9.0,0.0,38.0,2.0,3.0,5.0,,1.0,,7.0,,3.0,66.0,161.0,2.0,11.0,78.0,26.0,39.0,19.0,6.0,20.0,14.0,,114.0,17.0,202.0,,2.0,22.0,6.0,63.0,,260.0,1.0,0.0,13.0,18.0,1.0,17.0,2.0,453.0,12.0,8.0,6.0,17.0,0.0
755426,13,2014-11-29 15:00:00,13,Leicester,Away,62.0,14.0,,4.0,4.0,7.0,,126.0,5.0,2.0,1.0,10.0,7.0,29.0,184.0,,3.0,16.0,37.0,30.0,12.0,1.0,2.0,,,,,1.0,,17.0,,,1.0,,,1.0,9.0,22.0,12.0,35.0,53.0,3.0,3.0,,2.0,18.0,4.0,12.0,1.0,,5.0,9.0,7.0,,9.0,2.0,88.0,58.0,2.0,50.0,37.0,,,83.0,17.0,8.0,,,4.0,3.0,,153.0,1.0,,,1.0,,,12.0,1.0,,,37.0,1.0,24.0,24.0,3.0,1.0,46.0,82.0,39.0,11.0,2.0,8.0,6.0,5.0,240.0,15.0,1.0,1.0,45.0,35.0,27.0,,,,,149.0,149.0,1.0,23.0,20.0,41.0,1.0,1.0,18.0,0.0,34.0,3.0,1.0,3.0,,,2.0,10.0,,3.0,80.0,167.0,10.0,14.0,71.0,35.0,50.0,21.0,5.0,24.0,19.0,2.0,136.0,16.0,221.0,,2.0,26.0,7.0,67.0,6.0,268.0,,0.0,19.0,15.0,3.0,24.0,2.0,514.0,7.0,7.0,5.0,11.0,0.0
755436,14,2014-12-02 19:45:00,13,Leicester,Home,106.0,27.0,2.0,7.0,5.0,7.0,,162.0,6.0,1.0,2.0,2.0,16.0,19.0,261.0,,1.0,26.0,30.0,34.0,9.0,1.0,1.0,1.0,,,2.0,,1.0,13.0,,,,,1.0,2.0,5.0,6.0,5.0,47.0,54.0,1.0,2.0,,3.0,18.0,6.0,10.0,,,7.0,10.0,6.0,,11.0,,79.0,69.0,3.0,26.0,19.0,2.0,,82.0,11.0,9.0,,,5.0,3.0,2.0,173.0,,,,,,,11.0,,,,19.0,1.0,20.0,20.0,3.0,2.0,67.0,87.0,41.0,4.0,,5.0,5.0,4.0,339.0,5.0,4.0,,55.0,54.0,27.0,,,,,173.0,173.0,5.0,19.0,26.0,46.6,1.0,,18.0,0.0,79.0,,,,,,1.0,10.0,1.0,1.0,78.0,245.0,5.0,10.0,116.0,54.0,26.0,28.0,7.0,26.0,19.0,2.0,136.0,18.0,276.0,1.0,1.0,19.0,17.0,62.0,,366.0,,1.0,20.0,17.0,1.0,30.0,1.0,594.0,12.0,10.0,7.0,13.0,0.0
755443,15,2014-12-07 16:00:00,13,Leicester,Away,79.0,14.0,,3.0,3.0,6.0,,125.0,2.0,,2.0,9.0,9.0,25.0,201.0,,,17.0,21.0,23.0,7.0,,,,,,,,,10.0,,,,,,,9.0,14.0,2.0,41.0,56.0,,,1.0,1.0,18.0,1.0,13.0,,,5.0,7.0,9.0,,7.0,4.0,61.0,58.0,1.0,24.0,19.0,,,74.0,14.0,8.0,1.0,,1.0,2.0,,148.0,,,,,,,7.0,1.0,2.0,,19.0,,18.0,18.0,2.0,2.0,50.0,79.0,39.0,5.0,,4.0,3.0,4.0,261.0,4.0,4.0,,43.0,39.0,19.0,,,,,141.0,141.0,1.0,23.0,29.0,35.2,,,18.0,0.0,45.0,5.0,,5.0,,,,5.0,,3.0,58.0,192.0,12.0,7.0,95.0,34.0,24.0,11.0,5.0,23.0,18.0,,105.0,16.0,212.0,2.0,,29.0,9.0,64.0,1.0,284.0,,1.0,10.0,22.0,,22.0,4.0,484.0,15.0,5.0,5.0,15.0,0.0
755458,16,2014-12-13 15:00:00,13,Leicester,Home,127.0,16.0,1.0,4.0,3.0,4.0,,120.0,2.0,1.0,6.0,13.0,10.0,31.0,243.0,,,30.0,26.0,17.0,2.0,,,1.0,,,2.0,,,3.0,,,,,,,9.0,6.0,3.0,69.0,61.0,,,,1.0,25.0,3.0,10.0,,,8.0,10.0,4.0,,5.0,2.0,66.0,56.0,1.0,15.0,10.0,,,82.0,15.0,12.0,,,5.0,3.0,2.0,171.0,,,,,,,5.0,,,,10.0,,22.0,22.0,1.0,7.0,59.0,91.0,34.0,2.0,,1.0,1.0,1.0,332.0,1.0,2.0,,56.0,56.0,24.0,,,,,174.0,174.0,6.0,25.0,21.0,42.7,,1.0,25.0,0.0,59.0,2.0,1.0,3.0,,,,3.0,,3.0,61.0,228.0,14.0,2.0,145.0,43.0,15.0,22.0,8.0,25.0,17.0,,126.0,11.0,238.0,,1.0,39.0,10.0,80.0,2.0,358.0,,0.0,7.0,15.0,,37.0,0.0,569.0,11.0,12.0,8.0,13.0,0.0
755472,17,2014-12-20 15:00:00,13,Leicester,Away,94.0,19.0,2.0,7.0,5.0,5.0,,183.0,3.0,,4.0,7.0,10.0,21.0,270.0,1.0,,25.0,49.0,26.0,6.0,1.0,,,,,,,,9.0,,,,,,,7.0,9.0,1.0,51.0,73.0,1.0,1.0,,4.0,14.0,4.0,8.0,,,4.0,15.0,6.0,,10.0,,90.0,61.0,4.0,42.0,25.0,1.0,,83.0,17.0,5.0,,,,,,191.0,,,,,,,7.0,,1.0,,25.0,,22.0,22.0,2.0,4.0,56.0,85.0,43.0,9.0,,2.0,5.0,4.0,359.0,3.0,5.0,,56.0,67.0,19.0,,,,,170.0,170.0,4.0,36.0,25.0,52.2,,,14.0,0.0,84.0,,,,,,,2.0,,3.0,89.0,258.0,3.0,7.0,110.0,48.0,42.0,19.0,4.0,25.0,21.0,,159.0,10.0,297.0,1.0,,32.0,11.0,67.0,1.0,382.0,2.0,0.0,10.0,18.0,,28.0,3.0,602.0,15.0,13.0,4.0,15.0,0.0
755478,18,2014-12-26 15:00:00,13,Leicester,Home,134.0,23.0,3.0,9.0,6.0,8.0,1.0,189.0,3.0,3.0,2.0,14.0,16.0,37.0,314.0,,,19.0,20.0,23.0,11.0,4.0,,,1.0,,2.0,,,15.0,,,1.0,,1.0,1.0,5.0,4.0,4.0,72.0,71.0,1.0,1.0,,1.0,25.0,6.0,6.0,,,11.0,17.0,8.0,,9.0,,56.0,66.0,1.0,30.0,15.0,1.0,,71.0,10.0,13.0,1.0,,5.0,4.0,2.0,185.0,1.0,,1.0,1.0,,,5.0,1.0,,,15.0,2.0,11.0,11.0,,2.0,80.0,94.0,47.0,1.0,,7.0,9.0,6.0,394.0,1.0,2.0,,73.0,81.0,26.0,,,,,172.0,172.0,3.0,31.0,29.0,49.6,2.0,,25.0,0.0,82.0,1.0,,1.0,,1.0,,10.0,,3.0,84.0,299.0,16.0,16.0,149.0,36.0,30.0,20.0,11.0,40.0,29.0,,139.0,17.0,310.0,,3.0,45.0,17.0,83.0,,419.0,2.0,0.0,22.0,21.0,,24.0,1.0,645.0,9.0,9.0,11.0,17.0,0.0
755484,19,2014-12-28 15:00:00,13,Leicester,Away,110.0,21.0,1.0,2.0,1.0,4.0,,138.0,2.0,3.0,1.0,15.0,12.0,34.0,246.0,,,16.0,35.0,26.0,3.0,,,,,,,,,4.0,,,,,,,6.0,10.0,8.0,53.0,91.0,,,,2.0,23.0,,7.0,1.0,,1.0,4.0,1.0,,15.0,3.0,77.0,64.0,2.0,46.0,29.0,,1.0,82.0,12.0,9.0,,,2.0,1.0,,184.0,1.0,,,1.0,,,5.0,1.0,1.0,,29.0,,26.0,26.0,3.0,1.0,57.0,100.0,48.0,7.0,1.0,2.0,2.0,2.0,339.0,7.0,2.0,,29.0,65.0,11.0,,,,,174.0,174.0,3.0,38.0,36.0,38.0,,2.0,23.0,0.0,73.0,2.0,3.0,4.0,1.0,,,2.0,,3.0,64.0,233.0,12.0,4.0,142.0,46.0,46.0,13.0,1.0,7.0,6.0,,121.0,18.0,232.0,1.0,3.0,42.0,18.0,85.0,1.0,367.0,,1.0,4.0,25.0,,24.0,1.0,595.0,14.0,5.0,1.0,21.0,0.0
755495,20,2015-01-01 15:00:00,13,Leicester,Away,85.0,20.0,1.0,3.0,2.0,5.0,,159.0,3.0,1.0,,3.0,10.0,26.0,241.0,,2.0,24.0,20.0,16.0,5.0,1.0,,1.0,1.0,,4.0,,,7.0,,,,,1.0,2.0,4.0,11.0,7.0,49.0,63.0,1.0,1.0,,1.0,13.0,5.0,9.0,,1.0,5.0,10.0,3.0,,15.0,1.0,59.0,60.0,1.0,21.0,10.0,,,83.0,10.0,13.0,,,6.0,1.0,4.0,153.0,2.0,,1.0,2.0,,,12.0,2.0,,2.0,10.0,1.0,24.0,24.0,3.0,,61.0,66.0,26.0,4.0,1.0,4.0,4.0,3.0,300.0,1.0,2.0,,81.0,41.0,20.0,2.0,2.0,2.0,,152.0,152.0,4.0,23.0,27.0,41.2,1.0,2.0,13.0,0.0,69.0,2.0,2.0,4.0,,,,8.0,,3.0,101.0,231.0,5.0,8.0,95.0,39.0,21.0,19.0,5.0,19.0,14.0,1.0,163.0,11.0,256.0,,1.0,16.0,11.0,69.0,1.0,332.0,,0.0,16.0,19.0,2.0,30.0,2.0,541.0,14.0,12.0,5.0,14.0,0.0
