season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243388,1,45,Norwich_City,Away,15242,57127,Teemu Pukki,teemu-pukki,F,False,,,,6.0,3.0,9.0,3.0,,,2.0,,,1.0,,,,4.0,2.0,,,,,1.0,,,1.0,2.0,,83.0,1.0,,,,,,,8.0,,,7.3,,,1.0,,,1.0,1.0,,,1.0,1.0,8.0,6.0,14.0,,,3,1.0,28.0,2.0,1.0,,1.0
2019-20,8243388,1,45,Norwich_City,Away,107025,81048,Josip Drmić,josip-drmic,F,True,,,,2.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,10.0,,,,,,,,1.0,,,6.5,,,,,,,,,,1.0,,3.0,,3.0,,,0,,4.0,,,,
2019-20,8243388,1,45,Norwich_City,Away,137017,89470,Onel Hernández,onel-hernandez,F,True,,,,3.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,3.0,,,6.6,,,,,,,,,,,2.0,6.0,,6.0,,,1,,8.0,,,,
2019-20,8243421,2,45,Norwich_City,Home,15242,57127,Teemu Pukki,teemu-pukki,F,False,,,,7.0,3.0,10.0,2.0,,,3.0,1.0,1.0,,,,1.0,3.0,3.0,,,,,3.0,,,,1.0,,90.0,6.0,,,,,,,5.0,,,9.9,,,1.0,,,,2.0,2.0,,,2.0,9.0,3.0,10.0,,,7,1.0,29.0,2.0,,2.0,1.0
2019-20,8243421,2,45,Norwich_City,Home,168801,,Dennis Srbeny,dennis-srbeny,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243423,3,45,Norwich_City,Home,15242,57127,Teemu Pukki,teemu-pukki,F,False,,,,4.0,2.0,6.0,2.0,,,,1.0,,,1.0,,1.0,6.0,,,,1.0,1.0,1.0,,,,1.0,,90.0,2.0,,,,,,,5.0,,,7.7,,,,,,,2.0,,,,,6.0,2.0,8.0,,,2,,15.0,,,,
2019-20,8243423,3,45,Norwich_City,Home,168801,,Dennis Srbeny,dennis-srbeny,F,True,,,,1.0,1.0,2.0,2.0,,,2.0,,,,,,1.0,4.0,1.0,,,,,,,,,,,9.0,,,,,,,,3.0,,,6.4,,,,,,,1.0,,,,,2.0,1.0,3.0,,,0,1.0,6.0,,,,1.0
2019-20,8243439,4,45,Norwich_City,Away,15242,57127,Teemu Pukki,teemu-pukki,F,False,,,,5.0,1.0,6.0,,,,2.0,,,,2.0,,2.0,5.0,3.0,,,1.0,,,,,,,,90.0,2.0,,,,,,,4.0,,,6.7,,,,,,,1.0,,,,1.0,6.0,2.0,8.0,,,2,2.0,16.0,,,1.0,2.0
2019-20,8243439,4,45,Norwich_City,Away,107025,81048,Josip Drmić,josip-drmic,F,True,,,,5.0,,5.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,13.0,,,,,,,,1.0,,,6.3,,,1.0,,,,,,,,1.0,6.0,,6.0,,,1,1.0,9.0,,,,
2019-20,8243446,5,45,Norwich_City,Home,15242,57127,Teemu Pukki,teemu-pukki,F,False,,,,6.0,7.0,13.0,2.0,,,1.0,1.0,1.0,,1.0,,,5.0,1.0,,,1.0,1.0,1.0,,,,1.0,,90.0,1.0,,,,,,,7.0,,,7.6,,,2.0,,,1.0,1.0,,,1.0,,7.0,9.0,16.0,,,3,,27.0,3.0,1.0,,
