season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352309,1,94,Brentford,Home,135256,128295,Christian Nørgaard,christian-nrgaard,M,False,,,1.0,5.0,14.0,19.0,1.0,1.0,7.0,,1.0,,1.0,,,,3.0,2.0,,,0.010074,0.0,0.0,,,,,,,2.0,,,72.0,,,,,,5.0,,6.3,,,,,2.0,1.0,,,2.0,,7.0,14.0,21.0,0,1.0,38.0,1.0,,,
2023-24,11352309,1,94,Brentford,Home,799251,207283,Mathias Jensen,mathias-jensen,M,False,,,3.0,5.0,6.0,11.0,,,2.0,,,,2.0,,,1.0,5.0,5.0,,,0.0291826,0.0,0.0,1.0,,,,,,,,,49.0,,,,,1.0,16.0,,6.6,,,,,,1.0,2.0,,8.0,,13.0,9.0,20.0,0,2.0,37.0,1.0,3.0,,1.0
2023-24,11352309,1,94,Brentford,Home,814873,204580,Vitaly Janelt,vitaly-janelt,M,False,,,3.0,10.0,10.0,20.0,,2.0,4.0,,,,1.0,,,2.0,3.0,4.0,,,0.0116511,0.0356,0.391,1.0,,,,,,,1.0,,90.0,1.0,1.0,,,,7.0,,6.7,,,,,2.0,,,,6.0,,10.0,15.0,25.0,1,1.0,33.0,,1.0,,
2023-24,11352309,1,94,Brentford,Home,856260,183656,Josh Dasilva,josh-dasilva,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352309,1,94,Brentford,Home,892111,432160,Shandon Baptiste,shandon-baptiste,M,True,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,0.00434586,0.0,0.0,,,,,,,,,,18.0,,,,,,1.0,,6.6,,,,,1.0,,,,2.0,,1.0,2.0,3.0,0,,5.0,,,,
2023-24,11352309,1,94,Brentford,Home,907072,440089,Mikkel Damsgaard,mikkel-damsgaard,M,True,,,2.0,7.0,5.0,12.0,,,6.0,,,,2.0,,,,3.0,2.0,,,0.00506479,0.0746,0.1155,1.0,,,,,,,,,41.0,1.0,1.0,,,,3.0,,6.9,,,,,,,1.0,,3.0,,9.0,5.0,13.0,1,1.0,22.0,1.0,1.0,,
2023-24,11352309,1,94,Brentford,Home,1006387,513418,Kevin Schade,kevin-schade,M,True,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,0.0,0.3488,0.0,,,,,,,,,,18.0,,,,,,4.0,,6.2,,,1.0,,,,,,,,1.0,,1.0,1,,5.0,3.0,,,
2023-24,11352309,1,94,Brentford,Home,1031258,508395,Yehor Yarmoliuk,yehor-yarmoliuk,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352358,2,94,Brentford,Away,135256,128295,Christian Nørgaard,christian-nrgaard,M,False,,,1.0,10.0,17.0,27.0,3.0,2.0,3.0,,,,2.0,,,,7.0,6.0,,,0.0232728,0.0176,0.0,2.0,,,,,,1.0,,,79.0,,1.0,,,,10.0,,7.0,,,1.0,,1.0,,1.0,,6.0,,17.0,20.0,36.0,1,4.0,50.0,,,,3.0
2023-24,11352358,2,94,Brentford,Away,799251,207283,Mathias Jensen,mathias-jensen,M,False,4.0,,4.0,23.0,18.0,37.0,1.0,,7.0,,,,1.0,,,,4.0,7.0,,,0.683374,0.0856,0.0527,1.0,,,,,,2.0,4.0,,90.0,1.0,,,,,16.0,,8.6,,,1.0,,3.0,3.0,7.0,,4.0,,30.0,20.0,43.0,2,3.0,77.0,2.0,2.0,2.0,3.0
2023-24,11352358,2,94,Brentford,Away,814873,204580,Vitaly Janelt,vitaly-janelt,M,False,,,1.0,8.0,13.0,21.0,,,5.0,,,,2.0,,,,2.0,2.0,,,0.215989,0.0,0.0,,,,,,,1.0,1.0,,90.0,,,,,,7.0,,6.9,,,,,1.0,,,,2.0,,12.0,14.0,26.0,0,1.0,32.0,2.0,1.0,,1.0
2023-24,11352358,2,94,Brentford,Away,856260,183656,Josh Dasilva,josh-dasilva,M,True,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.2e-07,0.0,0.0,,,,,,,,,,10.0,,,,,,1.0,,6.5,,,,,,,,,,,,1.0,1.0,0,,2.0,1.0,,,
2023-24,11352358,2,94,Brentford,Away,885864,428580,Frank Onyeka,frank-onyeka,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352358,2,94,Brentford,Away,907072,440089,Mikkel Damsgaard,mikkel-damsgaard,M,True,,,,,,,,,,,,,,,,,3.0,,,,0.0,0.0,0.0,2.0,,,,,,,,,11.0,,,,,,4.0,,6.3,,,,,1.0,1.0,,,,,1.0,1.0,2.0,0,,6.0,1.0,,,
2023-24,11352358,2,94,Brentford,Away,1006387,513418,Kevin Schade,kevin-schade,M,False,,,,6.0,2.0,8.0,1.0,1.0,5.0,,,,1.0,,,1.0,7.0,3.0,,,0.0497271,0.0,0.0,3.0,,,,,,,,,71.0,,,,,,12.0,,6.4,,,,,2.0,1.0,1.0,,,1.0,11.0,2.0,12.0,0,1.0,25.0,3.0,1.0,,
2023-24,11352358,2,94,Brentford,Away,1031258,508395,Yehor Yarmoliuk,yehor-yarmoliuk,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352456,3,94,Brentford,Home,135256,128295,Christian Nørgaard,christian-nrgaard,M,False,,,5.0,33.0,25.0,58.0,4.0,,4.0,,,1.0,2.0,,,3.0,11.0,6.0,,,0.12127,0.0121,0.0,2.0,1.0,,,,,,3.0,,90.0,,,,,,11.0,,7.1,,,,,2.0,,,,9.0,,38.0,27.0,65.0,1,3.0,82.0,1.0,3.0,,2.0
2023-24,11352456,3,94,Brentford,Home,799251,207283,Mathias Jensen,mathias-jensen,M,False,1.0,,4.0,13.0,22.0,34.0,1.0,1.0,5.0,,,,4.0,,,,6.0,2.0,,1.0,0.0670745,0.0,0.0,1.0,,,,,,,2.0,,71.0,,1.0,,,,10.0,,6.9,,,,,,,2.0,,6.0,,19.0,24.0,41.0,0,1.0,54.0,2.0,1.0,,1.0
2023-24,11352456,3,94,Brentford,Home,814873,204580,Vitaly Janelt,vitaly-janelt,M,False,,,,13.0,9.0,22.0,,1.0,,,,1.0,2.0,,,,4.0,3.0,,,0.0191374,0.0418,0.0,1.0,,,,,,1.0,,,90.0,,,,,,12.0,,6.6,,,,,1.0,1.0,4.0,,,1.0,22.0,11.0,29.0,1,1.0,44.0,,1.0,,
2023-24,11352456,3,94,Brentford,Home,885864,428580,Frank Onyeka,frank-onyeka,M,True,1.0,,1.0,6.0,2.0,7.0,,,,,,2.0,1.0,,,1.0,3.0,1.0,,,0.0213306,0.2119,0.0,,,,,,,,1.0,,19.0,,,,,,4.0,,6.5,,,,,,1.0,1.0,,2.0,,8.0,2.0,9.0,2,,16.0,,1.0,,
2023-24,11352456,3,94,Brentford,Home,998841,494041,Ethan Brierley,ethan-brierley,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352456,3,94,Brentford,Home,1006387,513418,Kevin Schade,kevin-schade,M,False,,,,13.0,9.0,22.0,4.0,4.0,5.0,1.0,,1.0,1.0,,,,9.0,7.0,,,0.114746,0.1046,0.5559,1.0,,1.0,,,,,1.0,,80.0,1.0,,,,,13.0,,7.5,,,,,,4.0,,,,,19.0,10.0,29.0,2,,41.0,2.0,2.0,1.0,
2023-24,11352456,3,94,Brentford,Home,1031258,508395,Yehor Yarmoliuk,yehor-yarmoliuk,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352543,4,94,Brentford,Home,135256,128295,Christian Nørgaard,christian-nrgaard,M,False,1.0,,4.0,24.0,30.0,53.0,1.0,1.0,9.0,1.0,,,,,,1.0,2.0,6.0,,,0.258575,0.137,0.0701,,,,,,,2.0,2.0,,90.0,1.0,,,,,11.0,,8.0,,,1.0,,,,2.0,,5.0,,30.0,34.0,62.0,2,5.0,78.0,,,,3.0
2023-24,11352543,4,94,Brentford,Home,548050,205836,Saman Ghoddos,saman-ghoddos,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352543,4,94,Brentford,Home,799251,207283,Mathias Jensen,mathias-jensen,M,False,2.0,,1.0,12.0,21.0,31.0,,1.0,3.0,1.0,,,,,,1.0,3.0,4.0,,,0.361456,0.0361,0.0747,1.0,,1.0,,,,,2.0,,81.0,1.0,,,,,18.0,,7.6,,,,,1.0,1.0,4.0,,6.0,,23.0,21.0,40.0,1,3.0,63.0,2.0,,,1.0
2023-24,11352543,4,94,Brentford,Home,814873,204580,Vitaly Janelt,vitaly-janelt,M,False,,,1.0,5.0,15.0,20.0,,,6.0,,,1.0,,,,,,,,,0.00163359,0.1752,0.0252,,,,,,,,,,71.0,1.0,,,,,5.0,,6.7,,,,,2.0,,,,3.0,,8.0,15.0,23.0,2,,32.0,2.0,,,
2023-24,11352543,4,94,Brentford,Home,885864,428580,Frank Onyeka,frank-onyeka,M,True,2.0,,,11.0,2.0,11.0,,,2.0,1.0,,,,,,,1.0,2.0,,,0.665051,0.0721,0.129,,,,,,,,3.0,,19.0,1.0,,,,,6.0,,7.3,,,1.0,,,1.0,2.0,,1.0,,13.0,3.0,14.0,2,1.0,23.0,2.0,1.0,,1.0
2023-24,11352543,4,94,Brentford,Home,1006387,513418,Kevin Schade,kevin-schade,M,False,2.0,,,6.0,5.0,9.0,3.0,5.0,8.0,,1.0,,,,,1.0,12.0,8.0,,,0.190326,0.2629,0.4376,3.0,,,,,1.0,1.0,2.0,,71.0,1.0,,,,,18.0,,6.5,,,1.0,,1.0,5.0,2.0,,1.0,,15.0,6.0,19.0,2,1.0,38.0,2.0,2.0,,1.0
2023-24,11352543,4,94,Brentford,Home,1031258,508395,Yehor Yarmoliuk,yehor-yarmoliuk,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352615,5,94,Brentford,Away,135256,128295,Christian Nørgaard,christian-nrgaard,M,False,,,,15.0,13.0,28.0,3.0,1.0,5.0,,,1.0,4.0,,,,8.0,4.0,,,0.0057396,0.0927,0.0,1.0,,,,,,1.0,,,72.0,,,,,,9.0,,6.6,,,1.0,,,,,,,,23.0,13.0,36.0,2,3.0,44.0,1.0,,,2.0
2023-24,11352615,5,94,Brentford,Away,548050,205836,Saman Ghoddos,saman-ghoddos,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352615,5,94,Brentford,Away,799251,207283,Mathias Jensen,mathias-jensen,M,False,2.0,,3.0,28.0,12.0,38.0,,,5.0,1.0,,,5.0,,,1.0,8.0,3.0,,,0.223129,0.0,0.0,2.0,,,,,,3.0,3.0,,90.0,,1.0,,,,20.0,,7.5,,,,,1.0,,7.0,,7.0,,43.0,14.0,50.0,0,3.0,71.0,,,,2.0
2023-24,11352615,5,94,Brentford,Away,814873,204580,Vitaly Janelt,vitaly-janelt,M,False,,,2.0,12.0,10.0,22.0,,1.0,6.0,,,,2.0,,,,2.0,4.0,,,0.118509,0.0,0.0,,,,,,,,2.0,,72.0,,,,,,7.0,,7.1,,,,,1.0,1.0,,,3.0,,15.0,13.0,28.0,0,2.0,35.0,,,1.0,2.0
2023-24,11352615,5,94,Brentford,Away,885864,428580,Frank Onyeka,frank-onyeka,M,True,,,,10.0,5.0,15.0,,,2.0,,,,1.0,,,,1.0,6.0,,,0.00392462,0.0,0.0,,,,,,,,,,18.0,,,,,,3.0,,6.9,,,,,,1.0,,,2.0,,13.0,5.0,18.0,0,3.0,27.0,,2.0,1.0,2.0
2023-24,11352615,5,94,Brentford,Away,1006387,513418,Kevin Schade,kevin-schade,M,True,,,,2.0,,2.0,,,,,,,,,,1.0,1.0,,,,0.00250526,0.0,0.0,,,,,,,,,,18.0,,,,,,6.0,,6.4,,,,,,,1.0,,,,5.0,,4.0,0,,8.0,2.0,,,
2023-24,11352615,5,94,Brentford,Away,1031258,508395,Yehor Yarmoliuk,yehor-yarmoliuk,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352628,6,94,Brentford,Home,135256,128295,Christian Nørgaard,christian-nrgaard,M,False,,,4.0,24.0,31.0,55.0,3.0,3.0,12.0,,1.0,,1.0,,,,5.0,10.0,,,0.0158938,0.1301,0.0,,,,,,,1.0,,,90.0,,1.0,,,,19.0,,6.9,,,1.0,,1.0,1.0,1.0,,6.0,,33.0,38.0,70.0,1,4.0,89.0,1.0,3.0,,4.0
2023-24,11352628,6,94,Brentford,Home,548050,205836,Saman Ghoddos,saman-ghoddos,M,True,1.0,,2.0,8.0,4.0,11.0,1.0,,2.0,,,,,,,,2.0,1.0,,,0.0295165,0.0,0.0,1.0,,,,,,,1.0,,17.0,,,,,,2.0,,6.8,,,,,,,1.0,,4.0,1.0,10.0,4.0,13.0,0,1.0,16.0,,,,1.0
2023-24,11352628,6,94,Brentford,Home,799251,207283,Mathias Jensen,mathias-jensen,M,False,,,2.0,15.0,20.0,35.0,1.0,,7.0,,,,,,,1.0,5.0,3.0,,,0.00676423,0.0729,0.6355,1.0,,1.0,,,,,,,90.0,1.0,,,,,16.0,,7.0,,,,,,2.0,1.0,,3.0,,24.0,21.0,44.0,1,2.0,62.0,,1.0,,2.0
