playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,goalAssists,successfulLayoffs,goals,cornersTakenInclShortCorners,successfulCrossesAndCorners,throwInsToOppositionPlayer,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCornersIntoBox,substituteOff,throughBalls,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,hitWoodwork,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,unsuccessfulLayoffs,secondGoalAssists,headedGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,setPiecesGoals,ownGoalScored
146941,Aymeric Laporte,Defender,Man City,43,Spain,2020-21,0.0,0.0,1.0,34.0,0.2494,24.0,2.0,1.0,0.1347,13.0,4.0,71.0,16.0,12.0,14.0,114.0,1.0,1274.0,2.0,0.0,1.0,2.0,63.0,7.0,1.0,1343.0,1.0,21.0,65.0,1.0,1.0,9.0,23.0,1113.0,12.0,2.0,13.1108,4.0,3.0,28.0,10.0,1.0,13.0,536.0,9.0,0.0,99.0,5.0,0.0,434.0,66.0,16.0,7.0,487.0,9.0,1.0,1.0,1.0,36.0,42.0,1.0,1256.0,3.0,2.0,126.0,6.0,2.0,7.0,204.0,9.0,11.0,47.0,100.0,1397.0,9.0,1.0,12.0,673.0,4.0,1.0,0.7528,43.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102826,Benjamin Mendy,Defender,Man City,43,France,2020-21,0.0,0.0,2.0,50.0,0.4567,23.0,2.0,2.0,0.7227,13.0,4.0,68.0,13.0,9.0,11.0,89.0,24.0,553.0,1.0,1.0,1.0,2.0,20.0,5.0,,955.0,,12.0,32.0,2.0,1.0,19.0,24.0,450.0,16.0,3.0,10.1999,4.0,1.0,9.0,10.0,1.0,38.0,300.0,,1.0,82.0,7.0,1.0,115.0,42.0,13.0,4.0,280.0,8.0,26.0,8.0,1.0,62.0,8.0,,550.0,2.0,4.0,150.0,9.0,11.0,5.0,15.0,14.0,5.0,14.0,123.0,768.0,72.0,1.0,10.0,188.0,8.0,,0.3834,21.0,23.0,4.0,1.0,1.0,2.0,2.0,4.0,10.0,1.0,1.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432656,Eric García,Defender,Man City,43,Spain,2020-21,0.0,0.0,0.0,14.0,0.0803,11.0,,,,8.0,2.0,8.0,6.0,6.0,3.0,16.0,,339.0,,0.0,,3.0,11.0,,,380.0,,8.0,13.0,1.0,1.0,3.0,10.0,313.0,1.0,4.0,9.0628,1.0,2.0,10.0,12.0,,6.0,132.0,2.0,0.0,27.0,3.0,0.0,78.0,19.0,6.0,1.0,177.0,11.0,,,,16.0,3.0,,337.0,2.0,,22.0,7.0,,1.0,118.0,4.0,4.0,10.0,11.0,385.0,2.0,,4.0,146.0,4.0,,0.0824,8.0,7.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97299,John Stones,Defender,Man City,43,England,2020-21,1.0,1.0,0.0,34.0,0.417,15.0,4.0,5.0,1.1076,21.0,11.0,73.0,22.0,10.0,22.0,116.0,1.0,1727.0,1.0,1.0,2.0,,59.0,14.0,,1934.0,,21.0,78.0,2.0,,17.0,40.0,1550.0,17.0,2.0,12.1441,2.0,3.0,54.0,12.0,2.0,13.0,392.0,9.0,3.0,112.0,8.0,3.0,519.0,106.0,22.0,11.0,649.0,10.0,1.0,3.0,2.0,53.0,38.0,,1716.0,6.0,1.0,125.0,10.0,10.0,15.0,704.0,7.0,18.0,61.0,112.0,1912.0,9.0,2.0,22.0,962.0,2.0,,1.7977,43.0,56.0,,,2.0,4.0,,,,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
121145,João Cancelo,Defender,Man City,43,Portugal,2020-21,1.0,1.0,5.0,158.0,5.5568,88.0,10.0,11.0,1.9281,68.0,25.0,191.0,28.0,46.0,27.0,239.0,60.0,1854.0,2.0,2.0,6.0,1.0,60.0,13.0,2.0,2302.0,2.0,30.0,163.0,3.0,,48.0,133.0,1549.0,75.0,4.0,18.0032,42.0,5.0,28.0,18.0,4.0,128.0,492.0,18.0,0.0,321.0,21.0,0.0,492.0,162.0,28.0,27.0,970.0,15.0,61.0,55.0,4.0,261.0,30.0,,1813.0,14.0,20.0,412.0,41.0,47.0,2.0,525.0,36.0,41.0,66.0,345.0,2541.0,189.0,6.0,23.0,656.0,16.0,2.0,1.5882,48.0,67.0,9.0,3.0,6.0,2.0,,11.0,6.0,1.0,1.0,34.0,,3.0,6.0,7.0,,7.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,
58621,Kyle Walker,Defender,Man City,43,England,2020-21,0.0,0.0,1.0,81.0,0.8195,54.0,4.0,3.0,0.58,29.0,6.0,125.0,24.0,28.0,22.0,170.0,36.0,1733.0,1.0,1.0,4.0,2.0,41.0,9.0,,1946.0,,14.0,91.0,2.0,3.0,37.0,64.0,1475.0,16.0,6.0,21.6325,7.0,7.0,22.0,20.0,,67.0,189.0,11.0,1.0,172.0,12.0,0.0,498.0,114.0,24.0,10.0,872.0,18.0,36.0,34.0,,131.0,27.0,,1713.0,3.0,9.0,288.0,19.0,24.0,7.0,800.0,25.0,14.0,88.0,246.0,2163.0,144.0,4.0,21.0,693.0,18.0,,0.2716,45.0,42.0,2.0,1.0,1.0,1.0,,2.0,21.0,1.0,,17.0,,2.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
439510,Luke Mbete,Defender,Man City,43,England,2020-21,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126184,Nathan Aké,Defender,Man City,43,Netherlands,2020-21,0.0,0.0,4.0,28.0,0.197,12.0,1.0,1.0,0.2221,10.0,2.0,41.0,10.0,7.0,9.0,52.0,1.0,751.0,,0.0,,1.0,41.0,3.0,,797.0,,17.0,38.0,2.0,1.0,6.0,14.0,685.0,6.0,4.0,12.4046,1.0,4.0,22.0,13.0,1.0,11.0,309.0,4.0,0.0,66.0,1.0,1.0,243.0,30.0,10.0,5.0,380.0,11.0,1.0,2.0,1.0,25.0,24.0,,740.0,1.0,1.0,58.0,5.0,,1.0,155.0,8.0,9.0,14.0,44.0,827.0,10.0,,3.0,319.0,7.0,,0.2639,11.0,19.0,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
206325,Oleksandr Zinchenko,Defender,Man City,43,Ukraine,2020-21,0.0,0.0,0.0,43.0,1.1316,35.0,7.0,4.0,0.5738,25.0,9.0,104.0,20.0,17.0,15.0,139.0,24.0,1368.0,1.0,0.0,3.0,5.0,44.0,7.0,,1474.0,,15.0,64.0,2.0,,26.0,35.0,1199.0,11.0,3.0,13.8194,15.0,4.0,25.0,14.0,4.0,28.0,572.0,4.0,0.0,107.0,13.0,0.0,403.0,96.0,20.0,10.0,747.0,12.0,33.0,9.0,4.0,63.0,29.0,,1342.0,5.0,11.0,202.0,15.0,6.0,4.0,151.0,9.0,23.0,30.0,242.0,1680.0,105.0,3.0,24.0,488.0,3.0,,0.6734,35.0,45.0,2.0,,8.0,,11.0,6.0,5.0,,,3.0,8.0,1.0,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.0861,,,,
171314,Rúben Dias,Defender,Man City,43,Portugal,2020-21,0.0,0.0,4.0,78.0,0.4384,59.0,1.0,6.0,1.4329,24.0,13.0,113.0,32.0,34.0,32.0,185.0,1.0,2713.0,1.0,0.0,,,101.0,15.0,5.0,2845.0,5.0,39.0,111.0,1.0,2.0,18.0,49.0,2419.0,30.0,4.0,23.8282,3.0,5.0,90.0,21.0,1.0,39.0,930.0,20.0,0.0,189.0,8.0,1.0,719.0,135.0,32.0,11.0,1018.0,20.0,1.0,6.0,1.0,88.0,62.0,4.0,2663.0,7.0,6.0,207.0,13.0,6.0,23.0,954.0,21.0,35.0,109.0,110.0,2988.0,2.0,,26.0,1511.0,13.0,,1.8749,72.0,76.0,1.0,,,1.0,,1.0,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
