playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,groundDuelsLost,rightsidePasses,winningGoal,duels,forwardPasses,appearances,unsuccessfulShortPasses,gamesPlayed,unsuccessfulDribbles,successfulPassesOppositionHalf,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,timesTackled,groundDuels,straightRedCards,openPlayPasses,substituteOn,totalLossesOfPossession,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,timePlayed,touches,successfulPassesOwnHalf,successfulShortPasses,yellowCards,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,starts,unsuccessfulCrossesOpenPlay,goals,offsides,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,aerialDuelsLost,duelsWon,groundDuelsWon,successfulCornersIntoBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,totalFoulsWon,recoveries,tacklesLost,leftFootGoals,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,interceptions,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,unsuccessfulLongPasses,overruns,awayGoals,goalsConcededOutsideBox,totalTouchesInOppositionBox,penaltyGoalsConceded,homeGoals,aerialDuelsWon,penaltiesTaken,rightFootGoals,headedGoals,secondGoalAssists,unsuccessfulLayoffs,handballsConceded,penaltyGoals,redCards2ndYellow,lastPlayerTackle,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,clearancesOffTheLine,otherGoals,setPiecesGoals
42593,Aleksandar Kolarov,Defender,Man City,43,Serbia,2011-12,38.0,0.0,29.0,208.0,2.0,87.0,164.0,12.0,49.0,12.0,8.0,232.0,80.0,445.0,10.0,65.0,0.0,438.0,3.0,178.0,12.0,13.0,15.0,61.0,821.0,743.0,149.0,350.0,1.0,21.0,12.0,9.0,5.0,17.0,16.0,,4.0,2.0,,9.0,52.0,2.0,2.0,14.0,22.0,4.0,16.0,9.0,49.0,36.0,4.0,9.0,10.0,4.0,28.0,9.0,14.0,37.0,4.0,2.0,7.0,67.0,11.0,16.0,13.0,5.0,,8.0,9.0,9.0,63.0,1.0,,33.0,31.0,2.0,0.0,2.0,21.0,1.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80235,Dedryck Boyata,Defender,Man City,43,Belgium,2011-12,37.0,0.0,33.0,25.0,0.0,90.0,262.0,14.0,65.0,14.0,4.0,191.0,100.0,446.0,15.0,79.0,0.0,438.0,1.0,186.0,117.0,11.0,17.0,42.0,1123.0,775.0,157.0,329.0,3.0,21.0,2.0,2.0,2.0,32.0,5.0,4.0,,14.0,1.0,13.0,12.0,1.0,,,11.0,,2.0,4.0,53.0,46.0,,46.0,5.0,7.0,42.0,34.0,6.0,68.0,7.0,,28.0,12.0,3.0,2.0,25.0,8.0,7.0,,34.0,,87.0,2.0,,20.0,35.0,,0.0,6.0,13.0,1.0,1.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17336,Gaël Clichy,Defender,Man City,43,France,2011-12,101.0,1.0,68.0,632.0,0.0,234.0,521.0,28.0,144.0,28.0,13.0,701.0,205.0,1411.0,27.0,175.0,0.0,1392.0,,368.0,56.0,20.0,72.0,202.0,2488.0,2222.0,525.0,1134.0,1.0,55.0,20.0,2.0,3.0,65.0,9.0,5.0,4.0,8.0,,28.0,71.0,,2.0,,59.0,12.0,20.0,33.0,133.0,107.0,,46.0,23.0,19.0,100.0,19.0,21.0,138.0,23.0,,15.0,72.0,6.0,13.0,42.0,21.0,6.0,,75.0,,248.0,,,72.0,61.0,1.0,,4.0,15.0,,,26.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
7551,Joleon Lescott,Defender,Man City,43,England,2011-12,61.0,0.0,48.0,433.0,2.0,173.0,580.0,31.0,148.0,31.0,2.0,284.0,177.0,1419.0,12.0,116.0,0.0,1397.0,1.0,206.0,299.0,26.0,38.0,107.0,2688.0,1801.0,958.0,1204.0,1.0,68.0,,1.0,2.0,43.0,9.0,,1.0,5.0,,30.0,1.0,2.0,,,57.0,14.0,,13.0,112.0,68.0,,,4.0,8.0,157.0,22.0,19.0,160.0,4.0,1.0,19.0,1.0,7.0,,39.0,6.0,25.0,,54.0,,6.0,2.0,,46.0,29.0,2.0,1.0,3.0,22.0,2.0,1.0,44.0,,1.0,,,,1.0,,,3.0,,,,,,,1.0,,,,,,,,,,,1.0,3.0,,
103040,Karim Rekik,Defender,Man City,43,Netherlands,2011-12,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450,Kolo Touré,Defender,Man City,43,Cote d’Ivoire,2011-12,27.0,0.0,18.0,86.0,0.0,58.0,157.0,14.0,35.0,14.0,3.0,126.0,46.0,435.0,9.0,39.0,0.0,426.0,6.0,59.0,153.0,7.0,24.0,39.0,847.0,572.0,263.0,365.0,0.0,19.0,,1.0,2.0,14.0,6.0,1.0,,3.0,,8.0,,,,,19.0,3.0,,9.0,31.0,21.0,,1.0,1.0,3.0,57.0,8.0,4.0,48.0,7.0,,6.0,,4.0,2.0,7.0,3.0,4.0,,11.0,,9.0,,,16.0,11.0,1.0,,2.0,8.0,1.0,,10.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20492,Micah Richards,Defender,Man City,43,England,2011-12,103.0,0.0,84.0,78.0,2.0,245.0,285.0,29.0,114.0,29.0,18.0,344.0,122.0,776.0,39.0,173.0,0.0,766.0,6.0,248.0,309.0,39.0,8.0,104.0,2042.0,1305.0,316.0,646.0,2.0,29.0,6.0,4.0,6.0,53.0,16.0,4.0,5.0,4.0,1.0,23.0,27.0,1.0,6.0,,72.0,7.0,6.0,19.0,142.0,89.0,,30.0,9.0,2.0,90.0,22.0,21.0,95.0,13.0,1.0,18.0,27.0,10.0,12.0,40.0,15.0,13.0,,35.0,,125.0,3.0,2.0,18.0,8.0,8.0,0.0,4.0,71.0,1.0,1.0,53.0,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
20658,Pablo Zabaleta,Defender,Man City,43,Argentina,2011-12,77.0,0.0,60.0,61.0,0.0,190.0,296.0,21.0,90.0,21.0,9.0,441.0,104.0,827.0,24.0,152.0,0.0,816.0,3.0,214.0,349.0,26.0,19.0,121.0,1549.0,1349.0,291.0,704.0,5.0,25.0,9.0,8.0,5.0,70.0,11.0,6.0,,2.0,,18.0,59.0,1.0,,,38.0,9.0,9.0,17.0,113.0,92.0,,15.0,20.0,6.0,51.0,10.0,14.0,92.0,14.0,,8.0,59.0,6.0,22.0,56.0,8.0,6.0,,44.0,,139.0,3.0,1.0,17.0,14.0,,0.0,2.0,42.0,1.0,1.0,21.0,,1.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
65807,Stefan Savic,Defender,Man City,43,Montenegro,2011-12,21.0,0.0,12.0,37.0,0.0,48.0,102.0,11.0,39.0,11.0,,58.0,45.0,281.0,3.0,24.0,0.0,279.0,6.0,50.0,116.0,5.0,9.0,26.0,541.0,368.0,178.0,227.0,1.0,12.0,,1.0,1.0,7.0,2.0,,,,,5.0,,1.0,,,24.0,2.0,,9.0,27.0,12.0,,,1.0,3.0,36.0,5.0,4.0,27.0,2.0,,4.0,,1.0,,5.0,1.0,6.0,,12.0,,2.0,,,11.0,6.0,,1.0,1.0,5.0,,0.0,15.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
17476,Vincent Kompany,Defender,Man City,43,Belgium,2011-12,58.0,1.0,46.0,353.0,2.0,176.0,684.0,31.0,152.0,31.0,4.0,427.0,221.0,1645.0,8.0,134.0,1.0,1622.0,,243.0,529.0,30.0,130.0,79.0,2774.0,2093.0,998.0,1294.0,5.0,74.0,,4.0,6.0,65.0,14.0,8.0,1.0,1.0,,31.0,4.0,3.0,1.0,2.0,42.0,15.0,1.0,12.0,118.0,88.0,1.0,,8.0,13.0,191.0,21.0,10.0,191.0,14.0,,18.0,5.0,8.0,2.0,51.0,13.0,26.0,,73.0,1.0,5.0,,1.0,78.0,69.0,,1.0,3.0,24.0,1.0,2.0,30.0,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,
