playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,gamesPlayed,setPiecesGoals,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,throughBalls,penaltyGoalsConceded,rightFootGoals,handballsConceded,secondGoalAssists,foulWonPenalty,penaltiesConceded,ownGoalScored,redCards2ndYellow,headedGoals,lastPlayerTackle,clearancesOffTheLine,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals
42593,Aleksandar Kolarov,Defender,Man City,43,Serbia,2014-15,88.0,11.0,8.0,1.483,39.0,21.0,2.0,813.0,2.0,2.0,0.0,9.0,5.0,2.0,2.0,20.0,4.0,72.0,15.0,13.8314,20.0,6.0,2.0,19.0,0.0,108.0,21.0,2.0,18.0,73.0,30.0,8.0,798.0,8.0,294.0,27.0,8.0,17.0,23.0,11.0,42.0,147.0,1315.0,116.0,2.0,268.0,61.0,31.0,17.0,2.5476,0.0,0.5682,4.0,16.0,97.0,3.0,2.0,16.0,158.0,60.0,26.0,45.0,9.0,4.0,33.0,1486.0,1.0,97.0,33.0,613.0,38.0,18.0,32.0,12.0,68.0,377.0,185.0,12.0,2.0,272.0,4.0,12.0,420.0,8.0,2.0,140.0,25.0,0.0,31.0,14.0,5.0,42.0,1.0,9.0,21.0,14.0,1.1305,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145235,Angeliño,Defender,Man City,43,Spain,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37748,Bacary Sagna,Defender,Man City,43,France,2014-15,42.0,,,,20.0,9.0,,462.0,,,,,1.0,,,26.0,1.0,25.0,,8.9448,9.0,3.0,,4.0,0.0,31.0,9.0,,,16.0,6.0,,459.0,1.0,120.0,14.0,,186.0,5.0,,16.0,80.0,680.0,85.0,,141.0,25.0,19.0,3.0,0.7846,0.0,,,1.0,55.0,,1.0,8.0,80.0,16.0,,66.0,2.0,,3.0,740.0,,65.0,18.0,366.0,12.0,11.0,36.0,9.0,16.0,19.0,107.0,8.0,,177.0,,6.0,244.0,8.0,,41.0,40.0,0.0,5.0,2.0,4.0,6.0,,,13.0,4.0,0.0207,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80235,Dedryck Boyata,Defender,Man City,43,Belgium,2014-15,3.0,,,,3.0,2.0,,47.0,,,,,1.0,,,,,6.0,,0.7748,,,,2.0,0.0,11.0,2.0,,,,,,47.0,,6.0,2.0,,24.0,3.0,,1.0,,69.0,,,30.0,2.0,4.0,,0.0026,0.0,,,,4.0,,,1.0,6.0,,,4.0,,,,91.0,,10.0,1.0,40.0,,,10.0,1.0,3.0,6.0,13.0,1.0,,17.0,,1.0,11.0,1.0,,9.0,4.0,0.0,,1.0,1.0,2.0,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57112,Eliaquim Mangala,Defender,Man City,43,France,2014-15,94.0,3.0,3.0,0.5054,43.0,25.0,,912.0,,,,,1.0,3.0,3.0,38.0,4.0,59.0,,24.3386,3.0,3.0,3.0,8.0,0.0,121.0,25.0,,2.0,,18.0,,900.0,8.0,136.0,33.0,,181.0,21.0,,32.0,77.0,1252.0,5.0,,580.0,39.0,41.0,,0.828,1.0,,2.0,11.0,65.0,2.0,1.0,24.0,104.0,,,92.0,11.0,,,2189.0,,113.0,17.0,776.0,23.0,,148.0,22.0,56.0,276.0,207.0,10.0,,378.0,,10.0,228.0,18.0,3.0,115.0,54.0,0.0,,8.0,14.0,40.0,,,20.0,9.0,1.2359,3.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
17336,Gaël Clichy,Defender,Man City,43,France,2014-15,89.0,1.0,2.0,1.1628,59.0,23.0,,1358.0,1.0,2.0,1.0,1.0,,,,37.0,2.0,92.0,,25.6221,23.0,9.0,,9.0,0.0,137.0,23.0,,5.0,47.0,20.0,,1339.0,5.0,372.0,47.0,,53.0,11.0,1.0,63.0,148.0,1975.0,172.0,1.0,427.0,79.0,72.0,8.0,1.5153,0.0,,5.0,7.0,172.0,3.0,2.0,23.0,251.0,46.0,2.0,61.0,6.0,1.0,8.0,2058.0,,116.0,51.0,1044.0,15.0,27.0,78.0,27.0,52.0,566.0,205.0,20.0,0.0,591.0,1.0,12.0,688.0,25.0,,144.0,24.0,0.0,4.0,24.0,8.0,77.0,1.0,1.0,39.0,8.0,1.1122,1.0,1.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
17740,Jesús Navas,Defender,Man City,43,Spain,2014-15,132.0,13.0,17.0,2.9573,35.0,35.0,,1338.0,,8.0,,4.0,12.0,17.0,17.0,38.0,3.0,99.0,32.0,27.286,71.0,,9.0,28.0,0.0,177.0,35.0,,13.0,181.0,44.0,,1319.0,16.0,459.0,25.0,,563.0,22.0,46.0,25.0,362.0,1907.0,17.0,2.0,291.0,19.0,41.0,26.0,7.609,0.0,,7.0,33.0,177.0,8.0,37.0,23.0,196.0,134.0,94.0,53.0,5.0,,61.0,2248.0,2.0,114.0,69.0,1117.0,185.0,,8.0,29.0,94.0,116.0,246.0,31.0,,297.0,,10.0,912.0,26.0,9.0,193.0,15.0,0.0,57.0,37.0,,19.0,5.0,4.0,12.0,15.0,3.01,3.0,4.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15312,Martín Demichelis,Defender,Man City,43,Argentina,2014-15,132.0,2.0,2.0,0.6079,62.0,31.0,,1375.0,1.0,,1.0,,3.0,1.0,1.0,63.0,4.0,73.0,,31.0585,5.0,4.0,2.0,9.0,0.0,140.0,31.0,,1.0,,6.0,,1357.0,4.0,189.0,36.0,,376.0,33.0,,51.0,74.0,1759.0,3.0,,668.0,53.0,70.0,,0.4294,0.0,,,6.0,122.0,,1.0,28.0,175.0,,,147.0,9.0,,,2559.0,,157.0,17.0,1149.0,21.0,,172.0,30.0,69.0,369.0,289.0,10.0,0.0,556.0,,26.0,532.0,26.0,2.0,142.0,84.0,0.0,1.0,4.0,9.0,74.0,,,32.0,18.0,0.4423,6.0,,2.0,,2.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
20658,Pablo Zabaleta,Defender,Man City,43,Argentina,2014-15,117.0,5.0,2.0,0.9922,106.0,29.0,,1447.0,1.0,1.0,1.0,3.0,,,,26.0,5.0,126.0,,29.4699,22.0,3.0,2.0,14.0,0.0,115.0,29.0,,6.0,39.0,23.0,,1432.0,5.0,334.0,77.0,,532.0,30.0,,40.0,195.0,2157.0,223.0,,473.0,59.0,68.0,9.0,3.1552,1.0,,3.0,7.0,153.0,4.0,5.0,29.0,212.0,39.0,,79.0,11.0,1.0,9.0,2586.0,,179.0,62.0,1195.0,67.0,35.0,84.0,29.0,91.0,108.0,296.0,29.0,0.0,612.0,1.0,29.0,771.0,24.0,2.0,217.0,53.0,0.0,22.0,6.0,7.0,56.0,,3.0,20.0,22.0,1.4258,6.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
17476,Vincent Kompany,Defender,Man City,43,Belgium,2014-15,76.0,,,,35.0,25.0,,1232.0,,,,,2.0,,,24.0,4.0,55.0,,21.8696,4.0,9.0,,8.0,0.0,137.0,25.0,,,,5.0,,1218.0,6.0,170.0,28.0,,426.0,34.0,,78.0,48.0,1481.0,2.0,,711.0,71.0,50.0,,0.9345,0.0,,1.0,6.0,86.0,,,23.0,157.0,,,62.0,5.0,,,2032.0,,93.0,14.0,997.0,16.0,,99.0,23.0,52.0,305.0,169.0,3.0,,453.0,,7.0,364.0,19.0,,107.0,38.0,0.0,1.0,12.0,14.0,45.0,2.0,,30.0,19.0,0.4693,7.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
