season,matchId,gameweek,team_id,team,venue,playerId,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437076,1,90,Burnley,Away,19524,Jonathan Walters,jonathan-walters,F,True,,,,1.0,,1.0,1.0,1.0,,,,,,,,2.0,3.0,1.0,,,,,,,,,,,15.0,,,,,,,,,5.0,,6.4,,,,,,,,,,3.0,,3.0,0,,6.0,1.0,,,
2017-18,7437076,1,90,Burnley,Away,19633,Sam Vokes,sam-vokes,F,False,,,,4.0,,4.0,4.0,7.0,,,,,,,,,7.0,11.0,,,4.0,,2.0,,,,,,90.0,2.0,,,,,,,,13.0,,8.4,,,1.0,2.0,,,,1.0,1.0,13.0,2.0,15.0,3,1.0,26.0,2.0,3.0,,1.0
2017-18,7437076,1,8,Chelsea,Home,125407,Álvaro Morata,alvaro-morata,F,True,,,,4.0,1.0,5.0,2.0,,2.0,1.0,,,,,,2.0,5.0,1.0,,,1.0,1.0,1.0,,,,1.0,,31.0,2.0,,,,,,,,3.0,,8.1,,,1.0,,,,,,2.0,4.0,1.0,5.0,3,,14.0,1.0,1.0,,
2017-18,7437076,1,8,Chelsea,Home,147745,Michy Batshuayi,michy-batshuayi,F,False,,,,5.0,7.0,12.0,4.0,,,,,,1.0,,,,5.0,,,,,,,,,,,,59.0,1.0,,,,,,,,10.0,,6.3,,,,,,,,,,9.0,9.0,18.0,1,,23.0,4.0,,,
2017-18,7437076,1,8,Chelsea,Home,367056,Jérémie Boga,jeremie-boga,F,False,,,,4.0,,4.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,18.0,,,,,,,,,1.0,,6.4,,,,,,,,,,4.0,,4.0,0,,5.0,1.0,,,
2017-18,7437077,1,13,Leicester_City,Away,19303,Shinji Okazaki,shinji-okazaki,F,False,,,1.0,5.0,5.0,10.0,1.0,6.0,4.0,,,,1.0,,,2.0,8.0,8.0,,,3.0,,1.0,,,,,,72.0,1.0,,,,,,,,17.0,,7.1,,,1.0,,1.0,1.0,,1.0,,13.0,9.0,21.0,2,1.0,31.0,2.0,1.0,,
2017-18,7437077,1,3,Arsenal,Home,33902,Danny Welbeck,danny-welbeck,F,False,,,,12.0,4.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,4.0,7.0,5.0,,,1.0,,1.0,,,1.0,2.0,,75.0,1.0,,,,,,,,10.0,,7.4,,,,1.0,2.0,,,,1.0,16.0,5.0,21.0,3,1.0,37.0,1.0,1.0,2.0,1.0
2017-18,7437077,1,3,Arsenal,Home,39070,Olivier Giroud,olivier-giroud,F,True,,,,4.0,3.0,7.0,1.0,3.0,,,,,,,,,1.0,4.0,,,,,1.0,,,,1.0,,23.0,1.0,,,,,,,,1.0,,7.4,,,,,,,,,,5.0,3.0,8.0,1,,10.0,,1.0,,
2017-18,7437077,1,3,Arsenal,Home,50070,Alexandre Lacazette,alexandre-lacazette,F,False,1.0,,,14.0,6.0,19.0,3.0,1.0,2.0,1.0,,1.0,2.0,,,2.0,8.0,6.0,,,2.0,,1.0,,,,3.0,,90.0,2.0,,,,,,,,8.0,,8.0,,,,1.0,1.0,2.0,,,2.0,16.0,7.0,21.0,3,2.0,39.0,2.0,2.0,1.0,1.0
2017-18,7437077,1,13,Leicester_City,Away,173827,Jamie Vardy,jamie-vardy,F,False,,,,4.0,5.0,9.0,4.0,2.0,4.0,,,,,,,,5.0,4.0,,,,,2.0,,,,,,90.0,2.0,,,,,,,,8.0,,8.1,,,,,1.0,1.0,,,1.0,7.0,5.0,11.0,2,1.0,21.0,3.0,1.0,,1.0
