season,matchId,gameweek,team_id,team,venue,playerId,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,totalShots
2010-11,1379594,1,7,Aston_Villa,Home,579,Emile Heskey,emile-heskey,F,True,,,,,,
2010-11,1379594,1,21,West_Ham_United,Away,671,Luís Boa Morte,luis-boa-morte,F,False,0.0,0.0,46.0,0.0,,0.0
2010-11,1379594,1,21,West_Ham_United,Away,3531,Frederic Piquionne,frederic-piquionne,F,True,0.0,0.0,44.0,0.0,,0.0
2010-11,1379594,1,7,Aston_Villa,Home,9415,John Carew,john-carew,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379594,1,21,West_Ham_United,Away,9644,Carlton Cole,carlton-cole,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379594,1,21,West_Ham_United,Away,35387,Freddie Sears,freddie-sears,F,True,,,,,,
2010-11,1379594,1,7,Aston_Villa,Home,87185,Andreas Weimann,andreas-weimann,F,True,0.0,0.0,4.0,0.0,,0.0
2010-11,1379595,1,5,Blackburn_Rovers,Home,743,El-Hadji Diouf,el-hadji-diouf,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379595,1,11,Everton,Away,1158,Tim Cahill,tim-cahill,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379595,1,11,Everton,Away,15010,Jermaine Beckford,jermaine-beckford,F,True,0.0,0.0,31.0,0.0,,0.0
2010-11,1379595,1,11,Everton,Away,21764,Marouane Fellaini,marouane-fellaini,F,False,0.0,0.0,78.0,0.0,,0.0
2010-11,1379595,1,5,Blackburn_Rovers,Home,22481,Mame Biram Diouf,mame-biram-diouf,F,True,0.0,0.0,30.0,0.0,,0.0
2010-11,1379595,1,5,Blackburn_Rovers,Home,31273,Nikola Kalinić,nikola-kalinic,F,False,0.0,1.0,60.0,0.0,,0.0
2010-11,1379595,1,5,Blackburn_Rovers,Home,33478,Junior Hoilett,junior-hoilett,F,True,,,,,,
2010-11,1379595,1,11,Everton,Away,51417,Magaye Gueye,magaye-gueye,F,True,,,,,,
2010-11,1379595,1,11,Everton,Away,1422711,Louis Saha,louis-saha,F,False,0.0,0.0,73.0,0.0,,0.0
2010-11,1379597,1,30,Bolton_Wanderers,Home,495,Ivan Klasnić,ivan-klasnic,F,True,0.0,0.0,1.0,0.0,,0.0
2010-11,1379597,1,30,Bolton_Wanderers,Home,1244,Kevin Davies,kevin-davies,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379597,1,30,Bolton_Wanderers,Home,2841,Martin Petrov,martin-petrov,F,False,0.0,0.0,86.0,0.0,,0.0
2010-11,1379597,1,54,Fulham,Away,7550,David Elm,david-elm,F,True,,,,,,
2010-11,1379597,1,54,Fulham,Away,9746,Bobby Zamora,bobby-zamora,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379597,1,30,Bolton_Wanderers,Home,1422568,Johan Elmander,johan-elmander,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,8,Chelsea,Home,1222,Didier Drogba,didier-drogba,F,False,0.0,3.0,70.0,0.0,,0.0
2010-11,1379598,1,8,Chelsea,Home,3304,Florent Malouda,florent-malouda,F,False,0.0,2.0,90.0,0.0,,0.0
2010-11,1379598,1,8,Chelsea,Home,5516,Nicolas Anelka,nicolas-anelka,F,False,1.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,9379,Roman Bednář,roman-bednar,F,False,0.0,0.0,67.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,9683,Ishmael Miller,ishmael-miller,F,True,0.0,0.0,23.0,0.0,,0.0
2010-11,1379598,1,8,Chelsea,Home,9737,Yossi Benayoun,yossi-benayoun,F,True,0.0,0.0,26.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,10021,Giles Barnes,giles-barnes,F,True,0.0,0.0,6.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,13158,Simon Cox,simon-cox,F,True,0.0,0.0,23.0,0.0,,0.0
2010-11,1379598,1,8,Chelsea,Home,20963,Daniel Sturridge,daniel-sturridge,F,True,,,,,,
2010-11,1379599,1,3,Arsenal,Away,1,Robin van Persie,robin-van-persie,F,True,0.0,0.0,14.0,0.0,,0.0
2010-11,1379599,1,14,Liverpool,Home,1876,Ryan Babel,ryan-babel,F,True,,,,,,
2010-11,1379599,1,14,Liverpool,Home,2436,Fernando Torres,fernando-torres,F,True,0.0,0.0,16.0,0.0,,0.0
2010-11,1379599,1,3,Arsenal,Away,3233,Marouane Chamakh,marouane-chamakh,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379599,1,14,Liverpool,Home,3401,Maxi Rodríguez,maxi-rodriguez,F,True,0.0,0.0,25.0,0.0,,0.0
2010-11,1379599,1,14,Liverpool,Home,13329,Milan Jovanović,milan-jovanovic,F,False,0.0,0.0,65.0,0.0,,0.0
2010-11,1379599,1,14,Liverpool,Home,16582,David N'Gog,david-ngog,F,False,0.0,1.0,74.0,0.0,,0.0
2010-11,1379599,1,3,Arsenal,Away,25991,Carlos Vela,carlos-vela,F,True,,,,,,
2010-11,1379600,1,1,Manchester_United,Home,278,Dimitar Berbatov,dimitar-berbatov,F,False,0.0,1.0,90.0,0.0,,0.0
2010-11,1379600,1,4,Newcastle_United,Away,636,Wayne Routledge,wayne-routledge,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379600,1,1,Manchester_United,Home,751,Wayne Rooney,wayne-rooney,F,False,1.0,0.0,63.0,0.0,,0.0
