playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,successfulPassesOwnHalf,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,overruns,cleanSheets,goalsConcededOutsideBox,successfulLaunches,blocks,unsuccessfulLaunches,foulAttemptedTackle,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,penaltyGoalsConceded,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,penaltiesConceded,throwInsToOppositionPlayer,leftFootGoals,hitWoodwork,secondGoalAssists,goalAssists,penaltiesTaken,penaltyGoals,ownGoalScored,foulWonPenalty,drops,crossesNotClaimed,otherGoals,headedGoals,lastPlayerTackle,redCards2ndYellow
96782,Adam Smith,Goalkeeper,Leicester,13,England,2014-15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68582,Andrej Kramaric,Forward,Leicester,13,Croatia,2014-15,0.0,0.0,0.0,45.0,3.0,0.7565,0.0936,5.0,8.0,1.6141,6.0,17.0,2.0,26.0,13.0,15.0,6.0,30.0,11.0,185.0,2.0,3.0,1.0,2.0,7.0,27.0,2.0,3.0,4.0,574.0,4.0,2.0,21.0,26.0,6.0,20.0,151.0,34.0,10.0279,6.0,1.0,8.0,3.0,24.0,63.0,6.0,0.0,71.0,5.0,1.0,29.0,18.0,13.0,2.0,2.0,2.0,11.0,116.0,8.0,11.0,20.0,1.0,3.0,44.0,6.0,183.0,9.0,8.0,77.0,4.0,8.0,1.0,31.0,1.0,1.0,4.0,62.0,293.0,1.0,4.0,2.0,42.0,1.0,1.7922,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13152,Andy King,Midfielder,Leicester,13,Wales,2014-15,0.0,0.0,1.0,66.0,2.0,0.5366,,4.0,5.0,2.0303,45.0,10.0,,86.0,24.0,20.0,16.0,115.0,11.0,626.0,2.0,1.0,0.0,3.0,8.0,63.0,,2.0,3.0,1370.0,3.0,,27.0,106.0,20.0,70.0,484.0,25.0,17.5888,5.0,25.0,17.0,1.0,39.0,155.0,15.0,1.0,172.0,9.0,2.0,192.0,97.0,24.0,,2.0,7.0,3.0,288.0,16.0,11.0,13.0,,1.0,109.0,36.0,619.0,5.0,3.0,160.0,38.0,10.0,,160.0,7.0,31.0,27.0,119.0,845.0,1.0,4.0,3.0,225.0,1.0,1.8898,29.0,20.0,3.0,3.0,1.0,2.0,4.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83543,Anthony Knockaert,Midfielder,Leicester,13,France,2014-15,0.0,0.0,0.0,31.0,3.0,0.5402,0.0634,3.0,1.0,0.0274,7.0,5.0,1.0,20.0,9.0,3.0,3.0,23.0,13.0,123.0,,,,1.0,6.0,3.0,,8.0,1.0,330.0,1.0,,2.0,24.0,9.0,23.0,98.0,14.0,3.5573,2.0,,4.0,2.0,29.0,23.0,7.0,0.0,55.0,6.0,,46.0,21.0,9.0,,,,8.0,79.0,3.0,32.0,14.0,1.0,2.0,52.0,1.0,120.0,4.0,5.0,74.0,7.0,9.0,1.0,24.0,5.0,4.0,2.0,30.0,232.0,6.0,1.0,1.0,29.0,,0.8593,3.0,1.0,,1.0,1.0,,,1.0,2.0,18.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38038,Ben Hamer,Goalkeeper,Leicester,13,England,2014-15,0.0,0.0,0.0,,,0.0477,,,,,,,,,8.0,,8.0,172.0,,271.0,,,,,,4.0,,,,720.0,,,,4.0,1.0,,9.0,,8.3633,,11.0,8.0,,,4.0,2.0,0.0,4.0,,,255.0,88.0,8.0,,,,,68.0,6.0,,,,,,4.0,115.0,,,177.0,,,,12.0,,,90.0,,342.0,,,,31.0,,,172.0,11.0,,3.0,2.0,49.0,,91.0,,,,,7.0,9.0,69.0,3.0,2.0,8.0,2.0,21.0,4.0,43.0,46.0,5.0,12.0,,,,,,,,,,,,,,,,,
60689,Chris Wood,Forward,Leicester,13,New Zealand,2014-15,0.0,0.0,0.0,23.0,,0.0536,,,1.0,0.763,,5.0,,15.0,7.0,1.0,,16.0,,38.0,1.0,1.0,0.0,,7.0,21.0,,,,107.0,,1.0,11.0,14.0,2.0,4.0,22.0,6.0,2.6335,,1.0,3.0,,12.0,7.0,2.0,0.0,37.0,2.0,1.0,10.0,5.0,7.0,,1.0,,2.0,17.0,3.0,,7.0,,,16.0,10.0,38.0,4.0,,29.0,,2.0,,10.0,5.0,,,11.0,66.0,,,,5.0,,0.7911,1.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61603,Danny Drinkwater,Midfielder,Leicester,13,England,2014-15,0.0,0.0,1.0,111.0,5.0,0.8172,,3.0,3.0,0.4407,52.0,12.0,,145.0,23.0,24.0,16.0,196.0,19.0,944.0,,,,,7.0,49.0,2.0,7.0,1.0,1488.0,1.0,1.0,32.0,96.0,53.0,79.0,704.0,23.0,22.1474,9.0,32.0,27.0,3.0,79.0,247.0,11.0,0.0,207.0,25.0,,338.0,154.0,23.0,2.0,,10.0,10.0,457.0,22.0,19.0,28.0,,3.0,158.0,17.0,931.0,9.0,8.0,277.0,42.0,16.0,,193.0,32.0,40.0,44.0,166.0,1245.0,3.0,6.0,,298.0,2.0,0.5815,51.0,44.0,4.0,,5.0,8.0,5.0,23.0,14.0,2.0,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
40725,Danny Simpson,Defender,Leicester,13,England,2014-15,0.0,0.0,4.0,62.0,6.0,0.0067,,1.0,,,30.0,1.0,,84.0,15.0,1.0,14.0,148.0,31.0,453.0,,,,,1.0,49.0,,6.0,,1253.0,,,29.0,62.0,20.0,42.0,279.0,6.0,0.7589,5.0,47.0,21.0,,33.0,19.0,8.0,0.0,124.0,6.0,,252.0,85.0,15.0,,,5.0,3.0,163.0,19.0,31.0,7.0,,,75.0,20.0,448.0,1.0,4.0,240.0,25.0,6.0,,114.0,17.0,35.0,26.0,68.0,820.0,117.0,2.0,,148.0,1.0,,64.0,39.0,3.0,2.0,2.0,9.0,5.0,38.0,12.0,,,,,,,,,,2.0,,,,,,,,1.0,44.0,,,,,,,,,,,,,,
12744,David Nugent,Forward,Leicester,13,England,2014-15,0.0,0.0,3.0,173.0,8.0,2.0583,,14.0,12.0,5.2019,16.0,27.0,2.0,134.0,29.0,37.0,16.0,144.0,32.0,564.0,5.0,6.0,4.0,5.0,13.0,139.0,4.0,8.0,3.0,1704.0,3.0,5.0,83.0,108.0,36.0,52.0,407.0,71.0,27.4193,19.0,7.0,31.0,9.0,90.0,146.0,20.0,0.0,281.0,13.0,1.0,162.0,65.0,29.0,4.0,4.0,5.0,34.0,336.0,28.0,32.0,64.0,,9.0,142.0,56.0,550.0,15.0,25.0,279.0,11.0,18.0,,122.0,23.0,10.0,13.0,134.0,860.0,7.0,5.0,5.0,92.0,2.0,6.31,10.0,24.0,2.0,3.0,3.0,1.0,4.0,4.0,9.0,,,,,,,,,,2.0,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,
11848,Dean Hammond,Midfielder,Leicester,13,England,2014-15,0.0,0.0,3.0,61.0,1.0,0.1574,,2.0,,,25.0,4.0,,48.0,12.0,8.0,9.0,73.0,3.0,410.0,,,,1.0,3.0,39.0,,1.0,,781.0,,,17.0,53.0,15.0,31.0,322.0,6.0,13.5779,4.0,17.0,13.0,1.0,44.0,110.0,5.0,0.0,114.0,9.0,,138.0,56.0,12.0,,,8.0,1.0,164.0,13.0,3.0,6.0,,1.0,75.0,22.0,403.0,4.0,2.0,86.0,17.0,2.0,,104.0,20.0,21.0,15.0,58.0,523.0,,6.0,1.0,174.0,,0.2067,25.0,17.0,,1.0,,2.0,4.0,9.0,11.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
13919,Esteban Cambiasso,Midfielder,Leicester,13,Argentina,2014-15,0.0,0.0,1.0,116.0,3.0,1.7498,0.3618,7.0,7.0,2.1998,70.0,22.0,2.0,207.0,31.0,42.0,27.0,295.0,12.0,1119.0,5.0,,2.0,4.0,4.0,69.0,1.0,18.0,1.0,2423.0,1.0,1.0,32.0,136.0,71.0,99.0,752.0,35.0,36.1048,36.0,31.0,37.0,3.0,84.0,252.0,15.0,0.0,252.0,42.0,3.0,517.0,173.0,31.0,1.0,1.0,27.0,6.0,512.0,34.0,40.0,20.0,5.0,3.0,183.0,37.0,1080.0,15.0,12.0,374.0,43.0,15.0,5.0,215.0,19.0,67.0,72.0,135.0,1514.0,3.0,10.0,4.0,330.0,,2.4434,88.0,55.0,,6.0,3.0,4.0,8.0,20.0,17.0,32.0,12.0,19.0,,,,,,,1.0,,,,,,,,,1.0,4.0,1.0,1.0,1.0,,,1.0,,,,,,,
19273,Gary Taylor-Fletcher,Forward,Leicester,13,England,2014-15,0.0,0.0,0.0,4.0,,0.0006,,,,,,,,1.0,1.0,1.0,,1.0,,7.0,,,,,1.0,,,,,17.0,,,,,,,6.0,,0.2439,,,1.0,,4.0,2.0,,0.0,4.0,,,3.0,,1.0,,,,,1.0,1.0,,,,,4.0,,7.0,,,1.0,,,,1.0,1.0,,,1.0,7.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101668,Jamie Vardy,Forward,Leicester,13,England,2014-15,0.0,0.0,5.0,227.0,8.0,1.9045,,8.0,24.0,8.5202,29.0,40.0,,157.0,34.0,50.0,26.0,167.0,53.0,465.0,5.0,32.0,3.0,3.0,8.0,184.0,2.0,8.0,17.0,2245.0,17.0,3.0,117.0,155.0,44.0,88.0,289.0,140.0,36.0035,27.0,6.0,40.0,5.0,110.0,131.0,32.0,3.0,382.0,21.0,2.0,122.0,73.0,34.0,2.0,3.0,4.0,47.0,238.0,37.0,54.0,68.0,,5.0,198.0,67.0,449.0,16.0,29.0,357.0,25.0,28.0,,101.0,40.0,23.0,9.0,111.0,876.0,1.0,13.0,3.0,68.0,2.0,7.5719,10.0,18.0,19.0,5.0,3.0,1.0,2.0,8.0,20.0,1.0,,1.0,,,,,,,3.0,,,,,,,,,,2.0,1.0,,8.0,,,,2.0,,,,,,
86417,Jeffrey Schlupp,Midfielder,Leicester,13,Ghana,2014-15,0.0,0.0,4.0,233.0,15.0,1.5432,,12.0,8.0,1.9456,80.0,28.0,,135.0,32.0,18.0,30.0,208.0,61.0,723.0,3.0,1.0,2.0,6.0,2.0,115.0,1.0,15.0,4.0,2539.0,4.0,1.0,74.0,231.0,52.0,190.0,469.0,69.0,40.0283,21.0,61.0,40.0,6.0,159.0,197.0,48.0,0.0,464.0,30.0,1.0,317.0,170.0,32.0,1.0,1.0,16.0,65.0,336.0,37.0,61.0,104.0,,6.0,349.0,41.0,719.0,20.0,26.0,470.0,64.0,63.0,,75.0,28.0,60.0,46.0,134.0,1522.0,92.0,10.0,6.0,194.0,2.0,2.184,73.0,43.0,21.0,6.0,3.0,12.0,4.0,45.0,11.0,,,,,,,,,,3.0,,,,,,,,,33.0,2.0,,,2.0,,,1.0,,,,,,,
