playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,cleanSheets,shotsOnTargetOutsideBox,successfulCornersIntoBox,throwInsToOppositionPlayer,oboxTarget,freekickTotal,attemptsFromSetPieces,foulWonPenalty,redCards2ndYellow,gkUnsuccessfulDistribution,unsuccessfulLayoffs,offsides,penaltiesTaken,leftFootGoals,headedGoals,penaltyGoals,hitWoodwork,penaltiesConceded,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals
13152,Andy King,Midfielder,Leicester,13,Wales,2015-16,46.0,2.0,0.4526,0.0,6.0,4.0,2.0217,27.0,14.0,1.0,77.0,25.0,1.0,15.0,9.0,105.0,7.0,476.0,2.0,2.0,16.0,2.0,35.0,2.0,2.0,1049.0,2.0,18.0,59.0,2.0,12.0,42.0,343.0,18.3946,8.0,3.0,24.0,17.0,4.0,28.0,112.0,8.0,105.0,5.0,175.0,75.0,25.0,2.0,7.0,5.0,214.0,15.0,8.0,4.0,70.0,17.0,0.0,471.0,10.0,4.0,141.0,20.0,7.0,4.0,105.0,7.0,29.0,1.0,1.0,28.0,84.0,651.0,2.0,1.0,2.0,14.0,159.0,4.0,1.0,2.9167,2.0,28.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Leicester,13,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37402,Christian Fuchs,Defender,Leicester,13,Austria,2015-16,137.0,10.0,3.2111,0.0,6.0,8.0,1.3209,99.0,13.0,4.0,189.0,32.0,4.0,2.0,30.0,326.0,50.0,1180.0,,5.0,2.0,67.0,83.0,34.0,2.0,2710.0,2.0,34.0,167.0,1.0,91.0,118.0,763.0,25.3644,40.0,29.0,122.0,20.0,1.0,103.0,332.0,12.0,304.0,37.0,680.0,215.0,32.0,,22.0,5.0,523.0,19.0,93.0,1.0,221.0,49.0,0.0,1133.0,5.0,9.0,630.0,77.0,7.0,11.0,59.0,33.0,98.0,31.0,1.0,91.0,109.0,2195.0,218.0,1.0,5.0,94.0,365.0,24.0,,0.9118,4.0,137.0,104.0,0.4534,15.0,6.0,23.0,142.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
155569,Daniel Amartey,Defender,Leicester,13,Ghana,2015-16,6.0,,0.0485,0.0,,1.0,0.5632,1.0,1.0,,9.0,5.0,,,1.0,12.0,,66.0,,,4.0,,5.0,,1.0,102.0,1.0,3.0,4.0,,3.0,2.0,51.0,1.1957,1.0,,2.0,2.0,,3.0,3.0,,10.0,1.0,20.0,7.0,5.0,,,1.0,30.0,2.0,,,5.0,2.0,0.0,65.0,,,20.0,1.0,1.0,,27.0,,2.0,,,3.0,16.0,89.0,7.0,1.0,,3.0,24.0,,,0.5276,0.0,3.0,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61603,Danny Drinkwater,Midfielder,Leicester,13,England,2015-16,203.0,8.0,4.9446,1.0,11.0,9.0,1.3597,106.0,30.0,11.0,273.0,35.0,7.0,34.0,35.0,444.0,28.0,1984.0,2.0,8.0,,4.0,73.0,11.0,1.0,3038.0,1.0,44.0,191.0,3.0,90.0,162.0,1403.0,31.1617,37.0,5.0,68.0,28.0,3.0,159.0,436.0,25.0,394.0,36.0,780.0,342.0,35.0,2.0,32.0,17.0,953.0,25.0,36.0,3.0,321.0,29.0,0.0,1920.0,21.0,14.0,583.0,74.0,31.0,17.0,487.0,54.0,55.0,2.0,2.0,137.0,281.0,2541.0,3.0,6.0,8.0,44.0,598.0,24.0,3.0,2.1748,3.0,171.0,79.0,0.0895,14.0,6.0,,,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
40725,Danny Simpson,Defender,Leicester,13,England,2015-16,115.0,5.0,0.4883,1.0,2.0,2.0,0.2386,52.0,5.0,,140.0,30.0,,2.0,30.0,247.0,24.0,869.0,,1.0,,,112.0,5.0,2.0,2613.0,2.0,53.0,131.0,1.0,46.0,72.0,568.0,24.3707,6.0,21.0,125.0,19.0,1.0,62.0,38.0,12.0,246.0,22.0,438.0,137.0,30.0,,11.0,4.0,311.0,18.0,24.0,1.0,134.0,59.0,0.0,862.0,3.0,7.0,420.0,41.0,9.0,17.0,261.0,29.0,94.0,,1.0,54.0,132.0,1626.0,230.0,3.0,1.0,70.0,316.0,17.0,,0.6495,3.0,107.0,71.0,,13.0,,,82.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11848,Dean Hammond,Midfielder,Leicester,13,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172632,Demarai Gray,Forward,Leicester,13,Jamaica,2015-16,24.0,2.0,0.131,0.0,1.0,3.0,0.6115,3.0,4.0,,15.0,12.0,1.0,,1.0,19.0,5.0,89.0,,1.0,11.0,7.0,3.0,4.0,2.0,177.0,2.0,2.0,20.0,,10.0,19.0,66.0,3.3113,5.0,2.0,2.0,3.0,,22.0,22.0,4.0,44.0,7.0,29.0,17.0,12.0,,,11.0,59.0,3.0,8.0,,41.0,1.0,0.0,85.0,1.0,5.0,45.0,3.0,12.0,1.0,9.0,3.0,6.0,3.0,,4.0,29.0,165.0,4.0,1.0,1.0,2.0,15.0,3.0,,0.5289,0.0,4.0,5.0,,,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
40772,Gökhan Inler,Midfielder,Leicester,13,Switzerland,2015-16,19.0,,0.0662,0.0,,,,10.0,2.0,,23.0,5.0,,1.0,3.0,26.0,1.0,124.0,,,2.0,,13.0,,,194.0,,8.0,20.0,2.0,5.0,15.0,87.0,4.5842,1.0,,,5.0,,11.0,25.0,4.0,39.0,2.0,45.0,27.0,5.0,,1.0,,50.0,3.0,1.0,,26.0,5.0,0.0,119.0,2.0,,34.0,9.0,1.0,1.0,39.0,3.0,10.0,,,11.0,15.0,166.0,,3.0,,,48.0,2.0,,0.0499,0.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101668,Jamie Vardy,Forward,Leicester,13,England,2015-16,328.0,10.0,4.2991,1.0,22.0,53.0,22.3257,35.0,93.0,3.0,206.0,36.0,6.0,74.0,36.0,214.0,39.0,625.0,24.0,7.0,,2.0,290.0,10.0,23.0,3139.0,23.0,198.0,194.0,4.0,46.0,102.0,395.0,36.3632,42.0,,7.0,32.0,15.0,130.0,181.0,29.0,522.0,23.0,147.0,96.0,36.0,18.0,2.0,52.0,322.0,28.0,39.0,15.0,232.0,92.0,0.0,610.0,40.0,43.0,410.0,33.0,39.0,3.0,143.0,42.0,18.0,,,16.0,154.0,1132.0,5.0,7.0,7.0,1.0,99.0,22.0,2.0,23.0743,5.0,8.0,34.0,0.0914,11.0,6.0,,,6.0,1.0,1.0,7.0,1.0,,10.0,26.0,6.0,4.0,2.0,5.0,6.0,,,,,,,,,,,,,,
