playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,cleanSheets,unsuccessfulLayoffs,successfulCornersIntoBox,throwInsToOppositionPlayer,successfulLaunches,homeGoals,rightFootGoals,blocks,unsuccessfulCornersIntoBox,foulWonPenalty,goalKicks,headedGoals,gkSuccessfulDistribution,penaltiesConceded,clearancesOffTheLine,savesMade,savesMadeFromOutsideBox,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,leftFootGoals,catches,savesMadeCaught,punches,goalkeeperSmother,drops,lastPlayerTackle,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,ownGoalScored,penaltiesSaved,penaltiesFaced,savesFromPenalty,secondGoalAssists
436680,Jakub Stolarczyk,Goalkeeper,Leicester,13,Poland,2024-25,1.0,,0.0122,0.0,,,,,2.0,,,1.0,10.0,,,10.0,147.0,,350.0,,,,,5.0,,,,900.0,,,7.0,3.0,1.0,2.0,139.0,,,15.3843,,16.0,16.0,,1.0,41.0,,0.0,8.0,,230.0,64.0,10.0,,1.0,,36.0,13.0,,,,3.0,5.0,0.0,239.0,,,149.0,1.0,,79.0,,,64.0,,444.0,,,,,78.0,167.0,,,,1.0,146.0,34.0,,,2.0,,,,23.0,,,,,,58.0,,60.0,,,28.0,10.0,34.0,8.0,18.0,,9.0,1.0,10.0,1.0,1.0,1.0,,,,,,,,,,
220627,James Justin,Defender,Leicester,13,England,2024-25,134.0,11.0,0.8264,0.0,11.0,7.0,3.0,0.7085,58.0,14.0,1.0,190.0,36.0,2.0,7.0,34.0,270.0,45.0,1233.0,2.0,2.0,2.0,,125.0,2.0,11.0,3.0,2920.0,3.0,56.0,180.0,8.0,71.0,111.0,929.0,38.0,3.0,68.3458,12.0,115.0,68.0,9.0,78.0,102.0,44.0,0.0,314.0,31.0,465.0,88.0,36.0,2.0,21.0,13.0,446.0,60.0,46.0,28.0,9.0,189.0,69.0,0.0,1211.0,7.0,7.0,398.0,37.0,9.0,417.0,29.0,46.0,34.0,249.0,2033.0,231.0,11.0,1.0,2.0,48.0,528.0,19.0,1.0,1.4951,6.0,80.0,109.0,2.0,2.0,2.0,,,17.0,11.0,0.0,1.0,17.0,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,2.0,0.1312,,,,,,,
101668,Jamie Vardy,Forward,Leicester,13,England,2024-25,112.0,1.0,2.5707,0.0,11.0,26.0,1.0,11.6623,19.0,47.0,1.0,110.0,35.0,4.0,43.0,35.0,114.0,10.0,371.0,27.0,1.0,,,107.0,1.0,1.0,16.0,2839.0,16.0,56.0,103.0,5.0,19.0,52.0,253.0,117.0,3.0,68.9554,15.0,24.0,68.0,10.0,56.0,90.0,23.0,2.0,215.0,4.0,64.0,39.0,35.0,1.0,6.0,10.0,142.0,63.0,10.0,24.0,10.0,108.0,51.0,0.0,324.0,21.0,9.0,190.0,13.0,11.0,81.0,25.0,5.0,4.0,136.0,631.0,,15.0,1.0,1.0,1.0,116.0,17.0,1.0,11.1874,5.0,4.0,31.0,9.0,3.0,,9.0,,,2.0,6.0,6.0,4.0,,2.0,,1.0,,,,,,,,,2.0,,,,,,,1.0,1.0,0.0484,2.0,1.0,,,,,
93100,Jannik Vestergaard,Defender,Leicester,13,Denmark,2024-25,37.0,,0.1055,0.0,1.0,2.0,,0.5373,22.0,2.0,,49.0,18.0,,1.0,16.0,88.0,,958.0,,,2.0,,46.0,,,2.0,1395.0,2.0,19.0,56.0,5.0,11.0,29.0,839.0,10.0,,31.6922,3.0,74.0,35.0,1.0,18.0,359.0,4.0,0.0,93.0,7.0,338.0,46.0,18.0,,12.0,,253.0,30.0,,,1.0,47.0,27.0,0.0,890.0,,,91.0,10.0,4.0,219.0,12.0,16.0,31.0,42.0,1114.0,,6.0,,,21.0,617.0,7.0,,0.0984,5.0,39.0,31.0,,,,,,,,,,14.0,,,42.0,,42.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,
649208,Jeremy Monga,Midfielder,Leicester,13,England,2024-25,6.0,,0.019,0.0,1.0,1.0,2.0,0.0521,2.0,2.0,,7.0,7.0,,,,7.0,4.0,25.0,,,7.0,,1.0,1.0,,,105.0,,1.0,9.0,1.0,6.0,9.0,18.0,5.0,,1.5741,1.0,1.0,3.0,1.0,5.0,6.0,5.0,0.0,15.0,1.0,7.0,10.0,7.0,1.0,1.0,3.0,14.0,2.0,4.0,5.0,1.0,14.0,,0.0,24.0,1.0,3.0,23.0,1.0,2.0,4.0,,,,8.0,57.0,,,,,,4.0,,,0.1615,0.0,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80146,Jordan Ayew,Forward,Leicester,13,Ghana,2024-25,201.0,7.0,0.0113,0.0,13.0,10.0,5.0,,28.0,20.0,3.0,78.0,31.0,,31.0,19.0,95.0,25.0,483.0,7.0,,12.0,29.0,122.0,,16.0,,1664.0,,82.0,151.0,6.0,30.0,111.0,379.0,58.0,,1.7153,17.0,18.0,42.0,,119.0,100.0,59.0,0.0,352.0,19.0,107.0,94.0,31.0,,13.0,32.0,227.0,36.0,45.0,73.0,,230.0,40.0,0.0,466.0,10.0,13.0,282.0,15.0,26.0,94.0,31.0,12.0,9.0,182.0,937.0,5.0,15.0,,,11.0,177.0,21.0,,0.4566,6.0,17.0,26.0,5.0,3.0,,1.0,7.0,,1.0,2.0,5.0,2.0,20.0,,,,,,,,,,,,,,,,,,,,4.0,,1.0,1.0,,,,,
461587,Kasey McAteer,Midfielder,Leicester,13,Ireland,2024-25,80.0,4.0,0.625,0.0,1.0,7.0,,1.2372,23.0,12.0,,44.0,18.0,1.0,3.0,9.0,47.0,17.0,220.0,3.0,,9.0,,30.0,1.0,4.0,5.0,852.0,5.0,17.0,57.0,2.0,29.0,44.0,171.0,31.0,2.0,20.4444,8.0,13.0,16.0,1.0,63.0,32.0,15.0,0.0,137.0,16.0,58.0,45.0,18.0,1.0,7.0,15.0,112.0,14.0,17.0,31.0,1.0,107.0,13.0,0.0,220.0,5.0,5.0,120.0,16.0,6.0,66.0,18.0,5.0,2.0,64.0,421.0,6.0,8.0,1.0,,2.0,65.0,7.0,1.0,1.0264,3.0,3.0,9.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244619,Luke Thomas,Defender,Leicester,13,England,2024-25,54.0,3.0,0.5112,0.0,5.0,,,,31.0,,,57.0,14.0,,1.0,13.0,82.0,12.0,517.0,,2.0,1.0,8.0,24.0,,9.0,,1112.0,,11.0,57.0,3.0,23.0,44.0,422.0,8.0,2.0,22.7146,9.0,45.0,23.0,3.0,43.0,187.0,10.0,0.0,111.0,9.0,203.0,42.0,14.0,,6.0,3.0,173.0,20.0,20.0,7.0,3.0,87.0,13.0,0.0,503.0,,5.0,155.0,25.0,3.0,35.0,16.0,21.0,13.0,92.0,799.0,49.0,4.0,,2.0,8.0,271.0,6.0,,0.3605,3.0,25.0,26.0,,,2.0,,2.0,31.0,3.0,,,6.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
467189,Mads Hermansen,Goalkeeper,Leicester,13,Denmark,2024-25,1.0,,0.0445,0.0,,,,,1.0,,,18.0,27.0,,,27.0,410.0,,936.0,,,,,5.0,,,,2385.0,,1.0,9.0,6.0,2.0,5.0,381.0,,3.0,58.6458,,33.0,58.0,,,131.0,3.0,0.0,10.0,1.0,643.0,203.0,27.0,,,,86.0,52.0,,,,5.0,4.0,0.0,685.0,,,420.0,1.0,1.0,162.0,,,145.0,,1252.0,,1.0,,,248.0,440.0,,,,1.0,392.0,107.0,,,1.0,,,,56.0,,,,,,143.0,,183.0,,,103.0,26.0,93.0,24.0,74.0,,24.0,6.0,20.0,5.0,2.0,1.0,,,,,,,1.0,4.0,1.0,
549640,Michael Golding,Midfielder,Leicester,13,England,2024-25,,,,0.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
