playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,unsuccessfulLayoffs,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,aerialDuelsLost,successfulCrossesOpenPlay,blockedShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,successfulCrossesAndCorners,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,cornersWon,blocks,totalFoulsConceded,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,foulAttemptedTackle,handballsConceded,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goals,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,homeGoals,leftFootGoals,shotsOffTargetIncWoodwork,shotsBlockedOutsideBox,secondGoalAssists,foulWonPenalty,rightFootGoals,ownGoalScored,headedGoals,hitWoodwork,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,oboxTarget,setPiecesGoals,penaltiesTaken,penaltyGoals
17745,Kasper Schmeichel,Goalkeeper,Celtic,Denmark,2016-17,3.0,0.0739,0.0,36.0,2.0,51.0,4.0,30.0,30.0,534.0,888.0,278.0,7.0,11.0,8.0,4.0,2667.0,1.0,15.0,4.0,2.0,4.0,44.0,12.0,4.0,45.3631,120.0,28.0,47.0,3.0,21.0,113.0,3.0,0.0,18.0,1.0,8.0,819.0,273.0,30.0,2.0,2.0,244.0,43.0,7.0,11.0,0.0,155.0,345.0,548.0,2.0,2.0,194.0,39.0,48.0,1.0,310.0,1171.0,1.0,253.0,110.0,59.0,1.0,530.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38038,Ben Hamer,Goalkeeper,Queens Park Rangers,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51934,Ron-Robert Zieler,Goalkeeper,1. FC Köln,Germany,2016-17,1.0,0.0384,0.0,6.0,,7.0,2.0,9.0,8.0,171.0,269.0,77.0,2.0,2.0,1.0,,753.0,,1.0,1.0,1.0,,28.0,4.0,,10.2075,40.0,10.0,16.0,,15.0,18.0,,0.0,2.0,,1.0,241.0,64.0,9.0,,,51.0,15.0,,1.0,0.0,37.0,126.0,171.0,,,53.0,6.0,13.0,,70.0,318.0,,91.0,47.0,11.0,0.0,169.0,22.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40725,Danny Simpson,Defender,Scarborough Athletic,England,2016-17,122.0,1.3038,0.0,,50.0,,186.0,35.0,34.0,339.0,1091.0,,,118.0,9.0,,2990.0,,119.0,4.0,63.0,67.0,688.0,,4.0,47.0115,21.0,143.0,50.0,56.0,75.0,,11.0,0.0,241.0,20.0,,572.0,175.0,35.0,,,393.0,46.0,123.0,52.0,0.0,,1080.0,462.0,40.0,6.0,,,316.0,67.0,64.0,1811.0,3.0,108.0,370.0,,12.0,153.0,95.0,1.0,66.0,11.0,2.0,2.0,2.0,15.0,2.0,11.0,1.0,7.0,76.0,9.0,2.0,10.0,4.0,15.0,8.0,2.0,1.0,11.0,35.0,1.0,128.0,227.0,23.0,1.0,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Chelsea,England,2016-17,51.0,0.467,0.0,,23.0,,59.0,12.0,7.0,94.0,301.0,,,45.0,1.0,,696.0,,76.0,3.0,16.0,49.0,193.0,,1.0,15.6817,6.0,16.0,18.0,33.0,83.0,,15.0,0.0,127.0,10.0,,139.0,54.0,12.0,,,108.0,15.0,82.0,27.0,0.0,,297.0,152.0,18.0,11.0,,,22.0,23.0,14.0,524.0,,26.0,100.0,,2.0,35.0,24.0,5.0,18.0,1.0,2.0,,2.0,17.0,1.0,1.0,,11.0,16.0,2.0,1.0,5.0,10.0,17.0,14.0,1.0,3.0,3.0,7.0,,57.0,42.0,1.0,1.0,0.6265,2.0,0.2866,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
15033,Wes Morgan,Defender,Leicester City,Jamaica,2016-17,77.0,0.229,0.0,,27.0,,116.0,27.0,27.0,211.0,652.0,,,110.0,5.0,,2430.0,,104.0,2.0,18.0,39.0,408.0,,3.0,38.4678,9.0,140.0,45.0,32.0,111.0,,8.0,1.0,181.0,12.0,,375.0,91.0,27.0,,,129.0,43.0,71.0,65.0,0.0,,639.0,228.0,14.0,4.0,,,115.0,52.0,33.0,978.0,,59.0,313.0,,3.0,95.0,64.0,,45.0,1.0,5.0,,,,1.0,1.0,1.0,31.0,,4.0,5.0,13.0,3.0,,6.0,5.0,3.0,25.0,20.0,,51.0,2.0,6.0,,1.744,3.0,0.512,9.0,,1.0,0.0,,2.0,2.0,1.0,,6.0,,,1.0,1.0,,,,,,,,,,,,,,
12413,Robert Huth,Defender,Leicester City,Germany,2016-17,126.0,0.8589,0.0,,28.0,,106.0,33.0,33.0,201.0,701.0,,,176.0,9.0,,2929.0,,135.0,3.0,20.0,41.0,467.0,,3.0,44.4501,21.0,222.0,49.0,44.0,146.0,,18.0,0.0,261.0,14.0,,338.0,139.0,33.0,,,127.0,46.0,85.0,94.0,0.0,,693.0,216.0,22.0,,,,149.0,43.0,33.0,1129.0,3.0,86.0,373.0,,9.0,95.0,58.0,,82.0,,10.0,2.0,2.0,,,,1.0,50.0,,4.0,8.0,6.0,1.0,,4.0,8.0,5.0,37.0,45.0,,68.0,,14.0,4.0,2.3603,9.0,1.3049,16.0,,2.0,2.0,2.0,7.0,7.0,0.0,,7.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,,,
37388,Marcin Wasilewski,Defender,Leicester City,Poland,2016-17,1.0,0.0018,0.0,,2.0,,5.0,1.0,1.0,7.0,23.0,,,3.0,,,90.0,,4.0,,,2.0,14.0,,,1.1722,2.0,2.0,2.0,,1.0,,,0.0,5.0,,,19.0,6.0,1.0,,,9.0,2.0,2.0,2.0,0.0,,23.0,7.0,1.0,,,,2.0,2.0,2.0,30.0,,1.0,7.0,,0.0,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37402,Christian Fuchs,Defender,Leicester City,Austria,2016-17,151.0,3.0772,0.0,,96.0,,190.0,36.0,35.0,359.0,1294.0,,,130.0,8.0,,3103.0,,185.0,5.0,78.0,116.0,839.0,,4.0,49.2774,22.0,143.0,57.0,90.0,397.0,,8.0,0.0,336.0,35.0,,700.0,205.0,36.0,,,531.0,52.0,206.0,69.0,0.0,,1257.0,654.0,79.0,13.0,,,90.0,71.0,96.0,2279.0,2.0,110.0,430.0,,10.0,169.0,101.0,1.0,61.0,16.0,4.0,4.0,7.0,54.0,1.0,26.0,,13.0,184.0,34.0,,17.0,4.0,70.0,15.0,,18.0,13.0,29.0,,107.0,195.0,14.0,2.0,1.4393,6.0,1.6323,17.0,,2.0,0.0,4.0,2.0,2.0,2.0,1.0,11.0,4.0,1.0,,1.0,,,1.0,6.0,2.0,2.0,13.0,0.0736,21.0,2.0,2.0,,,
41321,Yohan Benalouane,Defender,Nottingham Forest,Tunisia,2016-17,46.0,0.057,0.0,,17.0,,24.0,11.0,11.0,60.0,188.0,,,41.0,4.0,,920.0,,40.0,1.0,5.0,22.0,112.0,,1.0,16.0449,7.0,56.0,15.0,23.0,28.0,,3.0,0.0,86.0,3.0,,102.0,49.0,11.0,,,44.0,14.0,45.0,18.0,0.0,,184.0,63.0,12.0,3.0,,,41.0,26.0,16.0,314.0,4.0,22.0,84.0,,4.0,36.0,12.0,,23.0,,1.0,,,,,,1.0,5.0,,2.0,1.0,5.0,,,1.0,1.0,1.0,5.0,15.0,,17.0,,12.0,,0.5295,1.0,0.044,3.0,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,0.0169,,1.0,1.0,,,
179596,Elliott Moore,Defender,Northampton Town,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61603,Danny Drinkwater,Midfielder,Reading,England,2016-17,177.0,0.9107,0.0,,84.0,,248.0,29.0,27.0,395.0,1745.0,,,83.0,6.0,,2467.0,1.0,153.0,2.0,69.0,115.0,1244.0,,2.0,40.2054,12.0,52.0,44.0,132.0,388.0,,10.0,1.0,330.0,37.0,,637.0,266.0,29.0,,,771.0,42.0,247.0,38.0,0.0,,1689.0,506.0,54.0,21.0,,,465.0,39.0,106.0,2193.0,2.0,54.0,581.0,,6.0,147.0,72.0,2.0,45.0,2.0,13.0,1.0,44.0,24.0,1.0,2.0,,28.0,1.0,14.0,1.0,30.0,7.0,25.0,40.0,1.0,13.0,12.0,46.0,1.0,255.0,3.0,29.0,,1.1388,3.0,0.3862,18.0,3.0,1.0,0.0,12.0,,,1.0,,15.0,12.0,,,1.0,,,,,1.0,1.0,,0.1515,1.0,2.0,2.0,,,
172632,Demarai Gray,Forward,Birmingham City,Jamaica,2016-17,99.0,0.8964,0.0,,19.0,,56.0,30.0,9.0,82.0,326.0,,,38.0,,,1038.0,1.0,74.0,2.0,25.0,69.0,230.0,,1.0,16.8052,,10.0,20.0,66.0,101.0,,14.0,0.0,173.0,17.0,,100.0,62.0,30.0,,,198.0,18.0,135.0,5.0,0.0,,316.0,230.0,13.0,36.0,,,51.0,8.0,14.0,641.0,7.0,18.0,60.0,,2.0,26.0,17.0,21.0,33.0,10.0,8.0,3.0,6.0,39.0,2.0,14.0,,34.0,1.0,14.0,1.0,6.0,30.0,68.0,48.0,1.0,22.0,1.0,11.0,,74.0,1.0,4.0,,1.0016,8.0,2.2671,19.0,,1.0,1.0,7.0,2.0,2.0,0.0,,11.0,7.0,,1.0,1.0,,,,4.0,1.0,1.0,29.0,0.1151,36.0,5.0,5.0,,,
13152,Andy King,Midfielder,Bristol City,Wales,2016-17,68.0,1.4528,0.0,,38.0,,94.0,23.0,15.0,134.0,644.0,,,45.0,1.0,,1445.0,1.0,84.0,1.0,23.0,59.0,477.0,,3.0,23.1145,4.0,32.0,26.0,48.0,166.0,,17.0,0.0,152.0,12.0,,198.0,90.0,23.0,,,254.0,25.0,107.0,25.0,0.0,,625.0,173.0,29.0,4.0,,,166.0,27.0,33.0,860.0,5.0,19.0,258.0,,4.0,40.0,27.0,8.0,20.0,2.0,2.0,,25.0,12.0,1.0,2.0,,25.0,,6.0,,9.0,1.0,12.0,10.0,,2.0,12.0,18.0,,114.0,1.0,13.0,,0.6664,7.0,0.674,12.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,,5.0,2.0,,,1.0,,,,,1.0,1.0,,0.0751,,3.0,3.0,,,
51938,Marc Albrighton,Midfielder,Leicester City,England,2016-17,169.0,3.5346,0.0,,51.0,,189.0,33.0,29.0,317.0,874.0,,,37.0,4.0,,2423.0,1.0,125.0,5.0,75.0,118.0,501.0,,3.0,41.3194,8.0,30.0,47.0,139.0,226.0,,20.0,0.0,294.0,44.0,,399.0,226.0,33.0,,,426.0,42.0,257.0,7.0,0.0,,832.0,615.0,41.0,47.0,,,114.0,34.0,56.0,1532.0,17.0,75.0,174.0,,5.0,128.0,67.0,4.0,30.0,24.0,5.0,6.0,23.0,116.0,2.0,43.0,,52.0,5.0,41.0,2.0,10.0,40.0,169.0,68.0,2.0,28.0,2.0,21.0,,135.0,23.0,15.0,1.0,1.3814,7.0,1.8099,16.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,,9.0,3.0,,,2.0,,,,17.0,1.0,1.0,43.0,0.069,82.0,4.0,4.0,1.0,,
165911,Bartosz Kapustka,Midfielder,Legia Warsaw,Poland,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
