playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,aerialDuels,shotsOnTargetOutsideBox,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,freekickTotal,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cleanSheets,throwInsToOppositionPlayer,totalClearances,shotsBlockedInBox,iboxBlocked,clearancesOffTheLine,throwInsToOwnPlayer,successfulCrossesOpenPlay,offsides,cornersTakenInclShortCorners,successfulCrossesAndCorners,redCards2ndYellow,unsuccessfulCornersIntoBox,handballsConceded,punches,savesMade,savesMadeFromOutsideBox,gkSuccessfulDistribution,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeParried,savesMadeFromInsideBox,successfulCornersIntoBox,ownGoalScored,iboxTarget,shotsOnTargetInBox,penaltiesConceded,foulWonPenalty,goals,rightFootGoals,otherGoals,hitWoodwork,savesMadeCaught,headedGoals,penaltiesTaken,leftFootGoals,penaltyGoals,penaltiesSaved,catches,savesFromPenalty,goalkeeperSmother,drops,crossesNotClaimed,setPiecesGoals
46483,Adrien Silva,Midfielder,Leicester,13,Portugal,2017-18,68.0,0.4531,0.0,0.059,5.0,2.0,0.2173,22.0,6.0,3.0,65.0,12.0,1.0,10.0,9.0,80.0,4.0,433.0,5.0,3.0,30.0,2.0,761.0,1.0,19.0,47.0,4.0,18.0,36.0,334.0,3.0,14.1336,6.0,1.0,18.0,49.0,107.0,8.0,115.0,10.0,139.0,58.0,12.0,2.0,9.0,2.0,225.0,14.0,4.0,1.0,85.0,11.0,0.0,415.0,4.0,2.0,122.0,13.0,6.0,2.0,1.0,116.0,9.0,14.0,19.0,71.0,559.0,4.0,5.0,5.0,128.0,8.0,0.3264,3.0,15.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60598,Aleksandar Dragovic,Defender,Leicester,13,Austria,2017-18,24.0,0.0364,0.0,,1.0,,,13.0,,,28.0,11.0,,,7.0,50.0,1.0,337.0,,4.0,22.0,,767.0,,9.0,30.0,3.0,9.0,17.0,255.0,2.0,11.7769,,4.0,14.0,15.0,69.0,3.0,54.0,8.0,129.0,50.0,11.0,,3.0,,90.0,11.0,1.0,,32.0,13.0,0.0,330.0,,,63.0,10.0,1.0,8.0,,116.0,7.0,16.0,32.0,23.0,465.0,1.0,,15.0,197.0,3.0,0.0694,2.0,22.0,21.0,3.0,8.0,42.0,1.0,1.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Leicester,13,England,2017-18,129.0,2.361,1.0,,2.0,1.0,0.0229,36.0,4.0,,171.0,24.0,2.0,4.0,20.0,235.0,66.0,901.0,2.0,4.0,128.0,1.0,1852.0,,61.0,156.0,6.0,77.0,89.0,639.0,18.0,23.8668,19.0,6.0,30.0,68.0,273.0,23.0,285.0,27.0,358.0,129.0,24.0,1.0,10.0,21.0,390.0,24.0,67.0,,157.0,67.0,0.0,891.0,3.0,17.0,434.0,26.0,31.0,4.0,,79.0,13.0,28.0,27.0,191.0,1554.0,3.0,2.0,39.0,293.0,5.0,0.2032,1.0,64.0,60.0,4.0,39.0,62.0,,,,169.0,17.0,4.0,1.0,17.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38038,Ben Hamer,Goalkeeper,Leicester,13,England,2017-18,1.0,0.0083,0.0,,,,,,,,,4.0,,,3.0,31.0,,71.0,,1.0,2.0,,274.0,,,2.0,2.0,,,21.0,,6.4669,,6.0,7.0,1.0,4.0,,3.0,,58.0,29.0,4.0,,,,15.0,5.0,,,1.0,2.0,0.0,39.0,,,31.0,,,,,9.0,,,19.0,,97.0,,,17.0,25.0,,,0.0,31.0,3.0,1.0,,5.0,,,,,,,,,,,,2.0,6.0,1.0,25.0,10.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,
37402,Christian Fuchs,Defender,Leicester,13,Austria,2017-18,91.0,0.9153,0.0,,4.0,,,41.0,7.0,1.0,153.0,25.0,1.0,2.0,21.0,232.0,52.0,896.0,2.0,4.0,98.0,,1918.0,,37.0,115.0,6.0,56.0,54.0,608.0,4.0,32.9833,17.0,15.0,35.0,54.0,317.0,4.0,206.0,20.0,410.0,132.0,25.0,,14.0,6.0,352.0,29.0,61.0,,108.0,61.0,0.0,878.0,7.0,9.0,412.0,27.0,9.0,3.0,,47.0,12.0,58.0,56.0,122.0,1516.0,1.0,2.0,41.0,322.0,6.0,0.5373,1.0,79.0,60.0,4.0,83.0,70.0,2.0,2.0,,168.0,9.0,,13.0,10.0,,6.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
155569,Daniel Amartey,Defender,Leicester,13,Ghana,2017-18,21.0,0.0645,1.0,,,,,8.0,,,28.0,8.0,,1.0,6.0,51.0,,250.0,,2.0,17.0,,488.0,,7.0,29.0,1.0,5.0,19.0,188.0,,7.2435,,1.0,7.0,14.0,10.0,7.0,50.0,4.0,100.0,30.0,8.0,,4.0,1.0,78.0,6.0,,,33.0,10.0,0.0,249.0,,1.0,81.0,4.0,4.0,3.0,,105.0,5.0,7.0,11.0,35.0,378.0,2.0,,10.0,121.0,3.0,,0.0,23.0,13.0,3.0,20.0,16.0,,,,40.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40725,Danny Simpson,Defender,Leicester,13,England,2017-18,106.0,0.2947,0.0,,,1.0,0.0424,38.0,3.0,2.0,123.0,28.0,,,27.0,231.0,16.0,904.0,,1.0,86.0,,2313.0,,46.0,97.0,8.0,38.0,57.0,622.0,10.0,33.7179,4.0,16.0,41.0,60.0,55.0,10.0,203.0,12.0,389.0,130.0,28.0,,16.0,7.0,302.0,33.0,16.0,,117.0,40.0,0.0,882.0,2.0,2.0,330.0,22.0,10.0,19.0,,324.0,21.0,34.0,51.0,136.0,1519.0,7.0,,65.0,378.0,16.0,0.1684,4.0,108.0,67.0,5.0,48.0,94.0,,,,218.0,7.0,,,7.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
172632,Demarai Gray,Forward,Leicester,13,Jamaica,2017-18,104.0,2.6501,0.0,0.1494,16.0,9.0,2.5814,17.0,20.0,1.0,93.0,35.0,1.0,13.0,17.0,115.0,50.0,557.0,7.0,18.0,29.0,2.0,1690.0,1.0,24.0,90.0,7.0,56.0,85.0,416.0,60.0,28.6128,26.0,5.0,35.0,80.0,158.0,30.0,194.0,27.0,106.0,99.0,35.0,2.0,2.0,25.0,306.0,28.0,68.0,1.0,165.0,5.0,0.0,536.0,11.0,23.0,294.0,15.0,38.0,,1.0,118.0,7.0,11.0,26.0,175.0,961.0,11.0,7.0,12.0,154.0,2.0,2.5309,2.0,22.0,20.0,2.0,2.0,11.0,9.0,9.0,,5.0,9.0,4.0,29.0,18.0,,16.0,,,,,,,,,,9.0,,4.0,4.0,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,
11974,Eldin Jakupovic,Goalkeeper,Leicester,13,Switzerland,2017-18,,0.0075,0.0,,,,,,,,,2.0,,,2.0,20.0,,43.0,,,1.0,,180.0,,,2.0,,,1.0,6.0,,5.0571,,8.0,6.0,,,1.0,2.0,,40.0,25.0,2.0,,,,15.0,6.0,,,1.0,1.0,0.0,18.0,,,21.0,,,,,3.0,,,17.0,,71.0,,,10.0,8.0,,,0.0,20.0,1.0,,,5.0,,,,,,,,,,,,1.0,8.0,1.0,20.0,6.0,,4.0,7.0,,,,,,,,,,,2.0,,,,,,,,,,,
210207,Fousseni Diabaté,Midfielder,Leicester,13,Mali,2017-18,50.0,0.6388,0.0,,,2.0,0.2002,9.0,6.0,1.0,44.0,14.0,1.0,14.0,5.0,48.0,7.0,227.0,,9.0,25.0,,583.0,,11.0,53.0,3.0,16.0,39.0,175.0,17.0,10.7846,6.0,,12.0,39.0,70.0,14.0,103.0,6.0,55.0,33.0,14.0,,3.0,18.0,138.0,9.0,7.0,,78.0,14.0,0.0,225.0,4.0,6.0,113.0,6.0,16.0,,,50.0,1.0,8.0,4.0,52.0,377.0,4.0,,1.0,44.0,1.0,0.531,1.0,4.0,9.0,,,7.0,,,,,3.0,1.0,,3.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
