playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,totalTackles,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,penaltyGoalsConceded,expectedGoalsOnTargetConceded,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,straightRedCards,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,cornersTakenInclShortCorners,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,goalsConcededOutsideBox,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,successfulLaunches,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,unsuccessfulCornersIntoBox,clearancesOffTheLine,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,handballsConceded,expectedGoals,penaltiesConceded,expectedGoalsFreekick,goals,unsuccessfulLayoffs,shotsBlockedInBox,rightFootGoals,leftFootGoals,freekickTotal,iboxBlocked,attemptsFromSetPieces,hitWoodwork,headedGoals,setPiecesGoals,redCards2ndYellow,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
46483,Adrien Silva,Midfielder,Leicester,13,Portugal,2018-19,7.0,0.0365,0.0,2.0,10.0,2.0,1.0,1.0,11.0,79.0,1.0,2.0,88.0,2.0,5.0,1.0,5.0,61.0,1.0,2.1515,1.0,1.0,5.0,24.0,2.0,12.0,1.0,21.0,5.0,2.0,42.0,1.0,10.0,0.0,76.0,17.0,2.0,1.0,24.0,1.0,7.0,10.0,95.0,1.0,1.0,26.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Leicester,13,England,2018-19,214.0,2.7941,0.0,55.0,337.0,36.0,1.0,36.0,466.0,1684.0,,183.0,3240.0,72.0,258.0,84.0,147.0,1176.0,4.0,37.8531,129.0,43.0,142.0,635.0,44.0,472.0,30.0,620.0,185.0,36.0,729.0,36.0,289.0,0.0,1651.0,842.0,29.0,50.0,68.0,38.0,42.0,361.0,2865.0,304.0,,511.0,4.0,129.0,103.0,18.0,3.0,10.0,2.0783,19.0,3.0,4.0,101.0,2.0,3.0,4.0,10.0,6.0,22.0,4.0,4.0,7.0,1.0,57.0,84.0,41.0,6.0,6.0,26.0,36.0,110.0,111.0,9.0,31.0,7.0,32.0,2.0,1.0,3.0,54.0,16.0,3.0,1.1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37402,Christian Fuchs,Defender,Leicester,13,Austria,2018-19,8.0,0.1985,0.0,4.0,10.0,3.0,,2.0,20.0,118.0,1.0,6.0,206.0,3.0,10.0,6.0,7.0,91.0,1.0,3.1178,7.0,5.0,5.0,50.0,2.0,18.0,,45.0,17.0,3.0,68.0,3.0,12.0,0.0,115.0,43.0,3.0,1.0,1.0,4.0,7.0,22.0,190.0,17.0,,34.0,0.0,10.0,3.0,4.0,1.0,,,1.0,,,11.0,,1.0,,,,4.0,,,2.0,,2.0,6.0,6.0,3.0,,1.0,,11.0,3.0,1.0,3.0,,3.0,,,1.0,5.0,3.0,,0.0687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155569,Daniel Amartey,Defender,Leicester,13,Ghana,2018-19,25.0,0.0771,0.0,18.0,33.0,9.0,1.0,7.0,55.0,371.0,2.0,23.0,639.0,9.0,35.0,9.0,21.0,296.0,1.0,9.0506,25.0,9.0,16.0,13.0,1.0,60.0,2.0,162.0,58.0,9.0,151.0,7.0,37.0,0.0,367.0,89.0,12.0,2.0,154.0,16.0,20.0,42.0,530.0,41.0,1.0,165.0,2.0,22.0,22.0,,,1.0,0.0983,4.0,,,3.0,1.0,,,1.0,1.0,,,,2.0,,3.0,19.0,3.0,4.0,1.0,6.0,2.0,3.0,14.0,3.0,,4.0,6.0,,,,13.0,3.0,1.0,0.3254,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40725,Danny Simpson,Defender,Leicester,13,England,2018-19,12.0,0.0148,0.0,11.0,22.0,6.0,,3.0,32.0,110.0,3.0,14.0,291.0,6.0,19.0,8.0,11.0,71.0,,2.4546,15.0,4.0,6.0,1.0,,31.0,4.0,42.0,14.0,6.0,32.0,4.0,17.0,0.0,108.0,45.0,3.0,,50.0,6.0,7.0,17.0,204.0,26.0,2.0,46.0,0.0,10.0,6.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,9.0,1.0,2.0,,8.0,,1.0,8.0,,2.0,3.0,2.0,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95463,Danny Ward,Goalkeeper,Leicester,13,Wales,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172632,Demarai Gray,Forward,Leicester,13,Jamaica,2018-19,126.0,1.8153,0.0,25.0,123.0,34.0,21.0,23.0,147.0,657.0,11.0,46.0,1996.0,35.0,93.0,56.0,82.0,491.0,4.0,22.5208,13.0,29.0,91.0,171.0,15.0,219.0,19.0,147.0,99.0,34.0,348.0,26.0,173.0,0.0,651.0,337.0,12.0,42.0,147.0,9.0,19.0,192.0,1066.0,4.0,18.0,166.0,2.0,24.0,37.0,3.0,13.0,19.0,5.1118,34.0,8.0,1.0,40.0,3.0,6.0,9.0,,5.0,4.0,10.0,10.0,3.0,1.0,87.0,,16.0,4.0,5.0,13.0,31.0,48.0,11.0,15.0,21.0,,14.0,8.0,,6.0,13.0,8.0,1.0,4.5096,,0.0535,4.0,3.0,7.0,3.0,1.0,1.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
210207,Fousseni Diabaté,Midfielder,Leicester,13,Mali,2018-19,3.0,0.0329,0.0,2.0,6.0,1.0,1.0,1.0,6.0,14.0,,3.0,55.0,2.0,4.0,3.0,3.0,8.0,,0.3366,,1.0,1.0,7.0,1.0,7.0,2.0,2.0,2.0,1.0,7.0,1.0,4.0,0.0,14.0,8.0,,,3.0,,,2.0,22.0,,1.0,2.0,0.0,,4.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197469,Hamza Choudhury,Midfielder,Leicester,13,Bangladesh,2018-19,25.0,0.1615,0.0,24.0,26.0,9.0,5.0,7.0,37.0,240.0,2.0,11.0,596.0,6.0,33.0,14.0,28.0,193.0,1.0,5.2758,12.0,4.0,19.0,67.0,2.0,58.0,9.0,57.0,33.0,9.0,97.0,3.0,47.0,0.0,228.0,52.0,10.0,2.0,64.0,15.0,10.0,52.0,338.0,1.0,3.0,107.0,0.0,11.0,15.0,1.0,1.0,2.0,0.6368,3.0,,,2.0,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,,5.0,2.0,1.0,14.0,4.0,2.0,5.0,1.0,3.0,3.0,7.0,,,1.0,7.0,4.0,,0.464,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Leicester,13,England,2018-19,68.0,0.9637,1.0,31.0,151.0,31.0,,31.0,252.0,1747.0,,151.0,2599.0,33.0,181.0,21.0,63.0,1304.0,4.0,33.3772,152.0,40.0,35.0,622.0,16.0,249.0,14.0,685.0,195.0,31.0,641.0,32.0,98.0,1.0,1687.0,289.0,17.0,16.0,368.0,37.0,191.0,72.0,2137.0,4.0,2.0,854.0,6.0,101.0,73.0,,5.0,13.0,2.8228,25.0,2.0,,1.0,4.0,2.0,,6.0,1.0,,9.0,9.0,8.0,,63.0,,11.0,8.0,1.0,14.0,3.0,1.0,118.0,12.0,5.0,18.0,20.0,,,2.0,47.0,8.0,,2.3218,,,3.0,,3.0,2.0,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
