season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437079,1,110,Stoke_City,Away,765,14295,Darren Fletcher,darren-fletcher,M,False,,,3.0,23.0,7.0,30.0,,1.0,4.0,,,,,,,3.0,5.0,6.0,,,2.0,,,,,6.0,,,90.0,,,,,,,,22.0,,7.1,,,1.0,,2.0,3.0,,11.0,,38.0,9.0,44.0,1,2.0,65.0,2.0,1.0,2.0,
2017-18,7437079,1,110,Stoke_City,Away,917,3773,Peter Crouch,peter-crouch,F,True,,,,4.0,2.0,6.0,2.0,6.0,,,,1.0,,,,,2.0,6.0,,,,,,,,,1.0,,18.0,,,,,,,,3.0,,6.8,,,,1.0,,,,,3.0,7.0,2.0,9.0,1,,11.0,,,,
2017-18,7437079,1,110,Stoke_City,Away,1204,9047,Glen Johnson,glen-johnson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437079,1,110,Stoke_City,Away,9360,20208,Charlie Adam,charlie-adam,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437079,1,110,Stoke_City,Away,10011,6744,Lee Grant,lee-grant,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437079,1,110,Stoke_City,Away,17063,39487,Erik Pieters,erik-pieters,D,False,1.0,,,12.0,4.0,15.0,2.0,3.0,3.0,,,,,,,,4.0,8.0,,,2.0,,,,,4.0,,,90.0,,,,,,,,12.0,,7.1,,,,3.0,,4.0,,5.0,2.0,23.0,5.0,24.0,0,4.0,52.0,,1.0,,
2017-18,7437079,1,110,Stoke_City,Away,20602,40555,Joe Allen,joe-allen,M,False,,,2.0,17.0,9.0,26.0,1.0,1.0,7.0,,,1.0,,,,4.0,8.0,7.0,,,3.0,,,,,2.0,1.0,,90.0,,,,,,,,15.0,,6.9,,,1.0,2.0,2.0,1.0,,4.0,,23.0,10.0,32.0,2,1.0,53.0,3.0,3.0,2.0,
2017-18,7437079,1,110,Stoke_City,Away,21626,42564,Eric Maxim Choupo-Moting,eric-maxim-choupo-moting,F,True,,,,5.0,1.0,6.0,,,2.0,,,,,,,1.0,4.0,4.0,,,1.0,,,,,,1.0,,18.0,,,,,,,,9.0,,6.6,,,,,3.0,2.0,,,,10.0,1.0,9.0,0,2.0,19.0,1.0,1.0,1.0,
2017-18,7437079,1,110,Stoke_City,Away,22481,61858,Mame Biram Diouf,mame-biram-diouf,F,False,,,,10.0,2.0,12.0,3.0,4.0,2.0,,,,,,,,3.0,8.0,,,,,,,,2.0,1.0,,90.0,,,,,,,,12.0,,7.2,,,2.0,2.0,1.0,1.0,,1.0,,15.0,3.0,17.0,2,2.0,39.0,2.0,1.0,1.0,
2017-18,7437079,1,110,Stoke_City,Away,25929,40276,Bojan Krkić,bojan-krkic,F,False,,,,10.0,12.0,22.0,,,5.0,,,,1.0,,,2.0,4.0,4.0,,,1.0,,,,,,1.0,,72.0,,,,,,,,8.0,,6.9,,,1.0,,1.0,2.0,,,,14.0,13.0,25.0,1,,38.0,1.0,3.0,1.0,
2017-18,7437079,1,110,Stoke_City,Away,27314,37869,Ryan Shawcross,ryan-shawcross,D,False,,,,2.0,6.0,8.0,2.0,2.0,,,,,,,,,2.0,5.0,,,,,,,,4.0,,,90.0,,,,,,,,3.0,,7.1,,,,5.0,,,,1.0,1.0,4.0,6.0,10.0,0,3.0,27.0,1.0,1.0,,
