season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243388,1,45,Norwich_City,Away,14113,,Ralf Fährmann,ralf-fahrmann,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243388,1,45,Norwich_City,Away,15242,57127,Teemu Pukki,teemu-pukki,F,False,,,,6.0,3.0,9.0,3.0,,,2.0,,,1.0,,,,4.0,2.0,,,,,1.0,,,1.0,2.0,,83.0,1.0,,,,,,,8.0,,,7.3,,,1.0,,1.0,1.0,,,1.0,1.0,8.0,6.0,14.0,,,3,1.0,28.0,2.0,1.0,,1.0
2019-20,8243388,1,45,Norwich_City,Away,15823,37614,Mario Vrančić,mario-vrancic,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243388,1,45,Norwich_City,Away,18154,20480,Tim Krul,tim-krul,G,False,,,9.0,3.0,22.0,25.0,,1.0,,12.0,,,,,,,,1.0,,,,,,2.0,,,,,90.0,,,,,,,,21.0,,,6.3,2.0,4.0,,,2.0,,,,29.0,,19.0,27.0,46.0,,,0,,61.0,,,,
2019-20,8243388,1,45,Norwich_City,Away,75756,78607,Kenny McLean,kenny-mclean,M,False,,,,7.0,22.0,29.0,,,,1.0,,,,,,2.0,3.0,4.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,5.0,,,6.4,,,,,3.0,1.0,,,,,10.0,22.0,32.0,,,0,2.0,45.0,,1.0,1.0,1.0
2019-20,8243388,1,45,Norwich_City,Away,95791,83428,Grant Hanley,grant-hanley,D,False,,,1.0,1.0,23.0,24.0,1.0,,,,,,,2.0,,,4.0,,,,1.0,,,,,,,,90.0,,1.0,1.0,,,,,3.0,,,5.6,,,,,5.0,,,,2.0,,2.0,24.0,26.0,,,0,,34.0,1.0,,,
2019-20,8243388,1,45,Norwich_City,Away,101789,71738,Marco Stiepermann,marco-stiepermann,M,False,,,,5.0,6.0,11.0,4.0,,,2.0,,,,,,,4.0,2.0,,,,,,,,,,,58.0,1.0,,,,,,,6.0,,,6.4,,,2.0,,1.0,,,,1.0,,7.0,9.0,16.0,,,3,1.0,23.0,1.0,1.0,,
2019-20,8243388,1,45,Norwich_City,Away,107025,81048,Josip Drmić,josip-drmic,F,True,,,,2.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,10.0,,,,,,,,1.0,,,6.5,,,,,,,,,1.0,,3.0,,3.0,,,0,,4.0,,,,
2019-20,8243388,1,45,Norwich_City,Away,129916,90440,Tom Trybull,tom-trybull,M,False,,,2.0,7.0,24.0,31.0,,3.0,,6.0,,,,4.0,,,7.0,5.0,,,3.0,,,,,1.0,,,70.0,,,,,,,,6.0,,,6.2,,,1.0,,3.0,,,,2.0,1.0,7.0,28.0,35.0,,,1,1.0,50.0,2.0,1.0,,1.0
2019-20,8243388,1,45,Norwich_City,Away,137017,89470,Onel Hernández,onel-hernandez,F,True,,,,3.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,3.0,,,6.6,,,,,,,,,,2.0,6.0,,6.0,,,1,,8.0,,,,
