season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089874,1,35,West_Bromwich_Albion,Away,765,14295,Darren Fletcher,darren-fletcher,M,False,,,8.0,16.0,7.0,23.0,3.0,1.0,3.0,,,,3.0,,,,6.0,3.0,,,,,,,,4.0,,90.0,,,,,,14.0,,6.8,,,,1.0,,,,11.0,,20.0,13.0,33.0,0,1.0,45.0,3.0,1.0,,1.0
2016-17,7089874,1,35,West_Bromwich_Albion,Away,822,18008,James Morrison,james-morrison,M,True,,,,1.0,,1.0,,,1.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,4.0,,,,,,1.0,,,,,,,,,,1.0,,2.0,,2.0,0,,2.0,,,,
2016-17,7089874,1,35,West_Bromwich_Albion,Away,7776,39253,Jonas Olsson,jonas-olsson,D,False,,,3.0,1.0,8.0,9.0,,4.0,1.0,,,,,,,,1.0,5.0,,,1.0,,,,,2.0,,90.0,,,,,,8.0,,7.3,,,2.0,5.0,,,,7.0,,6.0,11.0,17.0,2,,27.0,,1.0,,
2016-17,7089874,1,35,West_Bromwich_Albion,Away,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089874,1,35,West_Bromwich_Albion,Away,10599,9089,Ben Foster,ben-foster,G,False,,,9.0,7.0,4.0,11.0,,,17.0,,,,,,,,,,,,,,,1.0,,,1.0,90.0,,,,,,24.0,,7.6,1.0,4.0,,,,,,33.0,,30.0,5.0,35.0,0,,43.0,,,,
2016-17,7089874,1,35,West_Bromwich_Albion,Away,13357,19272,Gareth McAuley,gareth-mcauley,D,False,,,3.0,3.0,11.0,14.0,,4.0,3.0,,,,,,,,1.0,5.0,,,1.0,,,,,,,90.0,,1.0,,,,6.0,,7.3,,,,8.0,,,,5.0,,8.0,12.0,20.0,0,1.0,34.0,,,,1.0
2016-17,7089874,1,35,West_Bromwich_Albion,Away,14235,28468,Craig Gardner,craig-gardner,M,False,6.0,,1.0,10.0,1.0,5.0,1.0,,4.0,,,,1.0,,,2.0,7.0,3.0,,,3.0,,,,,,5.0,71.0,,,,,,11.0,,7.3,,,,1.0,,7.0,,2.0,,16.0,3.0,12.0,0,2.0,28.0,1.0,1.0,,1.0
2016-17,7089874,1,35,West_Bromwich_Albion,Away,19659,11037,Rickie Lambert,rickie-lambert,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089874,1,35,West_Bromwich_Albion,Away,30144,37642,Jonny Evans,jonny-evans,D,False,,,4.0,9.0,7.0,16.0,3.0,1.0,6.0,,,,1.0,,,,5.0,7.0,,,1.0,,,,,4.0,,90.0,,1.0,,,,12.0,,7.5,,,,1.0,1.0,2.0,,10.0,,14.0,11.0,23.0,0,4.0,51.0,2.0,1.0,1.0,2.0
2016-17,7089874,1,35,West_Bromwich_Albion,Away,35532,57134,Salomón Rondón,salomon-rondon,F,False,,,,7.0,5.0,12.0,10.0,5.0,7.0,,,2.0,1.0,,,5.0,17.0,9.0,,,1.0,,1.0,,,1.0,3.0,90.0,2.0,,,,,18.0,,7.5,,,2.0,,3.0,3.0,,1.0,1.0,15.0,7.0,19.0,6,,44.0,2.0,2.0,2.0,
