season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,totalShots
2010-11,1379598,1,35,West_Bromwich_Albion,Away,609,3332,Steven Reid,steven-reid,M,True,,,,,,
2010-11,1379598,1,35,West_Bromwich_Albion,Away,716,17601,Scott Carson,scott-carson,G,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,822,18008,James Morrison,james-morrison,M,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,1311,12765,Jerome Thomas,jerome-thomas,M,False,0.0,0.0,84.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,2420,15935,Pablo Ibañez,pablo-ibanez,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,7776,39253,Jonas Olsson,jonas-olsson,D,True,,,,,,
2010-11,1379598,1,35,West_Bromwich_Albion,Away,9148,20141,Graham Dorrans,graham-dorrans,M,False,0.0,0.0,67.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,9379,20673,Roman Bednář,roman-bednar,F,False,0.0,0.0,67.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,9683,20493,Ishmael Miller,ishmael-miller,F,True,0.0,0.0,23.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,10021,20568,Giles Barnes,giles-barnes,F,True,0.0,0.0,6.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,
2010-11,1379598,1,35,West_Bromwich_Albion,Away,10467,5750,Nicky Shorey,nicky-shorey,D,True,,,,,,
2010-11,1379598,1,35,West_Bromwich_Albion,Away,10540,19151,Chris Brunt,chris-brunt,M,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,10794,27348,Gabriel Tamaş,gabriel-tamas,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,12933,18639,Marek Cech,marek-cech,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,13158,27440,Simon Cox,simon-cox,F,True,0.0,0.0,23.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,15684,37269,Gonzalo Jara,gonzalo-jara,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379598,1,35,West_Bromwich_Albion,Away,18712,39895,Youssouf Mulumbu,youssouf-mulumbu,M,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,609,3332,Steven Reid,steven-reid,M,True,0.0,0.0,8.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,716,17601,Scott Carson,scott-carson,G,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,822,18008,James Morrison,james-morrison,M,False,1.0,0.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,1311,12765,Jerome Thomas,jerome-thomas,M,False,0.0,0.0,46.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,2420,15935,Pablo Ibañez,pablo-ibanez,D,True,,,,,,
2010-11,1379611,2,35,West_Bromwich_Albion,Home,3596,26900,Peter Odemwingie,peter-odemwingie,F,False,0.0,1.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,7776,39253,Jonas Olsson,jonas-olsson,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,9148,20141,Graham Dorrans,graham-dorrans,M,False,0.0,0.0,82.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,9379,20673,Roman Bednář,roman-bednar,F,True,,,,,,
2010-11,1379611,2,35,West_Bromwich_Albion,Home,10021,20568,Giles Barnes,giles-barnes,F,True,0.0,0.0,44.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,
2010-11,1379611,2,35,West_Bromwich_Albion,Home,10467,5750,Nicky Shorey,nicky-shorey,D,True,0.0,0.0,4.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,10540,19151,Chris Brunt,chris-brunt,M,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,10794,27348,Gabriel Tamaş,gabriel-tamas,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,12933,18639,Marek Cech,marek-cech,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,13158,27440,Simon Cox,simon-cox,F,True,,,,,,
2010-11,1379611,2,35,West_Bromwich_Albion,Home,15684,37269,Gonzalo Jara,gonzalo-jara,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379611,2,35,West_Bromwich_Albion,Home,18712,39895,Youssouf Mulumbu,youssouf-mulumbu,M,False,0.0,0.0,86.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,609,3332,Steven Reid,steven-reid,M,True,,,,,,
2010-11,1379619,3,35,West_Bromwich_Albion,Away,716,17601,Scott Carson,scott-carson,G,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,822,18008,James Morrison,james-morrison,M,False,0.0,0.0,85.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,2420,15935,Pablo Ibañez,pablo-ibanez,D,True,,,,,,
2010-11,1379619,3,35,West_Bromwich_Albion,Away,3596,26900,Peter Odemwingie,peter-odemwingie,F,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,6283,57069,Somen Alfred Tchoyi,somen-alfred-tchoyi,M,True,0.0,0.0,15.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,7776,39253,Jonas Olsson,jonas-olsson,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,9148,20141,Graham Dorrans,graham-dorrans,M,False,0.0,0.0,75.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,9993,14279,Marc-Antoine Fortune,marc-antoine-fortune,F,False,0.0,0.0,82.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,10021,20568,Giles Barnes,giles-barnes,F,True,,,,,,
2010-11,1379619,3,35,West_Bromwich_Albion,Away,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,
2010-11,1379619,3,35,West_Bromwich_Albion,Away,10467,5750,Nicky Shorey,nicky-shorey,D,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,10540,19151,Chris Brunt,chris-brunt,M,False,0.0,0.0,90.0,0.0,,0.0
2010-11,1379619,3,35,West_Bromwich_Albion,Away,10794,27348,Gabriel Tamaş,gabriel-tamas,D,False,0.0,0.0,90.0,0.0,,0.0
