season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437080,1,35,West_Bromwich_Albion,Home,10024,12086.0,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,10540,19151.0,Chris Brunt,chris-brunt,M,False,3.0,,2.0,9.0,2.0,8.0,,1.0,6.0,1.0,,,,,,1.0,2.0,4.0,,,1.0,1.0,,,,,3.0,90.0,,,,,,31.0,,7.6,,,,2.0,,6.0,,16.0,,26.0,7.0,27.0,0,3.0,57.0,,,,3.0
2017-18,7437080,1,35,West_Bromwich_Albion,Home,10599,9089.0,Ben Foster,ben-foster,G,False,,,5.0,4.0,2.0,6.0,,,10.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,90.0,,,,,,14.0,,7.0,1.0,2.0,,,,,,19.0,,15.0,5.0,20.0,0,1.0,26.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,26989,44683.0,Jay Rodriguez,jay-rodriguez,F,False,,,,10.0,2.0,12.0,7.0,,2.0,,,,1.0,,,2.0,16.0,,,,4.0,,,,,,2.0,88.0,3.0,,,,,13.0,,6.7,,,2.0,,2.0,1.0,,,1.0,17.0,4.0,20.0,5,,32.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,32492,54908.0,Nacer Chadli,nacer-chadli,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,33427,49440.0,Hal Robson-Kanu,hal-robson-kanu,F,True,,,,2.0,,2.0,1.0,,1.0,,,,,,,1.0,5.0,,,,2.0,,,,,,,18.0,,,,,,4.0,,6.3,,,1.0,,1.0,,,1.0,,2.0,2.0,4.0,1,,7.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,34578,49944.0,Jake Livermore,jake-livermore,M,False,,,4.0,15.0,7.0,22.0,1.0,3.0,9.0,,,,,,,,2.0,7.0,,,,,,,,,3.0,90.0,,,,,,12.0,,7.5,,,,1.0,1.0,,,7.0,,23.0,10.0,33.0,0,3.0,42.0,,1.0,,2.0
2017-18,7437080,1,35,West_Bromwich_Albion,Home,35532,57134.0,Salomón Rondón,salomon-rondon,F,True,,,,1.0,,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,2.0,1.0,,,,,,,6.7,,,,,,,,,,1.0,,1.0,1,,2.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,36466,50229.0,Matt Phillips,matt-phillips,F,False,2.0,,2.0,10.0,5.0,13.0,,1.0,3.0,,,1.0,,,,,3.0,2.0,,,,,,,,1.0,2.0,72.0,,,,,,11.0,,7.0,,,1.0,2.0,4.0,5.0,,3.0,,18.0,5.0,18.0,2,,37.0,,,1.0,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,41631,63370.0,James McClean,james-mcclean,M,False,1.0,,1.0,10.0,2.0,11.0,2.0,,4.0,,,,,,,2.0,7.0,7.0,,,2.0,,,,,,2.0,90.0,,1.0,,,,8.0,,7.5,,,2.0,1.0,1.0,3.0,,2.0,1.0,14.0,2.0,13.0,2,7.0,34.0,,,,6.0
2017-18,7437080,1,35,West_Bromwich_Albion,Home,50027,60232.0,Craig Dawson,craig-dawson,D,False,,,4.0,4.0,10.0,14.0,1.0,2.0,4.0,,,,,,,,2.0,2.0,,,1.0,,,,,7.0,,90.0,,2.0,,,,7.0,,7.6,,,,3.0,,,,8.0,,6.0,14.0,20.0,0,,37.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,128637,67527.0,Allan Nyom,allan-nyom,D,False,,,3.0,8.0,11.0,19.0,,,7.0,,,,,,,,1.0,3.0,,,,,,,,1.0,,90.0,,1.0,,,,15.0,,7.3,,,,1.0,1.0,1.0,,8.0,,14.0,13.0,26.0,0,2.0,48.0,1.0,1.0,,2.0
2017-18,7437080,1,35,West_Bromwich_Albion,Home,151037,55829.0,Claudio Yacob,claudio-yacob,M,False,,,3.0,6.0,10.0,16.0,1.0,1.0,4.0,,,,2.0,,,,5.0,3.0,,,2.0,,,,,2.0,,90.0,,,,,,1.0,,7.0,,,2.0,4.0,,,,3.0,,6.0,10.0,16.0,2,2.0,28.0,1.0,,,1.0
2017-18,7437080,1,35,West_Bromwich_Albion,Home,159653,77777.0,Ahmed Hegazy,ahmed-hegazy,D,False,,,1.0,4.0,14.0,18.0,3.0,4.0,4.0,,,,,,,,3.0,4.0,,,1.0,,1.0,,,3.0,1.0,90.0,2.0,1.0,,,,8.0,,8.1,,,1.0,10.0,,,,7.0,,8.0,18.0,26.0,3,,44.0,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,817559,173809.0,Jonathan Leko,jonathan-leko,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,839819,195864.0,Sam Field,sam-field,M,False,,,,10.0,1.0,11.0,1.0,,2.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,70.0,,,,,,3.0,,6.4,,,,2.0,,,,1.0,,12.0,1.0,13.0,0,,17.0,1.0,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,843765,215457.0,Kane Wilson,kane-wilson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437080,1,35,West_Bromwich_Albion,Home,863651,232427.0,Rekeem Harper,rekeem-harper,M,True,,,1.0,3.0,1.0,4.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,2.0,20.0,,,,,,3.0,,6.7,,,,,1.0,,,1.0,,4.0,1.0,5.0,0,1.0,8.0,1.0,,,1.0
2017-18,7437726,2,35,West_Bromwich_Albion,Away,544,1632.0,Gareth Barry,gareth-barry,M,False,,,1.0,8.0,7.0,15.0,2.0,4.0,4.0,,,,1.0,,,,3.0,5.0,,,,,,,,1.0,,90.0,,2.0,,,,10.0,,7.0,,,,10.0,,,,2.0,,12.0,11.0,23.0,0,1.0,40.0,1.0,,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,10024,12086.0,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,10540,19151.0,Chris Brunt,chris-brunt,M,False,1.0,,2.0,6.0,7.0,12.0,,,3.0,,,,3.0,,,,4.0,1.0,,,1.0,,,,,,,90.0,,,,,,26.0,,6.3,,,1.0,2.0,,5.0,,11.0,,22.0,11.0,28.0,1,1.0,48.0,,,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,10599,9089.0,Ben Foster,ben-foster,G,False,,,11.0,11.0,1.0,12.0,,1.0,4.0,,,,,,,,,2.0,,,,,,1.0,,,,90.0,,,,,,19.0,,6.8,,,,,,,,29.0,,28.0,2.0,30.0,0,,35.0,,2.0,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,26989,44683.0,Jay Rodriguez,jay-rodriguez,F,False,1.0,,2.0,9.0,2.0,10.0,9.0,1.0,4.0,,,,1.0,,,1.0,15.0,2.0,,,3.0,,,,,1.0,1.0,90.0,,,,,,13.0,,6.4,,,1.0,,1.0,1.0,,3.0,3.0,13.0,4.0,16.0,1,,27.0,5.0,1.0,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,32492,54908.0,Nacer Chadli,nacer-chadli,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,33427,49440.0,Hal Robson-Kanu,hal-robson-kanu,F,True,,,,2.0,,2.0,1.0,,1.0,,,,,,,,3.0,5.0,,,2.0,,1.0,,,,,20.0,1.0,1.0,,,,1.0,,7.4,,,1.0,,2.0,,,,,3.0,,3.0,2,1.0,11.0,,2.0,2.0,1.0
2017-18,7437726,2,35,West_Bromwich_Albion,Away,34578,49944.0,Jake Livermore,jake-livermore,M,False,,,2.0,6.0,7.0,13.0,1.0,,2.0,,,,,,,,2.0,2.0,,,1.0,,,,,,1.0,90.0,,1.0,,,,9.0,,7.0,,,1.0,,1.0,,,3.0,,9.0,9.0,18.0,1,,27.0,2.0,1.0,1.0,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,35532,57134.0,Salomón Rondón,salomon-rondon,F,True,,,1.0,1.0,2.0,3.0,,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,3.0,,6.7,,,,,1.0,,,1.0,,1.0,3.0,4.0,0,,7.0,1.0,,1.0,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,36466,50229.0,Matt Phillips,matt-phillips,F,False,2.0,,,4.0,4.0,6.0,2.0,1.0,3.0,,,,1.0,,,3.0,7.0,5.0,,,1.0,1.0,,,,1.0,3.0,90.0,,,,,,23.0,,6.9,,,1.0,2.0,2.0,6.0,,1.0,,16.0,6.0,16.0,1,1.0,44.0,4.0,2.0,1.0,1.0
2017-18,7437726,2,35,West_Bromwich_Albion,Away,41631,63370.0,James McClean,james-mcclean,M,False,,,,4.0,5.0,9.0,1.0,,3.0,,,1.0,2.0,,,1.0,6.0,2.0,,,2.0,,,,,1.0,,63.0,,,,,,5.0,,6.4,,,,,1.0,,,,,5.0,6.0,11.0,1,1.0,22.0,2.0,,1.0,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,50027,60232.0,Craig Dawson,craig-dawson,D,False,,,3.0,4.0,10.0,14.0,4.0,4.0,1.0,,,1.0,,,,,5.0,6.0,,,1.0,,,,,2.0,,90.0,,1.0,,,,10.0,,7.1,,,,3.0,,,,10.0,,10.0,13.0,23.0,1,,34.0,1.0,2.0,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,128637,67527.0,Allan Nyom,allan-nyom,D,False,,,1.0,8.0,10.0,18.0,1.0,,6.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,90.0,,,,,,22.0,,7.0,,,,6.0,,1.0,,8.0,,14.0,15.0,28.0,0,1.0,59.0,3.0,,,1.0
2017-18,7437726,2,35,West_Bromwich_Albion,Away,159653,77777.0,Ahmed Hegazy,ahmed-hegazy,D,False,,,,1.0,5.0,6.0,3.0,6.0,3.0,,,,,,,,3.0,7.0,,,,,,,,1.0,,90.0,,,,,,5.0,,7.2,,,,11.0,,,,3.0,,5.0,6.0,11.0,0,1.0,26.0,,1.0,,
2017-18,7437726,2,35,West_Bromwich_Albion,Away,817559,173809.0,Jonathan Leko,jonathan-leko,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
