season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243395,1,20,Southampton,Away,20756,40146,Ryan Bertrand,ryan-bertrand,D,False,1.0,,3.0,15.0,9.0,23.0,,2.0,4.0,,,,1.0,,,2.0,5.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,,14.0,,6.7,,,1.0,,,1.0,3.0,,4.0,,25.0,11.0,33.0,1,1.0,53.0,2.0,1.0,1.0,1.0
2019-20,8243395,1,20,Southampton,Away,24248,80447,Maya Yoshida,maya-yoshida,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,20,Southampton,Away,120538,93100,Jannik Vestergaard,jannik-vestergaard,D,False,,,3.0,11.0,17.0,28.0,3.0,3.0,5.0,,,,2.0,,,5.0,5.0,,,,,,,,2.0,,,90.0,1.0,,,,,,,,20.0,,6.3,,,,,3.0,,,,11.0,,22.0,19.0,41.0,1,2.0,60.0,,,,2.0
2019-20,8243395,1,20,Southampton,Away,134361,88900,Jack Stephens,jack-stephens,D,False,,,3.0,3.0,19.0,22.0,1.0,2.0,6.0,,,,,,,1.0,2.0,,,,,,,,1.0,,,73.0,,,,,,,,,14.0,,6.2,,,,,5.0,,,,13.0,,10.0,26.0,36.0,0,,49.0,,,,
2019-20,8243395,1,20,Southampton,Away,286085,171771,Jan Bednarek,jan-bednarek,D,False,,,6.0,10.0,22.0,32.0,,6.0,3.0,,,,1.0,,,2.0,7.0,,,1.0,,,,,3.0,1.0,,90.0,,1.0,,,,,,,20.0,,6.8,,,1.0,,7.0,,,,13.0,,17.0,28.0,45.0,1,,69.0,1.0,1.0,,
2019-20,8243395,1,20,Southampton,Away,826202,213482,Yan Valery,yan-valery,D,False,1.0,,2.0,8.0,3.0,10.0,2.0,2.0,4.0,1.0,,,,,4.0,9.0,3.0,,,1.0,,,,,,1.0,,90.0,,,,,,,,,26.0,,5.7,,,,,2.0,2.0,3.0,,10.0,1.0,17.0,7.0,21.0,0,1.0,56.0,3.0,,,
2019-20,8243422,2,20,Southampton,Home,20756,40146,Ryan Bertrand,ryan-bertrand,D,False,,,1.0,8.0,4.0,12.0,4.0,1.0,3.0,,,,,,,4.0,1.0,,,,,,,,,,,77.0,,,,,,,,,16.0,,6.2,,,,,,,3.0,,5.0,1.0,20.0,5.0,22.0,0,,40.0,2.0,,,
2019-20,8243422,2,20,Southampton,Home,24248,80447,Maya Yoshida,maya-yoshida,D,False,,,5.0,9.0,12.0,21.0,1.0,2.0,3.0,,2.0,,1.0,,,2.0,3.0,,,,,,,,,,,90.0,1.0,,,,,,,,10.0,,6.5,,,1.0,,4.0,,,,10.0,,16.0,14.0,30.0,2,1.0,40.0,,,,1.0
2019-20,8243422,2,20,Southampton,Home,120538,93100,Jannik Vestergaard,jannik-vestergaard,D,False,1.0,,2.0,5.0,8.0,12.0,,4.0,5.0,,,,1.0,,,1.0,4.0,,,,,,,,2.0,1.0,,90.0,,,,,,,,,12.0,,6.5,,,,,7.0,,1.0,,7.0,,12.0,11.0,22.0,0,,40.0,,,,
2019-20,8243422,2,20,Southampton,Home,286085,171771,Jan Bednarek,jan-bednarek,D,False,,,2.0,6.0,17.0,23.0,1.0,1.0,6.0,,,,1.0,,,3.0,2.0,1.0,,1.0,,,,,3.0,,,90.0,,1.0,,,,,,,12.0,,6.0,,,,,6.0,,,,7.0,,12.0,18.0,30.0,0,1.0,51.0,1.0,,,
