season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436875,1,91,Bournemouth,Away,44566,54469,Adam Smith,adam-smith,D,False,1.0,,,4.0,9.0,12.0,,,4.0,,,,,,,,3.0,,,0.00501834,,,,0.0,,,,,2.0,,,63.0,,,,,,,3.0,,6.6,,,,,2.0,,1.0,,2.0,,6.0,10.0,15.0,0,1.0,28.0,,2.0,,
2024-25,12436875,1,91,Bournemouth,Away,978150,436893,Julián Araujo,julian-araujo,D,True,,,,10.0,3.0,13.0,3.0,,4.0,,,,,,,3.0,1.0,,,0.0132322,,,,0.0,,,,,,,,27.0,,,,,,,6.0,,6.6,,,,,,,,,3.0,,14.0,5.0,19.0,0,1.0,26.0,,,,
2024-25,12436875,1,91,Bournemouth,Away,1023567,477580,Ilya Zabarnyi,illia-zabarnyi,D,False,,,10.0,18.0,27.0,45.0,4.0,2.0,2.0,,,,,,,4.0,3.0,,,0.0174931,,,,0.0,,,,,2.0,,,90.0,,,,,,,12.0,,7.0,,,,,6.0,,,,18.0,,28.0,29.0,57.0,0,,71.0,,1.0,,
2024-25,12436875,1,91,Bournemouth,Away,1097425,544877,Miloš Kerkez,milos-kerkez,D,False,,,3.0,20.0,20.0,40.0,3.0,,5.0,,,,,,,4.0,2.0,,,0.0103152,,,1.0,0.0,,,,,1.0,1.0,,90.0,,,,,,,10.0,,6.7,,,,,2.0,,3.0,,8.0,,29.0,20.0,46.0,0,2.0,62.0,,,,
2024-25,12436875,1,91,Bournemouth,Away,1156586,463981,James Hill,james-hill,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436875,1,91,Bournemouth,Away,1176744,554605,Dean Huijsen,dean-huijsen,D,False,,,4.0,16.0,40.0,56.0,4.0,9.0,4.0,,,,,,,5.0,9.0,,,0.00568832,,,1.0,0.0,,,,,2.0,,,90.0,,1.0,,,,,12.0,,7.0,,,,,6.0,,,,10.0,1.0,24.0,44.0,68.0,0,,78.0,,,,
2024-25,12436884,2,91,Bournemouth,Home,44566,54469,Adam Smith,adam-smith,D,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,12.0,,,,,,,,,6.5,,,,,1.0,,,,,,,,,0,,1.0,,,,
2024-25,12436884,2,91,Bournemouth,Home,830659,221466,Marcos Senesi,marcos-senesi,D,False,1.0,,2.0,13.0,14.0,26.0,1.0,1.0,8.0,,,,1.0,,,3.0,4.0,,,0.0321663,,,1.0,0.0,,,,,1.0,,,90.0,,2.0,,,,,11.0,,7.3,,,,,6.0,,1.0,,10.0,,23.0,15.0,37.0,0,3.0,57.0,,,,3.0
2024-25,12436884,2,91,Bournemouth,Home,978150,436893,Julián Araujo,julian-araujo,D,False,,,2.0,11.0,10.0,21.0,,1.0,6.0,,,,,,,1.0,1.0,,,0.00354477,,,1.0,0.0,,,,,,,,86.0,,,,,,,9.0,,6.5,,,,,3.0,,1.0,,5.0,,17.0,11.0,27.0,0,,40.0,,,,
2024-25,12436884,2,91,Bournemouth,Home,1023567,477580,Ilya Zabarnyi,illia-zabarnyi,D,False,,,4.0,12.0,20.0,32.0,2.0,3.0,9.0,,,,,,,2.0,4.0,,,0.00635395,,,,0.0,,,,,1.0,,,90.0,,,,,,,10.0,,6.7,,,,,7.0,,,,14.0,,22.0,20.0,42.0,0,1.0,52.0,,,,
2024-25,12436884,2,91,Bournemouth,Home,1097425,544877,Miloš Kerkez,milos-kerkez,D,False,,,1.0,13.0,8.0,21.0,,,2.0,,,,,,,1.0,2.0,,,0.00981451,,,1.0,0.0,,,,,1.0,,,90.0,,1.0,,,,,15.0,,7.0,,,,,4.0,,1.0,,3.0,,20.0,10.0,29.0,0,2.0,50.0,3.0,,,1.0
2024-25,12436884,2,91,Bournemouth,Home,1156586,463981,James Hill,james-hill,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436884,2,91,Bournemouth,Home,1176744,554605,Dean Huijsen,dean-huijsen,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436912,3,91,Bournemouth,Away,44566,54469,Adam Smith,adam-smith,D,True,,,,1.0,3.0,4.0,1.0,,1.0,,,,,,1.0,2.0,1.0,,,0.00047562,,,,0.0,,,,,,1.0,,13.0,,,,,,,7.0,,6.7,,,,,1.0,,2.0,,1.0,,5.0,3.0,6.0,0,1.0,19.0,,,,1.0
