season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243397,1,91,Bournemouth,Home,21501,41320,Charlie Daniels,charlie-daniels,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243397,1,91,Bournemouth,Home,42707,56917,Steve Cook,steve-cook,D,False,,,6.0,12.0,47.0,59.0,,1.0,2.0,,,,,,,,,2.0,,,,,,,,2.0,,,90.0,,,,,,,9.0,,7.0,,,1.0,,5.0,,,,9.0,,18.0,49.0,67.0,1,,79.0,,1.0,,
2019-20,8243397,1,91,Bournemouth,Home,44566,54469,Adam Smith,adam-smith,D,False,,,1.0,26.0,18.0,44.0,,,4.0,,,,1.0,,,1.0,3.0,4.0,,,1.0,,,,,,,,90.0,,,,,,,12.0,,6.4,,,,,,2.0,2.0,,2.0,,30.0,20.0,48.0,0,,75.0,3.0,2.0,2.0,
2019-20,8243397,1,91,Bournemouth,Home,149663,126184,Nathan Aké,nathan-ake,D,False,,,1.0,16.0,46.0,62.0,2.0,2.0,2.0,1.0,,1.0,,,,,2.0,5.0,,,1.0,,,,,2.0,2.0,,90.0,,,,,,,7.0,,7.1,,,1.0,,1.0,,,,6.0,,22.0,46.0,68.0,2,3.0,81.0,1.0,,,3.0
2019-20,8243397,1,91,Bournemouth,Home,350560,171129,Diego Rico,diego-rico,D,False,,,3.0,16.0,12.0,28.0,,,5.0,,,,1.0,,,,1.0,6.0,,,,,,,,3.0,1.0,,90.0,,,,,,,24.0,,7.2,,,1.0,,3.0,1.0,3.0,,9.0,,29.0,18.0,44.0,1,5.0,73.0,1.0,,1.0,3.0
2019-20,8243397,1,91,Bournemouth,Home,830250,222434,Jack Simpson,jack-simpson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243397,1,91,Bournemouth,Home,865740,223911,Chris Mepham,chris-mepham,D,False,,,3.0,16.0,38.0,54.0,2.0,1.0,8.0,,,,,,,,5.0,6.0,,,2.0,,1.0,,,1.0,,,90.0,1.0,1.0,,,,,14.0,,7.5,,,1.0,,2.0,2.0,,,10.0,,20.0,45.0,65.0,2,1.0,79.0,1.0,3.0,1.0,1.0
2019-20,8243412,2,91,Bournemouth,Away,21501,41320,Charlie Daniels,charlie-daniels,D,False,2.0,,3.0,14.0,11.0,23.0,,2.0,8.0,,,,,,,,,3.0,,1.0,,,,,,1.0,2.0,,90.0,,,,,,,9.0,,6.9,,,,,4.0,,4.0,,8.0,,20.0,12.0,28.0,0,1.0,49.0,1.0,,,1.0
2019-20,8243412,2,91,Bournemouth,Away,42707,56917,Steve Cook,steve-cook,D,False,,,1.0,2.0,8.0,10.0,2.0,7.0,2.0,,,,1.0,,,,4.0,9.0,,,1.0,,,,,2.0,,,90.0,,3.0,,,,,10.0,,7.0,,,,,7.0,1.0,,,8.0,,5.0,15.0,20.0,0,,35.0,,2.0,1.0,
2019-20,8243412,2,91,Bournemouth,Away,44566,54469,Adam Smith,adam-smith,D,False,,,1.0,6.0,5.0,11.0,4.0,2.0,4.0,,,,,,,,4.0,6.0,,,,,,,,,,,90.0,,,,,,,15.0,,6.7,,,,,2.0,,1.0,,10.0,,15.0,10.0,24.0,0,3.0,43.0,,1.0,,3.0
2019-20,8243412,2,91,Bournemouth,Away,149663,126184,Nathan Aké,nathan-ake,D,False,,,,1.0,19.0,20.0,2.0,2.0,4.0,,,1.0,,,,,3.0,4.0,,,1.0,,,,,3.0,,,90.0,,1.0,,,,,6.0,,6.9,,,,,6.0,,,,2.0,,4.0,21.0,25.0,1,2.0,40.0,,,,1.0
2019-20,8243412,2,91,Bournemouth,Away,350560,171129,Diego Rico,diego-rico,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243412,2,91,Bournemouth,Away,583450,154131,Jack Stacey,jack-stacey,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243412,2,91,Bournemouth,Away,865740,223911,Chris Mepham,chris-mepham,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
