season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767928,1,91,Bournemouth,Home,1079,6219,Sylvain Distin,sylvain-distin,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767928,1,91,Bournemouth,Home,14185,28378,Tommy Elphick,tommy-elphick,D,False,,,2.0,12.0,34.0,46.0,3.0,4.0,3.0,,,,,,,,4.0,5.0,,,1.0,,,,,3.0,,90.0,,,,,,,,6.9,,,,,5.0,,,,3.0,,15.0,35.0,50.0,0,,60.0,,1.0,
2015-16,6767928,1,91,Bournemouth,Home,15152,15149,Simon Francis,simon-francis,D,False,2.0,,8.0,35.0,36.0,69.0,2.0,1.0,9.0,,,,1.0,,,1.0,4.0,7.0,,,,,,,,1.0,2.0,90.0,,,,,,,,7.4,,,,,2.0,1.0,8.0,,9.0,,50.0,37.0,79.0,0,4.0,108.0,1.0,1.0,1.0
2015-16,6767928,1,91,Bournemouth,Home,19343,40387,Dan Gosling,dan-gosling,D,False,,,3.0,21.0,24.0,45.0,,,5.0,,1.0,,2.0,,,,5.0,2.0,,,3.0,,,,,,,84.0,,,,,,,,6.4,,,1.0,,,,,,4.0,,26.0,26.0,52.0,1,1.0,60.0,,1.0,
2015-16,6767928,1,91,Bournemouth,Home,21501,41320,Charlie Daniels,charlie-daniels,D,False,,,1.0,28.0,19.0,47.0,,1.0,8.0,,,,,,,1.0,2.0,3.0,,,,,,,,3.0,1.0,90.0,,,,,,,,6.7,,,,,1.0,2.0,2.0,,7.0,,39.0,23.0,60.0,0,1.0,83.0,1.0,,1.0
2015-16,6767928,1,91,Bournemouth,Home,42707,56917,Steve Cook,steve-cook,D,False,,,9.0,23.0,20.0,43.0,3.0,4.0,3.0,,,,1.0,,,,5.0,5.0,,1.0,1.0,,,,,3.0,,90.0,,1.0,,,,,,6.6,,,,,6.0,,,,16.0,,30.0,22.0,52.0,0,1.0,65.0,,,
2015-16,6767928,1,91,Bournemouth,Home,44566,54469,Adam Smith,adam-smith,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767928,1,91,Bournemouth,Home,303638,149484,Tyrone Mings,tyrone-mings,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767946,2,91,Bournemouth,Away,1079,6219,Sylvain Distin,sylvain-distin,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767946,2,91,Bournemouth,Away,14185,28378,Tommy Elphick,tommy-elphick,D,False,,,2.0,6.0,10.0,16.0,6.0,1.0,3.0,,,,2.0,,,1.0,9.0,2.0,,,3.0,,,,,3.0,,90.0,,,,,,,,6.1,,,,,5.0,,,,3.0,,7.0,17.0,24.0,0,,35.0,,1.0,
2015-16,6767946,2,91,Bournemouth,Away,15152,15149,Simon Francis,simon-francis,D,False,,,,13.0,14.0,27.0,1.0,3.0,6.0,,,,4.0,,,,5.0,7.0,,,,,,,,4.0,1.0,90.0,,,,,,,,6.7,,,,,3.0,1.0,3.0,,3.0,,22.0,16.0,35.0,0,3.0,67.0,,,1.0
2015-16,6767946,2,91,Bournemouth,Away,19343,40387,Dan Gosling,dan-gosling,D,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,0,,3.0,2.0,,
2015-16,6767946,2,91,Bournemouth,Away,21501,41320,Charlie Daniels,charlie-daniels,D,False,,,,20.0,8.0,28.0,2.0,,6.0,,,,,,,1.0,5.0,11.0,,,2.0,,,,,2.0,,90.0,,1.0,,,,,,7.5,,,,,2.0,3.0,7.0,,1.0,,32.0,14.0,39.0,0,6.0,78.0,,2.0,3.0
2015-16,6767946,2,91,Bournemouth,Away,42707,56917,Steve Cook,steve-cook,D,False,,,4.0,6.0,20.0,26.0,3.0,4.0,10.0,,,,,,,2.0,6.0,4.0,,,1.0,,,,,1.0,,90.0,,1.0,,,,,,6.7,,,1.0,,6.0,,,,5.0,,10.0,24.0,34.0,1,,51.0,,,
2015-16,6767946,2,91,Bournemouth,Away,44566,54469,Adam Smith,adam-smith,D,True,,,,4.0,,4.0,,1.0,1.0,,,,,,,,,3.0,,,,,,,,,1.0,9.0,,,,,,,,6.8,,,,,,,1.0,,,,5.0,1.0,5.0,0,1.0,9.0,1.0,1.0,
2015-16,6767946,2,91,Bournemouth,Away,303638,149484,Tyrone Mings,tyrone-mings,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767957,3,91,Bournemouth,Away,1079,6219,Sylvain Distin,sylvain-distin,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
