playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,cornersTakenInclShortCorners,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,handballsConceded,expectedGoals,overruns,throughBalls,offsides,shotsOnTargetOutsideBox,shotsBlockedInBox,oboxTarget,iboxBlocked,foulAttemptedTackle,goals,awayGoals,homeGoals,rightFootGoals,headedGoals,clearancesOffTheLine,hitWoodwork,penaltiesConceded,leftFootGoals,otherGoals,goalAssists,substituteOn,secondGoalAssists,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,foulWonPenalty
15144,David Marshall,Goalkeeper,Queens Park Rangers,52,Scotland,2013-14,2.0,0.1019,0.0,58.0,1.0,62.0,14.0,37.0,37.0,609.0,1135.0,390.0,21.0,6.0,7.0,2.0,3330.0,1.0,10.0,12.0,1.0,5.0,232.0,9.0,2.0,73.269,1.0,129.0,23.0,73.0,1.0,79.0,153.0,2.0,0.0,12.0,1.0,4.0,955.0,385.0,37.0,1.0,3.0,1.0,1.0,210.0,61.0,1.0,6.0,5.0,0.0,329.0,500.0,1.0,619.0,1.0,221.0,49.0,101.0,294.0,1551.0,313.0,316.0,87.0,2.0,595.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74854,Simon Moore,Goalkeeper,Sunderland,56,England,2013-14,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19686,Joe Lewis,Goalkeeper,Fulham,54,England,2013-14,,0.0034,0.0,,,2.0,,1.0,1.0,14.0,43.0,11.0,1.0,,,,90.0,,,,,,14.0,4.0,,0.5354,,7.0,4.0,1.0,,1.0,4.0,,0.0,,,,30.0,15.0,1.0,,,,,11.0,1.0,,,,0.0,20.0,30.0,,15.0,,4.0,1.0,12.0,15.0,64.0,11.0,18.0,2.0,0.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18145,Andrew Taylor,Defender,Bolton Wanderers,30,England,2013-14,39.0,0.6447,0.0,,12.0,,90.0,18.0,18.0,131.0,629.0,,,38.0,4.0,,1573.0,15.0,43.0,11.0,16.0,20.0,456.0,,,29.1443,10.0,6.0,58.0,33.0,24.0,248.0,,10.0,0.0,82.0,5.0,,248.0,69.0,18.0,,,1.0,,231.0,22.0,16.0,44.0,23.0,0.0,,605.0,6.0,207.0,2.0,,,37.0,42.0,986.0,25.0,279.0,,0.0,41.0,40.0,11.0,2.0,2.0,0.0147,3.0,2.0,14.0,2.0,3.0,12.0,2.0,2.0,1.0,1.0,8.0,35.0,5.0,16.0,1.0,11.0,9.0,3.0,22.0,2.0,96.0,123.0,3.0,2.0,1.0,0.1494,,,,,,,,,,,,,,,,,,,,,,,,,,,
54771,Fábio,Defender,Nantes,430,Brazil,2013-14,81.0,0.2405,0.0,,46.0,,80.0,14.0,14.0,93.0,402.0,,,24.0,1.0,,1092.0,12.0,85.0,3.0,32.0,73.0,299.0,,2.0,20.7351,7.0,4.0,31.0,23.0,69.0,42.0,,16.0,0.0,166.0,15.0,,193.0,65.0,14.0,,,13.0,,173.0,20.0,32.0,142.0,12.0,0.0,,397.0,5.0,195.0,12.0,,,114.0,10.0,779.0,8.0,138.0,,2.0,13.0,31.0,2.0,4.0,3.0,0.2434,6.0,4.0,31.0,2.0,,2.0,2.0,2.0,,,11.0,22.0,12.0,32.0,3.0,33.0,3.0,18.0,18.0,,53.0,111.0,9.0,2.0,2.0,0.4239,4.0,1.0,3.0,1.0,2.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,
68815,Steven Caulker,Defender,Wigan Athletic,111,Sierra Leone,2013-14,120.0,0.8489,0.0,,44.0,,231.0,38.0,38.0,339.0,1326.0,,,244.0,7.0,,3420.0,100.0,196.0,12.0,31.0,52.0,917.0,,2.0,73.8044,9.0,8.0,327.0,74.0,20.0,215.0,,8.0,2.0,316.0,13.0,,665.0,116.0,38.0,,,13.0,1.0,307.0,62.0,6.0,72.0,144.0,0.0,,1312.0,6.0,365.0,2.0,,,336.0,70.0,1921.0,45.0,680.0,,1.0,108.0,83.0,,6.0,9.0,2.228,28.0,1.0,5.0,1.0,,,4.0,4.0,2.0,,66.0,,2.0,5.0,19.0,31.0,59.0,7.0,47.0,,110.0,2.0,,1.0,,4.4254,,,3.0,,5.0,,5.0,2.0,5.0,2.0,3.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,
55412,Juan Cala,Defender,Cádiz,1737,Spain,2013-14,26.0,0.0644,1.0,,19.0,,33.0,7.0,7.0,52.0,176.0,,,30.0,1.0,,585.0,12.0,42.0,2.0,2.0,24.0,99.0,,1.0,14.4954,1.0,5.0,38.0,15.0,14.0,48.0,,4.0,1.0,68.0,1.0,,88.0,27.0,7.0,,,6.0,1.0,34.0,13.0,1.0,38.0,18.0,1.0,,171.0,1.0,63.0,1.0,,,24.0,25.0,288.0,4.0,91.0,,3.0,19.0,19.0,1.0,3.0,2.0,1.1113,4.0,,2.0,1.0,,1.0,,,,,6.0,1.0,,2.0,2.0,13.0,4.0,8.0,19.0,,16.0,3.0,,1.0,,0.6511,1.0,,3.0,,2.0,,2.0,2.0,2.0,2.0,0.0,,,,,1.0,1.0,1.0,,,,,,,,,
7638,Mark Hudson,Defender,Huddersfield Town,38,England,2013-14,6.0,0.004,0.0,,,,13.0,2.0,2.0,17.0,93.0,,,17.0,,,147.0,4.0,15.0,1.0,,2.0,66.0,,,2.7463,,,21.0,3.0,2.0,31.0,,2.0,0.0,21.0,,,46.0,4.0,2.0,,,,,11.0,2.0,,4.0,13.0,0.0,,90.0,,17.0,,,,13.0,10.0,128.0,1.0,65.0,,0.0,4.0,6.0,,1.0,,,2.0,,,,,,,,,,3.0,,,,2.0,,2.0,1.0,5.0,,3.0,,2.0,,,0.1812,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
36956,Ben Turner,Defender,Buxton,3145,England,2013-14,106.0,0.8232,0.0,,37.0,,190.0,31.0,30.0,299.0,1044.0,,,190.0,6.0,,2720.0,71.0,162.0,9.0,18.0,43.0,664.0,,,55.3689,6.0,14.0,290.0,53.0,35.0,279.0,,7.0,0.0,268.0,4.0,,542.0,50.0,31.0,,,9.0,1.0,164.0,44.0,2.0,78.0,119.0,0.0,,1034.0,1.0,313.0,2.0,,,126.0,81.0,1507.0,65.0,583.0,,5.0,109.0,79.0,2.0,1.0,2.0,0.4212,7.0,,2.0,,,2.0,2.0,2.0,2.0,,37.0,,1.0,2.0,5.0,28.0,33.0,26.0,38.0,,97.0,8.0,1.0,,,0.5315,,,5.0,,1.0,,1.0,5.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,
27698,Matthew Connolly,Defender,Cardiff City U21,8949,England,2013-14,15.0,0.0586,0.0,,6.0,,25.0,3.0,3.0,32.0,97.0,,,10.0,1.0,,270.0,5.0,14.0,1.0,8.0,9.0,61.0,,,3.3123,1.0,3.0,17.0,4.0,10.0,2.0,,1.0,0.0,29.0,3.0,,47.0,7.0,3.0,,,1.0,,39.0,3.0,1.0,19.0,5.0,0.0,,97.0,2.0,51.0,2.0,,,37.0,4.0,180.0,4.0,28.0,,2.0,7.0,10.0,2.0,,1.0,0.109,2.0,,3.0,,,2.0,1.0,1.0,,,4.0,12.0,1.0,3.0,1.0,5.0,3.0,5.0,5.0,,11.0,21.0,,,,0.1061,,,,,,,,,,,,,,,,,,,,,,,,,,,
