season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,10236816,27,13,Leicester_City,Away,345195,168580,Ayoze Pérez,ayoze-perez,F,True,,,,3.0,3.0,6.0,1.0,,2.0,,,,1.0,,,2.0,2.0,,,,,,,,,,,,12.0,,,,,,,,3.0,,6.6,,,,,,1.0,,,,,4.0,3.0,7.0,0,,11.0,1.0,1.0,1.0,
2021-22,10236816,27,13,Leicester_City,Away,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,False,,,,3.0,7.0,10.0,2.0,1.0,5.0,,,,,,1.0,4.0,4.0,,,,,,,,,,,,63.0,,,,,,,,6.0,,6.7,,,1.0,,,2.0,,,,,4.0,9.0,13.0,1,1.0,24.0,1.0,1.0,1.0,1.0
2021-22,10236816,27,13,Leicester_City,Away,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,10236816,27,13,Leicester_City,Away,855647,201666,Harvey Barnes,harvey-barnes,F,True,,,,5.0,3.0,8.0,2.0,2.0,1.0,,,,,,1.0,4.0,3.0,,,1.0,,,,,,,,,27.0,,,,,,,,4.0,,6.5,,,,,1.0,,,,,1.0,6.0,4.0,10.0,0,1.0,14.0,1.0,,,1.0
2021-22,10236816,27,13,Leicester_City,Away,865057,245419,Patson Daka,patson-daka,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576287,28,13,Leicester_City,Home,173827,101668,Jamie Vardy,jamie-vardy,F,False,,,,5.0,3.0,8.0,4.0,1.0,1.0,,,,,,,7.0,2.0,,,2.0,,,,,,,,,61.0,,,,,,,,5.0,,6.5,,,,,1.0,1.0,,,,,7.0,5.0,12.0,0,,17.0,,1.0,,
2021-22,9576287,28,13,Leicester_City,Home,345195,168580,Ayoze Pérez,ayoze-perez,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576287,28,13,Leicester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,7.0,2.0,9.0,,3.0,,,,,1.0,,,3.0,3.0,,,1.0,1.0,,,,,,1.0,,29.0,,,,,,,,6.0,,6.8,,,,,2.0,1.0,,,,2.0,8.0,5.0,13.0,0,,18.0,1.0,,,
2021-22,9576287,28,13,Leicester_City,Home,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,6.0,5.0,11.0,,,3.0,,,1.0,1.0,,2.0,4.0,7.0,,,,,,,,,,1.0,,29.0,,,,,,,,9.0,,6.9,,,,,,4.0,,,,,8.0,7.0,15.0,1,4.0,29.0,1.0,,3.0,2.0
2021-22,9576287,28,13,Leicester_City,Home,855647,201666,Harvey Barnes,harvey-barnes,F,False,,,1.0,14.0,9.0,23.0,,,3.0,,,2.0,,,,2.0,5.0,,,,,1.0,,,,1.0,,,90.0,2.0,,,,,,,7.0,,7.6,,,,,,6.0,1.0,,1.0,,18.0,9.0,26.0,4,,42.0,,1.0,4.0,
2021-22,9576287,28,13,Leicester_City,Home,865057,245419,Patson Daka,patson-daka,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576212,29,13,Leicester_City,Away,345195,168580,Ayoze Pérez,ayoze-perez,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
