playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,successfulFiftyFifty,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,iboxTarget,shotsOnTargetInBox,headedGoals,hitWoodwork,leftFootGoals,redCards2ndYellow,setPiecesGoals,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesConceded,penaltiesTaken,penaltyGoals,foulWonPenalty,clearancesOffTheLine,lastPlayerTackle,otherGoals,penaltiesSaved,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,drops,crossesNotClaimed
19419,Gary Cahill,Defender,C Palace,31,England,2020-21,53.0,30.0,3.0,3.0,0.2531,13.0,,20.0,15.0,746.0,1.0,3.0,1.0,,,38.0,9.0,17.0,,,30.3647,7.0,2.0,3.0,3.0,1.0,64.0,20.0,,,,1.0,,720.0,5.0,141.0,9.0,,175.0,12.0,,48.0,43.0,945.0,,451.0,,49.0,54.0,,,1.0202,0.0,,,8.0,82.0,1.0,,20.0,131.0,,,107.0,4.0,,,1800.0,,86.0,8.0,567.0,27.0,1.0,86.0,39.0,15.0,213.0,139.0,5.0,0.0,315.0,,4.0,164.0,30.0,3.0,32.0,69.0,0.0,1.0,1.0,22.0,13.0,,,12.0,5.0,0.7272,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,C Palace,31,England,2020-21,14.0,16.0,,1.0,0.3012,4.0,,8.0,8.0,182.0,,,0.0,,2.0,10.0,4.0,4.0,,,7.6188,1.0,,,1.0,0.0,22.0,8.0,,,,,,174.0,1.0,45.0,2.0,,43.0,3.0,,12.0,20.0,247.0,,112.0,,24.0,13.0,,,0.3184,0.0,,,2.0,18.0,,,6.0,42.0,,,22.0,2.0,,,552.0,,16.0,2.0,128.0,6.0,,43.0,12.0,4.0,36.0,30.0,1.0,0.0,83.0,,2.0,28.0,8.0,,8.0,12.0,0.0,,,3.0,4.0,1.0,,5.0,3.0,0.1785,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
55494,Joel Ward,Defender,C Palace,31,England,2020-21,103.0,56.0,,1.0,0.073,44.0,,26.0,31.0,818.0,,1.0,0.0,,1.0,42.0,6.0,68.0,,3.0,36.3569,6.0,9.0,,12.0,0.0,135.0,26.0,,4.0,24.0,12.0,,809.0,1.0,349.0,26.0,,210.0,32.0,,34.0,93.0,1419.0,201.0,297.0,2.0,83.0,83.0,,3.0,0.5187,0.0,,2.0,2.0,147.0,1.0,,25.0,230.0,24.0,,90.0,7.0,1.0,3.0,2255.0,,116.0,56.0,554.0,10.0,54.0,80.0,43.0,61.0,68.0,219.0,20.0,0.0,447.0,1.0,18.0,294.0,37.0,,129.0,48.0,0.0,6.0,12.0,8.0,42.0,,,41.0,16.0,0.059,5.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
40784,Mamadou Sakho,Defender,C Palace,31,France,2020-21,9.0,3.0,,,,3.0,,4.0,1.0,92.0,,,0.0,,1.0,7.0,1.0,4.0,,3.0,5.9889,,,,1.0,0.0,14.0,4.0,,,,1.0,,78.0,1.0,15.0,2.0,,19.0,2.0,,4.0,1.0,124.0,2.0,49.0,,5.0,3.0,,,0.0124,0.0,,,1.0,6.0,,,3.0,11.0,,,13.0,,,,275.0,,10.0,1.0,77.0,2.0,,11.0,8.0,2.0,32.0,19.0,1.0,0.0,40.0,,1.0,32.0,7.0,,6.0,6.0,0.0,,,2.0,3.0,,,1.0,1.0,0.0586,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,C Palace,31,England,2020-21,,,,,,1.0,,1.0,,3.0,,,0.0,,1.0,,,1.0,,,,,,,,0.0,1.0,1.0,,,,,,3.0,,1.0,,,1.0,,,,,4.0,,2.0,,,1.0,,,,0.0,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,2.0,,,,,,,1.0,,0.0,2.0,,1.0,,,,1.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57328,Nathaniel Clyne,Defender,C Palace,31,England,2020-21,24.0,41.0,1.0,1.0,0.0407,17.0,,13.0,25.0,443.0,,,0.0,,,10.0,5.0,23.0,,,15.8106,3.0,8.0,1.0,2.0,0.0,56.0,13.0,,2.0,18.0,4.0,,443.0,2.0,157.0,10.0,,121.0,4.0,,15.0,88.0,709.0,105.0,175.0,1.0,41.0,50.0,,5.0,0.3412,0.0,,,3.0,64.0,1.0,,13.0,105.0,18.0,,14.0,,1.0,5.0,1147.0,1.0,27.0,26.0,323.0,6.0,20.0,21.0,22.0,14.0,16.0,51.0,5.0,0.0,218.0,1.0,7.0,168.0,17.0,1.0,37.0,4.0,0.0,2.0,4.0,2.0,18.0,2.0,,27.0,1.0,0.1744,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74230,Patrick van Aanholt,Defender,C Palace,31,Netherlands,2020-21,65.0,40.0,4.0,5.0,1.3417,35.0,,22.0,22.0,952.0,,3.0,0.0,2.0,2.0,13.0,6.0,48.0,,,29.5001,11.0,6.0,2.0,3.0,0.0,136.0,22.0,,12.0,32.0,18.0,3.0,925.0,9.0,300.0,22.0,3.0,40.0,11.0,2.0,30.0,147.0,1395.0,135.0,393.0,1.0,46.0,51.0,,6.0,1.7208,0.0,0.2314,,14.0,143.0,1.0,1.0,20.0,189.0,28.0,2.0,24.0,4.0,2.0,8.0,1775.0,1.0,59.0,38.0,733.0,39.0,24.0,32.0,36.0,52.0,349.0,124.0,12.0,0.0,416.0,2.0,13.0,378.0,30.0,2.0,100.0,11.0,0.0,15.0,10.0,6.0,30.0,1.0,2.0,18.0,8.0,1.3874,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
223824,Reece Hannam,Defender,C Palace,31,England,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221272,Sam Woods,Defender,C Palace,31,England,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19188,Scott Dann,Defender,C Palace,31,England,2020-21,42.0,20.0,2.0,1.0,0.3389,6.0,,15.0,8.0,640.0,1.0,,0.0,,,29.0,3.0,15.0,,,18.8224,1.0,3.0,2.0,5.0,0.0,73.0,15.0,,,,,,608.0,1.0,128.0,4.0,,163.0,6.0,,36.0,26.0,781.0,3.0,357.0,,51.0,32.0,,,0.2001,0.0,,,2.0,71.0,,,15.0,122.0,,,80.0,2.0,,,1350.0,,66.0,4.0,482.0,17.0,,57.0,24.0,13.0,124.0,108.0,2.0,1.0,327.0,,2.0,161.0,21.0,2.0,28.0,51.0,0.0,1.0,4.0,14.0,18.0,,,16.0,2.0,0.2681,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
244723,Tyrick Mitchell,Defender,C Palace,31,England,2020-21,58.0,52.0,,2.0,1.023,65.0,,19.0,26.0,599.0,1.0,,0.0,,,15.0,7.0,87.0,,3.0,23.6647,2.0,16.0,,11.0,1.0,95.0,19.0,,7.0,22.0,19.0,,593.0,,288.0,35.0,,37.0,8.0,,29.0,60.0,1076.0,134.0,180.0,1.0,61.0,72.0,,5.0,0.544,0.0,,1.0,2.0,120.0,1.0,,19.0,181.0,22.0,,26.0,4.0,,5.0,1710.0,,98.0,55.0,389.0,7.0,47.0,46.0,32.0,43.0,120.0,156.0,18.0,1.0,382.0,,30.0,243.0,25.0,,130.0,11.0,0.0,4.0,11.0,10.0,21.0,,,32.0,5.0,0.8446,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,
