matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442005,1,2012-08-18 15:00:00,110,Stoke,Away,57.0,11.0,1.0,8.0,7.0,9.0,2.0,119.0,3.0,,,15.0,14.0,24.0,168.0,,,18.0,22.0,46.0,6.0,1.0,,,,,,,,,,,6.0,,,,,,,2.0,8.0,2.0,,,32.0,28.0,,,,1.0,4.0,3.0,,,3.0,14.0,5.0,,10.0,,55.0,77.0,1.0,32.0,16.0,,1.0,82.0,17.0,11.0,,,3.0,2.0,,139.0,,,,,,,13.0,1.0,2.0,,23.0,,7.0,6.0,,,49.0,85.0,39.0,4.0,1.0,3.0,4.0,3.0,,2.0,5.0,,22.0,67.0,22.0,1.0,1.0,1.0,,173.0,162.0,,8.0,10.0,47.4,,,0.0,44.0,1.0,,,1.0,,,4.0,2.0,3.0,63.0,,7.0,79.0,24.0,43.0,6.0,3.0,24.0,21.0,,116.0,21.0,209.0,3.0,,34.0,14.0,51.0,3.0,264.0,1.0,1.0,11.0,17.0,,30.0,4.0,467.0,,7.0,3.0,3.0,14.0,0.0
442015,2,2012-08-26 13:30:00,110,Stoke,Home,70.0,15.0,,5.0,5.0,7.0,,102.0,17.0,,2.0,13.0,4.0,40.0,167.0,,1.0,9.0,29.0,41.0,4.0,1.0,,1.0,,,,,,,,,5.0,,,,,,,,8.0,9.0,3.0,3.0,28.0,49.0,1.0,1.0,,5.0,2.0,13.0,,1.0,,11.0,4.0,,21.0,1.0,80.0,80.0,5.0,31.0,23.0,,1.0,70.0,10.0,9.0,,,3.0,2.0,,138.0,,,,,,,21.0,,2.0,,28.0,,16.0,7.0,,2.0,51.0,75.0,46.0,11.0,,3.0,2.0,1.0,230.0,4.0,3.0,,23.0,56.0,36.0,,,,,155.0,155.0,4.0,18.0,22.0,33.3,,,0.0,44.0,1.0,1.0,2.0,,3.0,1.0,3.0,1.0,3.0,56.0,144.0,5.0,86.0,33.0,42.0,9.0,,17.0,17.0,1.0,113.0,27.0,192.0,2.0,,20.0,5.0,58.0,2.0,261.0,,0.0,6.0,28.0,1.0,17.0,2.0,465.0,14.0,8.0,2.0,,21.0,0.0
442028,3,2012-09-01 15:00:00,110,Stoke,Away,54.0,12.0,1.0,6.0,5.0,11.0,1.0,115.0,6.0,1.0,2.0,10.0,9.0,25.0,163.0,,,16.0,15.0,21.0,9.0,2.0,,,,1.0,2.0,,,,,,11.0,1.0,,,,,,3.0,10.0,3.0,,,23.0,47.0,1.0,3.0,1.0,1.0,5.0,7.0,,,1.0,7.0,12.0,,6.0,,45.0,55.0,1.0,12.0,4.0,,,62.0,11.0,13.0,2.0,,7.0,3.0,2.0,101.0,1.0,,1.0,,1.0,,8.0,,1.0,1.0,7.0,1.0,18.0,15.0,1.0,2.0,63.0,66.0,40.0,2.0,,6.0,6.0,7.0,,4.0,2.0,,37.0,40.0,26.0,1.0,1.0,1.0,1.0,132.0,124.0,3.0,11.0,23.0,31.3,,,0.0,41.0,1.0,,,,,,7.0,,2.0,65.0,,12.0,63.0,23.0,20.0,8.0,1.0,23.0,22.0,,107.0,25.0,188.0,1.0,1.0,15.0,9.0,40.0,5.0,228.0,,0.0,19.0,20.0,2.0,25.0,2.0,422.0,,11.0,1.0,1.0,16.0,0.0
442037,4,2012-09-15 15:00:00,110,Stoke,Home,85.0,24.0,,1.0,1.0,4.0,,115.0,4.0,3.0,4.0,8.0,5.0,26.0,199.0,,,22.0,14.0,17.0,2.0,,,,,,,,,,,1.0,3.0,,,,,,,,8.0,7.0,,,48.0,48.0,,,1.0,,1.0,10.0,1.0,,6.0,9.0,4.0,,8.0,4.0,56.0,56.0,,19.0,9.0,,,59.0,13.0,12.0,1.0,1.0,4.0,2.0,,117.0,,,,,,,4.0,,2.0,1.0,13.0,,19.0,12.0,1.0,4.0,57.0,72.0,38.0,5.0,,,2.0,2.0,270.0,5.0,1.0,,34.0,67.0,22.0,,,,,166.0,153.0,1.0,20.0,15.0,33.8,,,0.0,65.0,4.0,3.0,6.0,,,,1.0,,3.0,51.0,192.0,2.0,104.0,43.0,32.0,17.0,5.0,20.0,15.0,,100.0,10.0,203.0,2.0,3.0,28.0,5.0,59.0,2.0,287.0,,0.0,4.0,22.0,2.0,28.0,0.0,494.0,,16.0,5.0,6.0,19.0,0.0
442039,5,2012-09-22 15:00:00,110,Stoke,Away,105.0,13.0,2.0,12.0,10.0,5.0,2.0,139.0,6.0,1.0,4.0,13.0,12.0,23.0,232.0,,,12.0,11.0,17.0,11.0,2.0,,1.0,,,,,,,,,9.0,,,,1.0,,,3.0,7.0,12.0,,,56.0,64.0,2.0,2.0,,5.0,4.0,6.0,,1.0,3.0,9.0,7.0,,12.0,2.0,51.0,53.0,5.0,28.0,13.0,,1.0,57.0,18.0,13.0,,,5.0,3.0,,128.0,,,,,,,11.0,,3.0,2.0,18.0,1.0,13.0,11.0,2.0,4.0,69.0,79.0,50.0,13.0,,6.0,7.0,3.0,,8.0,1.0,,28.0,55.0,22.0,,,,,143.0,128.0,1.0,34.0,16.0,40.3,1.0,,0.0,53.0,1.0,2.0,,,1.0,1.0,6.0,1.0,3.0,64.0,,13.0,128.0,23.0,43.0,9.0,3.0,22.0,19.0,1.0,96.0,18.0,200.0,3.0,1.0,23.0,14.0,43.0,2.0,306.0,,0.0,13.0,20.0,,16.0,1.0,524.0,,14.0,3.0,3.0,18.0,0.0
442057,6,2012-09-29 15:00:00,110,Stoke,Home,94.0,27.0,1.0,9.0,8.0,5.0,1.0,144.0,7.0,,2.0,8.0,9.0,30.0,229.0,,,12.0,16.0,20.0,9.0,,1.0,,,,,,,,,,11.0,,,,1.0,,,,3.0,7.0,8.0,4.0,46.0,66.0,3.0,2.0,2.0,1.0,2.0,6.0,,,6.0,18.0,5.0,,9.0,,59.0,55.0,1.0,23.0,15.0,,1.0,61.0,18.0,8.0,2.0,,1.0,2.0,,159.0,1.0,1.0,1.0,,1.0,,11.0,1.0,2.0,1.0,20.0,1.0,13.0,10.0,2.0,2.0,58.0,86.0,43.0,8.0,,5.0,5.0,5.0,303.0,1.0,2.0,,39.0,63.0,42.0,,,,,165.0,165.0,7.0,28.0,27.0,39.0,1.0,,0.0,61.0,1.0,2.0,3.0,,,,5.0,,3.0,67.0,216.0,10.0,111.0,48.0,29.0,14.0,6.0,31.0,25.0,,113.0,15.0,244.0,2.0,,22.0,11.0,57.0,,324.0,,0.0,12.0,24.0,1.0,21.0,1.0,525.0,34.0,17.0,3.0,6.0,17.0,0.0
442060,7,2012-10-07 15:00:00,110,Stoke,Away,100.0,8.0,1.0,2.0,1.0,8.0,,99.0,8.0,1.0,4.0,12.0,4.0,26.0,197.0,,,16.0,19.0,18.0,4.0,2.0,,,,,,,,1.0,,,6.0,,,,,,,,10.0,8.0,,,57.0,41.0,1.0,1.0,,2.0,1.0,14.0,,,5.0,4.0,4.0,,5.0,3.0,62.0,54.0,2.0,21.0,7.0,,1.0,68.0,18.0,9.0,,,1.0,1.0,,140.0,,,,,,,17.0,,5.0,2.0,16.0,,17.0,12.0,2.0,4.0,57.0,91.0,40.0,5.0,,3.0,3.0,2.0,,4.0,,,38.0,30.0,19.0,,,,,173.0,152.0,,21.0,9.0,37.1,,,0.0,42.0,,2.0,,,1.0,,3.0,,3.0,47.0,,6.0,117.0,16.0,42.0,10.0,4.0,13.0,9.0,,106.0,20.0,192.0,5.0,1.0,30.0,4.0,51.0,2.0,296.0,,0.0,6.0,25.0,,22.0,6.0,500.0,,12.0,2.0,5.0,17.0,0.0
442071,8,2012-10-20 15:00:00,110,Stoke,Away,120.0,10.0,2.0,4.0,2.0,2.0,,138.0,8.0,1.0,2.0,6.0,12.0,27.0,254.0,,,14.0,9.0,20.0,5.0,1.0,,,,,1.0,,,,,,6.0,,,,,,,,11.0,5.0,,,45.0,53.0,,,,4.0,4.0,4.0,,,4.0,9.0,9.0,,6.0,1.0,34.0,48.0,4.0,6.0,3.0,,1.0,60.0,10.0,9.0,,,4.0,2.0,1.0,125.0,,,,,,,10.0,1.0,2.0,,8.0,,12.0,9.0,1.0,2.0,77.0,80.0,53.0,3.0,1.0,2.0,4.0,3.0,,1.0,1.0,,58.0,39.0,20.0,,,,,135.0,126.0,1.0,22.0,19.0,36.0,,,0.0,89.0,3.0,,,,2.0,,2.0,2.0,3.0,50.0,,6.0,130.0,34.0,15.0,7.0,4.0,24.0,20.0,,99.0,14.0,230.0,2.0,1.0,18.0,12.0,54.0,,336.0,,0.0,9.0,17.0,,17.0,1.0,485.0,,7.0,2.0,4.0,11.0,0.0
442087,9,2012-10-27 15:00:00,110,Stoke,Home,104.0,21.0,2.0,5.0,3.0,7.0,1.0,188.0,7.0,2.0,3.0,7.0,16.0,27.0,287.0,1.0,,22.0,20.0,35.0,8.0,3.0,,1.0,,,,,,,,,10.0,,,,,,,3.0,3.0,4.0,,,52.0,64.0,,1.0,,1.0,5.0,3.0,,,7.0,14.0,8.0,,13.0,,57.0,64.0,1.0,8.0,3.0,,1.0,63.0,12.0,7.0,,,2.0,3.0,,167.0,,,,,,,8.0,,3.0,,7.0,,12.0,9.0,,3.0,101.0,96.0,57.0,3.0,,4.0,7.0,4.0,,3.0,2.0,,61.0,80.0,25.0,,,,,190.0,181.0,3.0,17.0,35.0,52.2,,,0.0,70.0,,,,,,1.0,7.0,1.0,3.0,93.0,,11.0,130.0,34.0,17.0,17.0,6.0,31.0,25.0,1.0,131.0,17.0,291.0,3.0,2.0,19.0,20.0,46.0,2.0,390.0,1.0,0.0,16.0,14.0,2.0,33.0,2.0,593.0,,14.0,8.0,7.0,13.0,0.0
442092,10,2012-11-03 15:00:00,110,Stoke,Away,171.0,25.0,,5.0,5.0,4.0,1.0,195.0,3.0,,5.0,8.0,28.0,41.0,361.0,,,26.0,16.0,33.0,5.0,1.0,,,,,,,,,,1.0,6.0,,,,,,,1.0,4.0,10.0,,,68.0,60.0,1.0,2.0,,1.0,,4.0,,,1.0,7.0,13.0,,14.0,1.0,55.0,64.0,1.0,25.0,16.0,,,78.0,15.0,12.0,,,2.0,2.0,,190.0,,,,,,,6.0,,1.0,,23.0,,19.0,16.0,,5.0,107.0,98.0,52.0,9.0,,3.0,3.0,4.0,,5.0,4.0,,60.0,61.0,38.0,,,,,189.0,177.0,5.0,21.0,25.0,56.4,,,0.0,106.0,1.0,2.0,,,2.0,,5.0,,3.0,92.0,,6.0,182.0,60.0,37.0,13.0,1.0,23.0,22.0,,160.0,11.0,312.0,1.0,,19.0,29.0,70.0,2.0,471.0,,0.0,9.0,13.0,,29.0,5.0,685.0,,16.0,6.0,1.0,11.0,0.0
