matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenPost,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855180,1.0,2016-08-13 15:00:00,110,Stoke,Away,169.0,9.0,,2.0,2.0,,,163.0,7.0,3.0,4.0,5.0,13.0,17.0,330.0,,,17.0,22.0,27.0,7.0,1.0,1.0,1.0,1.0,,,1.0,,,,,9.0,,,,,,,,6.0,8.0,4.0,7.0,5.0,,56.0,49.0,,,,4.0,17.0,2.0,10.0,,,6.0,5.0,10.0,,8.0,,60.0,73.0,4.0,11.0,5.0,,,45.0,14.0,18.0,,5.0,4.0,1.0,149.0,,,,,,7.0,,,,2.0,,,,,7.0,,11.0,11.0,1.0,4.0,101.0,78.0,47.0,9.0,1.0,7.0,1.0,1.0,393.0,,,4.0,1.0,,57.0,35.0,34.0,,,,,,147.0,147.0,,19.0,24.0,54.4,,,1.0,,17.0,0.0,,,,114.0,1.0,,1.0,,,1.0,9.0,,2.0,68.0,306.0,6.0,8.0,195.0,21.0,16.0,25.0,3.0,22.0,19.0,1.0,104.0,3.0,247.0,2.0,3.0,16.0,15.0,40.0,2.0,420.0,,0.0,12.0,16.0,,23.0,5.0,611.0,21.0,11.0,16.0,6.0,13.0,0.0
855185,2.0,2016-08-20 12:30:00,110,Stoke,Home,157.0,11.0,1.0,5.0,4.0,1.0,,111.0,5.0,2.0,5.0,13.0,11.0,32.0,263.0,,1.0,21.0,21.0,21.0,3.0,,,,,,,1.0,,,,,6.0,1.0,,,,,,,7.0,9.0,3.0,5.0,3.0,,43.0,60.0,1.0,1.0,1.0,1.0,15.0,2.0,12.0,,,7.0,7.0,3.0,,12.0,2.0,65.0,69.0,1.0,20.0,8.0,,,54.0,12.0,13.0,1.0,2.0,,1.0,151.0,,,,,,6.0,,,,,,,,,8.0,,13.0,13.0,1.0,5.0,90.0,79.0,35.0,7.0,,1.0,2.0,3.0,333.0,,,4.0,2.0,,57.0,32.0,26.0,1.0,1.0,1.0,,1.0,154.0,154.0,2.0,27.0,18.0,42.5,,,,1.0,15.0,0.0,,,,77.0,2.0,,2.0,,1.0,,3.0,,2.0,51.0,242.0,6.0,3.0,179.0,26.0,25.0,22.0,6.0,16.0,10.0,,99.0,15.0,198.0,,3.0,37.0,11.0,74.0,3.0,361.0,,0.0,8.0,22.0,3.0,28.0,3.0,571.0,17.0,13.0,14.0,7.0,14.0,0.0
855194,3.0,2016-08-27 15:00:00,110,Stoke,Away,154.0,14.0,1.0,2.0,1.0,5.0,,156.0,9.0,,4.0,13.0,14.0,38.0,308.0,1.0,1.0,15.0,17.0,21.0,3.0,,1.0,,,,,,1.0,1.0,,,7.0,,,,,,,,4.0,10.0,12.0,1.0,7.0,,42.0,67.0,,,,1.0,9.0,3.0,19.0,2.0,1.0,2.0,6.0,9.0,,12.0,6.0,68.0,72.0,1.0,23.0,16.0,,,53.0,11.0,13.0,,1.0,1.0,,146.0,,,,,,9.0,,,,1.0,,,,,18.0,1.0,7.0,7.0,1.0,4.0,100.0,71.0,38.0,9.0,,1.0,2.0,1.0,363.0,,,7.0,1.0,1.0,39.0,53.0,33.0,,1.0,1.0,1.0,,150.0,150.0,3.0,34.0,21.0,45.1,,,,,9.0,0.0,,,,107.0,4.0,5.0,8.0,,1.0,,4.0,,3.0,70.0,281.0,2.0,3.0,174.0,30.0,27.0,22.0,2.0,18.0,16.0,,108.0,18.0,239.0,1.0,,25.0,14.0,68.0,1.0,395.0,1.0,0.0,8.0,26.0,1.0,21.0,1.0,602.0,14.0,18.0,13.0,2.0,17.0,0.0
855208,4.0,2016-09-10 15:00:00,110,Stoke,Home,109.0,16.0,4.0,8.0,4.0,4.0,,132.0,3.0,2.0,2.0,7.0,10.0,21.0,233.0,,,20.0,17.0,15.0,6.0,2.0,4.0,,,1.0,,1.0,,,1.0,,11.0,,,,,,,,4.0,14.0,6.0,9.0,7.0,,44.0,55.0,,,,3.0,15.0,7.0,7.0,,,10.0,6.0,9.0,,4.0,1.0,42.0,64.0,3.0,17.0,10.0,,,49.0,13.0,16.0,,3.0,,1.0,137.0,,,,,,5.0,,,,3.0,,,,1.0,11.0,,20.0,20.0,1.0,2.0,87.0,64.0,30.0,8.0,,2.0,6.0,2.0,290.0,,,7.0,2.0,,34.0,44.0,36.0,,,,,,136.0,136.0,2.0,26.0,18.0,39.7,,,,,15.0,0.0,,,,57.0,3.0,1.0,5.0,,,,7.0,,2.0,61.0,209.0,9.0,8.0,127.0,36.0,22.0,15.0,8.0,23.0,15.0,,104.0,15.0,221.0,3.0,2.0,22.0,11.0,56.0,2.0,325.0,,0.0,16.0,23.0,,21.0,3.0,541.0,32.0,16.0,11.0,11.0,19.0,0.0
855213,5.0,2016-09-18 14:15:00,110,Stoke,Away,105.0,17.0,2.0,4.0,2.0,3.0,1.0,158.0,1.0,,2.0,7.0,11.0,32.0,259.0,,1.0,20.0,19.0,20.0,4.0,3.0,3.0,,,,,,,,,1.0,6.0,,,,,,,2.0,6.0,9.0,5.0,6.0,5.0,,42.0,67.0,3.0,3.0,,6.0,12.0,1.0,17.0,1.0,,5.0,12.0,5.0,,19.0,2.0,71.0,66.0,6.0,20.0,12.0,,,57.0,9.0,14.0,,2.0,4.0,,145.0,,,,,,4.0,,,1.0,,,,,,13.0,,11.0,11.0,,2.0,81.0,73.0,50.0,10.0,1.0,3.0,4.0,4.0,324.0,,,5.0,1.0,,45.0,62.0,32.0,,,,,,158.0,158.0,3.0,22.0,37.0,43.5,,,,,12.0,0.0,,,,82.0,2.0,2.0,3.0,,1.0,,6.0,,1.0,69.0,239.0,3.0,8.0,125.0,31.0,22.0,12.0,4.0,25.0,21.0,,112.0,17.0,250.0,,,17.0,11.0,56.0,3.0,350.0,,0.0,11.0,28.0,1.0,22.0,1.0,562.0,16.0,14.0,5.0,5.0,18.0,0.0
855228,6.0,2016-09-24 15:00:00,110,Stoke,Home,146.0,19.0,4.0,8.0,4.0,7.0,,162.0,6.0,2.0,3.0,5.0,13.0,32.0,300.0,,,16.0,15.0,26.0,6.0,4.0,3.0,,,1.0,,1.0,,,,,7.0,,,,,,,1.0,5.0,4.0,5.0,9.0,3.0,,49.0,60.0,1.0,1.0,,3.0,13.0,6.0,9.0,,,6.0,6.0,10.0,,7.0,1.0,46.0,64.0,3.0,15.0,8.0,,1.0,58.0,9.0,13.0,,4.0,2.0,1.0,169.0,,,,,,9.0,,,1.0,2.0,,,,1.0,10.0,,4.0,4.0,1.0,3.0,89.0,75.0,42.0,6.0,1.0,3.0,7.0,2.0,382.0,,,3.0,,,58.0,49.0,41.0,,,,,,160.0,160.0,1.0,29.0,25.0,56.2,,2.0,,,13.0,0.0,,,,98.0,1.0,1.0,2.0,,1.0,,4.0,,3.0,85.0,283.0,3.0,10.0,189.0,35.0,21.0,14.0,6.0,24.0,18.0,,125.0,19.0,240.0,2.0,2.0,25.0,13.0,67.0,1.0,405.0,,0.0,12.0,19.0,2.0,20.0,3.0,588.0,21.0,19.0,6.0,6.0,11.0,0.0
855236,7.0,2016-10-02 12:00:00,110,Stoke,Away,75.0,9.0,,,,7.0,,111.0,6.0,2.0,3.0,7.0,5.0,27.0,186.0,,,19.0,13.0,10.0,5.0,,,,,,1.0,1.0,,1.0,,,6.0,,,,,,,,5.0,16.0,8.0,4.0,3.0,,34.0,41.0,,,1.0,6.0,9.0,,10.0,,,2.0,5.0,1.0,,16.0,5.0,54.0,40.0,6.0,31.0,14.0,,,66.0,9.0,14.0,,3.0,3.0,1.0,134.0,,,,,,13.0,,,1.0,,,,,,15.0,,10.0,10.0,1.0,3.0,56.0,66.0,32.0,13.0,1.0,1.0,4.0,6.0,240.0,,,8.0,1.0,,63.0,34.0,22.0,,,,,,134.0,134.0,1.0,22.0,10.0,32.8,,,1.0,,9.0,0.0,,,,44.0,6.0,2.0,8.0,,,,1.0,,3.0,62.0,171.0,1.0,5.0,86.0,21.0,44.0,11.0,2.0,11.0,9.0,,112.0,8.0,193.0,,2.0,27.0,5.0,64.0,1.0,268.0,,0.0,7.0,14.0,,21.0,0.0,469.0,12.0,15.0,5.0,2.0,8.0,0.0
855250,8.0,2016-10-15 15:00:00,110,Stoke,Home,171.0,21.0,3.0,6.0,3.0,3.0,,228.0,3.0,1.0,4.0,7.0,17.0,34.0,393.0,,4.0,11.0,13.0,14.0,13.0,,2.0,,,,1.0,1.0,,,,,15.0,,,,1.0,,,,4.0,5.0,6.0,10.0,8.0,,73.0,76.0,1.0,1.0,1.0,4.0,8.0,8.0,8.0,,,6.0,12.0,6.0,,6.0,,40.0,50.0,4.0,13.0,10.0,,,63.0,10.0,13.0,,4.0,1.0,1.0,170.0,1.0,,1.0,1.0,,6.0,,,1.0,1.0,,,,,13.0,1.0,9.0,9.0,,4.0,112.0,87.0,59.0,4.0,2.0,4.0,10.0,6.0,454.0,,,5.0,2.0,,70.0,59.0,38.0,,,,,,138.0,138.0,3.0,34.0,30.0,57.2,1.0,,,,8.0,0.0,,,,123.0,,1.0,1.0,,,,4.0,2.0,3.0,104.0,378.0,2.0,14.0,193.0,35.0,17.0,11.0,6.0,25.0,19.0,,143.0,12.0,310.0,1.0,1.0,22.0,17.0,64.0,2.0,478.0,1.0,0.0,18.0,17.0,5.0,16.0,1.0,653.0,30.0,15.0,7.0,6.0,15.0,0.0
855256,9.0,2016-10-22 15:00:00,110,Stoke,Away,192.0,20.0,1.0,1.0,,3.0,,184.0,5.0,,2.0,10.0,18.0,46.0,375.0,1.0,,17.0,17.0,22.0,9.0,1.0,2.0,,1.0,,,1.0,,,,1.0,9.0,,,,,,,,6.0,7.0,2.0,8.0,4.0,,92.0,53.0,1.0,1.0,,3.0,14.0,2.0,4.0,,,7.0,4.0,2.0,,10.0,,45.0,62.0,3.0,21.0,10.0,,,88.0,8.0,14.0,,2.0,,1.0,179.0,1.0,,,,1.0,10.0,,,,,,,,1.0,15.0,,13.0,13.0,,2.0,107.0,103.0,55.0,5.0,2.0,4.0,7.0,6.0,453.0,,,1.0,1.0,,70.0,62.0,30.0,,,,,,155.0,155.0,1.0,21.0,25.0,51.1,,,,1.0,14.0,0.0,,,,103.0,1.0,1.0,2.0,,1.0,,4.0,,1.0,83.0,359.0,7.0,11.0,210.0,45.0,30.0,19.0,7.0,13.0,6.0,,139.0,10.0,284.0,,,28.0,18.0,86.0,,481.0,1.0,0.0,12.0,15.0,2.0,22.0,3.0,670.0,16.0,13.0,11.0,7.0,12.0,0.0
855267,10.0,2016-10-31 20:00:00,110,Stoke,Home,131.0,17.0,2.0,2.0,,3.0,,138.0,4.0,1.0,3.0,4.0,6.0,21.0,267.0,1.0,1.0,18.0,27.0,16.0,7.0,2.0,5.0,,,,,,,,,,11.0,,,,,2.0,1.0,1.0,3.0,8.0,6.0,10.0,7.0,,65.0,68.0,3.0,1.0,2.0,1.0,21.0,5.0,5.0,,,6.0,3.0,4.0,,10.0,2.0,52.0,59.0,1.0,14.0,11.0,,,57.0,7.0,14.0,2.0,2.0,2.0,,139.0,2.0,,2.0,1.0,1.0,9.0,,,1.0,1.0,,,,,11.0,3.0,8.0,8.0,1.0,3.0,89.0,87.0,43.0,4.0,,6.0,5.0,4.0,337.0,,,3.0,1.0,,41.0,51.0,32.0,,,,,,151.0,151.0,5.0,21.0,32.0,45.6,3.0,,,,21.0,0.0,,,,71.0,2.0,3.0,5.0,,,,8.0,,3.0,58.0,254.0,10.0,11.0,148.0,33.0,14.0,12.0,6.0,15.0,9.0,,98.0,11.0,231.0,1.0,1.0,27.0,7.0,61.0,2.0,364.0,1.0,0.0,17.0,21.0,1.0,27.0,2.0,549.0,22.0,15.0,8.0,6.0,18.0,0.0
