matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803164,1.0,2015-08-09 16:00:00,110,Stoke,Home,169.0,19.0,2.0,5.0,3.0,1.0,,137.0,,4.0,7.0,4.0,12.0,27.0,301.0,,,21.0,21.0,16.0,4.0,,,,,,,,,,7.0,,,,,,6.0,4.0,4.0,,,,54.0,64.0,,,,,19.0,2.0,10.0,,,3.0,8.0,7.0,8.0,1.0,58.0,62.0,,12.0,6.0,,1.0,66.0,9.0,16.0,,,2.0,2.0,,171.0,,,,,,4.0,,,,,,,,,7.0,,13.0,13.0,4.0,7.0,94.0,97.0,45.0,5.0,,2.0,2.0,1.0,384.0,,,4.0,1.0,52.0,65.0,23.0,,,,,171.0,167.0,1.0,32.0,17.0,47.0,,1.0,19.0,0.0,,,,93.0,2.0,,2.0,,,,4.0,,3.0,51.0,287.0,9.0,4.0,193.0,46.0,16.0,16.0,2.0,19.0,17.0,,97.0,7.0,238.0,,4.0,18.0,15.0,68.0,3.0,412.0,1.0,0.0,7.0,25.0,,25.0,2.0,607.0,,15.0,5.0,3.0,20.0,0.0
803180,2.0,2015-08-15 15:00:00,110,Stoke,Away,175.0,13.0,1.0,8.0,7.0,3.0,,184.0,1.0,2.0,3.0,3.0,12.0,24.0,351.0,,,21.0,17.0,13.0,9.0,1.0,,,1.0,,1.0,,1.0,,11.0,1.0,,,,,4.0,7.0,6.0,,,,70.0,60.0,4.0,3.0,2.0,1.0,11.0,2.0,9.0,,,3.0,10.0,7.0,12.0,5.0,53.0,56.0,1.0,12.0,9.0,,2.0,62.0,11.0,15.0,1.0,,5.0,3.0,1.0,150.0,1.0,,1.0,1.0,,4.0,,,1.0,2.0,,,,,10.0,,16.0,16.0,2.0,3.0,116.0,77.0,50.0,4.0,1.0,5.0,6.0,7.0,403.0,,,4.0,2.0,84.0,54.0,24.0,,,,1.0,134.0,131.0,1.0,20.0,30.0,46.8,,1.0,11.0,0.0,,,,94.0,3.0,2.0,5.0,,1.0,,6.0,,3.0,88.0,334.0,6.0,11.0,188.0,24.0,15.0,13.0,2.0,22.0,20.0,,133.0,10.0,264.0,2.0,2.0,11.0,12.0,46.0,3.0,430.0,,0.0,15.0,19.0,,21.0,2.0,634.0,,17.0,9.0,3.0,13.0,0.0
803189,3.0,2015-08-22 15:00:00,110,Stoke,Away,190.0,14.0,,2.0,2.0,,2.0,204.0,7.0,3.0,4.0,5.0,10.0,23.0,392.0,,1.0,18.0,11.0,10.0,3.0,1.0,,,,,,,,,4.0,,,,,2.0,3.0,10.0,10.0,,,,80.0,47.0,2.0,1.0,1.0,1.0,9.0,1.0,6.0,,,,4.0,1.0,18.0,4.0,44.0,44.0,1.0,12.0,9.0,,,54.0,5.0,14.0,1.0,,3.0,3.0,,152.0,1.0,1.0,1.0,,1.0,12.0,,,,,,,,,11.0,,15.0,15.0,,4.0,114.0,87.0,56.0,9.0,,3.0,2.0,1.0,436.0,,,5.0,1.0,80.0,55.0,20.0,,,,,128.0,122.0,3.0,19.0,17.0,57.4,,,9.0,0.0,,,,121.0,5.0,1.0,6.0,,,,4.0,,3.0,68.0,372.0,4.0,5.0,205.0,32.0,18.0,9.0,,8.0,8.0,,100.0,4.0,270.0,,3.0,14.0,10.0,52.0,4.0,467.0,,0.0,6.0,15.0,1.0,21.0,1.0,640.0,,11.0,5.0,,9.0,0.0
803200,4.0,2015-08-29 15:00:00,110,Stoke,Home,198.0,17.0,,1.0,1.0,,,178.0,9.0,2.0,5.0,3.0,16.0,22.0,375.0,,,12.0,9.0,12.0,8.0,,2.0,,,1.0,2.0,,,,8.0,,,,,1.0,2.0,8.0,7.0,3.0,10.0,,67.0,52.0,,1.0,,6.0,17.0,3.0,9.0,,1.0,6.0,7.0,6.0,11.0,1.0,40.0,52.0,6.0,17.0,10.0,,1.0,50.0,4.0,9.0,,,2.0,,2.0,163.0,,,,,,14.0,,,,1.0,,,,,11.0,,6.0,6.0,,5.0,124.0,76.0,50.0,5.0,,4.0,4.0,5.0,414.0,,,4.0,5.0,56.0,47.0,22.0,,,,,131.0,129.0,1.0,26.0,15.0,49.1,,,17.0,0.0,,,,92.0,1.0,3.0,4.0,,1.0,,5.0,,3.0,69.0,354.0,9.0,8.0,216.0,30.0,19.0,22.0,5.0,18.0,13.0,,97.0,3.0,248.0,1.0,2.0,11.0,16.0,46.0,2.0,446.0,,2.0,13.0,18.0,,16.0,1.0,632.0,10.0,11.0,14.0,6.0,15.0,0.0
803209,5.0,2015-09-12 15:00:00,110,Stoke,Away,126.0,12.0,,,,4.0,,100.0,6.0,,3.0,4.0,11.0,15.0,226.0,,,13.0,12.0,7.0,6.0,,,,,,,,,,9.0,,,,,,9.0,23.0,6.0,,,,43.0,59.0,,,,2.0,16.0,3.0,12.0,,,1.0,3.0,2.0,11.0,6.0,54.0,37.0,2.0,21.0,11.0,,1.0,48.0,13.0,6.0,,,1.0,1.0,,138.0,,,,,,13.0,,,,,,,,,13.0,,15.0,15.0,,4.0,48.0,65.0,31.0,13.0,,2.0,4.0,3.0,277.0,,,8.0,3.0,59.0,27.0,12.0,,,,,139.0,129.0,,28.0,22.0,32.4,,,16.0,0.0,,,,76.0,8.0,2.0,10.0,,,,3.0,,2.0,41.0,212.0,12.0,6.0,147.0,26.0,31.0,15.0,1.0,7.0,6.0,,76.0,9.0,165.0,,,21.0,11.0,53.0,3.0,305.0,,0.0,9.0,16.0,1.0,18.0,1.0,496.0,,13.0,8.0,1.0,11.0,0.0
803215,6.0,2015-09-19 15:00:00,110,Stoke,Home,151.0,18.0,1.0,6.0,5.0,3.0,2.0,165.0,4.0,,2.0,8.0,5.0,37.0,310.0,,1.0,19.0,28.0,34.0,5.0,2.0,,,,1.0,1.0,1.0,,2.0,8.0,,,,,2.0,,7.0,5.0,,,,68.0,81.0,1.0,,2.0,1.0,22.0,2.0,11.0,,,3.0,11.0,9.0,8.0,3.0,59.0,92.0,1.0,15.0,12.0,,,79.0,7.0,12.0,1.0,,2.0,4.0,1.0,194.0,1.0,,1.0,1.0,,10.0,,,2.0,1.0,,,,1.0,13.0,,14.0,14.0,3.0,2.0,80.0,100.0,47.0,4.0,1.0,4.0,4.0,4.0,403.0,,,1.0,5.0,71.0,67.0,34.0,1.0,1.0,1.0,,185.0,182.0,2.0,33.0,37.0,54.1,,,22.0,0.0,,,,90.0,1.0,2.0,3.0,,,,5.0,,3.0,76.0,293.0,11.0,8.0,183.0,43.0,18.0,22.0,2.0,26.0,24.0,,126.0,9.0,275.0,1.0,,29.0,5.0,82.0,3.0,432.0,,0.0,11.0,32.0,1.0,23.0,1.0,647.0,,13.0,15.0,4.0,20.0,0.0
803224,7.0,2015-09-26 15:00:00,110,Stoke,Home,126.0,17.0,2.0,4.0,2.0,2.0,,166.0,,,,6.0,10.0,38.0,288.0,,,13.0,14.0,15.0,4.0,,,1.0,,,,,,,6.0,,,,,2.0,8.0,5.0,7.0,,,,73.0,67.0,4.0,2.0,2.0,2.0,16.0,1.0,9.0,,,3.0,8.0,3.0,8.0,3.0,52.0,48.0,2.0,23.0,13.0,,,90.0,13.0,11.0,1.0,,2.0,2.0,,147.0,2.0,,2.0,2.0,,2.0,,,2.0,1.0,,,,,14.0,,13.0,13.0,,,83.0,84.0,32.0,7.0,,2.0,4.0,5.0,361.0,,,4.0,2.0,63.0,62.0,15.0,,,,,151.0,144.0,5.0,21.0,32.0,43.7,,1.0,16.0,0.0,,,,80.0,2.0,3.0,5.0,,,1.0,2.0,,3.0,64.0,278.0,8.0,6.0,137.0,34.0,30.0,16.0,2.0,15.0,13.0,1.0,122.0,8.0,261.0,1.0,,38.0,10.0,87.0,2.0,383.0,,0.0,8.0,15.0,2.0,22.0,1.0,560.0,,9.0,8.0,3.0,11.0,0.0
803237,8.0,2015-10-03 15:00:00,110,Stoke,Away,168.0,20.0,1.0,4.0,3.0,4.0,,137.0,5.0,,3.0,9.0,6.0,32.0,301.0,,,19.0,18.0,17.0,9.0,2.0,,,,,,1.0,,1.0,9.0,,,,,1.0,9.0,6.0,7.0,,,,60.0,71.0,1.0,,1.0,6.0,14.0,3.0,22.0,,1.0,5.0,7.0,5.0,9.0,1.0,70.0,68.0,6.0,23.0,16.0,,,48.0,12.0,12.0,,,1.0,,,142.0,1.0,,1.0,1.0,,8.0,,,1.0,2.0,,,,,16.0,,14.0,14.0,1.0,3.0,99.0,81.0,48.0,9.0,1.0,4.0,8.0,5.0,356.0,,,6.0,1.0,51.0,66.0,22.0,,,,,144.0,138.0,2.0,37.0,26.0,43.7,,,14.0,0.0,,,,80.0,2.0,,2.0,,1.0,,4.0,,3.0,59.0,283.0,5.0,12.0,188.0,40.0,29.0,21.0,4.0,16.0,12.0,,90.0,12.0,209.0,2.0,,25.0,7.0,64.0,2.0,381.0,,0.0,12.0,27.0,,25.0,0.0,601.0,,19.0,12.0,5.0,19.0,0.0
803249,9.0,2015-10-19 20:00:00,110,Stoke,Away,226.0,22.0,,2.0,2.0,3.0,,158.0,9.0,,6.0,7.0,15.0,29.0,382.0,1.0,2.0,12.0,12.0,11.0,7.0,,,,,,,,,1.0,8.0,1.0,,,,,8.0,5.0,9.0,,,,80.0,71.0,1.0,1.0,1.0,4.0,15.0,1.0,16.0,,,2.0,3.0,4.0,11.0,1.0,58.0,54.0,4.0,15.0,11.0,,,46.0,14.0,6.0,,,1.0,,,154.0,,,,,,12.0,,,,6.0,,,,,11.0,,15.0,15.0,1.0,6.0,125.0,81.0,43.0,1.0,1.0,6.0,1.0,2.0,451.0,,,2.0,1.0,58.0,36.0,14.0,,,,1.0,132.0,132.0,1.0,36.0,23.0,45.9,,,15.0,0.0,,,,113.0,,2.0,2.0,,1.0,,6.0,,3.0,58.0,368.0,6.0,7.0,257.0,35.0,15.0,13.0,2.0,9.0,7.0,,87.0,9.0,224.0,6.0,,35.0,16.0,72.0,2.0,472.0,2.0,0.0,9.0,32.0,2.0,18.0,2.0,645.0,,8.0,6.0,2.0,20.0,0.0
803260,10.0,2015-10-24 15:00:00,110,Stoke,Home,218.0,17.0,1.0,4.0,3.0,1.0,,226.0,8.0,,2.0,3.0,11.0,38.0,440.0,,,24.0,13.0,13.0,7.0,1.0,,,,,1.0,1.0,,,9.0,,,,,,5.0,6.0,7.0,,,,68.0,50.0,2.0,2.0,,,17.0,3.0,3.0,,,11.0,9.0,6.0,10.0,1.0,45.0,54.0,,13.0,4.0,1.0,,61.0,10.0,17.0,,,5.0,3.0,1.0,185.0,,,,,,11.0,,,,1.0,,,,,5.0,,12.0,12.0,1.0,2.0,138.0,83.0,58.0,5.0,,8.0,,,493.0,,,5.0,3.0,78.0,67.0,33.0,,,,,158.0,154.0,5.0,18.0,21.0,66.2,,,17.0,0.0,,,,135.0,,1.0,1.0,,1.0,,8.0,,3.0,107.0,412.0,5.0,8.0,246.0,33.0,17.0,17.0,8.0,26.0,18.0,,141.0,4.0,306.0,1.0,,18.0,11.0,66.0,8.0,526.0,1.0,0.0,11.0,19.0,,25.0,3.0,724.0,16.0,14.0,7.0,11.0,16.0,0.0
