matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
918999,11,2017-11-04 12:30:00,110,Stoke,Home,102.0,10.0,3.0,5.0,2.0,6.0,1.0,187.0,4.0,,2.0,9.0,11.0,31.0,284.0,1.0,1.0,17.0,26.0,27.0,6.0,3.0,1.0,,,,,,,,1.0,6.0,,,,1.0,6.0,10.0,4.0,9.0,2.0,60.0,50.0,3.0,1.0,2.0,3.0,16.0,1.0,6.0,,,4.0,11.0,4.0,,10.0,1.0,58.0,56.0,3.0,18.0,12.0,,,61.0,12.0,8.0,1.0,,2.0,1.0,,150.0,2.0,1.0,2.0,1.0,1.0,,9.0,1.0,,,12.0,,12.0,12.0,2.0,2.0,90.0,75.0,36.0,10.0,,3.0,8.0,7.0,354.0,5.0,1.0,,65.0,78.0,27.0,,,,,148.0,148.0,3.0,25.0,19.0,47.2,,,1.0,,16.0,0.0,79.0,1.0,1.0,2.0,1.0,1.0,3.0,,2.0,93.0,271.0,3.0,11.0,120.0,27.0,18.0,10.0,4.0,20.0,16.0,1.0,140.0,17.0,279.0,,,25.0,11.0,61.0,,379.0,1.0,0.0,11.0,15.0,2.0,28.0,0.0,550.0,30.0,12.0,6.0,4.0,11.0,0.0
919005,12,2017-11-20 20:00:00,110,Stoke,Away,148.0,16.0,3.0,6.0,3.0,6.0,,174.0,6.0,,4.0,3.0,13.0,26.0,316.0,,,17.0,9.0,22.0,9.0,1.0,,,,,,,,,,9.0,,,,1.0,5.0,4.0,5.0,10.0,3.0,53.0,50.0,,,1.0,5.0,14.0,5.0,11.0,,,7.0,13.0,2.0,1.0,9.0,,39.0,62.0,5.0,27.0,23.0,,,53.0,5.0,12.0,1.0,,1.0,1.0,,142.0,1.0,,1.0,1.0,,,8.0,1.0,1.0,,23.0,,14.0,14.0,,4.0,107.0,67.0,38.0,6.0,,2.0,9.0,6.0,368.0,,,,50.0,69.0,34.0,,,,,127.0,127.0,3.0,19.0,22.0,46.2,,2.0,,,14.0,0.0,94.0,1.0,,1.0,1.0,,2.0,,1.0,66.0,299.0,4.0,11.0,161.0,26.0,27.0,23.0,7.0,23.0,16.0,,108.0,12.0,258.0,1.0,,19.0,14.0,53.0,1.0,396.0,,0.0,13.0,10.0,,24.0,0.0,590.0,24.0,8.0,18.0,7.0,7.0,0.0
919014,13,2017-11-25 15:00:00,110,Stoke,Away,124.0,20.0,,3.0,3.0,2.0,,206.0,3.0,,4.0,7.0,19.0,22.0,327.0,,1.0,29.0,14.0,15.0,5.0,,1.0,,1.0,,,1.0,,,,7.0,,,,1.0,3.0,8.0,2.0,6.0,4.0,62.0,71.0,1.0,1.0,,2.0,21.0,1.0,9.0,,,2.0,11.0,2.0,,17.0,2.0,53.0,57.0,2.0,29.0,20.0,,,68.0,5.0,9.0,1.0,,2.0,1.0,1.0,165.0,1.0,,,1.0,,,8.0,1.0,,1.0,20.0,,23.0,23.0,1.0,4.0,97.0,74.0,40.0,5.0,,3.0,3.0,3.0,403.0,3.0,5.0,,64.0,86.0,24.0,,,,,168.0,168.0,5.0,32.0,27.0,46.0,,3.0,,,21.0,0.0,101.0,3.0,,3.0,2.0,1.0,6.0,,2.0,104.0,315.0,9.0,7.0,149.0,40.0,29.0,23.0,1.0,15.0,14.0,1.0,153.0,9.0,291.0,,,17.0,19.0,57.0,1.0,425.0,,0.0,10.0,20.0,4.0,38.0,1.0,667.0,14.0,16.0,13.0,2.0,15.0,0.0
919032,14,2017-11-29 20:00:00,110,Stoke,Home,134.0,15.0,1.0,4.0,3.0,2.0,,114.0,4.0,1.0,5.0,13.0,9.0,34.0,244.0,,,17.0,25.0,34.0,2.0,,,,,,,1.0,,,,5.0,,,,3.0,3.0,7.0,7.0,5.0,5.0,65.0,54.0,1.0,1.0,,4.0,24.0,5.0,11.0,,,5.0,7.0,7.0,,10.0,2.0,58.0,69.0,4.0,21.0,11.0,1.0,,69.0,8.0,9.0,,,3.0,2.0,1.0,156.0,,,,,,,7.0,,,,11.0,,18.0,18.0,3.0,6.0,69.0,83.0,43.0,10.0,,1.0,1.0,1.0,327.0,4.0,3.0,,41.0,62.0,20.0,,,,,162.0,162.0,,17.0,27.0,39.9,,,,,24.0,0.0,59.0,2.0,2.0,4.0,,,4.0,,2.0,57.0,228.0,10.0,2.0,148.0,32.0,21.0,15.0,5.0,21.0,16.0,,109.0,12.0,222.0,,1.0,25.0,11.0,65.0,4.0,349.0,,0.0,10.0,16.0,,24.0,1.0,552.0,16.0,11.0,11.0,5.0,11.0,0.0
919040,15,2017-12-02 15:00:00,110,Stoke,Home,127.0,23.0,1.0,2.0,1.0,6.0,,170.0,5.0,,2.0,9.0,6.0,39.0,295.0,,1.0,25.0,19.0,25.0,6.0,1.0,,,,,,,,,,9.0,,,,1.0,5.0,3.0,7.0,6.0,4.0,77.0,44.0,2.0,1.0,1.0,4.0,13.0,1.0,7.0,,,2.0,4.0,5.0,,21.0,1.0,61.0,57.0,4.0,35.0,25.0,,,58.0,12.0,10.0,1.0,,1.0,1.0,,139.0,2.0,,2.0,2.0,,,9.0,2.0,,,25.0,,13.0,13.0,,2.0,80.0,72.0,46.0,6.0,1.0,5.0,4.0,3.0,356.0,5.0,4.0,,62.0,49.0,24.0,,,,,141.0,141.0,3.0,19.0,17.0,44.1,,,3.0,,13.0,0.0,81.0,,2.0,3.0,1.0,,6.0,,3.0,67.0,281.0,7.0,9.0,149.0,30.0,35.0,12.0,2.0,12.0,10.0,,100.0,18.0,240.0,,,21.0,7.0,63.0,3.0,377.0,2.0,0.0,10.0,13.0,1.0,29.0,2.0,583.0,18.0,14.0,9.0,2.0,9.0,0.0
919051,16,2017-12-09 15:00:00,110,Stoke,Away,88.0,11.0,1.0,3.0,2.0,3.0,,87.0,3.0,,,11.0,4.0,30.0,172.0,,,7.0,19.0,21.0,2.0,,,,,,,,1.0,,,2.0,,,,1.0,4.0,13.0,8.0,4.0,,48.0,54.0,2.0,1.0,1.0,3.0,12.0,,5.0,,,6.0,6.0,4.0,1.0,13.0,5.0,50.0,56.0,3.0,29.0,14.0,,1.0,44.0,9.0,12.0,,,,,,132.0,1.0,1.0,1.0,,1.0,,9.0,,,1.0,14.0,,13.0,13.0,6.0,,40.0,76.0,23.0,12.0,,1.0,2.0,3.0,230.0,3.0,1.0,1.0,38.0,37.0,22.0,,,,,143.0,143.0,,30.0,19.0,29.2,,,,,12.0,0.0,48.0,4.0,3.0,7.0,,,1.0,,3.0,49.0,150.0,6.0,3.0,107.0,24.0,29.0,11.0,6.0,16.0,10.0,,88.0,14.0,177.0,,,40.0,4.0,79.0,2.0,268.0,,0.0,4.0,17.0,2.0,12.0,0.0,438.0,14.0,8.0,6.0,6.0,12.0,0.0
919053,17,2017-12-12 19:45:00,110,Stoke,Away,107.0,14.0,1.0,3.0,2.0,6.0,,136.0,9.0,,,12.0,8.0,35.0,240.0,,,19.0,31.0,44.0,9.0,1.0,,,,,,,,1.0,,10.0,,,1.0,,5.0,6.0,4.0,6.0,8.0,58.0,67.0,,1.0,,,18.0,1.0,2.0,,,4.0,2.0,8.0,,8.0,,57.0,73.0,,36.0,21.0,,,62.0,14.0,6.0,,,,,,179.0,,,,,,,13.0,,,2.0,21.0,1.0,7.0,7.0,,,68.0,100.0,45.0,6.0,,2.0,8.0,7.0,349.0,3.0,3.0,,65.0,38.0,29.0,,,,,192.0,192.0,4.0,28.0,28.0,49.0,1.0,,,,18.0,0.0,75.0,,1.0,1.0,1.0,,6.0,,2.0,63.0,226.0,8.0,10.0,138.0,34.0,36.0,12.0,4.0,14.0,10.0,,124.0,23.0,256.0,1.0,,47.0,9.0,90.0,2.0,380.0,,0.0,14.0,17.0,,29.0,0.0,566.0,15.0,12.0,6.0,4.0,14.0,0.0
919070,18,2017-12-16 16:00:00,110,Stoke,Home,116.0,19.0,3.0,8.0,5.0,5.0,,225.0,7.0,1.0,3.0,3.0,7.0,32.0,333.0,,,19.0,19.0,25.0,12.0,3.0,,,,,,,,,,12.0,,,1.0,2.0,7.0,11.0,3.0,8.0,9.0,72.0,52.0,1.0,1.0,,,22.0,9.0,19.0,,,7.0,12.0,10.0,,4.0,1.0,56.0,70.0,,14.0,7.0,,1.0,70.0,12.0,13.0,,1.0,2.0,1.0,,160.0,,,,,,,11.0,,,1.0,7.0,1.0,9.0,9.0,,3.0,100.0,76.0,50.0,9.0,,8.0,7.0,,404.0,1.0,2.0,,74.0,56.0,47.0,1.0,1.0,1.0,,152.0,152.0,2.0,21.0,26.0,54.7,1.0,,,,22.0,0.0,100.0,2.0,2.0,4.0,,,8.0,,3.0,102.0,313.0,7.0,15.0,131.0,46.0,14.0,10.0,7.0,30.0,23.0,,165.0,7.0,331.0,,1.0,8.0,7.0,62.0,,432.0,,0.0,17.0,25.0,,21.0,2.0,624.0,25.0,19.0,7.0,7.0,19.0,0.0
919080,19,2017-12-23 15:00:00,110,Stoke,Home,139.0,8.0,1.0,5.0,4.0,6.0,1.0,125.0,9.0,1.0,4.0,6.0,15.0,32.0,259.0,,1.0,20.0,24.0,33.0,3.0,1.0,1.0,,,,,1.0,,,1.0,7.0,,,,1.0,6.0,12.0,5.0,5.0,4.0,61.0,55.0,3.0,,3.0,6.0,15.0,2.0,10.0,,,1.0,7.0,6.0,,9.0,2.0,58.0,81.0,6.0,43.0,23.0,,,60.0,9.0,11.0,,,2.0,4.0,1.0,149.0,3.0,,3.0,3.0,,1.0,12.0,3.0,2.0,,23.0,,16.0,16.0,2.0,4.0,67.0,72.0,38.0,11.0,2.0,1.0,6.0,5.0,327.0,5.0,1.0,,41.0,59.0,23.0,,,,,143.0,143.0,1.0,26.0,16.0,43.6,,,,,15.0,0.0,80.0,3.0,3.0,6.0,1.0,1.0,2.0,,2.0,42.0,238.0,8.0,7.0,169.0,21.0,43.0,17.0,1.0,18.0,17.0,2.0,82.0,16.0,206.0,2.0,1.0,27.0,15.0,74.0,,357.0,,0.0,9.0,27.0,1.0,24.0,1.0,587.0,14.0,11.0,10.0,1.0,11.0,0.0
919086,20,2017-12-26 15:00:00,110,Stoke,Away,129.0,13.0,3.0,7.0,4.0,6.0,1.0,152.0,9.0,,,12.0,13.0,33.0,274.0,,2.0,16.0,15.0,34.0,6.0,4.0,,,,,,,,,,5.0,,,,2.0,8.0,13.0,5.0,11.0,4.0,69.0,55.0,3.0,3.0,1.0,4.0,22.0,3.0,8.0,,1.0,5.0,6.0,2.0,,14.0,4.0,51.0,84.0,4.0,41.0,21.0,,,49.0,12.0,9.0,,,2.0,1.0,,170.0,1.0,,1.0,1.0,,,11.0,1.0,,1.0,21.0,1.0,15.0,15.0,6.0,,68.0,79.0,51.0,8.0,,5.0,6.0,7.0,345.0,2.0,,,38.0,52.0,18.0,,,,,139.0,139.0,2.0,23.0,26.0,41.7,,,1.0,2.0,22.0,0.0,65.0,4.0,2.0,6.0,,,5.0,,3.0,61.0,253.0,10.0,11.0,168.0,30.0,41.0,13.0,4.0,13.0,9.0,,91.0,8.0,217.0,,,23.0,14.0,55.0,2.0,372.0,,0.0,15.0,31.0,2.0,16.0,4.0,593.0,15.0,16.0,10.0,5.0,19.0,0.0
