matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321666,1,2010-08-14 15:00:00,110,Stoke,Away,56.0,11.0,2.0,4.0,2.0,5.0,,86.0,5.0,,,7.0,2.0,26.0,138.0,,,11.0,22.0,30.0,5.0,1.0,,,,,,,,,,7.0,,1.0,,,10.0,5.0,27.0,47.0,1.0,,1.0,5.0,3.0,5.0,,5.0,9.0,4.0,1.0,12.0,1.0,59.0,66.0,5.0,22.0,10.0,,,69.0,16.0,18.0,,1.0,1.0,1.0,,111.0,1.0,1.0,1.0,,1.0,,12.0,,1.0,,25.0,1.0,8.0,7.0,,1.0,38.0,75.0,31.0,5.0,,1.0,6.0,4.0,4.0,,,43.0,34.0,23.0,,,,,,183.0,155.0,1.0,27.0,12.0,38.5,1.0,4.0,0.0,51.0,2.0,,,3.0,,3.0,,3.0,47.0,7.0,71.0,26.0,50.0,7.0,5.0,19.0,14.0,,108.0,18.0,175.0,1.0,,29.0,3.0,59.0,3.0,227.0,2.0,0.0,10.0,15.0,1.0,24.0,2.0,423.0,10.0,3.0,5.0,15.0,0.0
321673,2,2010-08-21 15:00:00,110,Stoke,Home,84.0,10.0,1.0,6.0,5.0,5.0,,130.0,2.0,,5.0,11.0,5.0,22.0,208.0,,1.0,19.0,14.0,20.0,10.0,1.0,,,,,,,,,,13.0,,,,1.0,6.0,3.0,40.0,53.0,2.0,4.0,1.0,3.0,6.0,11.0,1.0,6.0,14.0,10.0,,11.0,2.0,58.0,50.0,3.0,11.0,5.0,,,93.0,15.0,5.0,1.0,,,,,166.0,,,,,,,6.0,,,,10.0,1.0,20.0,16.0,2.0,5.0,52.0,89.0,42.0,2.0,,5.0,6.0,7.0,3.0,,,53.0,44.0,37.0,,,,,,178.0,172.0,4.0,27.0,14.0,41.7,,,0.0,59.0,4.0,,,,,6.0,,3.0,79.0,11.0,100.0,31.0,17.0,11.0,6.0,30.0,24.0,,150.0,17.0,247.0,,,43.0,5.0,66.0,2.0,317.0,1.0,0.0,19.0,21.0,4.0,26.0,3.0,508.0,8.0,4.0,6.0,16.0,0.0
321681,3,2010-08-28 15:00:00,110,Stoke,Away,59.0,11.0,,5.0,5.0,2.0,,100.0,8.0,2.0,,6.0,5.0,20.0,154.0,,,10.0,14.0,11.0,6.0,1.0,,,,,,,,,,5.0,,1.0,,,11.0,10.0,29.0,38.0,,,,4.0,2.0,5.0,,1.0,7.0,4.0,,8.0,1.0,42.0,40.0,4.0,19.0,12.0,,,59.0,10.0,6.0,,,,,,108.0,,,,,,,15.0,,,,20.0,1.0,12.0,10.0,2.0,,48.0,73.0,38.0,6.0,,5.0,2.0,1.0,5.0,3.0,,39.0,21.0,22.0,1.0,2.0,2.0,1.0,,128.0,117.0,1.0,20.0,11.0,27.0,1.0,,0.0,39.0,3.0,2.0,,1.0,,7.0,1.0,3.0,51.0,7.0,68.0,25.0,30.0,9.0,1.0,12.0,11.0,,96.0,9.0,168.0,,2.0,21.0,5.0,43.0,1.0,224.0,,0.0,10.0,19.0,1.0,19.0,2.0,395.0,7.0,4.0,1.0,12.0,0.0
321693,4,2010-09-13 20:00:00,110,Stoke,Home,71.0,10.0,3.0,11.0,8.0,4.0,1.0,115.0,5.0,,4.0,16.0,5.0,24.0,175.0,,1.0,12.0,14.0,29.0,9.0,5.0,,,1.0,,,1.0,,,,10.0,,,,3.0,7.0,4.0,39.0,48.0,2.0,1.0,1.0,2.0,4.0,7.0,,8.0,9.0,6.0,1.0,16.0,2.0,52.0,64.0,2.0,20.0,12.0,,1.0,74.0,12.0,13.0,1.0,,3.0,3.0,1.0,136.0,2.0,,2.0,1.0,1.0,,11.0,1.0,3.0,1.0,16.0,,15.0,12.0,1.0,4.0,49.0,88.0,36.0,7.0,,5.0,11.0,9.0,2.0,,,34.0,42.0,29.0,,,,,,180.0,174.0,2.0,23.0,15.0,43.3,,1.0,0.0,53.0,3.0,1.0,,2.0,,8.0,1.0,3.0,56.0,16.0,83.0,19.0,26.0,10.0,8.0,26.0,18.0,,115.0,23.0,220.0,3.0,,39.0,7.0,52.0,2.0,277.0,1.0,0.0,21.0,16.0,1.0,27.0,1.0,495.0,14.0,6.0,8.0,14.0,0.0
321702,5,2010-09-18 12:45:00,110,Stoke,Home,72.0,12.0,1.0,4.0,3.0,4.0,,113.0,3.0,,5.0,10.0,6.0,20.0,181.0,,1.0,19.0,24.0,23.0,4.0,3.0,,,,,,1.0,,,,7.0,,1.0,1.0,2.0,3.0,10.0,42.0,45.0,2.0,3.0,1.0,2.0,6.0,2.0,,6.0,11.0,6.0,,7.0,2.0,63.0,54.0,2.0,19.0,10.0,,,74.0,14.0,10.0,1.0,,3.0,1.0,1.0,131.0,1.0,,1.0,1.0,,,7.0,1.0,2.0,,21.0,3.0,11.0,9.0,,5.0,46.0,77.0,34.0,3.0,,3.0,5.0,3.0,1.0,1.0,,58.0,29.0,28.0,,,,,,180.0,164.0,3.0,10.0,20.0,42.5,2.0,,0.0,52.0,1.0,4.0,,1.0,,5.0,,3.0,58.0,8.0,88.0,31.0,35.0,21.0,6.0,24.0,18.0,,109.0,13.0,207.0,2.0,,33.0,6.0,49.0,3.0,271.0,,0.0,14.0,16.0,1.0,32.0,3.0,501.0,10.0,5.0,6.0,12.0,0.0
321714,6,2010-09-26 16:10:00,110,Stoke,Away,96.0,10.0,1.0,4.0,3.0,4.0,2.0,84.0,3.0,,2.0,13.0,3.0,27.0,176.0,,,12.0,10.0,19.0,4.0,2.0,,,,,,,,,,5.0,,1.0,1.0,2.0,7.0,7.0,30.0,54.0,1.0,,1.0,3.0,1.0,11.0,,5.0,7.0,3.0,,15.0,1.0,47.0,53.0,3.0,27.0,19.0,,,66.0,11.0,8.0,1.0,,2.0,2.0,,128.0,1.0,,1.0,,1.0,,10.0,,2.0,1.0,25.0,2.0,11.0,8.0,2.0,2.0,65.0,86.0,32.0,3.0,,5.0,2.0,1.0,5.0,2.0,,36.0,36.0,20.0,1.0,1.0,1.0,,,172.0,160.0,2.0,26.0,16.0,37.0,2.0,,0.0,52.0,1.0,1.0,,1.0,,6.0,,3.0,49.0,7.0,112.0,23.0,39.0,1.0,4.0,16.0,12.0,,105.0,18.0,179.0,3.0,,36.0,5.0,61.0,1.0,275.0,,0.0,8.0,26.0,,25.0,1.0,473.0,10.0,,5.0,16.0,0.0
321721,7,2010-10-02 15:00:00,110,Stoke,Home,58.0,8.0,4.0,7.0,4.0,6.0,1.0,107.0,4.0,1.0,1.0,10.0,4.0,16.0,158.0,,1.0,17.0,22.0,22.0,8.0,5.0,,,,,1.0,1.0,,,,10.0,,,,1.0,7.0,2.0,25.0,35.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,8.0,15.0,4.0,,8.0,,49.0,44.0,1.0,30.0,19.0,,,73.0,8.0,13.0,1.0,,3.0,2.0,1.0,142.0,1.0,,1.0,1.0,,,9.0,1.0,6.0,,43.0,2.0,4.0,4.0,1.0,2.0,47.0,82.0,34.0,6.0,,6.0,8.0,7.0,6.0,,,37.0,37.0,30.0,,,,,,196.0,166.0,3.0,11.0,13.0,44.5,,4.0,0.0,43.0,1.0,,,1.0,,9.0,,3.0,55.0,14.0,72.0,22.0,60.0,13.0,8.0,28.0,21.0,,113.0,17.0,213.0,6.0,1.0,31.0,4.0,43.0,1.0,257.0,,0.0,21.0,5.0,4.0,34.0,2.0,476.0,5.0,4.0,8.0,3.0,0.0
321731,8,2010-10-16 15:00:00,110,Stoke,Away,69.0,12.0,1.0,6.0,5.0,4.0,,113.0,5.0,,3.0,13.0,10.0,21.0,176.0,,1.0,7.0,33.0,25.0,3.0,,,,,1.0,,2.0,,,,3.0,,1.0,,1.0,6.0,6.0,37.0,54.0,1.0,1.0,1.0,2.0,1.0,5.0,,6.0,10.0,2.0,,15.0,3.0,68.0,60.0,2.0,34.0,24.0,,,81.0,7.0,12.0,,,3.0,,2.0,165.0,,,,,,,9.0,,2.0,,32.0,1.0,14.0,11.0,1.0,3.0,46.0,100.0,41.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,,41.0,41.0,26.0,,,,,,212.0,198.0,1.0,20.0,23.0,40.6,1.0,2.0,0.0,52.0,2.0,2.0,,1.0,,5.0,,3.0,63.0,3.0,86.0,30.0,48.0,17.0,6.0,18.0,12.0,,134.0,17.0,232.0,3.0,,51.0,10.0,60.0,5.0,300.0,,0.0,9.0,14.0,3.0,23.0,2.0,524.0,12.0,9.0,6.0,10.0,0.0
321741,9,2010-10-24 13:30:00,110,Stoke,Home,68.0,9.0,1.0,2.0,1.0,3.0,,125.0,4.0,4.0,,13.0,11.0,16.0,191.0,,1.0,7.0,19.0,17.0,4.0,2.0,,,,,,,,1.0,,5.0,,,,2.0,9.0,5.0,44.0,60.0,,,,2.0,3.0,4.0,,5.0,12.0,10.0,,5.0,2.0,39.0,53.0,2.0,10.0,2.0,,,77.0,7.0,14.0,1.0,,5.0,5.0,,138.0,1.0,,,1.0,,,9.0,1.0,1.0,,7.0,,26.0,20.0,2.0,,47.0,78.0,30.0,6.0,,5.0,2.0,1.0,4.0,1.0,,51.0,34.0,31.0,,,,,,179.0,172.0,2.0,20.0,29.0,37.7,,,0.0,56.0,,1.0,,2.0,,7.0,1.0,3.0,72.0,7.0,85.0,23.0,17.0,10.0,5.0,32.0,27.0,,127.0,16.0,232.0,1.0,4.0,34.0,11.0,48.0,3.0,285.0,,0.0,11.0,16.0,1.0,24.0,2.0,481.0,13.0,6.0,5.0,13.0,0.0
321752,10,2010-10-30 15:00:00,110,Stoke,Away,55.0,5.0,,1.0,1.0,5.0,,101.0,7.0,1.0,,14.0,10.0,27.0,155.0,,,10.0,17.0,22.0,3.0,2.0,1.0,,2.0,,,2.0,,,,,,,,4.0,9.0,10.0,23.0,42.0,,,,,2.0,6.0,,2.0,5.0,6.0,,16.0,,57.0,64.0,,17.0,10.0,,1.0,72.0,14.0,16.0,,,,,2.0,129.0,,,,,,,13.0,,,,22.0,,10.0,9.0,,1.0,49.0,74.0,29.0,6.0,,3.0,2.0,,6.0,1.0,,29.0,59.0,21.0,,,,,,170.0,153.0,3.0,16.0,15.0,35.6,,,0.0,53.0,4.0,2.0,,1.0,1.0,9.0,,2.0,53.0,5.0,73.0,19.0,34.0,11.0,2.0,14.0,12.0,,108.0,19.0,195.0,,1.0,40.0,10.0,56.0,1.0,254.0,,0.0,11.0,19.0,,14.0,1.0,433.0,8.0,7.0,2.0,16.0,0.0
