matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694904,1.0,2013-08-17 12:45:00,110,Stoke,Away,208.0,15.0,4.0,6.0,2.0,5.0,1.0,135.0,9.0,,2.0,10.0,18.0,26.0,337.0,,,19.0,15.0,24.0,4.0,4.0,,,,,,,,,1.0,,6.0,,1.0,1.0,,,1.0,7.0,17.0,8.0,,,,61.0,58.0,1.0,3.0,,2.0,21.0,,12.0,,,6.0,3.0,4.0,,26.0,6.0,71.0,74.0,2.0,27.0,12.0,,1.0,44.0,12.0,10.0,,,4.0,4.0,,144.0,,,,,,,12.0,,,,1.0,,,,1.0,13.0,1.0,14.0,14.0,2.0,2.0,109.0,64.0,40.0,12.0,,5.0,3.0,6.0,406.0,,,5.0,1.0,,40.0,46.0,18.0,,,,,1.0,159.0,155.0,4.0,30.0,17.0,44.7,1.0,,21.0,0.0,,,,102.0,8.0,2.0,10.0,,,,6.0,,3.0,59.0,327.0,14.0,8.0,230.0,29.0,31.0,14.0,6.0,17.0,11.0,1.0,90.0,14.0,203.0,1.0,1.0,22.0,20.0,43.0,1.0,416.0,,0.0,12.0,34.0,2.0,25.0,1.0,669.0,,20.0,6.0,6.0,23.0,0.0
694919,2.0,2013-08-24 15:00:00,110,Stoke,Home,162.0,15.0,3.0,5.0,2.0,2.0,,160.0,4.0,,4.0,9.0,13.0,25.0,317.0,,,25.0,24.0,28.0,9.0,2.0,,,,,,,,,,,11.0,,,1.0,1.0,,,5.0,7.0,7.0,,,,65.0,66.0,2.0,1.0,1.0,,24.0,4.0,6.0,,,7.0,10.0,9.0,1.0,17.0,3.0,71.0,65.0,,23.0,11.0,1.0,2.0,54.0,14.0,6.0,,1.0,,1.0,,156.0,2.0,,1.0,2.0,,,11.0,,,1.0,2.0,,,,1.0,11.0,2.0,11.0,11.0,,4.0,97.0,81.0,47.0,,1.0,6.0,7.0,4.0,400.0,,,2.0,2.0,,49.0,60.0,24.0,,,,,,166.0,166.0,9.0,15.0,34.0,49.6,2.0,,24.0,0.0,,,,91.0,3.0,1.0,4.0,,,,6.0,,3.0,71.0,309.0,12.0,13.0,183.0,28.0,23.0,27.0,6.0,26.0,20.0,,116.0,8.0,252.0,2.0,,23.0,15.0,43.0,1.0,409.0,,0.0,14.0,20.0,3.0,31.0,3.0,640.0,,5.0,13.0,7.0,17.0,0.0
694929,3.0,2013-08-31 15:00:00,110,Stoke,Away,134.0,9.0,2.0,5.0,3.0,2.0,,185.0,3.0,1.0,7.0,11.0,13.0,22.0,314.0,,,12.0,33.0,34.0,9.0,,,,1.0,,1.0,2.0,,,,1.0,13.0,,,,,,,4.0,5.0,4.0,,,,80.0,56.0,1.0,2.0,,1.0,8.0,3.0,16.0,,,4.0,10.0,5.0,,9.0,,71.0,64.0,1.0,27.0,19.0,,,61.0,12.0,10.0,,,3.0,,2.0,148.0,,,,,,,8.0,,,,3.0,,,,,19.0,,7.0,7.0,1.0,7.0,100.0,86.0,42.0,3.0,1.0,5.0,4.0,5.0,394.0,,,2.0,,,50.0,55.0,15.0,,,,,,140.0,140.0,3.0,24.0,17.0,55.1,,,8.0,0.0,,,,77.0,,,,,1.0,,7.0,,2.0,86.0,308.0,4.0,9.0,160.0,31.0,27.0,10.0,4.0,19.0,15.0,,127.0,8.0,264.0,4.0,1.0,28.0,14.0,48.0,1.0,405.0,,0.0,15.0,17.0,1.0,18.0,1.0,581.0,,11.0,7.0,4.0,15.0,0.0
694937,4.0,2013-09-14 15:00:00,110,Stoke,Home,118.0,15.0,,4.0,4.0,3.0,,166.0,10.0,1.0,5.0,10.0,13.0,20.0,280.0,,,26.0,13.0,34.0,7.0,,,,,1.0,,1.0,,,,,10.0,,,,,,,6.0,2.0,8.0,,,,52.0,47.0,3.0,3.0,,3.0,14.0,1.0,7.0,,,2.0,9.0,7.0,,14.0,,54.0,73.0,3.0,15.0,8.0,,1.0,63.0,13.0,11.0,,,1.0,,1.0,140.0,,,,,,,14.0,,,,5.0,,,,,8.0,,10.0,10.0,,5.0,87.0,75.0,46.0,4.0,,4.0,3.0,3.0,343.0,,,,2.0,,37.0,68.0,22.0,,,,,,137.0,137.0,2.0,18.0,18.0,42.1,,,14.0,0.0,,,,77.0,,3.0,3.0,,3.0,,7.0,,3.0,80.0,274.0,8.0,7.0,134.0,27.0,15.0,16.0,2.0,18.0,16.0,,123.0,9.0,240.0,5.0,1.0,22.0,13.0,39.0,1.0,356.0,,0.0,11.0,23.0,3.0,30.0,1.0,567.0,,15.0,9.0,2.0,13.0,0.0
694950,5.0,2013-09-22 13:30:00,110,Stoke,Away,199.0,19.0,4.0,6.0,2.0,3.0,,241.0,4.0,1.0,2.0,3.0,17.0,32.0,434.0,,2.0,16.0,19.0,16.0,4.0,3.0,6.0,,,,,,,,,,4.0,,,,1.0,,,5.0,12.0,5.0,6.0,4.0,,83.0,55.0,1.0,1.0,1.0,1.0,4.0,3.0,9.0,1.0,,7.0,7.0,10.0,1.0,18.0,2.0,61.0,50.0,1.0,9.0,5.0,,,60.0,14.0,8.0,,,1.0,1.0,,169.0,,,,,,,4.0,,,1.0,2.0,,,,,5.0,1.0,4.0,4.0,,2.0,146.0,76.0,50.0,6.0,,3.0,4.0,3.0,493.0,,,5.0,,,70.0,72.0,28.0,,,,,,128.0,128.0,2.0,24.0,23.0,49.6,1.0,,7.0,0.0,,,,113.0,3.0,3.0,5.0,,2.0,,4.0,,3.0,97.0,421.0,4.0,7.0,210.0,42.0,9.0,11.0,7.0,25.0,18.0,2.0,142.0,7.0,326.0,2.0,1.0,11.0,20.0,59.0,1.0,511.0,,0.0,10.0,20.0,5.0,16.0,2.0,663.0,14.0,8.0,6.0,7.0,15.0,0.0
694957,6.0,2013-09-29 13:30:00,110,Stoke,Home,172.0,14.0,3.0,3.0,,5.0,,195.0,5.0,1.0,2.0,14.0,25.0,28.0,364.0,,,31.0,27.0,38.0,4.0,2.0,,,,,,,,,,,6.0,,,,,,,6.0,3.0,5.0,,,,74.0,66.0,,,,1.0,16.0,2.0,9.0,,,7.0,10.0,5.0,,22.0,2.0,85.0,76.0,1.0,29.0,21.0,,1.0,82.0,14.0,12.0,,,3.0,3.0,,187.0,,,,,,,6.0,,,,,,,,,21.0,,12.0,12.0,1.0,2.0,93.0,90.0,47.0,3.0,,4.0,2.0,1.0,449.0,,,2.0,1.0,,57.0,79.0,20.0,,,,,,174.0,174.0,,37.0,22.0,55.8,,1.0,16.0,0.0,,,,109.0,1.0,1.0,2.0,,1.0,,5.0,1.0,3.0,78.0,354.0,9.0,6.0,197.0,38.0,29.0,20.0,7.0,25.0,18.0,1.0,127.0,13.0,291.0,,1.0,40.0,29.0,60.0,4.0,463.0,,0.0,8.0,22.0,1.0,34.0,2.0,687.0,,9.0,7.0,7.0,19.0,0.0
694962,7.0,2013-10-05 15:00:00,110,Stoke,Away,202.0,11.0,4.0,11.0,7.0,3.0,1.0,211.0,3.0,1.0,7.0,5.0,24.0,22.0,402.0,,3.0,19.0,17.0,28.0,9.0,5.0,,,,,,1.0,,,,,9.0,,,,,,2.0,3.0,3.0,6.0,,,,72.0,68.0,1.0,1.0,,5.0,12.0,4.0,13.0,,2.0,5.0,15.0,5.0,,13.0,1.0,60.0,62.0,5.0,14.0,7.0,1.0,,58.0,13.0,10.0,,,3.0,2.0,1.0,171.0,,,,,,,4.0,,,,2.0,,,,,7.0,,18.0,18.0,2.0,7.0,135.0,83.0,46.0,7.0,,8.0,6.0,3.0,484.0,,,4.0,3.0,,75.0,70.0,15.0,,,,,,152.0,152.0,3.0,30.0,27.0,55.8,,1.0,12.0,0.0,,,,122.0,1.0,,1.0,,2.0,,9.0,,3.0,81.0,389.0,4.0,14.0,227.0,22.0,14.0,13.0,5.0,27.0,22.0,1.0,122.0,12.0,300.0,2.0,1.0,22.0,27.0,46.0,5.0,500.0,,0.0,16.0,16.0,3.0,24.0,2.0,707.0,,6.0,8.0,5.0,12.0,0.0
694977,8.0,2013-10-19 15:00:00,110,Stoke,Home,143.0,17.0,2.0,5.0,3.0,2.0,1.0,172.0,7.0,,5.0,9.0,16.0,24.0,310.0,1.0,,15.0,19.0,21.0,7.0,2.0,,,,,,,,,1.0,,7.0,,,,,,,2.0,8.0,4.0,,,,53.0,53.0,1.0,1.0,,2.0,17.0,,11.0,,,6.0,10.0,1.0,,9.0,3.0,55.0,55.0,2.0,25.0,11.0,,1.0,66.0,12.0,10.0,,,3.0,2.0,,136.0,,,,,,,12.0,,,,3.0,,,,,11.0,,23.0,23.0,4.0,5.0,112.0,75.0,39.0,6.0,,6.0,3.0,3.0,388.0,,,2.0,2.0,,63.0,76.0,16.0,,,,,,143.0,143.0,1.0,23.0,18.0,49.7,,1.0,17.0,0.0,,,,100.0,3.0,2.0,5.0,,3.0,,6.0,,3.0,66.0,301.0,10.0,9.0,169.0,31.0,25.0,11.0,6.0,19.0,13.0,1.0,112.0,7.0,251.0,3.0,,26.0,18.0,48.0,2.0,401.0,1.0,0.0,9.0,20.0,,20.0,1.0,607.0,,10.0,6.0,6.0,19.0,0.0
694985,9.0,2013-10-26 15:00:00,110,Stoke,Away,109.0,12.0,1.0,6.0,5.0,5.0,,102.0,5.0,1.0,1.0,12.0,12.0,22.0,205.0,,,14.0,7.0,19.0,4.0,1.0,,,1.0,,,1.0,,,,,8.0,,,,,,,9.0,6.0,13.0,,,,43.0,52.0,3.0,3.0,1.0,4.0,18.0,3.0,12.0,,,2.0,9.0,1.0,,9.0,2.0,48.0,50.0,4.0,39.0,20.0,,,53.0,18.0,8.0,2.0,,1.0,,1.0,118.0,,,,,,,10.0,,,1.0,2.0,,,,,20.0,,18.0,18.0,1.0,2.0,61.0,61.0,33.0,12.0,,1.0,4.0,5.0,266.0,,,6.0,1.0,,48.0,37.0,10.0,,,,,,110.0,110.0,1.0,27.0,17.0,33.3,,1.0,18.0,0.0,,,,60.0,1.0,1.0,2.0,,1.0,,2.0,,3.0,38.0,193.0,13.0,5.0,131.0,20.0,39.0,9.0,2.0,12.0,10.0,,75.0,17.0,163.0,2.0,1.0,26.0,13.0,39.0,,282.0,,0.0,10.0,18.0,,16.0,6.0,475.0,,7.0,7.0,2.0,11.0,0.0
694997,10.0,2013-11-02 15:00:00,110,Stoke,Home,91.0,14.0,2.0,4.0,2.0,5.0,,124.0,5.0,,3.0,9.0,15.0,19.0,211.0,,,25.0,15.0,15.0,5.0,1.0,,,,,,,,1.0,,,6.0,,,,,,,,5.0,5.0,,,,53.0,66.0,1.0,1.0,,5.0,24.0,1.0,11.0,,,5.0,8.0,1.0,,8.0,,53.0,59.0,5.0,23.0,8.0,,,76.0,13.0,13.0,,,2.0,2.0,,165.0,1.0,,,1.0,,,11.0,,,1.0,,,,,,8.0,,13.0,13.0,2.0,4.0,53.0,103.0,51.0,5.0,,5.0,2.0,3.0,307.0,,,1.0,2.0,,70.0,38.0,19.0,,,,,,179.0,179.0,3.0,25.0,30.0,39.2,,,24.0,0.0,,,,54.0,,1.0,1.0,,,,5.0,,2.0,49.0,200.0,15.0,7.0,116.0,34.0,23.0,16.0,5.0,16.0,11.0,,100.0,13.0,225.0,,,31.0,17.0,45.0,,325.0,,0.0,9.0,23.0,,34.0,3.0,548.0,,21.0,10.0,5.0,20.0,0.0
