matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360572,11.0,2011-11-06 15:00:00,110,Stoke,Away,76.0,12.0,1.0,5.0,4.0,11.0,1.0,96.0,4.0,1.0,1.0,19.0,8.0,32.0,167.0,,,22.0,21.0,25.0,6.0,3.0,,,,,,,,,,7.0,,,,,,1.0,9.0,13.0,,,,51.0,40.0,1.0,1.0,,2.0,3.0,8.0,,5.0,9.0,1.0,,17.0,4.0,65.0,53.0,2.0,24.0,17.0,1.0,,74.0,12.0,10.0,,,2.0,3.0,,128.0,,,,,,,6.0,,,,1.0,,,,1.0,30.0,,16.0,11.0,3.0,1.0,43.0,87.0,39.0,12.0,,5.0,4.0,3.0,,,,8.0,1.0,,37.0,35.0,26.0,,,,,199.0,175.0,2.0,19.0,10.0,38.5,,,,,0.0,,,,44.0,1.0,3.0,,1.0,,5.0,1.0,3.0,50.0,,9.0,102.0,22.0,48.0,12.0,4.0,17.0,13.0,,104.0,25.0,181.0,1.0,2.0,51.0,10.0,64.0,3.0,266.0,,0.0,11.0,15.0,,41.0,1.0,504.0,,13.0,3.0,4.0,11.0,0.0
360583,12.0,2011-11-19 15:00:00,110,Stoke,Home,40.0,7.0,3.0,7.0,4.0,6.0,1.0,91.0,3.0,,2.0,10.0,3.0,20.0,124.0,,,17.0,17.0,16.0,6.0,5.0,,1.0,,,1.0,,1.0,1.0,,9.0,,,,,,2.0,5.0,3.0,,,,23.0,35.0,3.0,3.0,1.0,,3.0,5.0,,9.0,13.0,4.0,1.0,11.0,,54.0,47.0,,29.0,18.0,,,60.0,17.0,9.0,1.0,,6.0,6.0,1.0,106.0,2.0,,2.0,1.0,1.0,,6.0,,,1.0,2.0,,,,,32.0,,5.0,3.0,,2.0,34.0,65.0,35.0,5.0,,7.0,6.0,5.0,,,,2.0,,,37.0,39.0,23.0,,,,,163.0,134.0,,6.0,17.0,42.5,,,,2.0,0.0,,,,31.0,1.0,1.0,,1.0,,11.0,2.0,3.0,47.0,,13.0,54.0,13.0,58.0,5.0,8.0,31.0,23.0,,91.0,15.0,171.0,2.0,,26.0,3.0,37.0,2.0,194.0,,0.0,19.0,21.0,1.0,28.0,4.0,409.0,,9.0,1.0,9.0,16.0,0.0
360595,13.0,2011-11-26 12:45:00,110,Stoke,Home,73.0,13.0,1.0,8.0,7.0,3.0,1.0,130.0,6.0,,2.0,15.0,10.0,34.0,195.0,,,13.0,8.0,9.0,5.0,1.0,,,,,,,,,,4.0,,,,,,1.0,4.0,12.0,,,,40.0,52.0,1.0,1.0,,1.0,2.0,10.0,1.0,2.0,8.0,11.0,,17.0,2.0,57.0,35.0,1.0,26.0,17.0,,,71.0,11.0,6.0,1.0,,2.0,1.0,,130.0,3.0,1.0,2.0,2.0,1.0,,8.0,,,2.0,3.0,,,,1.0,34.0,,12.0,7.0,,2.0,61.0,86.0,43.0,6.0,2.0,4.0,5.0,3.0,,,,7.0,4.0,,75.0,39.0,22.0,,,,,191.0,158.0,1.0,18.0,24.0,42.2,,,,,0.0,,,,51.0,2.0,3.0,,,,4.0,,2.0,56.0,,9.0,85.0,29.0,59.0,14.0,1.0,21.0,20.0,,105.0,12.0,218.0,3.0,,45.0,11.0,70.0,2.0,282.0,,0.0,9.0,18.0,,24.0,0.0,512.0,,10.0,2.0,2.0,14.0,0.0
360601,14.0,2011-12-04 15:00:00,110,Stoke,Away,75.0,6.0,1.0,3.0,2.0,2.0,2.0,69.0,3.0,,,16.0,11.0,27.0,141.0,,,10.0,11.0,13.0,1.0,2.0,,,,,,,,,,1.0,,,,,,2.0,8.0,6.0,,,,35.0,39.0,1.0,1.0,,7.0,2.0,5.0,,6.0,6.0,2.0,1.0,3.0,,37.0,48.0,7.0,45.0,25.0,,,77.0,14.0,14.0,,,4.0,3.0,,119.0,1.0,,,,1.0,,8.0,,,,2.0,,,,,32.0,,4.0,3.0,,,44.0,82.0,30.0,10.0,,1.0,3.0,2.0,,,,6.0,1.0,,62.0,28.0,10.0,,,,,163.0,144.0,1.0,15.0,13.0,32.6,,,,4.0,0.0,,,,40.0,,,,1.0,,2.0,1.0,3.0,36.0,,4.0,88.0,15.0,64.0,8.0,6.0,17.0,11.0,,98.0,7.0,167.0,2.0,,49.0,11.0,67.0,2.0,238.0,,0.0,6.0,17.0,,19.0,1.0,430.0,,9.0,4.0,6.0,13.0,0.0
360615,15.0,2011-12-11 16:00:00,110,Stoke,Home,51.0,9.0,4.0,4.0,,4.0,,139.0,2.0,,1.0,21.0,10.0,37.0,186.0,,,19.0,14.0,14.0,4.0,3.0,1.0,,,,1.0,,,,,,,,1.0,,,,8.0,11.0,,,,39.0,51.0,,,1.0,4.0,3.0,10.0,1.0,7.0,13.0,5.0,,4.0,5.0,45.0,41.0,4.0,24.0,12.0,,1.0,74.0,9.0,7.0,,1.0,,,1.0,120.0,1.0,,1.0,,1.0,,8.0,,,,,,,,,25.0,1.0,8.0,3.0,,1.0,47.0,65.0,45.0,12.0,2.0,2.0,6.0,6.0,,,,6.0,2.0,,40.0,69.0,17.0,1.0,1.0,1.0,,162.0,138.0,3.0,18.0,17.0,35.9,1.0,,,,0.0,,,,48.0,2.0,6.0,,,1.0,4.0,1.0,2.0,73.0,,8.0,57.0,14.0,48.0,15.0,7.0,26.0,19.0,,126.0,16.0,223.0,,,32.0,10.0,51.0,,254.0,,0.0,13.0,13.0,1.0,31.0,2.0,474.0,,15.0,7.0,7.0,9.0,0.0
360628,16.0,2011-12-17 15:00:00,110,Stoke,Away,88.0,9.0,1.0,8.0,7.0,4.0,,134.0,3.0,,2.0,10.0,10.0,24.0,214.0,,,11.0,11.0,13.0,5.0,2.0,,1.0,,,1.0,,,,,6.0,,,,,,1.0,6.0,5.0,,,,45.0,46.0,2.0,1.0,1.0,5.0,,4.0,,5.0,14.0,13.0,,13.0,2.0,47.0,41.0,5.0,35.0,17.0,,1.0,66.0,16.0,12.0,1.0,,1.0,1.0,1.0,129.0,1.0,,1.0,1.0,,,9.0,,,1.0,2.0,,,,,36.0,,12.0,10.0,,2.0,62.0,86.0,35.0,7.0,,5.0,3.0,4.0,,,,4.0,1.0,,38.0,52.0,22.0,1.0,1.0,1.0,,195.0,161.0,1.0,14.0,19.0,45.4,,,,1.0,0.0,,,,71.0,2.0,,,,,6.0,,3.0,63.0,,8.0,102.0,14.0,69.0,6.0,5.0,33.0,28.0,,114.0,9.0,238.0,2.0,,45.0,10.0,58.0,2.0,307.0,,0.0,10.0,13.0,1.0,20.0,3.0,536.0,,9.0,3.0,5.0,10.0,0.0
360637,17.0,2011-12-21 19:45:00,110,Stoke,Away,117.0,9.0,2.0,4.0,2.0,,,90.0,2.0,,2.0,10.0,10.0,17.0,203.0,,,12.0,8.0,7.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,11.0,11.0,,,,58.0,49.0,,,,1.0,,7.0,,2.0,5.0,3.0,,9.0,7.0,35.0,37.0,1.0,17.0,9.0,1.0,,59.0,7.0,7.0,,1.0,1.0,1.0,,125.0,,,,,,,3.0,,,,,,,,2.0,14.0,,17.0,14.0,1.0,2.0,50.0,76.0,37.0,5.0,,3.0,,,,,,8.0,,,29.0,49.0,8.0,,,,,136.0,123.0,1.0,23.0,16.0,24.0,,,,,0.0,,,,49.0,4.0,4.0,,1.0,1.0,3.0,,3.0,26.0,,3.0,128.0,17.0,30.0,13.0,2.0,11.0,9.0,1.0,78.0,8.0,165.0,,,30.0,10.0,47.0,1.0,282.0,,0.0,3.0,16.0,,18.0,1.0,450.0,,13.0,7.0,2.0,10.0,0.0
360645,18.0,2011-12-26 19:45:00,110,Stoke,Home,66.0,2.0,5.0,9.0,4.0,6.0,1.0,88.0,5.0,2.0,2.0,19.0,3.0,24.0,145.0,,,14.0,12.0,15.0,3.0,6.0,,,,,1.0,,,,,1.0,,,,,,1.0,5.0,5.0,,,,27.0,43.0,,,,,3.0,5.0,,7.0,7.0,8.0,,15.0,1.0,53.0,46.0,,18.0,11.0,,,76.0,13.0,11.0,,1.0,2.0,1.0,1.0,132.0,,,,,,,12.0,,,,1.0,,,,,19.0,1.0,12.0,4.0,,2.0,36.0,78.0,37.0,7.0,,5.0,4.0,1.0,,,,2.0,3.0,,22.0,64.0,22.0,,,,,201.0,178.0,2.0,25.0,12.0,39.1,,,,,0.0,,,,44.0,1.0,1.0,,,,6.0,,2.0,48.0,,9.0,81.0,4.0,41.0,11.0,7.0,23.0,16.0,,107.0,19.0,181.0,1.0,2.0,47.0,3.0,48.0,1.0,239.0,,0.0,10.0,17.0,,38.0,3.0,451.0,,11.0,3.0,7.0,15.0,0.0
360655,19.0,2011-12-31 15:00:00,110,Stoke,Home,75.0,14.0,2.0,10.0,8.0,6.0,2.0,158.0,4.0,2.0,5.0,19.0,9.0,33.0,223.0,,,23.0,7.0,18.0,4.0,5.0,,,,,,,,,,6.0,1.0,,,1.0,,2.0,3.0,8.0,9.0,4.0,,39.0,58.0,1.0,1.0,1.0,1.0,2.0,1.0,,8.0,10.0,14.0,,12.0,4.0,43.0,45.0,1.0,19.0,17.0,,,87.0,14.0,6.0,1.0,,5.0,3.0,,147.0,1.0,,1.0,1.0,,,5.0,,,1.0,1.0,,,,,23.0,1.0,11.0,9.0,,5.0,62.0,79.0,47.0,5.0,,8.0,2.0,2.0,294.0,,,2.0,2.0,,51.0,46.0,54.0,1.0,1.0,1.0,1.0,175.0,165.0,3.0,17.0,28.0,49.0,1.0,2.0,1.0,,0.0,,,,63.0,,4.0,4.0,,,9.0,1.0,3.0,80.0,211.0,10.0,87.0,17.0,29.0,10.0,8.0,35.0,27.0,,138.0,15.0,259.0,1.0,3.0,38.0,10.0,50.0,3.0,311.0,,0.0,13.0,20.0,1.0,38.0,2.0,523.0,24.0,11.0,1.0,8.0,12.0,0.0
360660,20.0,2012-01-02 15:00:00,110,Stoke,Away,94.0,12.0,,2.0,2.0,4.0,,158.0,5.0,,2.0,18.0,14.0,41.0,250.0,,,8.0,8.0,13.0,6.0,,1.0,,,,,,,,,9.0,,,,,,,13.0,4.0,,,,55.0,55.0,2.0,,2.0,6.0,1.0,1.0,1.0,3.0,10.0,8.0,,8.0,2.0,33.0,44.0,6.0,40.0,19.0,,,76.0,7.0,9.0,2.0,,1.0,1.0,,124.0,2.0,,2.0,2.0,,1.0,11.0,,,2.0,1.0,,,,,42.0,,9.0,6.0,,2.0,68.0,85.0,47.0,8.0,,4.0,4.0,3.0,,,,3.0,4.0,,38.0,84.0,19.0,,,,,185.0,144.0,2.0,14.0,30.0,43.6,,,,4.0,0.0,,,,73.0,3.0,2.0,,,1.0,5.0,,3.0,74.0,,8.0,100.0,15.0,81.0,13.0,3.0,22.0,19.0,2.0,121.0,15.0,242.0,1.0,1.0,41.0,14.0,65.0,1.0,320.0,,0.0,9.0,18.0,,18.0,1.0,563.0,,16.0,4.0,3.0,14.0,0.0
