matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard
284007,1,2009-08-15 15:00:00,110,Stoke,Home,39.0,14.0,,4.0,4.0,7.0,2.0,91.0,5.0,1.0,1.0,6.0,4.0,26.0,126.0,,1.0,10.0,11.0,11.0,9.0,1.0,1.0,4.0,1.0,,1.0,,1.0,,,8.0,,1.0,,2.0,8.0,6.0,7.0,6.0,49.0,6.0,1.0,6.0,,3.0,7.0,2.0,1.0,8.0,2.0,44.0,37.0,6.0,19.0,14.0,,,77.0,16.0,10.0,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,,1.0,,14.0,4.0,,30.0,1.0,22.0,21.0,5.0,1.0,82.0,32.0,6.0,,6.0,5.0,4.0,204.0,6.0,,38.0,41.0,34.0,,,,,,166.0,142.0,,23.0,18.0,37.7,1.0,,0.0,1.0,2.0,3.0,,1.0,4.0,8.0,,3.0,45.0,118.0,11.0,57.0,32.0,43.0,4.0,3.0,15.0,12.0,4.0,103.0,11.0,184.0,4.0,1.0,35.0,4.0,73.0,3.0,226.0,,0.0,13.0,15.0,3.0,26.0,2.0,427.0,12.0,1.0,3.0,6.0,0.0
284018,2,2009-08-19 20:00:00,110,Stoke,Away,55.0,6.0,3.0,4.0,1.0,1.0,,61.0,2.0,,,8.0,2.0,19.0,112.0,,,15.0,12.0,11.0,2.0,3.0,,,,,,,1.0,,,,,,,1.0,15.0,6.0,,,37.0,5.0,2.0,9.0,1.0,5.0,,2.0,,7.0,5.0,45.0,34.0,5.0,23.0,17.0,,,58.0,9.0,9.0,,1.0,,,,,,,,,,6.0,,,25.0,,20.0,20.0,1.0,,65.0,31.0,11.0,,1.0,4.0,3.0,,2.0,,17.0,31.0,21.0,,,,,,131.0,114.0,,16.0,12.0,24.1,,,0.0,6.0,4.0,,,,,1.0,1.0,3.0,32.0,,5.0,68.0,14.0,40.0,8.0,5.0,12.0,7.0,,74.0,12.0,120.0,,1.0,22.0,4.0,49.0,3.0,176.0,,0.0,6.0,14.0,,34.0,1.0,397.0,,,5.0,11.0,0.0
284021,3,2009-08-22 15:00:00,110,Stoke,Away,50.0,16.0,,5.0,5.0,2.0,,105.0,6.0,,2.0,12.0,2.0,37.0,150.0,,,13.0,12.0,26.0,11.0,1.0,,,,,,,,,,,,,,1.0,4.0,7.0,,,36.0,1.0,3.0,3.0,,3.0,10.0,9.0,,10.0,1.0,44.0,56.0,1.0,35.0,29.0,,,96.0,16.0,7.0,,,,,,,,,,,,10.0,4.0,3.0,42.0,,8.0,8.0,,2.0,84.0,39.0,3.0,,9.0,3.0,1.0,,4.0,,52.0,45.0,35.0,,,,,,179.0,161.0,2.0,13.0,11.0,43.6,,,0.0,1.0,1.0,,,,,12.0,,2.0,66.0,,12.0,64.0,35.0,53.0,10.0,3.0,25.0,22.0,,137.0,17.0,212.0,4.0,,38.0,4.0,76.0,1.0,251.0,,0.0,16.0,19.0,,32.0,3.0,501.0,,4.0,3.0,17.0,0.0
284037,4,2009-08-29 15:00:00,110,Stoke,Home,81.0,11.0,5.0,11.0,6.0,5.0,,102.0,3.0,,2.0,16.0,,25.0,172.0,,1.0,11.0,17.0,20.0,5.0,4.0,,,,,,,,,1.0,,,,,,6.0,3.0,,,44.0,4.0,3.0,5.0,,10.0,9.0,3.0,,8.0,1.0,48.0,47.0,4.0,38.0,23.0,,,92.0,11.0,8.0,1.0,1.0,,,,,,,,,,12.0,5.0,,40.0,,11.0,11.0,,2.0,87.0,35.0,10.0,,5.0,4.0,5.0,,3.0,,43.0,44.0,25.0,,,,,,182.0,154.0,3.0,12.0,19.0,45.3,,,0.0,2.0,1.0,,,,,6.0,,3.0,53.0,,9.0,94.0,27.0,66.0,10.0,9.0,22.0,13.0,,124.0,18.0,207.0,5.0,,42.0,,68.0,2.0,279.0,2.0,0.0,14.0,16.0,1.0,20.0,0.0,546.0,,3.0,10.0,10.0,0.0
284046,5,2009-09-12 15:00:00,110,Stoke,Home,55.0,8.0,2.0,3.0,1.0,6.0,,48.0,5.0,3.0,1.0,7.0,6.0,19.0,100.0,,,9.0,15.0,10.0,,2.0,,,,,,,,,,,,,,,15.0,14.0,,,39.0,3.0,,6.0,,4.0,2.0,2.0,1.0,10.0,2.0,52.0,43.0,3.0,39.0,18.0,,,60.0,15.0,11.0,,2.0,,,,1.0,,1.0,1.0,,,13.0,6.0,1.0,28.0,,18.0,18.0,3.0,1.0,69.0,27.0,14.0,,1.0,2.0,2.0,,15.0,,26.0,28.0,13.0,,,,,,141.0,125.0,,21.0,7.0,27.8,,,0.0,2.0,2.0,,,,,2.0,,3.0,27.0,,3.0,75.0,13.0,55.0,10.0,4.0,12.0,8.0,,71.0,15.0,115.0,7.0,3.0,36.0,6.0,56.0,2.0,178.0,,0.0,4.0,19.0,,18.0,3.0,417.0,,3.0,4.0,11.0,0.0
284052,6,2009-09-19 15:00:00,110,Stoke,Away,73.0,23.0,,2.0,2.0,4.0,,136.0,5.0,,2.0,5.0,7.0,31.0,207.0,1.0,,15.0,18.0,25.0,4.0,,,,,1.0,1.0,,,,,,,,,,8.0,4.0,,,42.0,1.0,2.0,5.0,,7.0,13.0,6.0,,10.0,2.0,45.0,57.0,1.0,37.0,26.0,,,85.0,11.0,9.0,1.0,1.0,,,1.0,1.0,,,1.0,,,11.0,5.0,,45.0,,14.0,13.0,2.0,2.0,83.0,40.0,4.0,,1.0,4.0,4.0,,2.0,,45.0,54.0,30.0,1.0,1.0,1.0,,,176.0,153.0,2.0,11.0,18.0,48.5,,2.0,0.0,2.0,1.0,,,1.0,,4.0,,3.0,73.0,,5.0,88.0,40.0,60.0,7.0,5.0,24.0,19.0,,132.0,15.0,233.0,5.0,,23.0,7.0,60.0,4.0,297.0,1.0,0.0,10.0,18.0,1.0,33.0,2.0,552.0,,5.0,7.0,10.0,0.0
284066,7,2009-09-26 15:00:00,110,Stoke,Home,72.0,14.0,,4.0,4.0,2.0,,90.0,2.0,4.0,2.0,6.0,2.0,16.0,158.0,,1.0,9.0,12.0,14.0,1.0,1.0,,,,,,,,,,,,,,2.0,10.0,4.0,,,40.0,7.0,,5.0,,,6.0,3.0,,14.0,1.0,43.0,38.0,6.0,27.0,15.0,,1.0,65.0,12.0,7.0,,,,,,,,,,,,13.0,6.0,2.0,31.0,,19.0,19.0,2.0,2.0,90.0,34.0,7.0,,2.0,,1.0,,5.0,,35.0,36.0,23.0,,,,,,170.0,142.0,2.0,15.0,11.0,31.8,,1.0,0.0,,1.0,,,2.0,,2.0,,3.0,46.0,,2.0,86.0,34.0,54.0,5.0,,10.0,10.0,,100.0,11.0,176.0,6.0,5.0,30.0,3.0,52.0,1.0,252.0,,0.0,3.0,14.0,1.0,23.0,1.0,484.0,,3.0,2.0,10.0,0.0
284075,8,2009-10-04 15:00:00,110,Stoke,Away,77.0,13.0,1.0,4.0,3.0,10.0,,102.0,11.0,,2.0,9.0,8.0,19.0,175.0,,,5.0,22.0,21.0,4.0,,,,,,,,,,,,,,,2.0,7.0,18.0,,,44.0,1.0,,3.0,,3.0,9.0,5.0,1.0,11.0,4.0,57.0,45.0,1.0,39.0,28.0,,,74.0,16.0,7.0,,,,,,1.0,1.0,1.0,,1.0,,15.0,3.0,1.0,43.0,,16.0,16.0,2.0,2.0,86.0,40.0,11.0,,1.0,4.0,5.0,,7.0,,53.0,31.0,27.0,,,,,,162.0,138.0,,14.0,14.0,39.3,,1.0,0.0,5.0,5.0,,,1.0,,3.0,,2.0,58.0,,5.0,88.0,22.0,63.0,7.0,3.0,19.0,16.0,,114.0,20.0,193.0,3.0,,36.0,9.0,57.0,4.0,262.0,,0.0,8.0,16.0,1.0,16.0,3.0,514.0,,1.0,4.0,12.0,0.0
284087,9,2009-10-17 15:00:00,110,Stoke,Home,64.0,16.0,3.0,6.0,3.0,9.0,,129.0,5.0,,5.0,6.0,4.0,26.0,187.0,,,11.0,13.0,20.0,8.0,1.0,,1.0,,,,,,,,,1.0,,,,4.0,9.0,,,48.0,2.0,3.0,6.0,,5.0,8.0,3.0,,12.0,2.0,55.0,68.0,2.0,14.0,10.0,,,80.0,17.0,12.0,2.0,,,,,,,,,,,7.0,4.0,,26.0,,14.0,14.0,1.0,5.0,87.0,37.0,6.0,,5.0,4.0,3.0,,6.0,,56.0,44.0,22.0,,,,,1.0,173.0,153.0,2.0,19.0,17.0,38.8,,,0.0,1.0,3.0,,,1.0,1.0,6.0,1.0,3.0,78.0,,9.0,79.0,28.0,34.0,13.0,5.0,16.0,11.0,,141.0,20.0,233.0,4.0,,36.0,7.0,58.0,1.0,296.0,,0.0,12.0,30.0,5.0,23.0,3.0,544.0,,6.0,5.0,25.0,0.0
284097,10,2009-10-24 15:00:00,110,Stoke,Away,69.0,11.0,,1.0,1.0,6.0,,116.0,5.0,,2.0,6.0,6.0,28.0,184.0,,,11.0,22.0,14.0,6.0,1.0,,,,,,,,,,,,,,2.0,10.0,11.0,,,50.0,4.0,3.0,7.0,1.0,1.0,2.0,7.0,,8.0,6.0,59.0,54.0,4.0,26.0,14.0,,,73.0,19.0,10.0,,,,,,1.0,,1.0,1.0,,,15.0,6.0,,21.0,,14.0,13.0,,2.0,93.0,52.0,7.0,1.0,5.0,3.0,1.0,,2.0,,42.0,44.0,27.0,,,,,,137.0,125.0,,16.0,19.0,36.3,,2.0,0.0,5.0,4.0,,,2.0,,7.0,,3.0,48.0,,8.0,84.0,21.0,38.0,10.0,1.0,11.0,10.0,,92.0,14.0,193.0,6.0,,25.0,6.0,55.0,2.0,266.0,,0.0,11.0,23.0,,21.0,3.0,504.0,,7.0,1.0,13.0,0.0
284108,11,2009-10-31 15:00:00,110,Stoke,Home,83.0,5.0,2.0,7.0,5.0,6.0,,74.0,3.0,,2.0,8.0,11.0,16.0,150.0,,1.0,13.0,28.0,21.0,3.0,3.0,,,,,1.0,,,,,,,,,1.0,5.0,6.0,,,39.0,,1.0,5.0,,4.0,8.0,4.0,,10.0,,62.0,62.0,,20.0,12.0,,,76.0,14.0,16.0,1.0,,,,1.0,1.0,,1.0,1.0,,,6.0,3.0,1.0,28.0,,20.0,18.0,1.0,2.0,95.0,26.0,3.0,1.0,4.0,3.0,4.0,,4.0,,57.0,33.0,29.0,,,,,,188.0,169.0,,15.0,12.0,43.7,,,0.0,,2.0,,,,,5.0,,3.0,37.0,,7.0,105.0,15.0,39.0,10.0,4.0,17.0,13.0,,101.0,15.0,181.0,3.0,,54.0,12.0,64.0,2.0,269.0,,0.0,10.0,21.0,2.0,32.0,0.0,507.0,,4.0,4.0,14.0,0.0
284113,12,2009-11-08 13:30:00,110,Stoke,Away,68.0,10.0,,4.0,4.0,7.0,,121.0,4.0,,1.0,6.0,4.0,15.0,185.0,,,16.0,16.0,21.0,4.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,6.0,10.0,,,43.0,3.0,1.0,5.0,,2.0,7.0,8.0,,13.0,,55.0,52.0,3.0,19.0,12.0,1.0,,76.0,16.0,12.0,,,,,1.0,1.0,,1.0,1.0,,1.0,12.0,3.0,2.0,24.0,1.0,27.0,27.0,4.0,1.0,101.0,37.0,4.0,1.0,2.0,4.0,3.0,,3.0,,50.0,37.0,25.0,,,,,,194.0,172.0,1.0,18.0,16.0,43.3,1.0,,0.0,1.0,2.0,,1.0,5.0,1.0,4.0,,3.0,56.0,,6.0,88.0,21.0,41.0,12.0,1.0,17.0,16.0,,112.0,20.0,223.0,3.0,,35.0,4.0,47.0,,294.0,,1.0,8.0,14.0,2.0,38.0,3.0,549.0,,5.0,2.0,14.0,0.0
284127,13,2009-11-22 16:00:00,110,Stoke,Home,40.0,7.0,1.0,1.0,,3.0,,85.0,2.0,,1.0,7.0,6.0,12.0,124.0,,2.0,12.0,11.0,14.0,3.0,3.0,,3.0,,1.0,1.0,,,,,,,,,,4.0,14.0,,,58.0,1.0,,3.0,,4.0,6.0,3.0,,8.0,2.0,48.0,60.0,1.0,27.0,13.0,,,74.0,16.0,14.0,1.0,,,,1.0,1.0,,,1.0,,,11.0,2.0,,23.0,,12.0,12.0,,1.0,77.0,18.0,4.0,,5.0,2.0,3.0,,5.0,,30.0,25.0,28.0,,1.0,1.0,1.0,,175.0,158.0,3.0,23.0,19.0,41.9,,,0.0,1.0,4.0,,,1.0,3.0,7.0,,3.0,53.0,,7.0,63.0,17.0,44.0,20.0,4.0,16.0,12.0,,103.0,15.0,179.0,2.0,,30.0,6.0,45.0,2.0,226.0,,0.0,10.0,22.0,7.0,24.0,1.0,488.0,,10.0,4.0,15.0,0.0
