playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedGoalsOnTargetConceded,successfulCrossesOpenPlay,expectedAssists,totalClearances,goalsConceded,totalRedCards,groundDuelsLost,duels,forwardPasses,recoveries,appearances,totalTackles,throughBalls,unsuccessfulShortPasses,gamesPlayed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,groundDuels,straightRedCards,openPlayPasses,substituteOn,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,backwardPasses,successfulCrossesAndCorners,timePlayed,touches,duelsWon,throwInsToOwnPlayer,putthroughBlockedDistribution,groundDuelsWon,successfulPassesOwnHalf,successfulShortPasses,yellowCards,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goalAssists,successfulLayoffs,starts,goals,offsides,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,rightsidePasses,totalFoulsWon,putthroughBlockedDistributionWon,oboxTarget,rightFootGoals,unsuccessfulDribbles,iboxBlocked,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,interceptions,successfulLongPasses,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,expectedGoalsFreekick,freekickTotal,unsuccessfulLayoffs,handballsConceded,overruns,totalTouchesInOppositionBox,penaltyGoalsConceded,winningGoal,timesTackled,clearancesOffTheLine,leftFootGoals,foulWonPenalty,cornersTakenInclShortCorners,penaltiesTaken,unsuccessfulCornersIntoBox,penaltyGoals,penaltiesConceded,successfulCornersIntoBox,redCards2ndYellow,attemptsFromSetPieces,punches,catches,savesMade,savesMadeFromOutsideBox,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,headedGoals,goalkeeperSmother,drops,crossesNotClaimed
55641,Emanuele Giaccherini,Midfielder,Sunderland,56,Italy,2015-16,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114000,George Honeyman,Midfielder,Sunderland,56,England,2015-16,,1.0404,,0.0014,1.0,1.0,0.0,,2.0,1.0,1.0,1.0,,,,1.0,,4.0,1.0,,,,5.0,2.0,0.0,5.0,1.0,1.0,,1.0,1.0,3.0,,38.0,9.0,2.0,,,2.0,1.0,5.0,0.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49384,Jack Rodwell,Midfielder,Sunderland,56,England,2015-16,55.0,28.3453,,0.6605,17.0,28.0,0.0,37.0,118.0,160.0,53.0,22.0,25.0,2.0,79.0,22.0,3.0,198.0,27.0,109.0,6.0,6.0,446.0,75.0,0.0,436.0,13.0,140.0,22.0,6.0,93.0,65.0,,1158.0,588.0,63.0,1.0,10.0,38.0,139.0,320.0,5.0,26.0,6.0,7.0,1.0475,19.0,,18.0,9.0,1.0,2.0,4.0,43.0,,2.0,4.0,4.0,18.0,1.0,,14.0,2.0,2.0,128.0,7.0,5.0,2.0,,1.0,2.0,25.0,12.0,5.0,7.0,17.0,14.0,17.0,1.0,1.0,4.0,11.0,7.0,2.4446,30.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
39187,Jeremain Lens,Midfielder,Sunderland,56,Netherlands,2015-16,144.0,29.3501,8.0,2.445,10.0,28.0,1.0,125.0,253.0,141.0,82.0,20.0,36.0,6.0,99.0,20.0,7.0,178.0,26.0,125.0,66.0,52.0,385.0,213.0,0.0,372.0,6.0,319.0,29.0,26.0,70.0,86.0,14.0,1293.0,762.0,109.0,4.0,28.0,88.0,96.0,246.0,3.0,15.0,7.0,7.0,0.6069,19.0,3.0,17.0,14.0,3.0,4.0,5.0,40.0,,2.0,2.0,2.0,19.0,2.0,,15.0,3.0,2.0,88.0,31.0,15.0,2.0,1.0,40.0,2.0,21.0,12.0,10.0,,27.0,3.0,14.0,7.0,1.0,5.0,6.0,18.0,1.2981,26.0,0.0963,1.0,3.0,,,,,,,,2.0,,18.0,,10.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,
50023,Jordi Gómez,Midfielder,Sunderland,56,Spain,2015-16,14.0,6.9304,,0.1944,7.0,8.0,0.0,10.0,32.0,56.0,18.0,6.0,9.0,,16.0,6.0,2.0,73.0,6.0,22.0,5.0,2.0,156.0,25.0,0.0,149.0,1.0,35.0,7.0,1.0,38.0,30.0,3.0,355.0,213.0,18.0,,8.0,15.0,64.0,126.0,0.0,4.0,1.0,1.0,0.1717,1.0,,4.0,5.0,,,1.0,7.0,,1.0,,,4.0,2.0,,2.0,2.0,,32.0,5.0,4.0,1.0,,,,3.0,,,3.0,4.0,6.0,8.0,4.0,,1.0,,4.0,0.0599,6.0,0.0449,1.0,,,,,,,,,,,5.0,,3.0,,,2.0,,1.0,,,,,,,,,,,,,,
28448,Lee Cattermole,Midfielder,Sunderland,56,England,2015-16,140.0,44.6926,2.0,1.215,31.0,35.0,0.0,115.0,251.0,342.0,142.0,31.0,57.0,8.0,176.0,31.0,13.0,369.0,35.0,227.0,5.0,5.0,929.0,200.0,0.0,909.0,4.0,289.0,44.0,13.0,253.0,132.0,2.0,2216.0,1230.0,111.0,4.0,40.0,85.0,335.0,636.0,8.0,45.0,4.0,1.0,0.1338,7.0,,29.0,27.0,,,4.0,51.0,6.0,,1.0,1.0,25.0,,,23.0,3.0,,202.0,16.0,21.0,,,1.0,,26.0,6.0,3.0,18.0,40.0,52.0,66.0,11.0,,4.0,15.0,28.0,0.6372,51.0,,,,1.0,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,
170852,Rees Greenwood,Midfielder,Sunderland,56,England,2015-16,3.0,0.3484,,0.028,,1.0,0.0,2.0,5.0,5.0,2.0,1.0,1.0,,1.0,1.0,,15.0,1.0,2.0,2.0,2.0,23.0,4.0,0.0,23.0,,7.0,1.0,1.0,3.0,7.0,,52.0,33.0,2.0,,,2.0,6.0,20.0,0.0,,,,,,,2.0,1.0,,,,1.0,,,,,1.0,,,1.0,,,8.0,,,,,1.0,,,,2.0,,1.0,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19057,Sebastian Larsson,Midfielder,Sunderland,56,Sweden,2015-16,36.0,13.4902,1.0,0.5552,11.0,12.0,0.0,29.0,64.0,70.0,40.0,18.0,12.0,1.0,42.0,18.0,5.0,99.0,12.0,58.0,19.0,5.0,236.0,51.0,0.0,229.0,12.0,90.0,7.0,4.0,74.0,49.0,6.0,547.0,341.0,28.0,1.0,14.0,22.0,85.0,168.0,2.0,11.0,4.0,1.0,0.0271,3.0,1.0,13.0,6.0,,,3.0,13.0,,1.0,,,7.0,,1.0,6.0,3.0,1.0,43.0,6.0,8.0,1.0,,,1.0,6.0,2.0,3.0,,9.0,10.0,10.0,5.0,,3.0,9.0,5.0,0.3945,16.0,0.1915,3.0,,,,,,,,,,,14.0,,9.0,,,5.0,,3.0,,,,,,,,,,,,,,
154560,Tom Beadling,Midfielder,Sunderland,56,Australia,2015-16,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49396,Yann M'Vila,Midfielder,Sunderland,56,France,2015-16,125.0,63.0524,5.0,3.1201,110.0,55.0,0.0,97.0,325.0,650.0,287.0,37.0,99.0,9.0,210.0,37.0,30.0,791.0,52.0,312.0,65.0,33.0,1679.0,252.0,0.0,1643.0,1.0,460.0,69.0,15.0,438.0,197.0,18.0,3188.0,2291.0,200.0,13.0,57.0,155.0,594.0,1263.0,1.0,63.0,10.0,5.0,0.901,19.0,4.0,26.0,36.0,1.0,,7.0,73.0,6.0,3.0,1.0,1.0,28.0,3.0,1.0,42.0,12.0,3.0,394.0,43.0,42.0,3.0,1.0,4.0,3.0,45.0,14.0,11.0,9.0,18.0,86.0,104.0,4.0,,7.0,33.0,12.0,1.0827,102.0,0.2061,3.0,1.0,1.0,,,,,,1.0,,,36.0,,21.0,,1.0,12.0,,3.0,,,,,,,,,,1.0,,,,
