playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,setPiecesGoals,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,penaltiesTaken,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,interceptions,penaltyGoals,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,throwInsToOppositionPlayer,blocks,ownGoalScored,cleanSheets,headedGoals,penaltiesConceded,clearancesOffTheLine,secondGoalAssists,lastPlayerTackle,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,crossesNotClaimed
19959,Adam Johnson,Midfielder,Sunderland,56,England,2013-14,121.0,12.0,17.0,6.7665,18.0,11.0,36.0,1.0,779.0,8.0,5.0,4.0,8.0,8.0,2.0,2.0,13.0,5.0,91.0,15.0,1.0,50.9905,58.0,8.0,4.0,31.0,1.0,120.0,36.0,4.0,4.0,39.0,131.0,81.0,6.0,754.0,27.0,448.0,15.0,6.0,227.0,16.0,36.0,66.0,182.0,1336.0,16.0,1.0,192.0,2.0,40.0,33.0,22.0,5.6362,0.0,0.368,14.0,44.0,134.0,5.0,20.0,1.0,28.0,174.0,80.0,57.0,21.0,7.0,45.0,2445.0,2.0,99.0,31.0,539.0,82.0,13.0,46.0,108.0,136.0,220.0,21.0,4.0,234.0,1.0,7.0,3.0,458.0,41.0,4.0,199.0,8.0,0.0,21.0,42.0,18.0,1.0,15.0,8.0,22.0,3.0,5.2515,2.0,,,,,,,,,,,,,,,,,,,,,,,,
43570,Cabral,Midfielder,Sunderland,56,Cape Verde,2013-14,9.0,1.0,,,4.0,,1.0,,61.0,,,,1.0,,,,1.0,,6.0,,,0.2864,,,,1.0,0.0,9.0,1.0,,,1.0,,1.0,,60.0,4.0,9.0,2.0,,23.0,5.0,,4.0,7.0,76.0,,,29.0,,2.0,2.0,,0.0125,0.0,,,4.0,6.0,,3.0,,1.0,8.0,,,2.0,,,90.0,,7.0,1.0,49.0,2.0,,1.0,8.0,19.0,16.0,,,12.0,,,2.0,24.0,1.0,,14.0,1.0,0.0,,1.0,1.0,,,1.0,1.0,5.0,0.1865,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
88601,Charalampos Mavrias,Midfielder,Sunderland,56,Greece,2013-14,12.0,,,,4.0,,4.0,,49.0,,,,,3.0,,,6.0,1.0,6.0,1.0,1.0,5.6197,2.0,,,1.0,0.0,8.0,4.0,,,1.0,9.0,4.0,,49.0,,25.0,3.0,,1.0,,4.0,,15.0,78.0,,,8.0,,2.0,1.0,,0.2256,0.0,,,,9.0,,1.0,,1.0,11.0,5.0,5.0,8.0,,1.0,150.0,1.0,8.0,5.0,38.0,2.0,1.0,7.0,6.0,14.0,20.0,4.0,,19.0,,,1.0,31.0,6.0,,12.0,2.0,0.0,3.0,1.0,2.0,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
28468,Craig Gardner,Midfielder,Sunderland,56,England,2013-14,55.0,7.0,6.0,3.0527,33.0,2.0,18.0,,280.0,2.0,1.0,0.0,7.0,11.0,1.0,1.0,17.0,3.0,42.0,,1.0,16.1411,8.0,2.0,,7.0,0.0,38.0,18.0,2.0,,5.0,13.0,13.0,4.0,273.0,10.0,118.0,23.0,4.0,69.0,12.0,,18.0,41.0,430.0,7.0,,82.0,1.0,13.0,16.0,1.0,0.5479,0.0,0.236,,16.0,64.0,2.0,12.0,,7.0,77.0,12.0,,24.0,3.0,2.0,765.0,,49.0,14.0,185.0,14.0,10.0,18.0,38.0,70.0,104.0,10.0,2.0,100.0,1.0,3.0,10.0,123.0,15.0,,80.0,7.0,0.0,6.0,2.0,5.0,1.0,4.0,7.0,13.0,3.0,2.4296,5.0,4.0,6.0,,,,1.0,,,,,,,,,,,,,,,,,,
106300,David Moberg Karlsson,Midfielder,Sunderland,56,Sweden,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7631,David Vaughan,Midfielder,Sunderland,56,Wales,2013-14,16.0,,,,10.0,,3.0,,71.0,,,,,1.0,,,4.0,1.0,11.0,,1.0,5.6807,,,,,0.0,9.0,3.0,,,2.0,1.0,5.0,,69.0,1.0,18.0,8.0,,17.0,2.0,,2.0,10.0,100.0,,,29.0,,2.0,2.0,,0.0176,0.0,,,1.0,10.0,,,,2.0,12.0,1.0,,4.0,,,171.0,1.0,11.0,5.0,57.0,,4.0,5.0,12.0,26.0,27.0,4.0,,18.0,,,2.0,30.0,4.0,,23.0,,0.0,,1.0,1.0,,1.0,,,1.0,0.0253,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
112467,El Ba,Midfielder,Sunderland,56,Mauritania,2013-14,3.0,,,,2.0,,1.0,,11.0,,,,,1.0,,,1.0,,2.0,,,0.0747,1.0,,,,0.0,,1.0,,,,,,,10.0,,2.0,2.0,,1.0,1.0,,,,15.0,,,2.0,,,1.0,,0.0885,0.0,,,,1.0,,,,,1.0,,,2.0,,,19.0,,3.0,,10.0,,,,2.0,6.0,6.0,,,4.0,,,,8.0,,,4.0,1.0,0.0,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
55641,Emanuele Giaccherini,Midfielder,Sunderland,56,Italy,2013-14,113.0,14.0,8.0,2.7782,23.0,5.0,24.0,,492.0,4.0,10.0,2.0,7.0,8.0,1.0,1.0,11.0,4.0,72.0,2.0,,23.5762,25.0,2.0,7.0,24.0,0.0,72.0,24.0,1.0,2.0,32.0,65.0,70.0,2.0,477.0,14.0,270.0,18.0,2.0,104.0,10.0,11.0,19.0,119.0,831.0,4.0,1.0,116.0,,16.0,20.0,8.0,1.9809,0.0,0.2184,6.0,22.0,72.0,4.0,36.0,,16.0,88.0,53.0,19.0,13.0,3.0,10.0,1355.0,2.0,74.0,29.0,385.0,56.0,4.0,21.0,102.0,136.0,187.0,15.0,2.0,133.0,,3.0,5.0,298.0,17.0,7.0,174.0,2.0,0.0,21.0,25.0,3.0,,9.0,7.0,10.0,2.0,3.3716,4.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
58771,Jack Colback,Midfielder,Sunderland,56,England,2013-14,134.0,3.0,7.0,3.1332,55.0,,33.0,,969.0,3.0,1.0,2.0,1.0,5.0,3.0,3.0,27.0,3.0,122.0,,2.0,47.1727,18.0,5.0,2.0,56.0,1.0,145.0,33.0,1.0,2.0,13.0,28.0,39.0,,944.0,7.0,215.0,42.0,,185.0,45.0,,40.0,222.0,1432.0,73.0,,383.0,,23.0,32.0,5.0,1.2312,0.0,,5.0,14.0,81.0,2.0,26.0,,28.0,104.0,28.0,,51.0,1.0,5.0,2425.0,1.0,146.0,37.0,825.0,30.0,40.0,41.0,107.0,279.0,280.0,29.0,1.0,283.0,,1.0,13.0,487.0,38.0,2.0,229.0,24.0,0.0,11.0,13.0,39.0,,7.0,1.0,15.0,8.0,1.785,6.0,15.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,
76542,Ki Sung-Yueng,Midfielder,Sunderland,56,South Korea,2013-14,82.0,10.0,14.0,,42.0,3.0,28.0,,1215.0,3.0,2.0,3.0,,3.0,,,11.0,5.0,91.0,1.0,,0.9514,27.0,2.0,,27.0,0.0,125.0,28.0,2.0,,3.0,25.0,37.0,,1188.0,16.0,194.0,36.0,1.0,315.0,17.0,8.0,102.0,217.0,1504.0,3.0,,505.0,,13.0,32.0,3.0,0.0175,0.0,,,30.0,99.0,1.0,55.0,1.0,25.0,112.0,15.0,11.0,28.0,,4.0,2198.0,2.0,108.0,16.0,1001.0,40.0,22.0,42.0,71.0,430.0,190.0,7.0,0.0,253.0,1.0,,6.0,602.0,37.0,,162.0,17.0,0.0,7.0,23.0,21.0,1.0,5.0,,6.0,6.0,,3.0,,5.0,,8.0,1.0,,,1.0,,,,,,,,,,,,,,,,
