playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,goalKicks,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,penaltiesTaken,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,penaltyGoals,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,clearancesOffTheLine,penaltiesConceded,headedGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,secondGoalAssists,lastPlayerTackle,redCards2ndYellow,setPiecesGoals
19959,Adam Johnson,Midfielder,Sunderland,56,England,2014-15,98.0,5.0,10.0,3.575,20.0,5.0,32.0,759.0,4.0,7.0,2.0,3.0,9.0,3.0,3.0,7.0,6.0,101.0,13.0,3.0,30.4827,38.0,5.0,2.0,35.0,1.0,109.0,32.0,1.0,3.0,27.0,93.0,66.0,1.0,1.0,743.0,10.0,366.0,17.0,1.0,219.0,15.0,28.0,56.0,164.0,1206.0,11.0,1.0,226.0,4.0,62.0,32.0,20.0,3.539,0.0,0.0816,9.0,20.0,94.0,1.0,28.0,1.0,23.0,156.0,53.0,1.0,50.0,9.0,5.0,3.0,36.0,2082.0,4.0,103.0,37.0,547.0,43.0,1.0,10.0,28.0,91.0,148.0,201.0,19.0,2.0,228.0,1.0,3.0,3.0,413.0,22.0,2.0,192.0,2.0,0.0,17.0,47.0,1.0,17.0,1.0,12.0,3.0,21.0,2.0,3.3734,2.0,,,,,,,,,,,,,,,,,,,,
88601,Charalampos Mavrias,Midfielder,Sunderland,56,Greece,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
55641,Emanuele Giaccherini,Midfielder,Sunderland,56,Italy,2014-15,27.0,2.0,4.0,0.8147,3.0,,8.0,167.0,,,,,6.0,1.0,1.0,2.0,,16.0,,,6.7957,10.0,1.0,2.0,8.0,0.0,22.0,8.0,,,9.0,5.0,14.0,,,166.0,2.0,49.0,2.0,,32.0,4.0,,5.0,58.0,242.0,3.0,,53.0,,2.0,5.0,,0.1728,0.0,,2.0,6.0,16.0,,17.0,,2.0,18.0,5.0,,,4.0,,3.0,,304.0,,18.0,11.0,144.0,13.0,,3.0,5.0,25.0,54.0,45.0,6.0,,23.0,,3.0,1.0,96.0,5.0,2.0,41.0,2.0,0.0,4.0,5.0,,4.0,,2.0,,1.0,3.0,0.3936,2.0,,,,,,,,,,,,,,,,,,,,
114000,George Honeyman,Midfielder,Sunderland,56,England,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
49384,Jack Rodwell,Midfielder,Sunderland,56,England,2014-15,72.0,10.0,13.0,3.3634,35.0,2.0,23.0,529.0,3.0,1.0,2.0,3.0,6.0,5.0,5.0,18.0,4.0,65.0,,2.0,31.28,4.0,5.0,7.0,17.0,0.0,66.0,23.0,,,7.0,6.0,18.0,,,525.0,7.0,120.0,27.0,,159.0,25.0,,27.0,90.0,756.0,,,220.0,,26.0,15.0,,0.5049,0.0,,3.0,20.0,58.0,,24.0,,17.0,84.0,6.0,,,37.0,1.0,5.0,,1486.0,,84.0,16.0,418.0,38.0,,40.0,34.0,54.0,137.0,156.0,14.0,1.0,143.0,,5.0,8.0,225.0,30.0,7.0,119.0,19.0,0.0,2.0,13.0,14.0,13.0,,7.0,3.0,11.0,17.0,2.801,5.0,,,3.0,,,,,,,,,,,,,,,,,
50023,Jordi Gómez,Midfielder,Sunderland,56,Spain,2014-15,131.0,11.0,10.0,4.4981,48.0,,29.0,991.0,4.0,2.0,1.0,9.0,7.0,2.0,2.0,22.0,3.0,110.0,3.0,2.0,28.7658,21.0,2.0,2.0,51.0,2.0,166.0,29.0,,4.0,15.0,49.0,42.0,2.0,,974.0,10.0,320.0,38.0,2.0,170.0,35.0,15.0,25.0,231.0,1418.0,2.0,1.0,309.0,2.0,43.0,48.0,8.0,1.693,0.0,0.1195,3.0,20.0,147.0,2.0,32.0,,22.0,190.0,26.0,,22.0,40.0,6.0,4.0,12.0,1941.0,1.0,128.0,53.0,776.0,21.0,,34.0,24.0,109.0,242.0,259.0,31.0,3.0,348.0,3.0,4.0,10.0,504.0,21.0,2.0,219.0,18.0,0.0,16.0,12.0,5.0,43.0,3.0,8.0,9.0,23.0,27.0,3.7395,7.0,,,,,,,,,,,,,,,,,2.0,,,
28448,Lee Cattermole,Midfielder,Sunderland,56,England,2014-15,175.0,4.0,1.0,0.4324,76.0,4.0,28.0,1103.0,1.0,,1.0,4.0,2.0,,,40.0,3.0,105.0,,2.0,34.0099,12.0,2.0,,20.0,0.0,177.0,28.0,1.0,,10.0,12.0,26.0,,,1078.0,5.0,268.0,58.0,,265.0,54.0,,89.0,151.0,1474.0,,,477.0,1.0,62.0,64.0,1.0,0.9414,0.0,,,6.0,150.0,,37.0,,26.0,212.0,12.0,,,68.0,9.0,,1.0,2358.0,,133.0,43.0,802.0,1.0,,66.0,35.0,135.0,315.0,308.0,26.0,0.0,372.0,,,18.0,415.0,32.0,,240.0,28.0,0.0,6.0,10.0,11.0,68.0,,3.0,4.0,20.0,40.0,0.275,14.0,,,,,,,,,,,,,,,,,,1.0,,
114311,Liam Agnew,Midfielder,Sunderland,56,England,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
49836,Liam Bridcutt,Midfielder,Sunderland,56,Scotland,2014-15,65.0,3.0,,,41.0,1.0,18.0,494.0,,,,3.0,8.0,,,16.0,1.0,65.0,,1.0,14.2004,7.0,3.0,,16.0,0.0,77.0,18.0,,,5.0,4.0,16.0,,,482.0,1.0,129.0,29.0,,118.0,21.0,,19.0,71.0,673.0,3.0,,197.0,1.0,20.0,26.0,4.0,0.5368,1.0,,1.0,1.0,74.0,2.0,9.0,,10.0,94.0,4.0,,,28.0,2.0,,4.0,907.0,,77.0,21.0,381.0,,,13.0,15.0,49.0,110.0,142.0,13.0,,195.0,,,12.0,207.0,14.0,,114.0,12.0,0.0,,8.0,8.0,24.0,,2.0,3.0,13.0,15.0,0.0869,6.0,,,,,,,,,,,,,,,,1.0,,,1.0,
86444,Ricardo Álvarez,Midfielder,Sunderland,56,Argentina,2014-15,62.0,6.0,2.0,0.1353,11.0,1.0,13.0,193.0,,3.0,,4.0,8.0,,,11.0,1.0,45.0,1.0,,11.5636,7.0,,2.0,5.0,0.0,29.0,13.0,,,26.0,25.0,35.0,,,191.0,2.0,93.0,9.0,,73.0,5.0,5.0,7.0,56.0,344.0,6.0,,46.0,,5.0,5.0,1.0,0.4805,0.0,,3.0,4.0,17.0,,8.0,,5.0,22.0,20.0,,7.0,13.0,,2.0,2.0,494.0,1.0,47.0,10.0,164.0,20.0,,2.0,11.0,51.0,32.0,109.0,6.0,,32.0,,2.0,2.0,127.0,10.0,2.0,96.0,2.0,0.0,8.0,29.0,,5.0,,5.0,4.0,1.0,1.0,0.3972,3.0,,,,,,,,,,,,,,,,,,,,
