season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243391,1,31,Crystal_Palace,Home,9628,19419,Gary Cahill,gary-cahill,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,16620,20066,Wayne Hennessey,wayne-hennessey,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,20278,19188,Scott Dann,scott-dann,D,False,,,1.0,6.0,14.0,20.0,3.0,5.0,,3.0,,,1.0,,,,,4.0,5.0,,,,,,,,,,90.0,,,,,,,10.0,,,6.7,,,,,,3.0,1.0,,,7.0,,11.0,18.0,29.0,,,1,,39.0,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,32023,40836,Vicente Guaita,vicente-guaita,G,False,,,5.0,5.0,6.0,11.0,,1.0,,6.0,,,,,,,,,1.0,,,,,,,,,,90.0,,,,,,,13.0,,1.0,7.3,1.0,2.0,,,,1.0,,,,18.0,,17.0,7.0,24.0,,,0,,29.0,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,39183,55494,Joel Ward,joel-ward,D,False,,,,5.0,9.0,14.0,1.0,4.0,,2.0,,,,,,,,1.0,7.0,,,,,,,,1.0,,90.0,,,,,,,14.0,,,7.1,,,,,,4.0,,,,3.0,,11.0,10.0,21.0,,,0,1.0,40.0,,2.0,,1.0
2019-20,8243391,1,31,Crystal_Palace,Home,39282,50471,James McArthur,james-mcarthur,M,False,,,,10.0,10.0,20.0,,1.0,,10.0,,,,1.0,,,,5.0,8.0,,,4.0,,,,,3.0,1.0,90.0,,1.0,,,,,14.0,,,7.3,,,,,,1.0,2.0,,,2.0,,18.0,16.0,34.0,,,0,5.0,51.0,,,2.0,4.0
2019-20,8243391,1,31,Crystal_Palace,Home,39283,50472,James McCarthy,james-mccarthy,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,39472,58786,Martin Kelly,martin-kelly,D,False,,,1.0,3.0,10.0,13.0,2.0,2.0,,5.0,,,,1.0,,,,3.0,2.0,,,,,,,,,,90.0,,2.0,,,,,7.0,,,7.0,,,,,,9.0,,1.0,,6.0,,8.0,12.0,19.0,,,0,,31.0,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243391,1,31,Crystal_Palace,Home,45970,54861,Christian Benteke,christian-benteke,F,False,,,,4.0,2.0,6.0,6.0,9.0,,1.0,1.0,,,,,,2.0,10.0,11.0,,,2.0,,,,,1.0,1.0,83.0,,1.0,,,,,12.0,,,7.2,,,,,,,,,,,2.0,13.0,2.0,15.0,,,0,2.0,24.0,1.0,,,2.0
