season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025053,1,31,Crystal_Palace,Away,43215,57328.0,Nathaniel Clyne,nathaniel-clyne,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025053,1,31,Crystal_Palace,Away,193554,108413.0,Will Hughes,will-hughes,M,False,,,1.0,5.0,5.0,10.0,1.0,,,3.0,,,,,,1.0,3.0,2.0,,,0.00147003,,,1.0,0.0,,,,,1.0,,,0.51,3.77,1.27,0.13,2.3,70.0,,2.0,,,,,,5.0,,,7.2,,,,,3.0,,1.0,,3.0,,8.0,5.0,13.0,,,0,,24.0,,2.0,,
2025-26,14025053,1,31,Crystal_Palace,Away,249859,121709.0,Walter Benítez,walter-benitez,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025053,1,31,Crystal_Palace,Away,355796,152551.0,Jefferson Lerma,jefferson-lerma,M,True,,,,,2.0,2.0,1.0,1.0,,2.0,,,,,,,2.0,2.0,,,0.0028281,,,1.0,0.0,,,,,,,,0.24,1.6,0.69,0.03,0.69,20.0,,,,,,,,3.0,,,6.7,,,,,1.0,,,,,,2.0,2.0,4.0,,,0,,9.0,,1.0,,
2025-26,14025053,1,31,Crystal_Palace,Away,357584,218364.0,Borna Sosa,borna-sosa,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025053,1,31,Crystal_Palace,Away,788134,172649.0,Dean Henderson,dean-henderson,G,False,,,8.0,7.0,13.0,20.0,,,,5.0,,,,,,,,,,,0.00233413,,,,0.0,,0.6538,,,,1.0,,0.0,0.82,0.04,0.0,3.74,90.0,,,,,,,,9.0,,,7.4,2.0,2.0,,,2.0,,,,16.0,,14.0,14.0,28.0,,,0,,34.0,,,,
2025-26,14025053,1,31,Crystal_Palace,Away,795228,199670.0,Odsonne Édouard,odsonne-edouard,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025053,1,31,Crystal_Palace,Away,845286,232185.0,Ismaïla Sarr,ismaila-sarr,F,False,,,,7.0,5.0,12.0,2.0,,,3.0,,,,2.0,1.0,4.0,10.0,3.0,,,0.0134351,,,2.0,0.0,,,,,,1.0,,0.57,5.47,1.61,0.3,2.97,90.0,,1.0,,,,,,12.0,,,7.0,,,,,3.0,,,,2.0,,10.0,5.0,15.0,,,0,,34.0,5.0,3.0,,
2025-26,14025053,1,31,Crystal_Palace,Away,848276,231747.0,Jean-Philippe Mateta,jean-philippe-mateta,F,False,,,2.0,8.0,2.0,10.0,5.0,3.0,,3.0,,1.0,1.0,2.0,,2.0,10.0,5.0,,,0.0040088,0.2915,0.1872,1.0,0.0,,,,,1.0,,,0.44,5.22,1.36,0.13,3.21,90.0,2.0,,,,,,,7.0,,,6.4,,,,,4.0,,,,4.0,,12.0,2.0,14.0,,,3,1.0,30.0,1.0,1.0,,1.0
2025-26,14025053,1,31,Crystal_Palace,Away,864921,232413.0,Eberechi Eze,eberechi-eze,M,False,,,1.0,6.0,10.0,16.0,1.0,,,5.0,,,3.0,,,2.0,5.0,4.0,,,0.00377186,0.2421,0.0733,2.0,0.0,,,,,,,,0.52,3.8,1.06,0.18,2.69,84.0,2.0,,,,,,,13.0,,,6.7,,,1.0,,1.0,3.0,4.0,,3.0,,9.0,12.0,21.0,,,6,1.0,42.0,1.0,1.0,2.0,1.0
