season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896988,1,31,Crystal_Palace,Home,16620,20066,Wayne Hennessey,wayne-hennessey,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896988,1,31,Crystal_Palace,Home,20278,19188,Scott Dann,scott-dann,D,False,,,1.0,4.0,10.0,14.0,2.0,11.0,3.0,,,,,,,,2.0,11.0,,,,,,,,2.0,,,90.0,,,,,,,,13.0,,7.3,,,,8.0,,,,3.0,,13.0,13.0,26.0,0,,38.0,,,,
2020-21,8896988,1,31,Crystal_Palace,Home,32023,40836,Vicente Guaita,vicente-guaita,G,False,,,6.0,6.0,1.0,7.0,,,10.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,19.0,1.0,8.1,5.0,5.0,,1.0,,,,25.0,,25.0,1.0,26.0,0,,33.0,,,,
2020-21,8896988,1,31,Crystal_Palace,Home,39183,55494,Joel Ward,joel-ward,D,False,,,2.0,9.0,2.0,11.0,2.0,4.0,7.0,,,,1.0,,,,4.0,4.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,15.0,,6.8,,,,6.0,,,,6.0,,15.0,6.0,21.0,0,,45.0,,,,
2020-21,8896988,1,31,Crystal_Palace,Home,39282,50471,James McArthur,james-mcarthur,M,False,,,2.0,8.0,7.0,15.0,1.0,3.0,9.0,1.0,,,,,,,2.0,8.0,,,1.0,,,,,3.0,1.0,,90.0,,,,,,,,19.0,,7.3,,,1.0,2.0,1.0,,,8.0,,21.0,10.0,31.0,1,2.0,48.0,2.0,2.0,1.0,1.0
2020-21,8896988,1,31,Crystal_Palace,Home,39283,50472,James McCarthy,james-mccarthy,M,False,2.0,,1.0,6.0,8.0,12.0,2.0,2.0,5.0,,,,,,,,5.0,4.0,,,3.0,,,,,2.0,,,74.0,,,,,,,,12.0,,6.8,,,,,,4.0,,4.0,,12.0,11.0,19.0,0,1.0,31.0,3.0,1.0,,1.0
2020-21,8896988,1,31,Crystal_Palace,Home,39472,58786,Martin Kelly,martin-kelly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896988,1,31,Crystal_Palace,Home,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,False,,,2.0,5.0,6.0,11.0,3.0,1.0,3.0,,1.0,,,,,,4.0,3.0,,,2.0,,,,,,,,90.0,1.0,1.0,,,,,,9.0,,6.8,,,,2.0,,,,7.0,,10.0,8.0,18.0,1,1.0,26.0,1.0,1.0,,
2020-21,8896988,1,31,Crystal_Palace,Home,47992,60252,Andros Townsend,andros-townsend,F,False,2.0,,,8.0,5.0,11.0,3.0,1.0,11.0,2.0,,,3.0,,,2.0,9.0,6.0,,,1.0,1.0,,,,1.0,2.0,,90.0,,,,,,,,22.0,,7.2,,,,,2.0,3.0,,6.0,1.0,20.0,10.0,27.0,0,2.0,44.0,3.0,1.0,2.0,1.0
2020-21,8896988,1,31,Crystal_Palace,Home,50294,66975,Luka Milivojević,luka-milivojevic,M,True,2.0,,1.0,5.0,4.0,7.0,1.0,1.0,3.0,,,,,,,,2.0,2.0,,,1.0,,,,,,2.0,,16.0,,,,,,,,3.0,,7.0,,,,1.0,,2.0,,2.0,,6.0,6.0,10.0,0,,16.0,,1.0,,
2020-21,8896988,1,31,Crystal_Palace,Home,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,,3.0,1.0,4.0,7.0,2.0,5.0,,,,1.0,,,13.0,24.0,9.0,,,2.0,,,,,,,,90.0,1.0,,,,,,,25.0,,6.2,,,,,5.0,,,,2.0,6.0,2.0,8.0,1,2.0,41.0,6.0,1.0,4.0,1.0
2020-21,8896988,1,31,Crystal_Palace,Home,111850,82403,Wilfried Zaha,wilfried-zaha,M,False,,,1.0,7.0,1.0,8.0,3.0,,4.0,,1.0,,,,,4.0,9.0,3.0,,,2.0,,1.0,,,,,,90.0,1.0,,,,,,,13.0,,6.7,,,1.0,,1.0,,,1.0,1.0,9.0,1.0,10.0,2,,30.0,5.0,2.0,1.0,
2020-21,8896988,1,31,Crystal_Palace,Home,147745,94245,Michy Batshuayi,michy-batshuayi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896988,1,31,Crystal_Palace,Home,148710,86417,Jeffrey Schlupp,jeffrey-schlupp,M,False,,,1.0,1.0,,1.0,2.0,5.0,,,,,1.0,,,2.0,6.0,6.0,,,1.0,,,,,2.0,,,81.0,,,,,,,,16.0,,6.4,,,,,,3.0,,1.0,,11.0,2.0,10.0,0,1.0,22.0,2.0,,,1.0
2020-21,8896988,1,31,Crystal_Palace,Home,187431,141020,Max Meyer,max-meyer,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896988,1,31,Crystal_Palace,Home,864921,232413,Eberechi Eze,eberechi-eze,M,True,2.0,,,6.0,2.0,6.0,1.0,,3.0,,,,,,,1.0,5.0,2.0,,,,,,,,,,,9.0,,,,,,,,6.0,,6.3,,,,,5.0,3.0,,1.0,,8.0,2.0,7.0,0,,16.0,,,2.0,
2020-21,8896988,1,31,Crystal_Palace,Home,948263,221272,Sam Woods,sam-woods,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
