season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827865,1,31,Crystal_Palace,Away,16620,20066,Wayne Hennessey,wayne-hennessey,G,False,,,7.0,6.0,7.0,13.0,,1.0,11.0,,,,,,,,1.0,,,,,,1.0,,,,,90.0,,,,,,,,,13.0,1.0,8.4,4.0,6.0,,,1.0,,,,20.0,,18.0,8.0,26.0,0,,38.0,,,,
2018-19,7827865,1,31,Crystal_Palace,Away,21134,40784,Mamadou Sakho,mamadou-sakho,D,False,,,3.0,6.0,24.0,30.0,1.0,1.0,5.0,,,,,,,1.0,4.0,,,,,,,,2.0,,,90.0,,,,,,,,,2.0,,7.4,,,,,6.0,,,,3.0,,7.0,25.0,32.0,0,2.0,43.0,,1.0,,2.0
2018-19,7827865,1,31,Crystal_Palace,Away,32023,40836,Vicente Guaita,vicente-guaita,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827865,1,31,Crystal_Palace,Away,32124,49413,James Tomkins,james-tomkins,D,False,,,5.0,12.0,19.0,31.0,,5.0,5.0,,,,1.0,,,1.0,6.0,,,,,,,,1.0,,,90.0,1.0,,,,,,,,4.0,,7.3,,,,,11.0,,,,6.0,,13.0,22.0,35.0,1,1.0,50.0,,,,
2018-19,7827865,1,31,Crystal_Palace,Away,39183,55494,Joel Ward,joel-ward,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827865,1,31,Crystal_Palace,Away,39282,50471,James McArthur,james-mcarthur,M,False,,,1.0,9.0,18.0,27.0,,1.0,6.0,,,,2.0,,2.0,6.0,3.0,,,2.0,,,,,2.0,1.0,,90.0,,1.0,,,,,,,11.0,,6.6,,,,,1.0,,,,5.0,,16.0,19.0,35.0,0,2.0,45.0,,,,2.0
2018-19,7827865,1,31,Crystal_Palace,Away,39472,58786,Martin Kelly,martin-kelly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827865,1,31,Crystal_Palace,Away,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,True,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,2.0,1,,4.0,,,,
2018-19,7827865,1,31,Crystal_Palace,Away,45970,54861,Christian Benteke,christian-benteke,F,False,,,1.0,9.0,5.0,14.0,2.0,8.0,2.0,1.0,,1.0,,,1.0,6.0,9.0,,,2.0,,,,1.0,,2.0,,83.0,2.0,1.0,,,,,,,18.0,,7.5,,,,,,2.0,,,1.0,,20.0,7.0,27.0,3,,38.0,3.0,,1.0,
2018-19,7827865,1,31,Crystal_Palace,Away,47992,60252,Andros Townsend,andros-townsend,F,False,1.0,,2.0,12.0,13.0,24.0,1.0,,8.0,,,,2.0,,2.0,9.0,10.0,,,,,,,,1.0,1.0,,88.0,2.0,,,,,,,,18.0,,7.0,,,,,,7.0,3.0,,5.0,,19.0,16.0,32.0,2,5.0,63.0,1.0,2.0,3.0,1.0
