season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767961,3,31,Crystal_Palace,Home,45502,58376.0,Alex McCarthy,alex-mccarthy,G,False,,,8.0,6.0,5.0,11.0,,,6.0,,,,,,,,,,,,,,,2.0,,,,,90.0,,,,,,,,6.5,2.0,2.0,,,,,,21.0,,18.0,6.0,24.0,0,,31.0,,,
2015-16,6767961,3,31,Crystal_Palace,Home,51455,44343.0,Bakary Sako,bakary-sako,F,False,,,2.0,22.0,6.0,28.0,1.0,,6.0,,1.0,,1.0,,,3.0,6.0,7.0,,,1.0,,1.0,,,1.0,,,90.0,5.0,,,,,,,7.7,,,1.0,,3.0,5.0,,2.0,,30.0,7.0,32.0,6,3.0,56.0,2.0,1.0,3.0
2015-16,6767961,3,31,Crystal_Palace,Home,84686,79228.0,Pape Souaré,pape-souare,M,False,,,3.0,19.0,20.0,39.0,1.0,,10.0,,,,,,,1.0,3.0,1.0,,,1.0,,,,,,1.0,,90.0,,1.0,1.0,,,,,6.3,,,,4.0,,4.0,,5.0,,30.0,20.0,46.0,0,,70.0,4.0,1.0,
2015-16,6767961,3,31,Crystal_Palace,Home,111850,82403.0,Wilfried Zaha,wilfried-zaha,M,False,,,,5.0,3.0,8.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,5.0,2.0,,,1.0,,,,,1.0,1.0,,45.0,,,,,,,,6.1,,,,,1.0,2.0,,,1.0,9.0,3.0,10.0,1,,20.0,3.0,1.0,
2015-16,6767961,3,31,Crystal_Palace,Home,204336,106617.0,Patrick Bamford,patrick-bamford,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767961,3,31,Crystal_Palace,Home,232118,104547.0,Dwight Gayle,dwight-gayle,F,True,,,,6.0,,6.0,,2.0,1.0,,,,,,,2.0,3.0,5.0,,,1.0,,,,,1.0,1.0,,45.0,,,,,,,,6.7,,,1.0,,,,,,,8.0,,8.0,1,1.0,16.0,,2.0,
2015-16,6768029,4,31,Crystal_Palace,Away,3574,27341.0,Yohan Cabaye,yohan-cabaye,M,False,,,2.0,10.0,19.0,29.0,2.0,1.0,6.0,,1.0,1.0,2.0,,,,7.0,4.0,,,1.0,,,,,2.0,,,82.0,1.0,,,,,,,6.5,,,1.0,1.0,2.0,3.0,,4.0,,16.0,20.0,33.0,3,3.0,48.0,,,
2015-16,6768029,4,31,Crystal_Palace,Away,9921,18805.0,Joe Ledley,joe-ledley,M,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,8.0,,,,,,,,6.7,,,,1.0,,,,1.0,,2.0,1.0,3.0,0,,5.0,,,
2015-16,6768029,4,31,Crystal_Palace,Away,10038,7906.0,Damien Delaney,damien-delaney,D,False,,,2.0,8.0,5.0,13.0,2.0,5.0,3.0,,,,,,,,3.0,6.0,,,1.0,,,,,,,,90.0,,3.0,,,,,,6.9,,,,16.0,,,,11.0,,16.0,10.0,26.0,0,1.0,48.0,,,
2015-16,6768029,4,31,Crystal_Palace,Away,10597,20145.0,Adrian Mariappa,adrian-mariappa,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768029,4,31,Crystal_Palace,Away,16620,20066.0,Wayne Hennessey,wayne-hennessey,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768029,4,31,Crystal_Palace,Away,19593,19197.0,Jason Puncheon,jason-puncheon,M,False,,,3.0,24.0,17.0,41.0,1.0,,9.0,,,,6.0,,,1.0,9.0,8.0,,,1.0,,,,,3.0,1.0,,90.0,,,,,,,,6.7,,,1.0,1.0,1.0,4.0,,4.0,1.0,36.0,19.0,51.0,1,4.0,73.0,1.0,3.0,1.0
2015-16,6768029,4,31,Crystal_Palace,Away,20278,19188.0,Scott Dann,scott-dann,D,False,,,3.0,2.0,15.0,17.0,,,4.0,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,90.0,,4.0,,,,,,6.8,,,,8.0,,,,5.0,,4.0,16.0,20.0,0,,35.0,2.0,,
2015-16,6768029,4,31,Crystal_Palace,Away,38130,49438.0,Jordon Mutch,jordon-mutch,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768029,4,31,Crystal_Palace,Away,38639,75773.0,Chung-yong Lee,chung-yong-lee,M,True,,,,2.0,1.0,3.0,,,1.0,,,,,,,,,3.0,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,1.0,,,,,3.0,1.0,4.0,0,1.0,12.0,2.0,1.0,1.0
2015-16,6768029,4,31,Crystal_Palace,Away,39183,55494.0,Joel Ward,joel-ward,D,False,,,,10.0,10.0,20.0,1.0,,2.0,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,90.0,1.0,1.0,,,,,,7.3,,,,3.0,,,,2.0,,13.0,12.0,25.0,1,,39.0,,1.0,
