season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576259,1,31,Crystal_Palace,Away,32023,40836,Vicente Guaita,vicente-guaita,G,False,,1.0,4.0,1.0,29.0,30.0,,,,9.0,,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,,5.0,,1.0,6.3,2.0,3.0,,,2.0,,,1.0,9.0,,2.0,33.0,35.0,,,0,,48.0,,,,
2021-22,9576259,1,31,Crystal_Palace,Away,39183,55494,Joel Ward,joel-ward,D,False,,,2.0,8.0,22.0,30.0,1.0,,,2.0,,,,1.0,,,,4.0,4.0,,,,,,,,,2.0,,,90.0,,,,,,,,,10.0,,,6.5,,,,,7.0,3.0,,,4.0,,10.0,25.0,35.0,,,0,3.0,63.0,3.0,,1.0,2.0
2021-22,9576259,1,31,Crystal_Palace,Away,39282,50471,James McArthur,james-mcarthur,M,False,1.0,,3.0,14.0,24.0,37.0,,,,6.0,,,,2.0,,,1.0,3.0,6.0,,,,,,,,,1.0,2.0,,90.0,,,,,,,,,9.0,,,7.0,,,,,4.0,4.0,1.0,,5.0,,18.0,26.0,43.0,,,0,1.0,60.0,2.0,1.0,4.0,1.0
2021-22,9576259,1,31,Crystal_Palace,Away,39472,58786,Martin Kelly,martin-kelly,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,31,Crystal_Palace,Away,43215,57328,Nathaniel Clyne,nathaniel-clyne,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,31,Crystal_Palace,Away,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,False,,,2.0,7.0,44.0,51.0,,2.0,,4.0,,,,1.0,,,,2.0,3.0,,,1.0,,,,,,1.0,,,90.0,,1.0,,,,,,,3.0,,,6.4,,,,,2.0,,,,4.0,,7.0,47.0,54.0,,,0,1.0,61.0,,,,1.0
2021-22,9576259,1,31,Crystal_Palace,Away,45970,54861,Christian Benteke,christian-benteke,F,True,,,,2.0,,2.0,1.0,2.0,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,,,33.0,,,,,,,,,1.0,,,6.7,,,1.0,,,,,,,,2.0,1.0,3.0,,,1,,6.0,,2.0,,
2021-22,9576259,1,31,Crystal_Palace,Away,98448,105666,Jack Butland,jack-butland,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,31,Crystal_Palace,Away,103045,80146,Jordan Ayew,jordan-ayew,F,False,,,1.0,10.0,14.0,24.0,1.0,3.0,,4.0,,,,2.0,,,5.0,14.0,9.0,,,2.0,,,,,,1.0,1.0,,90.0,1.0,,,,,,,,16.0,,,6.1,,,,,1.0,6.0,1.0,,2.0,,15.0,15.0,29.0,,,1,3.0,55.0,1.0,1.0,2.0,1.0
2021-22,9576259,1,31,Crystal_Palace,Away,111850,82403,Wilfried Zaha,wilfried-zaha,M,False,,,,7.0,9.0,16.0,1.0,,,4.0,,,1.0,1.0,,,3.0,8.0,7.0,,,3.0,,,,,,,,,90.0,,,,,,,,,11.0,,,6.6,,,,,1.0,1.0,,,,1.0,10.0,11.0,21.0,,,1,,38.0,3.0,6.0,1.0,
