season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243391,1,11,Everton,Away,10501,20467,Theo Walcott,theo-walcott,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243391,1,11,Everton,Away,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,False,,,2.0,18.0,30.0,48.0,4.0,1.0,,,,,1.0,,,9.0,2.0,,,4.0,,,,,2.0,1.0,,76.0,,1.0,,,,7.0,,6.2,,,,,3.0,,,,4.0,,21.0,33.0,54.0,0,1.0,63.0,1.0,,,
2019-20,8243391,1,11,Everton,Away,43192,55422,Gylfi Sigurðsson,gylfi-sigursson,M,False,,,1.0,11.0,5.0,16.0,1.0,,3.0,,1.0,1.0,2.0,,1.0,5.0,3.0,,,1.0,,,,,,1.0,,79.0,2.0,,,,,12.0,,6.5,,,1.0,,,1.0,1.0,,1.0,,19.0,6.0,24.0,4,1.0,37.0,2.0,1.0,1.0,
2019-20,8243391,1,11,Everton,Away,235460,120250,André Gomes,andre-gomes,M,False,,,2.0,13.0,13.0,26.0,,,7.0,,,,1.0,,,2.0,4.0,,,,,,,,,1.0,,45.0,,,,,,6.0,,6.8,,,,,1.0,2.0,,,3.0,,14.0,16.0,30.0,0,,42.0,1.0,3.0,1.0,
2019-20,8243391,1,11,Everton,Away,241488,100649,Bernard,bernard,M,False,1.0,,,20.0,6.0,25.0,1.0,,6.0,,,,1.0,,3.0,8.0,2.0,,,2.0,,,,,,1.0,,90.0,,,,,,17.0,,6.2,,,,,1.0,2.0,1.0,,1.0,,25.0,8.0,32.0,0,1.0,47.0,6.0,,1.0,
2019-20,8243391,1,11,Everton,Away,795058,173807,Tom Davies,tom-davies,M,True,,,1.0,1.0,5.0,6.0,,,2.0,,,,3.0,,,4.0,4.0,,,1.0,,,,,,,,11.0,,,,,,1.0,,6.2,,,,,,,,,1.0,,2.0,5.0,7.0,0,2.0,11.0,,2.0,,1.0
2019-20,8243415,2,11,Everton,Home,10501,20467,Theo Walcott,theo-walcott,M,True,,,,2.0,,2.0,1.0,,,,,,,,2.0,3.0,1.0,,,,,,,,,,,27.0,,,,,,7.0,,6.4,,,,,,1.0,1.0,,,2.0,5.0,,4.0,0,,10.0,1.0,,1.0,
2019-20,8243415,2,11,Everton,Home,43192,55422,Gylfi Sigurðsson,gylfi-sigursson,M,False,1.0,,,10.0,2.0,11.0,,,4.0,1.0,,1.0,1.0,,5.0,9.0,4.0,,,,,,,,,2.0,,90.0,,,,,,10.0,,6.3,,,,,,4.0,1.0,,,1.0,12.0,2.0,13.0,1,1.0,31.0,,2.0,1.0,1.0
2019-20,8243415,2,11,Everton,Home,235460,120250,André Gomes,andre-gomes,M,False,,,1.0,16.0,14.0,30.0,2.0,,11.0,,,,3.0,,2.0,9.0,5.0,,,1.0,,,,,,2.0,,90.0,,,,,,11.0,,6.3,,,,,,3.0,,,2.0,,19.0,17.0,36.0,0,2.0,48.0,1.0,1.0,2.0,1.0
2019-20,8243415,2,11,Everton,Home,241488,100649,Bernard,bernard,M,False,,,1.0,11.0,2.0,13.0,1.0,,4.0,,,1.0,2.0,,3.0,10.0,10.0,,,3.0,,1.0,,,1.0,3.0,,90.0,1.0,,,,,17.0,,7.7,,,,,2.0,6.0,1.0,,3.0,,17.0,5.0,21.0,2,4.0,46.0,4.0,1.0,5.0,4.0
2019-20,8243415,2,11,Everton,Home,352770,153133,Alex Iwobi,alex-iwobi,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243415,2,11,Everton,Home,795058,173807,Tom Davies,tom-davies,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243420,3,11,Everton,Away,10501,20467,Theo Walcott,theo-walcott,M,True,,,,3.0,,3.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,12.0,,,,,,3.0,,6.0,,,1.0,,,,2.0,,,,6.0,,4.0,1,,8.0,,,,
2019-20,8243420,3,11,Everton,Away,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,False,,,8.0,35.0,32.0,67.0,1.0,3.0,9.0,,,,1.0,,,2.0,8.0,,,,,,,,1.0,,,90.0,,,,,,10.0,,7.3,,,1.0,,2.0,,1.0,,11.0,,44.0,33.0,76.0,1,5.0,90.0,,1.0,,3.0
