season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385509,1,11,Everton,Home,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,1.0,18.0,14.0,32.0,2.0,1.0,9.0,,,,,,,,3.0,7.0,,,0.0220024,0.1242,0.0269,1.0,,,,,,,,,90.0,1.0,,1.0,,,,4.0,,7.2,,,1.0,,1.0,1.0,,,1.0,,22.0,14.0,36.0,2,5.0,46.0,,,1.0,4.0
2022-23,10385509,1,11,Everton,Home,158277,119765,Allan,allan,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,198028,108823,Dele Alli,dele-alli,M,True,,,,9.0,1.0,10.0,2.0,1.0,1.0,,,,,,,1.0,4.0,2.0,,,0.00412043,0.0,0.0,,,,,,,,,,29.0,,,,,,,7.0,,6.3,,,,,,1.0,,,,,11.0,2.0,13.0,0,,18.0,1.0,1.0,,
2022-23,10385509,1,11,Everton,Home,352770,153133,Alex Iwobi,alex-iwobi,M,False,,,3.0,23.0,8.0,31.0,,,7.0,,,,2.0,,,,3.0,1.0,,,0.0967344,0.0,0.0,1.0,,,,,,2.0,2.0,,90.0,,,,,,,7.0,,6.7,,,,,3.0,1.0,,,7.0,,29.0,9.0,38.0,0,,48.0,,,1.0,
2022-23,10385509,1,11,Everton,Home,355152,172632,Demarai Gray,demarai-gray,M,False,1.0,,,7.0,5.0,11.0,,3.0,6.0,,,1.0,1.0,,,4.0,6.0,6.0,,,0.0202438,0.1069,0.0,,,,,,,,1.0,,90.0,,,,,,,24.0,,6.3,,,,,,2.0,5.0,,1.0,,22.0,6.0,23.0,1,1.0,43.0,3.0,1.0,1.0,1.0
2022-23,10385509,1,11,Everton,Home,935543,433154,Dwight McNeil,dwight-mcneil,M,False,1.0,,,10.0,6.0,15.0,2.0,,5.0,,,,2.0,,,1.0,6.0,8.0,,,0.0484008,0.0,0.0,,,,,,,,1.0,,61.0,,,,,,,10.0,,7.2,,,,,,4.0,3.0,,,,15.0,9.0,21.0,0,4.0,38.0,,1.0,3.0,4.0
2022-23,10385509,1,11,Everton,Home,1113799,461453,Lewis Warrington,lewis-warrington,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,1119657,510328,Stanley Mills,stanley-mills,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,,3.0,5.0,8.0,2.0,1.0,4.0,,,,2.0,,,1.0,5.0,1.0,,,0.00176735,0.0,0.0,,,,,,,,,,34.0,,,,,,,4.0,,6.1,,,,,,,,,1.0,,4.0,7.0,11.0,0,,13.0,,,,
2022-23,10385503,2,11,Everton,Away,198028,108823,Dele Alli,dele-alli,M,True,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,0.00055141,0.0,0.0,,,,,,,,,,9.0,,,,,,,2.0,,6.4,,,,,,,,,,,1.0,1.0,2.0,0,,4.0,2.0,,,
2022-23,10385503,2,11,Everton,Away,352770,153133,Alex Iwobi,alex-iwobi,M,False,1.0,,4.0,21.0,19.0,39.0,1.0,,6.0,,,,1.0,,,,3.0,4.0,,,0.199536,0.0,0.0,1.0,,,,,,,2.0,,90.0,,,,,,,12.0,,7.1,,,,,1.0,,1.0,,6.0,,27.0,22.0,48.0,0,4.0,58.0,3.0,,,2.0
2022-23,10385503,2,11,Everton,Away,355152,172632,Demarai Gray,demarai-gray,M,False,,,,8.0,11.0,19.0,2.0,2.0,3.0,,,1.0,1.0,,,3.0,10.0,5.0,,,0.020782,0.2042,0.03,1.0,,,,,,,1.0,,81.0,1.0,,,,,,13.0,,6.5,,,,,,4.0,3.0,,,1.0,11.0,11.0,19.0,2,,39.0,4.0,2.0,1.0,
2022-23,10385503,2,11,Everton,Away,795058,173807,Tom Davies,tom-davies,M,True,,,6.0,13.0,11.0,24.0,,1.0,4.0,,,,,,,1.0,2.0,4.0,,1.0,0.00733188,0.1625,0.0,1.0,,,,,,,,,56.0,,,,,,,7.0,,6.6,,,1.0,,1.0,,,,7.0,,15.0,12.0,27.0,1,2.0,36.0,3.0,1.0,,2.0
2022-23,10385503,2,11,Everton,Away,923973,449871,Amadou Onana,amadou-onana,M,True,,,,1.0,3.0,4.0,,,1.0,,,1.0,,,,,2.0,2.0,,,0.023017,0.0928,0.0,1.0,,,,,,,,,9.0,,,,,,,3.0,,6.7,,,,,,3.0,,,,,3.0,3.0,6.0,1,,10.0,,,2.0,
2022-23,10385503,2,11,Everton,Away,935543,433154,Dwight McNeil,dwight-mcneil,M,False,2.0,,,10.0,5.0,13.0,,,2.0,,,1.0,1.0,,,,4.0,2.0,,,0.104375,0.0893,0.0,,,,,,,1.0,1.0,,64.0,,,,,,,8.0,,6.7,,,1.0,,,4.0,3.0,,,1.0,14.0,6.0,17.0,2,1.0,32.0,,,1.0,1.0
2022-23,10385503,2,11,Everton,Away,1119657,510328,Stanley Mills,stanley-mills,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385537,3,11,Everton,Home,158277,119765,Allan,allan,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385537,3,11,Everton,Home,198028,108823,Dele Alli,dele-alli,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385537,3,11,Everton,Home,352770,153133,Alex Iwobi,alex-iwobi,M,False,,,3.0,27.0,15.0,42.0,1.0,,17.0,,,,,,,,2.0,5.0,,,0.0506588,0.0542,0.0,1.0,,,,,,1.0,4.0,,90.0,,,,,,,16.0,,7.2,,,1.0,,,3.0,,,9.0,,37.0,16.0,53.0,1,2.0,68.0,3.0,1.0,2.0,1.0
2022-23,10385537,3,11,Everton,Home,355152,172632,Demarai Gray,demarai-gray,M,False,1.0,,2.0,21.0,6.0,26.0,1.0,,4.0,,,1.0,,,,,3.0,6.0,,,0.0975254,0.4382,0.8512,,,1.0,,,,,2.0,,90.0,3.0,,,,,,21.0,,8.1,,,2.0,,,6.0,12.0,,5.0,1.0,37.0,7.0,32.0,6,1.0,63.0,2.0,1.0,4.0,1.0
2022-23,10385537,3,11,Everton,Home,795058,173807,Tom Davies,tom-davies,M,False,,,,11.0,12.0,23.0,1.0,,2.0,,,1.0,1.0,,,,2.0,1.0,,,0.0237369,0.077,0.0,,,,,,,1.0,1.0,,57.0,,,,,,,10.0,,6.6,,,1.0,,,,,,5.0,,17.0,14.0,31.0,2,1.0,39.0,2.0,,,1.0
