playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLayoffs,rightFootGoals,cornersTakenInclShortCorners,leftFootGoals,expectedGoalsFreekick,ownGoalScored,freekickTotal,gkSuccessfulDistribution,attemptsFromSetPieces,hitWoodwork,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,setPiecesGoals,foulWonPenalty
496179,Alfie Devine,Midfielder,Spurs,6,England,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445044,Dejan Kulusevski,Midfielder,Spurs,6,Sweden,2021-22,0.0,0.0,3.0,82.0,7.0,2.6519,44.0,11.0,10.0,3.4733,19.0,15.0,7.0,60.0,18.0,8.0,21.0,14.0,62.0,18.0,456.0,5.0,4.0,5.0,3.0,4.0,11.0,2.0,2.0,7.0,3.0,1265.0,3.0,2.0,8.0,62.0,4.0,,31.0,59.0,389.0,73.0,1.0,1.0,8.8008,17.0,,2.0,11.0,8.0,74.0,57.0,15.0,1.0,144.0,14.0,0.0,69.0,75.0,18.0,2.0,6.0,19.0,260.0,7.0,,18.0,37.0,8.0,133.0,3.0,430.0,5.0,10.0,161.0,13.0,25.0,,179.0,20.0,13.0,,5.0,151.0,705.0,3.0,10.0,3.0,,141.0,7.0,1.0,2.7484,2.0,16.0,14.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
200826,Giovani Lo Celso,Midfielder,Spurs,6,Argentina,2021-22,0.0,0.0,0.0,20.0,,0.3418,8.0,1.0,1.0,,8.0,8.0,,25.0,9.0,,4.0,2.0,25.0,4.0,150.0,,1.0,0.0,1.0,7.0,3.0,,,2.0,1.0,233.0,1.0,,3.0,23.0,1.0,,9.0,23.0,119.0,12.0,,,3.3644,5.0,,,5.0,,17.0,30.0,6.0,0.0,43.0,5.0,0.0,32.0,11.0,9.0,,4.0,6.0,80.0,4.0,,8.0,9.0,,40.0,,139.0,7.0,5.0,54.0,4.0,9.0,1.0,48.0,2.0,1.0,,6.0,40.0,227.0,1.0,2.0,1.0,,47.0,1.0,,0.6144,,6.0,5.0,,10.0,,0.0557,,1.0,,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,
157668,Harry Winks,Midfielder,Spurs,6,England,2021-22,0.0,0.0,2.0,38.0,5.0,1.8574,19.0,1.0,1.0,0.07,15.0,2.0,8.0,56.0,19.0,1.0,13.0,9.0,77.0,14.0,653.0,,,0.0,1.0,10.0,8.0,1.0,1.0,8.0,,907.0,,,4.0,40.0,2.0,,16.0,36.0,546.0,2.0,,,15.1122,10.0,1.0,8.0,15.0,,34.0,214.0,13.0,0.0,78.0,11.0,0.0,191.0,47.0,19.0,1.0,5.0,7.0,301.0,13.0,,18.0,13.0,,70.0,4.0,639.0,1.0,2.0,127.0,10.0,8.0,3.0,153.0,11.0,16.0,,30.0,95.0,801.0,1.0,3.0,1.0,6.0,283.0,6.0,3.0,0.1146,21.0,25.0,1.0,,9.0,,,,,,,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,
448791,Harvey White,Midfielder,Spurs,6,England,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223337,Jamie Bowden,Midfielder,Spurs,6,Ireland,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461201,Matthew Craig,Midfielder,Spurs,6,Scotland,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209042,Oliver Skipp,Midfielder,Spurs,6,England,2021-22,0.0,0.0,6.0,55.0,2.0,1.0665,41.0,1.0,1.0,0.0368,33.0,3.0,3.0,62.0,18.0,,23.0,14.0,84.0,4.0,845.0,,1.0,0.0,1.0,4.0,23.0,7.0,1.0,2.0,,1348.0,,,10.0,65.0,,,22.0,52.0,741.0,11.0,,1.0,15.5474,8.0,1.0,8.0,13.0,,45.0,274.0,16.0,0.0,120.0,12.0,0.0,223.0,77.0,18.0,1.0,14.0,2.0,417.0,13.0,,4.0,13.0,,97.0,13.0,830.0,2.0,2.0,116.0,19.0,4.0,7.0,230.0,16.0,12.0,,20.0,118.0,1001.0,,2.0,1.0,9.0,346.0,10.0,,0.2383,22.0,31.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132015,Pierre-Emile Højbjerg,Midfielder,Spurs,6,Denmark,2021-22,0.0,0.0,3.0,132.0,4.0,2.9279,87.0,11.0,11.0,1.706,78.0,20.0,8.0,181.0,36.0,2.0,47.0,36.0,261.0,14.0,2531.0,2.0,,0.0,10.0,,42.0,14.0,5.0,4.0,4.0,3198.0,4.0,,19.0,182.0,6.0,,58.0,159.0,2136.0,36.0,,2.0,33.1394,23.0,8.0,52.0,34.0,1.0,113.0,711.0,39.0,0.0,314.0,48.0,2.0,710.0,281.0,36.0,5.0,33.0,18.0,1111.0,28.0,,14.0,40.0,1.0,272.0,23.0,2430.0,9.0,5.0,359.0,45.0,42.0,13.0,745.0,28.0,48.0,,134.0,365.0,3059.0,13.0,3.0,10.0,31.0,1163.0,17.0,2.0,1.9274,80.0,66.0,10.0,1.0,2.0,1.0,0.052,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
202993,Rodrigo Bentancur,Midfielder,Spurs,6,Uruguay,2021-22,0.0,0.0,5.0,75.0,3.0,1.3658,32.0,4.0,2.0,0.4312,36.0,10.0,5.0,84.0,17.0,4.0,17.0,16.0,101.0,6.0,1007.0,,,0.0,1.0,1.0,39.0,6.0,1.0,3.0,1.0,1365.0,1.0,1.0,18.0,84.0,3.0,,29.0,63.0,868.0,15.0,,1.0,10.5611,11.0,,32.0,12.0,3.0,57.0,314.0,13.0,0.0,159.0,15.0,0.0,219.0,88.0,17.0,1.0,18.0,6.0,485.0,9.0,,6.0,19.0,3.0,120.0,21.0,993.0,8.0,1.0,139.0,18.0,14.0,9.0,315.0,22.0,20.0,1.0,38.0,159.0,1235.0,3.0,6.0,1.0,4.0,424.0,16.0,,0.7967,17.0,32.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
