playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,expectedGoalsFreekick,blockedShots,expectedGoalsOnTarget,oboxBlocked,shotsOnTargetOutsideBox,successfulCornersIntoBox,successfulLaunches,penaltiesTaken,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,penaltyGoals,shotsBlockedOutsideBox,throwInsToOppositionPlayer,lastPlayerTackle,blocks,penaltiesConceded,handballsConceded,setPiecesGoals,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,hitWoodwork,iboxBlocked,headedGoals,clearancesOffTheLine,ownGoalScored,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals,redCards2ndYellow
17349,Aaron Lennon,Midfielder,Spurs,6,England,2014-15,79.0,7.0,0.8496,0.0,5.0,2.0,36.0,9.0,3.0,77.0,23.0,2.0,25.0,2.0,15.0,88.0,27.0,435.0,2.0,2.0,2.0,8.0,1.0,13.0,3.0,7.0,1347.0,1.0,10.0,72.0,2.0,41.0,69.0,336.0,39.0,1.0,3.6487,22.0,12.0,16.0,69.0,65.0,22.0,0.0,151.0,15.0,0.0,116.0,44.0,23.0,2.0,8.0,17.0,257.0,14.0,28.0,38.0,138.0,3.0,0.0,433.0,4.0,7.0,172.0,28.0,11.0,137.0,15.0,13.0,1.0,11.0,117.0,671.0,12.0,8.0,9.0,97.0,12.0,0.0626,3.0,11.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,Spurs,6,England,2014-15,67.0,3.0,1.1651,0.0,8.0,6.0,25.0,12.0,1.0,52.0,17.0,2.0,22.0,,10.0,57.0,29.0,298.0,2.0,1.0,0.0,7.0,22.0,4.0,,11.0,751.0,4.0,3.0,51.0,1.0,27.0,50.0,237.0,17.0,2.0,16.7902,11.0,1.0,15.0,64.0,26.0,11.0,1.0,118.0,18.0,2.0,79.0,46.0,17.0,1.0,5.0,20.0,177.0,14.0,47.0,47.0,114.0,1.0,0.0,292.0,4.0,14.0,179.0,20.0,14.0,106.0,6.0,10.0,13.0,4.0,87.0,538.0,5.0,10.0,3.0,75.0,3.0,1.7142,2.0,5.0,12.0,,0.0751,4.0,2.709,4.0,6.0,7.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80710,Benjamin Stambouli,Midfielder,Spurs,6,France,2014-15,27.0,,0.1184,0.0,,1.0,29.0,1.0,,29.0,12.0,,10.0,,4.0,46.0,5.0,289.0,,,,8.0,,17.0,1.0,,453.0,,9.0,49.0,1.0,4.0,41.0,227.0,3.0,1.0,6.2691,3.0,8.0,3.0,18.0,93.0,7.0,0.0,76.0,4.0,,91.0,39.0,12.0,,6.0,2.0,139.0,2.0,5.0,6.0,59.0,8.0,0.0,283.0,1.0,1.0,64.0,23.0,5.0,75.0,6.0,11.0,,16.0,30.0,382.0,,2.0,4.0,104.0,4.0,0.0598,4.0,17.0,7.0,,,1.0,,1.0,,,4.0,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80607,Christian Eriksen,Midfielder,Spurs,6,Denmark,2014-15,196.0,6.0,5.4182,0.0,26.0,13.0,51.0,58.0,23.0,297.0,38.0,2.0,147.0,,37.0,356.0,62.0,1977.0,10.0,,7.0,1.0,112.0,49.0,7.0,32.0,3139.0,6.0,28.0,140.0,7.0,76.0,119.0,1558.0,101.0,5.0,55.0888,82.0,19.0,49.0,168.0,593.0,22.0,7.0,336.0,38.0,3.0,583.0,203.0,38.0,9.0,11.0,32.0,1190.0,42.0,147.0,117.0,287.0,21.0,0.0,1903.0,32.0,38.0,706.0,40.0,46.0,429.0,17.0,24.0,64.0,63.0,372.0,2719.0,27.0,11.0,20.0,463.0,7.0,7.3699,4.0,59.0,44.0,,1.1541,39.0,7.4887,22.0,13.0,26.0,2.0,,13.0,1.0,21.0,21.0,,22.0,1.0,,2.0,,2.0,3.0,3.0,3.0,17.0,4.0,17.0,,,,,,,,,,,,,,,,,,,,
153775,Dominic Ball,Midfielder,Spurs,6,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157668,Harry Winks,Midfielder,Spurs,6,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168765,Josh Onomah,Midfielder,Spurs,6,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39104,Mousa Dembélé,Midfielder,Spurs,6,Belgium,2014-15,115.0,1.0,0.7597,0.0,2.0,,25.0,6.0,1.0,81.0,26.0,1.0,36.0,,10.0,88.0,2.0,834.0,1.0,,1.0,16.0,,45.0,,1.0,1138.0,1.0,24.0,99.0,4.0,18.0,78.0,725.0,11.0,3.0,23.3926,21.0,5.0,22.0,91.0,234.0,18.0,0.0,214.0,7.0,0.0,158.0,82.0,26.0,,5.0,12.0,510.0,18.0,2.0,51.0,169.0,21.0,0.0,814.0,4.0,1.0,158.0,20.0,36.0,303.0,36.0,22.0,,21.0,139.0,1042.0,4.0,8.0,4.0,237.0,18.0,1.1373,1.0,7.0,17.0,,,5.0,1.178,5.0,,,,,,,,,,5.0,,,1.0,,4.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
126407,Nabil Bentaleb,Midfielder,Spurs,6,Algeria,2014-15,99.0,3.0,1.4353,0.0,5.0,1.0,59.0,21.0,4.0,165.0,26.0,2.0,43.0,,25.0,210.0,6.0,1586.0,,,,1.0,,60.0,5.0,3.0,2195.0,,23.0,137.0,4.0,34.0,100.0,1309.0,10.0,2.0,39.4605,14.0,49.0,35.0,76.0,587.0,16.0,0.0,236.0,18.0,,445.0,168.0,26.0,,14.0,5.0,710.0,31.0,6.0,25.0,176.0,37.0,0.0,1564.0,16.0,3.0,263.0,45.0,28.0,358.0,27.0,65.0,,67.0,196.0,1936.0,8.0,3.0,14.0,669.0,14.0,1.3248,8.0,45.0,68.0,,,5.0,0.9508,3.0,5.0,,2.0,,5.0,,,,,3.0,2.0,,9.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,
54908,Nacer Chadli,Midfielder,Spurs,6,Belgium,2014-15,173.0,9.0,3.303,0.0,22.0,14.0,27.0,40.0,3.0,162.0,35.0,5.0,83.0,,28.0,178.0,36.0,1066.0,11.0,10.0,5.0,7.0,1.0,68.0,2.0,9.0,2415.0,9.0,39.0,124.0,5.0,34.0,95.0,861.0,119.0,4.0,44.3386,36.0,17.0,40.0,134.0,400.0,26.0,2.0,297.0,16.0,6.0,227.0,123.0,35.0,8.0,4.0,51.0,647.0,35.0,36.0,99.0,229.0,29.0,0.0,1056.0,18.0,28.0,380.0,23.0,43.0,186.0,26.0,13.0,,27.0,253.0,1511.0,9.0,16.0,7.0,250.0,9.0,6.1708,3.0,16.0,37.0,1.0,,14.0,9.3203,8.0,4.0,,2.0,,4.0,2.0,,,,8.0,1.0,,2.0,,,,7.0,7.0,6.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,,,,
