playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalKicks,penaltiesConceded,successfulLaunches,lastPlayerTackle,headedGoals,gkSuccessfulDistribution,clearancesOffTheLine,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,catches,savesMade,drops,gkUnsuccessfulDistribution,savesMadeFromInsideBox,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,ownGoalScored,penaltiesSaved,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,crossesNotClaimed,savesMadeParried
159533,Adama Traoré,Forward,Wolves,39,Spain,2020-21,255.0,24.0,3.8243,102.0,0.0,19.0,13.0,16.0,1.4455,28.0,24.0,1.0,154.0,37.0,2.0,24.0,1.0,53.0,28.0,166.0,126.0,700.0,2.0,7.0,1.0,8.0,9.0,150.0,6.0,5.0,24.0,6.0,2642.0,6.0,3.0,77.0,340.0,3.0,69.0,267.0,519.0,111.0,7.0,5.0,38.5412,53.0,11.0,41.0,11.0,178.0,116.0,86.0,1.0,595.0,22.0,1.0,163.0,104.0,37.0,5.0,2.0,12.0,63.0,421.0,38.0,126.0,128.0,11.0,445.0,73.0,0.0,698.0,11.0,48.0,558.0,16.0,153.0,1.0,223.0,47.0,7.0,15.0,198.0,1544.0,14.0,3.0,2.0,8.0,8.0,137.0,17.0,3.0,2.0683,4.0,12.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448487,Andreas Söndergaard,Goalkeeper,Wolves,39,Denmark,2020-21,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481626,Christian Marques,Defender,Wolves,39,Portugal,2020-21,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94147,Conor Coady,Defender,Wolves,39,England,2020-21,69.0,,0.165,52.0,0.0,,2.0,,1.281,35.0,7.0,,75.0,37.0,,1.0,,25.0,37.0,223.0,,1857.0,1.0,,1.0,,,70.0,10.0,,,1.0,3304.0,1.0,,29.0,91.0,3.0,15.0,50.0,1386.0,12.0,,7.0,45.9846,3.0,130.0,51.0,,40.0,482.0,10.0,0.0,160.0,8.0,0.0,592.0,155.0,37.0,,,12.0,2.0,375.0,48.0,,5.0,,90.0,41.0,0.0,1799.0,5.0,2.0,241.0,23.0,6.0,32.0,733.0,22.0,27.0,248.0,50.0,2170.0,4.0,1.0,1.0,,37.0,1259.0,8.0,2.0,1.0468,5.0,148.0,79.0,2.0,1.0,11.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
200600,Daniel Podence,Forward,Wolves,39,Portugal,2020-21,95.0,6.0,1.6889,57.0,0.0,10.0,14.0,10.0,3.6336,12.0,22.0,4.0,122.0,24.0,2.0,17.0,,26.0,22.0,134.0,22.0,601.0,3.0,4.0,1.0,4.0,2.0,22.0,,3.0,7.0,8.0,1676.0,8.0,5.0,15.0,84.0,2.0,21.0,77.0,425.0,63.0,,3.0,19.0877,19.0,2.0,24.0,6.0,80.0,164.0,27.0,1.0,179.0,4.0,2.0,153.0,81.0,24.0,3.0,2.0,6.0,26.0,310.0,22.0,25.0,50.0,6.0,157.0,7.0,0.0,589.0,8.0,16.0,255.0,6.0,38.0,1.0,125.0,14.0,13.0,42.0,159.0,897.0,9.0,19.0,1.0,4.0,2.0,164.0,8.0,1.0,2.454,3.0,12.0,23.0,,,,,,,,1.0,1.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,
449988,Fábio Silva,Forward,Wolves,39,Portugal,2020-21,131.0,1.0,0.3732,65.0,0.0,16.0,17.0,7.0,4.7377,6.0,32.0,1.0,80.0,32.0,3.0,21.0,1.0,22.0,11.0,88.0,4.0,323.0,4.0,5.0,2.0,,21.0,106.0,,1.0,1.0,12.0,1355.0,12.0,3.0,72.0,68.0,1.0,18.0,34.0,234.0,84.0,1.0,5.0,23.9909,8.0,5.0,29.0,16.0,59.0,66.0,21.0,0.0,199.0,11.0,2.0,70.0,43.0,32.0,1.0,3.0,2.0,14.0,145.0,28.0,4.0,35.0,16.0,93.0,34.0,0.0,295.0,15.0,18.0,180.0,4.0,7.0,1.0,60.0,20.0,4.0,1.0,127.0,554.0,1.0,5.0,2.0,,4.0,91.0,2.0,1.0,5.2346,2.0,8.0,14.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
490721,Hugo Bueno,Defender,Wolves,39,Spain,2020-21,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19236,John Ruddy,Goalkeeper,Wolves,39,England,2020-21,,,0.0001,,0.0,,,,,,,,,2.0,,,,,1.0,5.0,,14.0,,,0.0,,1.0,1.0,,,,,91.0,,,,1.0,,,,6.0,,,,0.8919,,,1.0,,,2.0,,0.0,1.0,,0.0,7.0,12.0,2.0,,,,,,1.0,,,,,1.0,0.0,6.0,,,5.0,,,,5.0,,,3.0,,30.0,,,,,3.0,9.0,,,,0.0,5.0,1.0,5.0,,,,,14.0,,,,,,,,2.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,
114128,Jonny,Defender,Wolves,39,Spain,2020-21,28.0,,0.0512,18.0,0.0,,,,,11.0,1.0,,35.0,7.0,,,,8.0,7.0,43.0,9.0,182.0,,,0.0,,,7.0,1.0,,,,499.0,,,2.0,30.0,,13.0,25.0,137.0,6.0,6.0,,4.8565,2.0,7.0,4.0,,26.0,60.0,11.0,0.0,58.0,6.0,0.0,66.0,25.0,7.0,,,6.0,5.0,70.0,4.0,9.0,12.0,,51.0,5.0,0.0,178.0,1.0,4.0,79.0,5.0,3.0,3.0,13.0,7.0,9.0,2.0,43.0,324.0,46.0,5.0,,,4.0,69.0,3.0,,0.054,0.0,8.0,15.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19624,João Moutinho,Midfielder,Wolves,39,Portugal,2020-21,134.0,8.0,2.758,74.0,1.0,5.0,4.0,2.0,0.5617,75.0,9.0,5.0,150.0,33.0,1.0,26.0,,45.0,28.0,200.0,21.0,1721.0,1.0,,0.0,3.0,5.0,38.0,4.0,2.0,28.0,1.0,2533.0,1.0,,20.0,129.0,3.0,34.0,111.0,1445.0,8.0,,6.0,36.0024,45.0,24.0,40.0,2.0,114.0,539.0,23.0,1.0,263.0,15.0,1.0,450.0,182.0,33.0,2.0,1.0,35.0,5.0,857.0,37.0,88.0,16.0,2.0,225.0,18.0,0.0,1611.0,5.0,12.0,326.0,40.0,13.0,3.0,428.0,44.0,47.0,76.0,304.0,2139.0,4.0,9.0,,3.0,18.0,692.0,31.0,1.0,0.6068,3.0,50.0,69.0,,1.0,8.0,,,,,15.0,,50.0,101.0,,,,,,,,1.0,1.0,1.0,0.0852,,,,,,,,,,
