playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,penaltyGoals,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,substituteOn,cornersTakenInclShortCorners,successfulCornersIntoBox,successfulLaunches,leftFootGoals,lastPlayerTackle,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,successfulLongPasses,throwInsToOwnPlayer,punches,catches,savesMade,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeFromInsideBox,overruns,penaltiesConceded,secondGoalAssists,savesMadeFromOutsideBox,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,ownGoalScored,redCards2ndYellow,headedGoals,foulWonPenalty,clearancesOffTheLine
155511,Adam Armstrong,Forward,Wolves,39,England,2025-26,46.0,1.0,0.8631,0.0,6.0,6.0,1.6099,8.0,12.0,1.0,44.0,14.0,2.0,4.0,14.0,48.0,4.0,152.0,2.0,6.0,2.0,1.0,23.0,1.0,1.0,1.0,3.0,1146.0,3.0,3.0,14.0,30.0,1.0,12.0,21.0,104.0,42.0,1.0,4.0,22.4808,4.0,12.0,20.0,5.0,32.0,48.0,3.0,0.0,76.0,6.0,0.0,30.0,15.0,14.0,1.0,1.0,2.0,4.0,8.0,71.0,19.0,4.0,17.0,5.0,53.0,9.0,0.0,143.0,6.0,4.0,101.0,4.0,10.0,1.0,39.0,13.0,2.0,1.0,35.0,282.0,7.0,2.0,1.0,3.0,34.0,7.0,1.0,2.7398,3.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491460,Alfie Brooks,Goalkeeper,Wolves,39,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509291,André,Midfielder,Wolves,39,Brazil,2025-26,143.0,3.0,0.9923,0.0,10.0,1.0,0.0712,82.0,5.0,1.0,86.0,35.0,,35.0,30.0,113.0,10.0,1311.0,1.0,,0.0,9.0,19.0,1.0,,10.0,,2766.0,,,15.0,148.0,6.0,45.0,144.0,1139.0,6.0,,3.0,47.9328,18.0,50.0,53.0,1.0,128.0,357.0,43.0,1.0,291.0,26.0,1.0,334.0,212.0,35.0,,,,38.0,15.0,551.0,47.0,30.0,45.0,1.0,272.0,4.0,0.0,1276.0,4.0,1.0,220.0,44.0,19.0,13.0,393.0,47.0,30.0,,227.0,1763.0,6.0,,9.0,7.0,657.0,34.0,1.0,0.522,12.0,27.0,40.0,0.0906,5.0,19.0,4.0,3.0,1.0,1.0,1.0,1.0,14.0,59.0,2.0,,,,,,,,,,,,,,,,,,,,,
209041,Angel Gomes,Midfielder,Wolves,39,England,2025-26,19.0,1.0,0.2778,0.0,,2.0,0.2173,10.0,6.0,1.0,22.0,12.0,,8.0,7.0,27.0,2.0,188.0,,,,,4.0,,2.0,2.0,,464.0,,,2.0,25.0,1.0,8.0,23.0,151.0,5.0,,2.0,9.6417,6.0,4.0,8.0,,17.0,46.0,9.0,0.0,44.0,3.0,,53.0,17.0,12.0,,2.0,,4.0,2.0,83.0,7.0,9.0,6.0,,40.0,2.0,0.0,178.0,4.0,,56.0,6.0,4.0,2.0,36.0,7.0,1.0,,53.0,266.0,7.0,1.0,,1.0,80.0,6.0,,0.2553,1.0,5.0,12.0,0.1021,5.0,3.0,1.0,,,,2.0,2.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,
79602,Dan Bentley,Goalkeeper,Wolves,39,England,2025-26,,,0.0064,0.0,,,,,,,,3.0,,,3.0,44.0,,88.0,,,,,1.0,,,,,270.0,,,,3.0,,1.0,2.0,30.0,,,1.0,7.1481,,5.0,7.0,,,10.0,2.0,0.0,3.0,,,62.0,26.0,3.0,,,,,,10.0,7.0,,,,2.0,1.0,0.0,60.0,,,44.0,,,,16.0,,,,,122.0,,,,28.0,34.0,,,,0.0,44.0,8.0,,,,,6.0,,,,,,14.0,,3.0,3.0,7.0,21.0,26.0,12.0,1.0,7.0,,,,,,,,,,,,,
497949,David Møller Wolfe,Defender,Wolves,39,Norway,2025-26,26.0,8.0,1.0837,0.0,2.0,,,10.0,1.0,,53.0,22.0,2.0,1.0,11.0,67.0,22.0,260.0,,,,,19.0,,,8.0,,1049.0,,,8.0,30.0,3.0,21.0,19.0,179.0,19.0,17.0,2.0,18.4794,6.0,31.0,23.0,2.0,18.0,94.0,4.0,0.0,56.0,4.0,,101.0,27.0,22.0,,,,5.0,3.0,127.0,20.0,25.0,5.0,2.0,37.0,11.0,0.0,258.0,1.0,6.0,129.0,5.0,5.0,2.0,10.0,10.0,7.0,,55.0,465.0,7.0,,,8.0,74.0,3.0,,0.1227,1.0,14.0,21.0,,11.0,3.0,,4.0,,1.0,,,3.0,14.0,46.0,,,,,,,,,1.0,,,,,,,,,,,,
593001,Enso González,Forward,Wolves,39,Paraguay,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589121,Ethan Sutherland,Midfielder,Wolves,39,Scotland,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490721,Hugo Bueno,Defender,Wolves,39,Spain,2025-26,152.0,41.0,3.5144,0.0,4.0,6.0,1.1557,67.0,12.0,,116.0,35.0,2.0,3.0,26.0,165.0,72.0,848.0,1.0,3.0,0.0,1.0,42.0,3.0,3.0,58.0,2.0,2364.0,2.0,,23.0,141.0,6.0,67.0,122.0,658.0,47.0,28.0,4.0,41.5771,36.0,67.0,44.0,3.0,129.0,226.0,24.0,0.0,293.0,25.0,1.0,281.0,115.0,35.0,,3.0,,28.0,46.0,382.0,38.0,109.0,78.0,3.0,251.0,19.0,0.0,807.0,6.0,18.0,426.0,39.0,31.0,4.0,68.0,18.0,38.0,,273.0,1692.0,9.0,,1.0,31.0,359.0,13.0,,0.8586,3.0,49.0,75.0,0.0596,9.0,45.0,12.0,8.0,1.0,,1.0,1.0,29.0,25.0,189.0,,,,,,,,,3.0,1.0,,,,,,,,,,,
184754,Hwang Hee-Chan,Forward,Wolves,39,South Korea,2025-26,74.0,2.0,1.5803,0.0,4.0,6.0,2.7052,10.0,15.0,4.0,84.0,26.0,2.0,9.0,18.0,93.0,10.0,378.0,2.0,9.0,0.0,2.0,20.0,,1.0,3.0,3.0,1452.0,3.0,3.0,14.0,43.0,3.0,17.0,37.0,272.0,29.0,,4.0,25.751,13.0,16.0,29.0,2.0,60.0,105.0,18.0,0.0,117.0,7.0,2.0,118.0,57.0,26.0,1.0,1.0,1.0,6.0,16.0,175.0,26.0,16.0,27.0,2.0,97.0,6.0,0.0,364.0,9.0,8.0,182.0,4.0,9.0,,60.0,28.0,13.0,1.0,95.0,605.0,17.0,,2.0,3.0,113.0,17.0,,2.3877,5.0,9.0,29.0,0.0879,8.0,6.0,1.0,1.0,1.0,,2.0,2.0,5.0,13.0,8.0,,,,,,,,,,,,,,,,,,,,,
