playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,goalAssists,successfulLaunches,headedGoals,clearancesOffTheLine,successfulCornersIntoBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,cornersTakenInclShortCorners,handballsConceded,savesMade,drops,savesMadeFromOutsideBox,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeFromInsideBox,throwInsToOppositionPlayer,catches,penaltiesFaced,penaltiesConceded,punches,ownGoalScored,goalkeeperSmother,crossesNotClaimed,savesMadeParried,foulWonPenalty,redCards2ndYellow,penaltiesTaken,penaltyGoals,setPiecesGoals
159533,Adama Traoré,Forward,Wolves,39,Spain,2021-22,78.0,9.0,1.4465,34.0,0.0,11.0,5.0,1.7824,8.0,12.0,2.0,61.0,20.0,12.0,19.0,10.0,66.0,30.0,298.0,1.0,9.0,0.0,8.0,10.0,32.0,1.0,1.0,9.0,3.0,1063.0,3.0,4.0,17.0,132.0,2.0,16.0,117.0,222.0,55.0,3.0,10.9418,18.0,1.0,10.0,3.0,61.0,76.0,26.0,0.0,210.0,3.0,1.0,53.0,49.0,20.0,1.0,5.0,1.0,19.0,188.0,8.0,30.0,48.0,3.0,178.0,15.0,0.0,297.0,7.0,18.0,194.0,3.0,83.0,1.0,74.0,10.0,2.0,10.0,95.0,610.0,1.0,6.0,2.0,8.0,2.0,53.0,2.0,3.0518,0.0,5.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428610,Bruno Jordão,Midfielder,Wolves,39,Portugal,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461026,Chem Campbell,Midfielder,Wolves,39,Wales,2021-22,1.0,,0.0064,1.0,0.0,,,,1.0,,,1.0,1.0,,,,1.0,,9.0,,,0.0,,1.0,1.0,,,,,12.0,,,1.0,1.0,,,1.0,8.0,1.0,,0.4782,,,,,,,,0.0,2.0,,0.0,,,1.0,,,,,7.0,,,,,1.0,,0.0,9.0,,,1.0,1.0,,,6.0,,,,3.0,11.0,1.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510363,Chiquinho,Forward,Wolves,39,Portugal,2021-22,28.0,7.0,0.5818,9.0,0.0,1.0,2.0,0.4158,9.0,4.0,,18.0,8.0,,3.0,1.0,20.0,18.0,75.0,,,0.0,,7.0,9.0,,,7.0,2.0,204.0,2.0,,5.0,31.0,1.0,7.0,27.0,53.0,18.0,,3.8691,2.0,1.0,5.0,1.0,23.0,1.0,8.0,0.0,59.0,5.0,0.0,31.0,17.0,8.0,,3.0,,7.0,39.0,4.0,18.0,13.0,1.0,50.0,4.0,0.0,75.0,2.0,6.0,61.0,6.0,10.0,,26.0,9.0,2.0,2.0,17.0,174.0,8.0,,,,2.0,23.0,5.0,0.5935,0.0,2.0,7.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481626,Christian Marques,Defender,Wolves,39,Portugal,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94147,Conor Coady,Defender,Wolves,39,England,2021-22,57.0,,0.1576,42.0,0.0,4.0,4.0,1.4842,31.0,8.0,2.0,83.0,38.0,,21.0,38.0,173.0,2.0,1687.0,4.0,2.0,3.0,2.0,,56.0,11.0,,,,3363.0,,,24.0,65.0,6.0,11.0,33.0,1369.0,19.0,9.0,50.9554,3.0,139.0,43.0,2.0,33.0,566.0,1.0,2.0,122.0,6.0,1.0,465.0,162.0,38.0,,17.0,1.0,,278.0,37.0,2.0,1.0,2.0,66.0,32.0,0.0,1652.0,4.0,2.0,185.0,14.0,1.0,40.0,594.0,20.0,28.0,145.0,62.0,1987.0,,3.0,,2.0,21.0,1236.0,15.0,2.7551,5.0,90.0,86.0,,,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200600,Daniel Podence,Forward,Wolves,39,Portugal,2021-22,103.0,11.0,3.1918,41.0,0.0,14.0,15.0,1.7027,18.0,21.0,8.0,138.0,26.0,12.0,20.0,15.0,149.0,23.0,576.0,2.0,3.0,0.0,9.0,11.0,19.0,2.0,4.0,12.0,9.0,1481.0,9.0,3.0,17.0,80.0,1.0,31.0,78.0,402.0,57.0,2.0,17.2946,33.0,,12.0,5.0,86.0,180.0,25.0,1.0,183.0,7.0,2.0,170.0,79.0,26.0,4.0,7.0,1.0,31.0,299.0,11.0,38.0,65.0,5.0,164.0,2.0,0.0,564.0,6.0,21.0,291.0,11.0,35.0,1.0,115.0,8.0,10.0,25.0,111.0,905.0,10.0,11.0,1.0,9.0,2.0,140.0,4.0,2.0487,2.0,11.0,29.0,,3.0,,,,1.0,1.0,1.0,1.0,14.0,0.1246,18.0,,,,,,,,,,,,,,,,,,,,,,
225000,Dion Sanderson,Defender,Wolves,39,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449988,Fábio Silva,Forward,Wolves,39,Portugal,2021-22,74.0,,0.7134,29.0,0.0,5.0,6.0,1.037,3.0,14.0,1.0,40.0,22.0,4.0,14.0,6.0,43.0,2.0,136.0,,4.0,0.0,,16.0,37.0,,1.0,,5.0,563.0,5.0,2.0,28.0,26.0,1.0,8.0,17.0,91.0,41.0,3.0,9.0138,3.0,1.0,7.0,5.0,46.0,31.0,7.0,0.0,100.0,2.0,0.0,27.0,18.0,22.0,1.0,1.0,,12.0,62.0,6.0,2.0,26.0,5.0,63.0,9.0,0.0,123.0,8.0,7.0,90.0,2.0,7.0,,31.0,13.0,1.0,2.0,47.0,233.0,,4.0,,,2.0,31.0,4.0,1.754,0.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490721,Hugo Bueno,Defender,Wolves,39,Spain,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
