playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cleanSheets,ownGoalScored,blocks,clearancesOffTheLine,oboxBlocked,unsuccessfulLayoffs,leftFootGoals,hitWoodwork,shotsBlockedOutsideBox,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,secondGoalAssists,penaltiesConceded,successfulCornersIntoBox,catches,savesMade,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeFromInsideBox,foulWonPenalty,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,headedGoals,penaltiesTaken,penaltyGoals,savesMadeFromOutsideBox,penaltiesFaced,punches,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,setPiecesGoals,otherGoals
159533,Adama Traoré,Forward,Wolves,39,Spain,2018-19,113.0,15.0,2.2891,0.0,5.0,7.0,1.5108,16.0,14.0,1.0,71.0,29.0,1.0,14.0,8.0,75.0,20.0,270.0,1.0,6.0,1.0,21.0,58.0,3.0,15.0,3.0,892.0,3.0,36.0,129.0,4.0,28.0,107.0,190.0,47.0,2.0,1.0,11.1435,16.0,2.0,6.0,13.0,5.0,77.0,35.0,26.0,1.0,242.0,11.0,0.0,81.0,54.0,29.0,3.0,1.0,3.0,16.0,149.0,9.0,20.0,61.0,5.0,184.0,22.0,0.0,265.0,7.0,12.0,213.0,13.0,65.0,92.0,15.0,6.0,5.0,62.0,629.0,18.0,8.0,1.0,61.0,3.0,3.0,1.3313,1.0,4.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198847,Bright Enobakhare,Forward,Wolves,39,Nigeria,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215409,Cameron John,Defender,Wolves,39,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94147,Conor Coady,Defender,Wolves,39,England,2018-19,52.0,,0.4001,0.0,,,,31.0,,3.0,84.0,38.0,,,38.0,265.0,,1688.0,,,0.0,,57.0,,,,3420.0,,23.0,75.0,10.0,11.0,41.0,1179.0,,,3.0,40.1159,2.0,12.0,127.0,46.0,,29.0,473.0,9.0,0.0,127.0,8.0,0.0,557.0,251.0,38.0,,,12.0,,397.0,36.0,,4.0,,70.0,34.0,0.0,1655.0,,,283.0,19.0,3.0,585.0,10.0,30.0,244.0,73.0,1978.0,4.0,,38.0,1026.0,6.0,,,5.0,181.0,88.0,9.0,3.0,27.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194634,Diogo Jota,Forward,Wolves,39,Portugal,2018-19,246.0,7.0,3.827,0.0,12.0,24.0,9.1882,28.0,46.0,3.0,169.0,33.0,5.0,24.0,29.0,182.0,29.0,745.0,9.0,6.0,2.0,4.0,98.0,4.0,7.0,11.0,2368.0,11.0,71.0,167.0,6.0,48.0,140.0,547.0,133.0,,2.0,24.9689,22.0,1.0,11.0,29.0,9.0,175.0,218.0,55.0,4.0,413.0,19.0,7.0,191.0,138.0,33.0,4.0,4.0,12.0,62.0,402.0,23.0,29.0,110.0,9.0,315.0,27.0,0.0,716.0,22.0,26.0,415.0,16.0,57.0,145.0,42.0,13.0,16.0,191.0,1277.0,4.0,20.0,6.0,168.0,17.0,1.0,8.8257,11.0,13.0,40.0,2.0,,1.0,,3.0,2.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
165808,Hélder Costa,Forward,Wolves,39,Angola,2018-19,150.0,2.0,1.1113,0.0,9.0,7.0,1.7977,18.0,16.0,3.0,76.0,25.0,2.0,15.0,16.0,82.0,42.0,442.0,1.0,6.0,1.0,9.0,45.0,2.0,3.0,4.0,1345.0,4.0,35.0,75.0,4.0,39.0,65.0,351.0,36.0,,,16.7783,15.0,2.0,5.0,19.0,4.0,115.0,56.0,23.0,0.0,225.0,15.0,0.0,88.0,76.0,25.0,2.0,,4.0,37.0,268.0,15.0,47.0,79.0,4.0,180.0,10.0,0.0,440.0,9.0,25.0,260.0,14.0,24.0,129.0,20.0,9.0,9.0,169.0,768.0,1.0,14.0,2.0,95.0,3.0,,2.4981,3.0,6.0,15.0,,,,,5.0,1.0,1.0,,5.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
166324,Ivan Cavaleiro,Forward,Wolves,39,Portugal,2018-19,77.0,13.0,1.4409,0.0,2.0,4.0,2.2384,5.0,11.0,1.0,68.0,23.0,1.0,20.0,6.0,72.0,24.0,294.0,3.0,6.0,1.0,17.0,32.0,,17.0,1.0,683.0,1.0,23.0,34.0,2.0,29.0,25.0,219.0,34.0,,,8.7247,18.0,,4.0,11.0,,54.0,94.0,5.0,1.0,111.0,12.0,2.0,58.0,31.0,23.0,,3.0,1.0,11.0,183.0,9.0,37.0,30.0,,79.0,9.0,0.0,292.0,7.0,9.0,168.0,4.0,15.0,58.0,13.0,4.0,3.0,84.0,494.0,7.0,6.0,1.0,56.0,8.0,1.0,2.22,1.0,4.0,7.0,,,,,2.0,3.0,,2.0,2.0,17.0,13.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
19236,John Ruddy,Goalkeeper,Wolves,39,England,2018-19,,,0.0005,0.0,,,,,,,,1.0,,,1.0,6.0,,19.0,,,0.0,,,,,,90.0,,,,,,,4.0,,,,0.1395,,3.0,,,,,,,0.0,,,0.0,15.0,5.0,1.0,,,,,4.0,,,,,,,0.0,9.0,,,6.0,,,4.0,,,9.0,,25.0,,,2.0,9.0,,,,0.0,6.0,2.0,1.0,,,,,,,,,,,,,,1.0,3.0,5.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,
114128,Jonny,Defender,Wolves,39,Spain,2018-19,170.0,9.0,1.2822,0.0,11.0,8.0,2.2466,79.0,14.0,1.0,191.0,33.0,1.0,5.0,32.0,239.0,37.0,1075.0,1.0,5.0,0.0,1.0,90.0,2.0,9.0,5.0,2777.0,5.0,51.0,181.0,5.0,82.0,142.0,803.0,56.0,25.0,3.0,33.3337,30.0,11.0,53.0,39.0,4.0,119.0,406.0,34.0,0.0,351.0,37.0,1.0,349.0,171.0,33.0,2.0,1.0,36.0,30.0,499.0,34.0,37.0,70.0,4.0,261.0,39.0,0.0,1068.0,6.0,18.0,422.0,43.0,30.0,82.0,23.0,60.0,33.0,238.0,1916.0,254.0,10.0,31.0,346.0,12.0,1.0,2.0015,6.0,48.0,82.0,5.0,,8.0,,7.0,2.0,,1.0,7.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
19624,João Moutinho,Midfielder,Wolves,39,Portugal,2018-19,212.0,17.0,5.9676,0.0,5.0,3.0,1.1644,113.0,13.0,4.0,206.0,38.0,8.0,18.0,35.0,283.0,26.0,1863.0,1.0,,1.0,3.0,61.0,1.0,63.0,1.0,3038.0,1.0,40.0,182.0,8.0,71.0,161.0,1456.0,10.0,,3.0,34.1744,76.0,4.0,40.0,39.0,,172.0,459.0,37.0,0.0,394.0,45.0,0.0,559.0,264.0,38.0,1.0,,55.0,10.0,992.0,31.0,133.0,37.0,,333.0,21.0,0.0,1753.0,10.0,10.0,477.0,58.0,13.0,531.0,53.0,40.0,124.0,314.0,2500.0,6.0,11.0,17.0,651.0,47.0,,0.6529,4.0,77.0,70.0,7.0,,11.0,,5.0,2.0,1.0,1.0,5.0,159.0,89.0,,1.0,32.0,,,,,,,,0.0656,1.0,1.0,,,,,,,,,,,,
