playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,openPlayPasses,substituteOn,totalRedCards,winningGoal,leftsidePasses,appearances,timePlayed,touches,gamesPlayed,successfulPassesOwnHalf,successfulShortPasses,totalPasses,yellowCards,duelsLost,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,unsuccessfulCrossesAndCorners,cornersWon,secondGoalAssists,offsides,goalKicks,iboxTarget,shotsOnTargetInBox,ownGoalScored,successfulLaunches,lastPlayerTackle,gkSuccessfulDistribution,punches,savesMade,savesMadeFromOutsideBox,gkUnsuccessfulDistribution,savesMadeFromInsideBox,expectedGoalsFreekick,goals,awayGoals,homeGoals,headedGoals,freekickTotal,attemptsFromSetPieces,goalAssists,cornersTakenInclShortCorners,throwInsToOppositionPlayer,rightFootGoals,unsuccessfulCornersIntoBox,overruns,successfulCornersIntoBox,penaltiesSaved,catches,penaltiesFaced,savesFromPenalty,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,leftFootGoals,redCards2ndYellow,hitWoodwork,clearancesOffTheLine,setPiecesGoals,otherGoals,savesMadeCaught
517179,Alfie Pond,Defender,Wolves,39,England,2024-25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509291,André,Midfielder,Wolves,39,Brazil,2024-25,0.0,1308.0,2.0,0.0,0.0,354.0,33.0,2484.0,1723.0,33.0,675.0,1191.0,1338.0,7.0,100.0,0.656,2.0,1.0,0.0446,91.0,8.0,5.0,74.0,25.0,31.0,93.0,1.0,8.0,5.0,1.0,1.0,6.0,143.0,6.0,1.0,48.0,141.0,3.0,7.0,39.686,18.0,29.0,46.0,1.0,94.0,437.0,34.0,243.0,34.0,332.0,194.0,1.0,36.0,12.0,570.0,40.0,33.0,1.0,235.0,2.0,7.0,158.0,55.0,16.0,8.0,36.0,37.0,54.0,215.0,2.0,17.0,1.0,4.0,28.0,1.0,0.4182,19.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560248,Bastien Meupiyou,Defender,Wolves,39,France,2024-25,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476502,Boubacar Traoré,Midfielder,Wolves,39,Mali,2024-25,0.0,,1.0,0.0,0.0,,1.0,1.0,2.0,1.0,,,,0.0,1.0,,,,,2.0,,,,,,,,1.0,,,,1.0,2.0,,,,2.0,,,,,,,,,,,3.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463212,Carlos Forbs,Forward,Wolves,39,Portugal,2024-25,0.0,80.0,9.0,0.0,0.0,13.0,10.0,232.0,133.0,10.0,15.0,57.0,80.0,2.0,16.0,0.1113,2.0,,,8.0,,,22.0,1.0,1.0,23.0,1.0,4.0,,,1.0,3.0,17.0,,,12.0,16.0,14.0,3.0,8.2718,1.0,2.0,9.0,1.0,13.0,16.0,1.0,33.0,3.0,20.0,11.0,,3.0,5.0,43.0,9.0,9.0,1.0,29.0,1.0,,47.0,5.0,7.0,,2.0,1.0,,31.0,2.0,2.0,1.0,,2.0,,0.1439,1.0,4.0,1.0,8.0,1.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60232,Craig Dawson,Defender,Wolves,39,England,2024-25,0.0,528.0,5.0,0.0,0.0,152.0,15.0,969.0,679.0,15.0,359.0,440.0,558.0,2.0,22.0,0.0929,1.0,1.0,0.0493,15.0,4.0,1.0,33.0,,10.0,74.0,,32.0,1.0,,,11.0,42.0,4.0,,5.0,21.0,14.0,2.0,20.5481,2.0,51.0,25.0,1.0,11.0,206.0,5.0,64.0,5.0,171.0,35.0,,12.0,2.0,125.0,21.0,2.0,1.0,32.0,21.0,3.0,79.0,3.0,1.0,11.0,6.0,9.0,44.0,29.0,,1.0,,14.0,4.0,,0.4923,41.0,24.0,,,,,,,2.0,10.0,1.0,1.0,2.0,8.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79602,Dan Bentley,Goalkeeper,Wolves,39,England,2024-25,0.0,38.0,,0.0,0.0,11.0,2.0,180.0,76.0,2.0,37.0,34.0,59.0,0.0,,0.0025,,,,,,,,,2.0,16.0,,2.0,1.0,,,,2.0,1.0,,,,,,3.6837,,3.0,4.0,,,16.0,,2.0,,32.0,13.0,,,,6.0,3.0,,,,2.0,,16.0,,,,,,9.0,,,,,11.0,,,,16.0,5.0,,,,,,,,13.0,,,,3.0,,15.0,2.0,8.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516939,Emmanuel Agbadou,Defender,Wolves,39,Cote d’Ivoire,2024-25,0.0,953.0,,0.0,0.0,318.0,16.0,1411.0,1201.0,16.0,635.0,779.0,996.0,3.0,40.0,0.3169,1.0,2.0,1.0398,30.0,6.0,1.0,70.0,1.0,16.0,141.0,,46.0,4.0,1.0,,20.0,70.0,2.0,,11.0,44.0,7.0,2.0,23.3126,4.0,89.0,22.0,1.0,20.0,291.0,4.0,110.0,6.0,345.0,83.0,1.0,11.0,2.0,220.0,20.0,6.0,1.0,64.0,26.0,4.0,158.0,19.0,10.0,13.0,7.0,12.0,76.0,42.0,,1.0,,18.0,4.0,,0.845,71.0,48.0,,2.0,,2.0,1.0,,1.0,15.0,,,,8.0,,9.0,,,,6.0,,0.0255,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
181284,Gonçalo Guedes,Forward,Wolves,39,Portugal,2024-25,0.0,291.0,19.0,0.0,1.0,79.0,29.0,987.0,525.0,29.0,71.0,231.0,310.0,1.0,72.0,0.9341,8.0,8.0,1.5268,16.0,19.0,1.0,56.0,13.0,10.0,70.0,6.0,19.0,,3.0,1.0,13.0,47.0,3.0,,21.0,41.0,41.0,3.0,20.3896,10.0,3.0,25.0,2.0,59.0,62.0,17.0,119.0,11.0,82.0,36.0,3.0,11.0,15.0,175.0,22.0,33.0,2.0,100.0,6.0,11.0,161.0,5.0,9.0,,15.0,5.0,9.0,87.0,13.0,9.0,6.0,8.0,5.0,,3.2037,14.0,15.0,6.0,15.0,6.0,16.0,5.0,,3.0,,3.0,3.0,,1.0,,,,,,,,,2.0,2.0,0.0,,,,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
184754,Hwang Hee-Chan,Forward,Wolves,39,South Korea,2024-25,0.0,181.0,16.0,0.0,0.0,50.0,21.0,650.0,294.0,21.0,52.0,158.0,189.0,0.0,41.0,0.3305,1.0,3.0,1.344,6.0,4.0,1.0,30.0,9.0,5.0,31.0,,12.0,,1.0,,9.0,20.0,4.0,,18.0,17.0,25.0,,18.2901,3.0,10.0,19.0,1.0,32.0,31.0,9.0,61.0,9.0,40.0,28.0,1.0,2.0,12.0,108.0,15.0,22.0,1.0,49.0,3.0,1.0,75.0,4.0,2.0,,6.0,2.0,,68.0,6.0,4.0,,1.0,4.0,,0.7987,1.0,5.0,2.0,6.0,2.0,6.0,4.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,
